"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5351860.91404107,30.0097675736562,5351772.17627541,5351841.10550414,5351860.9182926,5351880.75941511,5351949.55816458
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",141057.368228421,7.50643548969057,141034.98746689,141052.415463357,141057.27128707,141062.385407606,141079.78660623
"Num Offtake","Juvenile Male",326882.744055709,17.367674259817,326830.942755574,326871.278068918,326882.514137112,326894.403326409,326934.639442379
"Num Offtake","Juvenile Combined",467940.11228413,24.8741008786351,467865.930222463,467923.689920519,467939.786613618,467956.788734015,468014.426048609
"Num Offtake","Adult Female",531548.071223259,0.865608255588848,531545.585246388,531547.505755862,531548.075167581,531548.648918287,531550.527266107
"Num Offtake","Adult Male",2219796.43861302,4.3279755646553,2219784.00716807,2219793.61266249,2219796.46115948,2219799.31597096,2219808.71057493
"Num Offtake","Oxen",2132576.29192066,0.0515051852787032,2132576.14139939,2132576.25784329,2132576.2921228,2132576.32851414,2132576.44030089
"Cml Pop Growth","Overall",-513569.908025623,3837.96521696365,-523760.708852611,-516098.729240099,-513458.453457743,-510982.699203579,-501714.465824172
"Cml Pop Growth","Neonatal Female",-228770.368436177,1299.03503158153,-232797.04905965,-229648.591522996,-228747.869903283,-227885.420465637,-224108.614967069
"Cml Pop Growth","Neonatal Male",24222.2024657995,1299.03503158152,20195.521842326,23343.9793789811,24244.7009986946,25107.1504363401,28883.9559349092
"Cml Pop Growth","Neonatal Combined",-204548.165970378,2598.07006316304,-212601.527217324,-206304.612144015,-204503.168904588,-202778.270029296,-195224.659032159
"Cml Pop Growth","Juvenile Female",1875744.63958196,653.501196785546,1873790.12000497,1875320.13748874,1875740.55798969,1876179.77120532,1877788.70680513
"Cml Pop Growth","Juvenile Male",1454388.91461212,645.290124088112,1452460.10977334,1453970.17648445,1454383.81845257,1454820.08187108,1456406.71753675
"Cml Pop Growth","Juvenile Combined",3330133.55419408,1298.78798676066,3326250.22977831,3329288.73889619,3330123.04153699,3331000.19781157,3334195.42434188
"Cml Pop Growth","Adult Female",-543027.806186275,120.517170760846,-543387.747264154,-543107.598846034,-543029.421635898,-542946.054302802,-542667.034948003
"Cml Pop Growth","Adult Male",-1520813.15772712,116.734864773103,-1521162.28056856,-1520889.77307986,-1520814.64999828,-1520733.63736393,-1520463.04163826
"Cml Pop Growth","Oxen",-1575314.33233593,2.05362131697206,-1575320.23208648,-1575315.66603263,-1575314.31660156,-1575312.9804718,-1575308.51489858
"Total Number Increase","Overall",4838291.00601545,3859.96943367883,4828072.78721672,4835745.0895914,4838406.67830107,4840878.6684396,4850180.01313175
"Total Number Increase","Neonatal Female",-228770.368436177,1299.03503158153,-232797.04905965,-229648.591522996,-228747.869903283,-227885.420465637,-224108.614967069
"Total Number Increase","Neonatal Male",24222.2024657995,1299.03503158152,20195.521842326,23343.9793789811,24244.7009986946,25107.1504363401,28883.9559349092
"Total Number Increase","Neonatal Combined",-204548.165970378,2598.07006316304,-212601.527217324,-206304.612144015,-204503.168904588,-202778.270029296,-195224.659032159
"Total Number Increase","Juvenile Female",2016802.00781038,660.506435677283,2014825.46477466,2016372.80806655,2016800.18750123,2017241.83785731,2018868.49341136
"Total Number Increase","Juvenile Male",1781271.65866783,661.497095716803,1779291.88254684,1780841.76403346,1781269.71754165,1781712.1456748,1783341.35697913
"Total Number Increase","Juvenile Combined",3798073.66647821,1322.00338506548,3794117.3473215,3797214.57210001,3798070.08919643,3798954.20964965,3802209.85039049
"Total Number Increase","Adult Female",-11479.7349630156,121.359543094745,-11842.076949648,-11560.1277015224,-11481.4654240969,-11397.4143026052,-11116.6001425633
"Total Number Increase","Adult Male",698983.280885903,120.94614467618,698622.133307527,698903.159414273,698981.595273593,699065.360690178,699345.236790117
"Total Number Increase","Oxen",557261.959584727,2.10436360867177,557255.914904104,557260.587063755,557261.970539956,557263.35672746,557267.925402308
"Total Mortality","Overall",2367526.5825372,23.8989286364034,2367455.66885709,2367510.97219096,2367526.39694582,2367542.41134327,2367597.49912318
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",202182.227794071,10.7592242018903,202150.148702542,202175.128830811,202182.088844801,202189.419084235,202214.360802263
"Total Mortality","Juvenile Male",200799.399919935,10.668714188174,200767.579121281,200792.35652805,200799.258684226,200806.562043366,200831.278514604
"Total Mortality","Juvenile Combined",402981.627714006,21.4279293233258,402917.727823823,402967.480166126,402981.34825968,402995.981127601,403045.639316867
"Total Mortality","Adult Female",885913.452038765,1.44268042597797,885909.308743981,885912.509593103,885913.458612636,885914.414863811,885917.545443512
"Total Mortality","Adult Male",550123.465221487,1.07258524863394,550120.38438513,550122.764877226,550123.470809088,550124.178305846,550126.506533787
"Total Mortality","Oxen",528508.037562947,0.0127643285281382,528508.00025985,528508.029117685,528508.037613041,528508.046631766,528508.074335437
"Value of Total Mortality","Overall",49479466930.4916,459318.375034993,49478107516.5017,49479165034.2954,49479466434.3462,49479770791.1618,49480825282.4736
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",3213386374.92491,171001.896815242,3212876525.38589,3213273547.44218,3213384166.53253,3213500669.80674,3213897081.38926
"Value of Total Mortality","Juvenile Male",4096113792.66446,217631.463807169,4095464679.10977,4095970114.27368,4096110911.59241,4096259893.06405,4096764085.20201
"Value of Total Mortality","Juvenile Combined",7309500167.58937,388633.198545529,7308341204.49566,7309243555.78909,7309495093.02957,7309760562.87079,7310661166.59128
"Value of Total Mortality","Adult Female",20107067698.9799,32743.6872375708,20106973661.003,20107046308.8332,20107067848.1833,20107089551.6658,20107160604.6313
"Value of Total Mortality","Adult Male",20238123419.9031,39458.6197690974,20238010081.0794,20238097655.4075,20238123625.4616,20238149653.0856,20238235304.7027
"Value of Total Mortality","Oxen",20794726539.9944,502.226460735724,20794725072.2633,20794726207.7063,20794726541.9654,20794726896.817,20794727986.8482
"Population Liveweight (kg)","Overall",14102053737.3779,1093340956.90856,10577709789.8413,13335380878.8437,14106858942.8883,14872192269.8891,17865096198.5633
"Population Liveweight (kg)","Neonatal Female",455233487.511908,103600683.368004,130719973.005367,381832835.476408,463649511.020119,534061462.17784,659794349.198049
"Population Liveweight (kg)","Neonatal Male",384290718.594325,102187713.531845,117610350.619109,309366855.796683,383253921.471749,459966563.595823,616269857.583378
"Population Liveweight (kg)","Juvenile Female",941756172.177002,194110624.620255,530801226.142386,792905555.171959,933275145.269677,1079308589.96062,1475338900.72014
"Population Liveweight (kg)","Juvenile Male",982482448.163496,215927537.913479,563206585.77875,810095236.486461,969598489.562362,1134969073.0099,1565176033.92239
