"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31282.3760312975,3182.40161209234,23318.9449886445,28979.4221140268,31222.294455872,33544.1889075052,41968.474490667
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-8408.8775747956,1524.39618059334,-13529.8593099342,-9500.20533886923,-8391.22344741012,-7313.84168015207,-4614.21237985305
"Num Offtake","Juvenile Male",20588.8023546548,3970.83839998656,10717.6501985982,17750.0270916597,20515.4299822043,23435.9175800684,33930.6473495128
"Num Offtake","Juvenile Combined",12179.9247798592,2446.6407086294,6103.43781874516,10427.9604880936,12131.9902134875,13924.7377274393,20400.7880395786
"Num Offtake","Adult Female",-7457.17260582388,176.387239201957,-8032.97851933362,-7579.09597798445,-7453.04106919011,-7325.84109589255,-7008.18398043153
"Num Offtake","Adult Male",8009.42835674112,918.966406904477,5668.1518893744,7328.39462264284,7990.76797292222,8639.21241908568,11016.3061879999
"Num Offtake","Oxen",18550.1955005211,11.0251036635627,18522.5256232219,18541.8339102355,18550.020977691,18557.9162489236,18584.358782422
"Cml Pop Growth","Overall",4604059.67786969,964462.969042708,1980775.12128723,3963928.6151061,4532800.00906716,5262046.47669012,7710671.28751777
"Cml Pop Growth","Neonatal Female",1527447.08581782,353378.623289029,554462.675423593,1285302.94792803,1512065.96028015,1767810.05282813,2676587.03547819
"Cml Pop Growth","Neonatal Male",1539185.42138739,353497.912275889,573518.321818139,1295080.31415528,1521265.99369456,1779520.47428497,2705182.85184595
"Cml Pop Growth","Neonatal Combined",3066632.50720522,706827.896268331,1127980.99724173,2584982.94582387,3036037.65422067,3549862.21402957,5381769.88732414
"Cml Pop Growth","Juvenile Female",670303.077176744,140499.512628411,323157.118374197,571585.493913225,669473.004736663,763714.553372467,1156824.61892113
"Cml Pop Growth","Juvenile Male",643574.760360738,135883.654557194,309063.755661597,549741.589032787,643887.707836337,733931.439221249,1111996.95290169
"Cml Pop Growth","Juvenile Combined",1313877.83753748,276366.833473952,632220.874035795,1121585.53078814,1312378.95432103,1496988.24801248,2268821.57182282
"Cml Pop Growth","Adult Female",121919.315432357,24988.5675134816,59753.8368490607,104037.83140028,121570.077227085,139769.939446915,205861.485451642
"Cml Pop Growth","Adult Male",116502.414459915,23464.2363133945,58308.3165870573,99572.9960512892,115976.500930624,133147.183792701,195317.26407719
"Cml Pop Growth","Oxen",-14872.3967652829,411.140515055182,-15919.8028168765,-15175.9753283491,-14881.2153553603,-14590.8147923657,-13525.8508389526
"Total Number Increase","Overall",4635342.05390099,966685.503582885,2007815.67871793,3993345.11570885,4565115.19880676,5294472.51178721,7748928.14300333
"Total Number Increase","Neonatal Female",1527447.08581782,353378.623289029,554462.675423593,1285302.94792803,1512065.96028015,1767810.05282813,2676587.03547819
"Total Number Increase","Neonatal Male",1539185.42138739,353497.912275889,573518.321818139,1295080.31415528,1521265.99369456,1779520.47428497,2705182.85184595
"Total Number Increase","Neonatal Combined",3066632.50720522,706827.896268331,1127980.99724173,2584982.94582387,3036037.65422067,3549862.21402957,5381769.88732414
"Total Number Increase","Juvenile Female",661894.199601949,139095.820667511,317706.746788141,564539.375236005,661238.714790463,754147.984061218,1143294.75961119
"Total Number Increase","Juvenile Male",664163.562715393,139538.331563313,321948.55106897,567069.8217235,663394.294808596,757700.513602857,1145927.6002512
"Total Number Increase","Juvenile Combined",1326057.76231734,278624.190037639,639655.297857111,1132027.0592462,1324062.78093756,1511323.22059697,2289222.3598624
"Total Number Increase","Adult Female",114462.142826533,24817.6825176873,52738.0493337694,96719.7967037124,114133.012540264,132220.956785362,197828.506932309
"Total Number Increase","Adult Male",124511.842816656,24353.9046309822,64015.3348495391,107060.571678246,124057.515239563,141946.362226221,206333.57026519
"Total Number Increase","Oxen",3677.79873523828,421.974370517361,2602.72280634543,3365.07916345845,3669.23019164798,3966.98529447811,5058.5079434694
"Total Mortality","Overall",254983.257689244,50670.5624172105,139066.079593651,219458.636935592,254223.052032393,289702.399586571,425495.945164674
"Total Mortality","Neonatal Female",105028.867480299,22093.6724787859,49742.956782889,89431.8271900882,104441.565841473,120518.630862063,178285.623159043
"Total Mortality","Neonatal Male",104183.19787899,22536.8092342551,50834.9602727392,87640.0907179232,103568.923786333,119053.415063326,186012.793143646
"Total Mortality","Neonatal Combined",209212.065359289,43485.7248187262,108368.059337714,178521.893364812,208716.516796411,238375.162564206,353345.360639435
"Total Mortality","Juvenile Female",21001.727489873,3845.06292531197,11582.0949771293,18199.8628940793,20905.1385116755,23734.5180044669,35049.208986416
"Total Mortality","Juvenile Male",19307.6432715006,3769.05272585721,9812.57866223241,16616.1832961453,19176.6489940075,21900.7403354266,32801.6890464662
"Total Mortality","Juvenile Combined",40309.3707613737,7574.4795945403,21498.9005112415,34876.1429863295,40109.4748333818,45602.0702864479,66724.5101034794
"Total Mortality","Adult Female",4971.44840388258,117.591492801304,4672.12265362102,4883.89406392837,4968.69404612674,5052.73065198963,5355.31901288908
"Total Mortality","Adult Male",490.373164698436,56.2632494023149,347.029707512718,448.67722179446,489.230692219728,528.931372597082,674.467725795915
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2571731526.89436,505023632.613338,1409605289.19423,2207422843.80731,2566720558.19653,2913397697.81711,4305343166.31957
"Value of Total Mortality","Neonatal Female",787293827.64185,165613629.755186,372871990.180888,670378794.2367,782891428.888971,903404715.959133,1336424680.54532
"Value of Total Mortality","Neonatal Male",1147907318.4418,248314207.866576,560107811.218792,965632689.071978,1141139147.17382,1311749775.5772,2049519029.17593
"Value of Total Mortality","Neonatal Combined",1935201146.08365,403738873.14889,1008598419.60738,1648486321.78672,1929778679.8385,2208375815.68004,3303839871.75389
"Value of Total Mortality","Juvenile Female",240269143.544265,43989237.3798294,132504340.033221,208214561.030376,239164122.489282,271533487.715189,400978606.599424
"Value of Total Mortality","Juvenile Male",318687437.781003,62211101.5401821,161964125.187006,274262829.796755,316525276.916974,361488490.586852,541416996.891461
"Value of Total Mortality","Juvenile Combined",558956581.325268,105663765.287111,296103830.744,483330011.258624,556048526.189426,632828204.725419,929509222.443102
"Value of Total Mortality","Adult Female",63822538.9343016,1509617.92579255,59979850.0842698,62698532.4443155,63787178.9967481,64866025.4643898,68750599.1088611
"Value of Total Mortality","Adult Male",13751260.5511341,1577758.85322042,9731560.10673207,12582004.5312816,13719222.8340277,14832526.8221487,18913721.4236717
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",672065249.124693,130051948.602209,342077565.829823,584339602.975527,664957811.923295,754784544.998925,1121218415.90485
"Population Liveweight (kg)","Neonatal Female",134618875.763859,40366025.2764326,28473630.6021822,105231761.714496,131749908.37696,159610174.59114,277892083.859908
"Population Liveweight (kg)","Neonatal Male",140737823.841494,49668745.8271513,22733669.0681557,104245601.406863,138095952.921546,174093614.752676,360603369.707061
"Population Liveweight (kg)","Juvenile Female",124714555.402278,36455506.2842301,46789798.8739792,97931961.7740091,120800309.222171,147229463.922729,257327896.02621
"Population Liveweight (kg)","Juvenile Male",126360380.454139,39222097.1093723,45670457.8877377,96602441.6391478,120987806.400053,151336411.15252,285596514.852378
"Population Liveweight (kg)","Juvenile Combined",251074935.856417,63207564.0587993,92460256.7617169,205017213.138469,247335965.527652,292060214.225554,472686663.938097
"Population Liveweight (kg)","Adult Female",81849043.861976,13772630.1930255,49254226.494184,71885051.8119744,81491780.3979618,91087173.912941,126147993.224132
"Population Liveweight (kg)","Adult Male",35790958.1021225,8447884.26133438,17091057.3844978,29606426.1565472,34940672.4097839,40957191.5867491,66956211.215056
"Population Liveweight (kg)","Oxen",27993611.6988246,4523100.36648979,18672496.1138751,24605185.4578493,27716502.3769682,31122990.831712,40391988.6749937
