"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31120.1889462478,3560.79067746206,23617.243007935,28623.7529469554,30462.9089189932,33421.1821105588,40809.7723843139
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-8383.98169669881,1713.35197609488,-13010.9347555174,-9515.29171420063,-8139.31679592395,-7122.97784646738,-4779.2113977961
"Num Offtake","Juvenile Male",20511.9070971845,4466.7463548493,11118.1382726314,17235.6947603189,19904.1426537698,23464.397124326,32577.1866901171
"Num Offtake","Juvenile Combined",12127.9254004857,2753.4453632916,6338.92687483529,10112.7169138516,11764.8258578459,13949.1054101254,19566.2519345997
"Num Offtake","Adult Female",-7451.52220915945,192.660439293395,-7976.78541049465,-7582.48810490541,-7431.25089751493,-7311.92836029357,-7050.62309174505
"Num Offtake","Adult Male",7977.58891590105,1004.9293929057,5886.72862032954,7243.13336234115,7874.39653865462,8671.22687918126,10722.7817272082
"Num Offtake","Oxen",18466.1968390205,11.7269696422753,18442.2106045152,18456.6154064982,18465.8694120483,18473.5367785677,18498.147446818
"Cml Pop Growth","Overall",4705786.56977954,1043193.6268225,1838590.47474661,4051900.36786616,4809165.42336349,5372384.83279576,7157904.62223367
"Cml Pop Growth","Neonatal Female",1574578.68788598,376855.573156529,537493.818358112,1312038.27728582,1590041.51972096,1800837.6732072,2439977.72810692
"Cml Pop Growth","Neonatal Male",1585905.80430829,376855.573156529,548820.934780425,1323365.39370814,1601368.63614327,1812164.78962951,2451304.84452923
"Cml Pop Growth","Neonatal Combined",3160484.49219428,753711.146313058,1086314.75313854,2635403.67099396,3191410.15586422,3613002.46283671,4891282.57263616
"Cml Pop Growth","Juvenile Female",675350.712414619,160050.239337512,314244.097957356,556966.203437106,657325.908857136,765370.124137964,1063536.22053746
"Cml Pop Growth","Juvenile Male",648296.542647801,155014.745411276,298915.045142313,534318.163536079,629265.336481447,732361.933771513,1024663.80968823
"Cml Pop Growth","Juvenile Combined",1323647.25506242,315057.999068602,613159.143099669,1091284.36697318,1286438.77176093,1497732.05790948,2088200.03022569
"Cml Pop Growth","Adult Female",121518.196211479,28097.0504484688,62418.6668501138,100876.698746897,117671.489433813,140077.60464672,197350.103810747
"Cml Pop Growth","Adult Male",116070.228046492,26429.7330040379,60538.1339546696,96811.0338090964,113007.136971314,133317.410626255,187304.411942272
"Cml Pop Growth","Oxen",-15933.6017351285,449.184915916734,-16868.2358668853,-16263.3037429091,-15980.147285187,-15620.6530450633,-14706.2993072214
"Total Number Increase","Overall",4736906.75872579,1045701.26467565,1863767.96054972,4081972.35141889,4841346.25783609,5403862.90924591,7194759.04399798
"Total Number Increase","Neonatal Female",1574578.68788598,376855.573156529,537493.818358112,1312038.27728582,1590041.51972096,1800837.6732072,2439977.72810692
"Total Number Increase","Neonatal Male",1585905.80430829,376855.573156529,548820.934780425,1323365.39370814,1601368.63614327,1812164.78962951,2451304.84452923
"Total Number Increase","Neonatal Combined",3160484.49219428,753711.146313058,1086314.75313854,2635403.67099396,3191410.15586422,3613002.46283671,4891282.57263616
"Total Number Increase","Juvenile Female",666966.73071792,158454.617235527,309464.88655956,550123.655756741,648811.350931723,755390.634629432,1051314.74737855
"Total Number Increase","Juvenile Male",668808.449744986,159173.289531924,310033.183414944,550880.908946281,649963.111043441,757004.866279497,1055162.6736768
"Total Number Increase","Juvenile Combined",1335775.18046291,317626.996707655,619498.069974504,1100957.21260396,1298774.46197516,1512395.50090893,2106477.42105535
