"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18803.4623381603,4.12746221722198,18795.462562725,18800.5784432156,18804.8084484512,18806.3721371183,18808.3524127787
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2357.32930496491,2.13504202443974,-2359.84300760801,-2358.98259817534,-2357.74714701496,-2356.10381212698,-2353.01985886412
"Num Offtake","Juvenile Male",4736.69300390636,2.96894199002442,4731.16342970811,4735.46722587177,4736.46800075573,4737.78120780717,4741.20165522341
"Num Offtake","Juvenile Combined",2379.36369894145,3.41886719035842,2372.66168871398,2377.1115002,2380.50808737463,2381.57636041065,2383.53156774546
"Num Offtake","Adult Female",-6855.15617583693,0.25438916212795,-6855.4559279275,-6855.32981265706,-6855.21139373634,-6855.00497466387,-6854.65769432491
"Num Offtake","Adult Male",4845.56055190251,0.66713896712507,4844.40375254284,4845.19830873947,4845.61565821008,4845.89799434057,4846.46682692106
"Num Offtake","Oxen",18433.6942631533,0.00814805896433494,18433.6805217319,18433.6886170647,18433.6956438485,18433.7001254501,18433.704276398
"Cml Pop Growth","Overall",55145.6924854773,514.938046796333,54326.74353092,54812.4051599148,55007.145321492,55675.8857853766,55814.4839542122
"Cml Pop Growth","Neonatal Female",-8003.51774669571,195.587240549799,-8462.64535394098,-8078.8057797654,-7964.73369438678,-7900.95735014276,-7752.79601411023
"Cml Pop Growth","Neonatal Male",4050.51361448608,245.035651821622,3618.30063779237,3925.5627613933,4061.17055814229,4196.03912866415,4475.00786190163
"Cml Pop Growth","Neonatal Combined",-3953.00413220962,326.148861396831,-4551.89175679986,-4111.33406766254,-3924.14314997589,-3749.45214541025,-3411.50415950576
"Cml Pop Growth","Juvenile Female",19927.7382968414,165.146300068024,19610.647939283,19838.7980005796,19967.929038197,20034.2730779397,20129.7673932348
"Cml Pop Growth","Juvenile Male",11739.3690407762,107.528234848458,11496.5841915518,11710.6529917205,11733.2582485439,11784.3377559178,11900.4922289081
"Cml Pop Growth","Juvenile Combined",31667.1073376176,210.570949099624,31352.6370774637,31537.9860048394,31626.3625867578,31770.8951789854,32002.7978005942
"Cml Pop Growth","Adult Female",22531.7733195914,34.9657323759132,22461.1677282743,22511.6989177141,22538.6282178476,22558.9099643963,22572.9356363106
"Cml Pop Growth","Adult Male",22237.1014557058,17.5643227708478,22204.3004241565,22229.9370405132,22235.7195218117,22243.3896798485,22263.9312639452
"Cml Pop Growth","Oxen",-17337.2854952279,0.297845703741088,-17337.8020958744,-17337.4458396067,-17337.2627768575,-17337.1350879042,-17336.8799748361
"Total Number Increase","Overall",73949.1548236377,515.031770975049,73134.0857711399,73612.5410239668,73811.9537699432,74480.5701671531,74616.347869983
"Total Number Increase","Neonatal Female",-8003.51774669571,195.587240549799,-8462.64535394098,-8078.8057797654,-7964.73369438678,-7900.95735014276,-7752.79601411023
"Total Number Increase","Neonatal Male",4050.51361448608,245.035651821622,3618.30063779237,3925.5627613933,4061.17055814229,4196.03912866415,4475.00786190163
"Total Number Increase","Neonatal Combined",-3953.00413220962,326.148861396831,-4551.89175679986,-4111.33406766254,-3924.14314997589,-3749.45214541025,-3411.50415950576
"Total Number Increase","Juvenile Female",17570.4089918765,163.057689973014,17257.6280804189,17482.6941884526,17610.181891182,17675.5648558142,17770.6245093324
"Total Number Increase","Juvenile Male",16476.0620446826,110.306687485653,16227.7476212599,16446.1202175923,16470.480478044,16520.9876206085,16641.6938841315
"Total Number Increase","Juvenile Combined",34046.471036559,210.519987542661,33736.1686452092,33912.5850992372,34005.0466705093,34148.4802842584,34384.1564482096
"Total Number Increase","Adult Female",15676.6171437545,34.7128273476094,15606.5100339494,15656.6861195495,15683.4273955015,15703.5826895448,15717.4797083831
"Total Number Increase","Adult Male",27082.6620076083,18.2162107288936,27048.7041766993,27075.1709054539,27081.2640676193,27089.287674189,27110.3792502385
"Total Number Increase","Oxen",1096.40876792545,0.305849071680795,1095.87842585753,1096.24277745803,1096.43392267606,1096.56345401826,1096.82430156182
"Total Mortality","Overall",18976.9236465284,531.893000812913,18270.410385308,18433.5365190156,19135.702397312,19352.4437398648,19765.5811445153
"Total Mortality","Neonatal Female",7128.3764847052,353.710470730063,6725.9034634864,6878.70935840959,7067.93839612747,7217.65178154208,7784.85685625076
"Total Mortality","Neonatal Male",5853.18254571766,365.00393100213,5360.81752861032,5633.4435060601,5849.76943499058,5978.05961258078,6613.77260427529
"Total Mortality","Neonatal Combined",12981.5590304229,532.029747623221,12274.9697019256,12437.9995758908,13140.3990798797,13357.2177223178,13770.3701418764
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",4570.10411722462,0.169592774751684,4569.77179621661,4570.00331644258,4570.14092915756,4570.21987510471,4570.30395195167
"Total Mortality","Adult Male",296.66697256546,0.0408452428851965,296.596148114868,296.64479441262,296.670346421025,296.687632306566,296.722458791085
