"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18649.3812835466,5.60630216235824,18639.8511899672,18645.0966500974,18650.5038187562,18653.8412164872,18656.8473255528
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2290.80289765339,2.529223475109,-2294.28136693693,-2292.10663585971,-2291.44102807414,-2288.85480063138,-2286.84405513464
"Num Offtake","Juvenile Male",4605.18303674956,3.711229172213,4599.04005155487,4602.25603488655,4606.72240403355,4607.93619872973,4609.73868685065
"Num Offtake","Juvenile Combined",2314.38013909618,4.48510376672354,2306.23795256084,2311.48874631601,2315.09273828105,2317.99765850394,2319.78253692567
"Num Offtake","Adult Female",-6906.64640342515,0.381971449199695,-6907.14009154106,-6906.87712780371,-6906.70456222956,-6906.35470005673,-6905.96939773085
"Num Offtake","Adult Male",4808.336849371,1.09736623388736,4806.58255386565,4807.56658097463,4808.43414359196,4809.3165899723,4809.69448406888
"Num Offtake","Oxen",18433.3106985045,0.018349540233647,18433.2857724505,18433.3003793497,18433.307544737,18433.3235250691,18433.3397022891
"Cml Pop Growth","Overall",50195.4050881475,527.647548402256,49663.5656327272,49748.0402201903,49967.5555317202,50752.2475464831,50915.6630763542
"Cml Pop Growth","Neonatal Female",-7831.26576968242,308.644391194054,-8392.93389664875,-8056.03060317584,-7717.42784292627,-7653.13625368796,-7451.32630528919
"Cml Pop Growth","Neonatal Male",4246.26663025048,243.721947277521,3819.49745683487,4087.10843792208,4297.6842066936,4412.32778508145,4568.23115040555
"Cml Pop Growth","Neonatal Combined",-3584.99913943194,385.218023340097,-4117.18027131869,-3898.44632093038,-3628.77818111984,-3206.54352854023,-3107.80793957961
"Cml Pop Growth","Juvenile Female",15325.248349144,132.628840029634,15182.2339965758,15203.1825689772,15305.9097651959,15414.5646725608,15531.2997597855
"Cml Pop Growth","Juvenile Male",8435.80166051638,118.025569880807,8282.36853995534,8349.6933889642,8431.90354237816,8538.21482110185,8599.61552568539
"Cml Pop Growth","Juvenile Combined",23761.0500096604,185.231152767211,23472.6480605896,23616.6349140358,23731.3165830685,23916.3559711652,24010.1367655214
"Cml Pop Growth","Adult Female",25901.565799245,41.4976903147512,25836.788656278,25869.6321898065,25911.9149792032,25923.2153740389,25958.6679648321
"Cml Pop Growth","Adult Male",21471.7593821717,21.7201014008487,21436.032969912,21455.1967170515,21480.3020200498,21488.3867395339,21498.3902537678
"Cml Pop Growth","Oxen",-17353.9709634977,0.485249560440545,-17354.7500552132,-17354.3161624567,-17353.9229407246,-17353.5411670236,-17353.3783393363
"Total Number Increase","Overall",68844.786371694,528.401399147448,68313.2116710953,68400.7486556483,68617.8066318059,69403.1715014763,69567.0246754985
"Total Number Increase","Neonatal Female",-7831.26576968242,308.644391194054,-8392.93389664875,-8056.03060317584,-7717.42784292627,-7653.13625368796,-7451.32630528919
"Total Number Increase","Neonatal Male",4246.26663025048,243.721947277521,3819.49745683487,4087.10843792208,4297.6842066936,4412.32778508145,4568.23115040555
"Total Number Increase","Neonatal Combined",-3584.99913943194,385.218023340097,-4117.18027131869,-3898.44632093038,-3628.77818111984,-3206.54352854023,-3107.80793957961
"Total Number Increase","Juvenile Female",13034.4454514906,130.505898076729,12893.5232531136,12916.0827911336,13014.3114033411,13121.1283576544,13237.0183928486
"Total Number Increase","Juvenile Male",13040.9846972659,120.868820305606,12883.2534429853,12949.9374820301,13036.1739707061,13146.2274577773,13207.6975235129
"Total Number Increase","Juvenile Combined",26075.4301487566,185.475086068895,25792.4305975153,25926.5742313644,26048.470257084,26232.644185888,26325.4880656787
"Total Number Increase","Adult Female",18994.9193958199,41.1289995095891,18930.8192585471,18963.2865406534,19005.1075168099,19016.524310751,19051.5308800164
"Total Number Increase","Adult Male",26280.0962315427,22.6872732506483,26242.6155237776,26262.39499287,26289.3481576717,26297.1053829091,26307.9385814643
"Total Number Increase","Oxen",1079.3397350068,0.502815385068076,1078.53571723725,1078.9865304723,1079.3846040124,1079.78845717892,1079.96136295272
"Total Mortality","Overall",24769.540469465,515.910426372911,24037.4405284501,24249.6605986833,24998.7315183732,25206.5782636942,25234.7162659964
"Total Mortality","Neonatal Female",7302.14817585109,414.03733275435,6636.37917445235,7061.53609516425,7266.41633147433,7526.02521857689,8101.31515138422
"Total Mortality","Neonatal Male",6018.45590548612,345.604420673837,5528.89565282584,5751.55684127157,6060.52784090774,6236.35943443997,6588.61310895965
"Total Mortality","Neonatal Combined",13320.6040813372,535.033147682772,12584.5919694069,12780.8971484367,13607.166929009,13706.7622971402,13949.7087024476
"Total Mortality","Juvenile Female",5714.35171789871,74.4171457591686,5621.00811149005,5651.15654992187,5713.13025527569,5779.76208313325,5820.81167948249
"Total Mortality","Juvenile Male",4311.62665709379,123.181472497313,4128.97433185984,4261.94810031044,4284.42324553954,4358.19914895213,4575.55521264827
"Total Mortality","Juvenile Combined",10025.9783749925,116.107371552082,9844.06262028727,9944.27111090071,10029.567534,10102.4857776678,10199.0043840659
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",294.387970369653,0.0671856877890582,294.280564522387,294.340811080079,294.393927158692,294.4479544881,294.47109086136
"Total Mortality","Oxen",1128.57004276558,0.00112344123871643,1128.56851668064,1128.56941098059,1128.56984967777,1128.57082806546,1128.57181850749
"Value of Total Mortality","Overall",311254999.908393,5578233.43941185,302167473.464053,306401984.985583,313005086.965092,315243678.802889,318026957.295048
"Value of Total Mortality","Neonatal Female",50469555.6368567,2861662.03395974,45868024.0261302,48806540.2473191,50222591.2827583,52016905.0731543,55993081.2026889
"Value of Total Mortality","Neonatal Male",88349610.3031143,5073396.958468,81162973.3614025,84431590.6841409,88967217.0709582,91548386.229876,96719392.7738112
"Value of Total Mortality","Neonatal Combined",138819165.939971,5784535.21153701,129966185.036502,134579293.966468,142020169.90664,142734517.639661,145535918.73779
"Value of Total Mortality","Juvenile Female",67973174.310219,885204.458891275,66862836.4202205,67221457.163548,67958644.806981,68751241.6006617,69239533.4499841
"Value of Total Mortality","Juvenile Male",94072702.710901,2687620.00129704,90087525.1299714,92988797.1515692,93479168.3788746,95088838.969797,99831195.8547229
"Value of Total Mortality","Juvenile Combined",162045877.02112,2475942.24250414,158757696.807411,160320547.735421,161925654.228772,163621476.407675,166723069.093143
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",6772333.19697441,1545.59258384115,6769862.34810081,6771248.30745965,6772470.23165047,6773713.11897373,6774245.3663631
"Value of Total Mortality","Oxen",40424520.1882903,40.2408103285627,40424465.5250889,40424497.5582327,40424513.2720318,40424548.3171342,40424583.7940143
"Population Liveweight (kg)","Overall",132121042.169034,9343183.63792102,115674486.308449,125980097.336197,132271491.695762,140085243.171947,144810750.593994
"Population Liveweight (kg)","Neonatal Female",4001231.17509428,1152512.11195722,1815918.90382513,3489218.4756356,4192442.78376897,4923614.65004996,5282573.87384121
"Population Liveweight (kg)","Neonatal Male",4336505.98168773,1449154.44747784,2424954.07541389,3010184.00918238,4306770.61060289,5617492.60731808,6360903.49607353
"Population Liveweight (kg)","Juvenile Female",15321352.145474,3592946.10087896,9193835.27150162,13032886.1117096,14941983.6612518,18182990.5734338,20745462.6789792
"Population Liveweight (kg)","Juvenile Male",10167107.7099848,2280945.19931529,8433756.76624079,8790295.17343307,9226117.2592993,10017018.2767065,14889756.2764816
"Population Liveweight (kg)","Juvenile Combined",25488459.8554588,4156447.89942787,20580787.8484642,23000351.9706407,24859456.6946956,27313562.6785019,34575789.5284387
"Population Liveweight (kg)","Adult Female",61609848.7336428,8374978.03957141,42795834.9818785,57912739.0235457,63652895.2186863,64804751.1130635,74499203.3335239
"Population Liveweight (kg)","Adult Male",10525987.9784783,2492422.10518738,7723129.05614477,8740543.14679217,9872964.57505793,11410182.3780776,14942880.6607795
"Population Liveweight (kg)","Oxen",26159008.4446722,5157654.14549267,20365975.2345984,23008103.9487705,24988923.8127477,27047513.7733783,37017421.9975414
"Offtake Liveweight (kg)","Overall",4587511.16494883,562298.767085266,3845836.01559747,4067689.95599267,4661945.38032481,4878823.16355675,5498084.96370392
"Offtake Liveweight (kg)","Juvenile Female",-356060.667557034,55872.9863185207,-448923.526762586,-394496.720625382,-345538.617257994,-326650.463357529,-264010.384837596
"Offtake Liveweight (kg)","Juvenile Male",804332.156999449,178785.299872136,589791.393871292,668121.074448762,770592.229053264,889625.977531724,1140904.79227694
"Offtake Liveweight (kg)","Adult Female",-1839893.4617433,188693.483636593,-2145558.83166511,-1933576.47291905,-1846393.10303386,-1795795.89726232,-1407079.88403593
"Offtake Liveweight (kg)","Adult Male",1235867.00730161,163414.219183795,1000846.91506475,1153255.50154583,1204092.64595266,1378781.62494088,1462614.52372407
"Offtake Liveweight (kg)","Oxen",4743266.12994811,676511.401177783,3593458.24496372,4305985.79016588,4699573.04803791,5302471.58051704,5605817.17074646
"Meat (kg)","Overall",15521686.8580991,1064572.7206496,14030158.5117179,14639108.4928133,15600477.710547,16165977.7906503,17341812.6360798
"Manure","Overall",340419196.736062,11430433.9416906,320154326.18129,337017037.940442,340439411.370871,345884044.867173,357325205.840726
"Manure","Neonatal Female",13362825.2044841,334218.521943181,12764890.9287973,13150824.5101851,13392824.274971,13634088.3646155,13739473.9211302
"Manure","Neonatal Male",10766213.4426963,244978.189384565,10442637.4745926,10598017.2335221,10764349.6819053,10892503.1969537,11244877.1456377
"Manure","Neonatal Combined",24129038.6471804,506241.549399148,23207528.4033899,23791489.738611,24157221.1057439,24489134.7080331,24974929.9782962
"Manure","Juvenile Female",32306159.7310463,960970.967349259,31255074.4070419,31461097.6716409,32254194.6358442,32816283.4436691,34118262.4620481
"Manure","Juvenile Male",24221262.2433276,551970.563544458,23072496.0220193,23864833.2409256,24451575.9745624,24625707.1233306,24719673.4588384
"Manure","Juvenile Combined",56527421.9743739,925879.984640874,55808567.6296424,55987367.2186281,56065645.7132786,56870491.3732226,58795855.0157754
"Manure","Adult Female",164517811.140805,11755843.475553,142374324.773793,158917348.098697,164617285.643858,173997176.624858,181292784.121858
"Manure","Adult Male",21304883.1695009,1146620.51516929,19694395.0105887,20695713.0926055,21083700.2713765,21917333.0204857,23252279.0662262
"Manure","Oxen",73940041.8042023,4281667.32732717,65505202.5501526,71397392.0172585,74767783.2801272,76032988.0631777,81277007.8436724
"Hides","Overall",5724.46819406387,58.0397313919165,5633.52743609658,5683.65146561816,5726.24331750245,5762.75049781741,5810.95382455177
"Hides","Juvenile Female",2857.17585894936,37.2085728795843,2810.50405574502,2825.57827496094,2856.56512763785,2889.88104156662,2910.40583974125
"Hides","Juvenile Male",2155.8133285469,61.5907362486567,2064.48716592992,2130.97405015522,2142.21162276977,2179.09957447607,2287.77760632414
"Hides","Juvenile Combined",5012.98918749625,58.0536857760409,4922.03131014363,4972.13555545035,5014.783767,5051.24288883391,5099.50219203297
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",147.193985184827,0.0335928438945291,147.140282261193,147.17040554004,147.196963579346,147.22397724405,147.23554543068
"Hides","Oxen",564.285021382792,0.000561720619358213,564.284258340321,564.284705490297,564.284924838887,564.285414032728,564.285909253747
"Milk","Overall",15439252.882497,4040783.40696508,8743353.81489415,12302864.7721821,16075280.3553271,17391048.8482263,22485123.0903027
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1163538575.95459,38350023.4893919,1109887141.75109,1136834208.07975,1162958724.26344,1185073041.86927,1235292549.75207
"Cml Dry Matter","Neonatal Female",43926077.4912853,1408688.12816794,42485657.1454276,42874708.0419348,43564554.3876058,44167914.1393257,46791853.1667207
"Cml Dry Matter","Neonatal Male",37661918.5386809,3264253.74482893,32854371.5614717,36028120.2491636,36387340.0062213,39137864.6846527,43546387.4715108
"Cml Dry Matter","Neonatal Combined",81587996.0299663,3477268.50193242,76455646.120788,79221984.6319605,81870904.8299198,83032912.1716203,87789418.6445722
"Cml Dry Matter","Juvenile Female",120901797.815896,8320113.10877409,109032543.190115,114260773.305922,121606911.33687,124647319.625084,134569728.37379
"Cml Dry Matter","Juvenile Male",95296529.4392049,5646403.80940258,88730724.7865182,90013738.0441791,96113973.8418928,98461859.7194757,106330235.999575
"Cml Dry Matter","Juvenile Combined",216198327.255101,11511709.6502299,198579559.653756,208668600.443945,218922476.903928,222308440.317635,231536241.733921
"Cml Dry Matter","Adult Female",516850880.191711,24963148.3589692,474720587.9114,499389722.647882,518975808.287691,535766732.763696,548814401.391717
"Cml Dry Matter","Adult Male",76871229.9178403,3409259.7842379,71668658.4757329,75251474.0572058,76810688.4651283,78171011.6181549,84076215.176073
"Cml Dry Matter","Oxen",272030142.559973,10470035.860138,259387941.994887,264519679.351914,270466217.889319,275214771.017871,289755274.038569
"Value of Offtake","Overall",668644253.386223,133072288.090409,413753348.701342,613148995.394502,658425491.472434,749297635.856808,882766727.696794
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",-22607951.9035276,7552351.32142909,-40042626.8294668,-24603678.8379406,-22609389.2427581,-17107439.2772787,-13796058.1753354
"Value of Offtake","Juvenile Male",74885500.0445765,18682521.6747294,42566030.7816716,68093079.3391367,79757911.2285893,88552196.8178727,96112011.1687936
"Value of Offtake","Juvenile Combined",52277548.1410489,17673981.5295321,20142185.363923,45038968.0178643,53243105.2305299,64253654.0141334,80005498.8331892
"Value of Offtake","Adult Female",-106587990.628313,16874299.4164666,-126440902.935017,-120984685.463806,-106919517.462524,-100779304.323411,-76610773.1117558
"Value of Offtake","Adult Male",138159881.132809,41150009.523112,93216891.0518676,108006979.108273,124711509.132324,158768371.314412,219513695.068501
"Value of Offtake","Oxen",584794814.740678,127723425.070743,398473541.688976,502210864.797749,559031589.989093,678516590.761185,820122536.863031
"Value of draught","Overall",1201698687.02174,1633.66457304801,1201696340.6712,1201697794.15579,1201698521.91876,1201699953.96286,1201701135.05084
"Value of Herd Increase","Overall",946684948.098367,168681713.398708,739717828.494449,829274356.81107,911128360.027701,1046571186.42397,1262409579.03372
"Value of Herd Increase","Neonatal Female",-50263469.4272031,14229431.9268831,-74759156.6733847,-61261451.1972747,-48230052.2311712,-37883757.1515413,-33392497.2470024
"Value of Herd Increase","Neonatal Male",47930929.3569558,21869624.3130762,26933163.286137,36505214.2811475,37767192.7337408,54030911.6378623,96915504.5788786
"Value of Herd Increase","Neonatal Combined",-2332540.07024739,30966714.9261447,-47825993.3872477,-24781710.4744614,-5008040.77572941,17513260.4148867,59120457.2186314
"Value of Herd Increase","Juvenile Female",211583612.591868,61997641.6654927,132656470.866402,153575474.564999,223774091.109167,252412769.632638,299947347.918393
"Value of Herd Increase","Juvenile Male",135556494.085486,38071522.7140032,72892324.8553627,118800991.482046,139090057.095091,156511921.010009,205725234.031542
"Value of Herd Increase","Juvenile Combined",347140106.677354,63209638.4554267,270310699.673813,291445448.692069,339970122.027434,386079847.898248,460629745.187621
"Value of Herd Increase","Adult Female",428996264.146329,61632998.7162489,351924169.537446,379318863.126973,429452045.226673,439998052.357168,542483675.75501
"Value of Herd Increase","Adult Male",772438335.461263,183745979.991643,435934363.072385,649205205.998616,793459637.31336,927817048.753625,974285574.262416
"Value of Herd Increase","Oxen",-599557218.116331,94189108.6213131,-739855666.892484,-651378083.427919,-618771069.876241,-543414099.462253,-404341268.727813
"Value of Herd Increase plus Offtake","Overall",1615329201.48459,267991197.080805,1223489674.3581,1468369610.37483,1557509411.35378,1731669498.34273,2145176306.73051
"Value of Herd Increase plus Offtake","Neonatal Female",-50263469.4272031,14229431.9268831,-74759156.6733847,-61261451.1972747,-48230052.2311712,-37883757.1515413,-33392497.2470024
"Value of Herd Increase plus Offtake","Neonatal Male",47930929.3569558,21869624.3130762,26933163.286137,36505214.2811475,37767192.7337408,54030911.6378623,96915504.5788786
"Value of Herd Increase plus Offtake","Neonatal Combined",-2332540.07024739,30966714.9261447,-47825993.3872477,-24781710.4744614,-5008040.77572941,17513260.4148867,59120457.2186314
"Value of Herd Increase plus Offtake","Juvenile Female",188975660.68834,66036835.3276864,92613844.0369356,128295167.633254,208822805.853697,227987716.363825,277523502.500644
"Value of Herd Increase plus Offtake","Juvenile Male",210441994.130062,53348252.6706277,117773183.975993,204092710.489867,215501871.131694,239059372.662711,297880285.495421
"Value of Herd Increase plus Offtake","Juvenile Combined",399417654.818403,67710027.0617591,317643910.669217,338426832.147962,401695391.371476,429141296.523139,527816369.982338
"Value of Herd Increase plus Offtake","Adult Female",322408273.518016,64630596.3660917,257088077.128102,270386851.748505,305186795.144623,355683234.4963,442727743.261965
"Value of Herd Increase plus Offtake","Adult Male",910598216.594072,181651340.341023,597753634.289691,750041790.62634,964994232.600236,1067008442.17431,1097492312.44419
"Value of Herd Increase plus Offtake","Oxen",-14762403.3756529,185017594.185743,-246550676.290841,-143262072.59691,-53032500.5597104,138064313.090544,287760430.112664
"Value of Manure","Overall",170209598.368031,5715216.97084532,160077163.090645,168508518.970221,170219705.685436,172942022.433587,178662602.920363
"Value of Manure","Neonatal Female",6681412.60224204,167109.260971591,6382445.46439867,6575412.25509257,6696412.13748549,6817044.18230773,6869736.96056508
"Value of Manure","Neonatal Male",5383106.72134816,122489.094692282,5221318.73729629,5299008.61676105,5382174.84095267,5446251.59847686,5622438.57281886
"Value of Manure","Neonatal Combined",12064519.3235902,253120.774699574,11603764.201695,11895744.8693055,12078610.5528719,12244567.3540165,12487464.9891481
"Value of Manure","Juvenile Female",16153079.8655232,480485.483674629,15627537.2035209,15730548.8358205,16127097.3179221,16408141.7218346,17059131.2310241
"Value of Manure","Juvenile Male",12110631.1216638,275985.281772229,11536248.0110097,11932416.6204628,12225787.9872812,12312853.5616653,12359836.7294192
"Value of Manure","Juvenile Combined",28263710.987187,462939.992320437,27904283.8148212,27993683.6093141,28032822.8566393,28435245.6866113,29397927.5078877
"Value of Manure","Adult Female",82258905.5704024,5877921.73777649,71187162.3868963,79458674.0493483,82308642.821929,86998588.3124291,90646392.0609292
"Value of Manure","Adult Male",10652441.5847505,573310.257584647,9847197.50529437,10347856.5463027,10541850.1356882,10958666.5102429,11626139.5331131
"Value of Manure","Oxen",36970020.9021012,2140833.66366359,32752601.2750763,35698696.0086293,37383891.6400636,38016494.0315889,40638503.9218362
"Value of Hides","Overall",331920.02396445,3275.73755551602,326541.416166385,330096.916456251,332240.200985836,334234.067860101,335884.403392691
"Value of Hides","Juvenile Female",195232.061580526,2542.47786988573,192042.957091658,193072.985007168,195190.330045995,197466.820847001,198869.28917901
"Value of Hides","Juvenile Male",115562.994952608,3301.58917192914,110667.429678104,114231.478273779,114833.871593339,116811.260878579,122636.978105396
"Value of Hides","Juvenile Combined",310795.056533134,3277.71776166672,305414.016654855,308966.761488987,311117.968002821,313107.568993802,314763.334537108
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",10057.5511616559,2.29535021903608,10053.8817189046,10055.9399987845,10057.7546710263,10059.6004754896,10060.3909128756
"Value of Hides","Oxen",11067.4162696596,2.52582322977128,11063.378383125,11065.6433321036,11067.6402131306,11069.6713523234,11070.5411564581
"Value of Milk","Overall",478616839.357408,125264285.615918,271043968.261719,381388807.937644,498333691.015141,539122514.295017,697038815.799384
"Total Production Value","Overall",3466186246.25573,288486744.851029,2967361117.53858,3328176208.50241,3417549730.59476,3632917980.90134,3892612030.38172
"Total Production Value","Neonatal Female",-43582056.8249611,14199790.8880972,-68128366.0715671,-54518263.183419,-41454541.820288,-31438114.9006083,-26527470.8306732
"Total Production Value","Neonatal Male",53314036.0783039,21840619.3950979,32185707.4987353,41825825.1351165,43295920.8698096,59378247.9976221,102136823.316175
"Total Production Value","Neonatal Combined",9731979.25334281,30897683.1655116,-35942658.5728318,-12763251.1767733,7070569.77714252,29537678.5686894,70724221.4203264
"Total Production Value","Juvenile Female",205323972.615444,66265895.3693943,108603884.069809,144451401.416115,225191329.439755,244898000.260587,294196504.307151
"Total Production Value","Juvenile Male",222668188.246679,53544292.6417444,129717376.035912,216366065.449328,227975880.520741,251406296.260599,310337451.073475
"Total Production Value","Juvenile Combined",427992160.862123,68050715.5704987,345983618.691287,366741779.925646,430306780.344678,457718451.982001,557527116.43777
"Total Production Value","Adult Female",883284018.445826,145405032.479671,620062848.983272,782493988.376611,906456696.445194,980900337.737989,1092283703.16381
