"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18804.0685830911,4.50762025064275,18788.2499468513,18801.0466516304,18804.2566833134,18807.2000362786,18815.3686825732
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2357.05712712998,1.73639790251213,-2361.47866660226,-2358.31010200503,-2357.21769941363,-2355.91832086971,-2350.89460515365
"Num Offtake","Juvenile Male",4736.87770203071,3.38665552571967,4724.78275413199,4734.57567498718,4737.07306146578,4739.33479596992,4746.91227832937
"Num Offtake","Juvenile Combined",2379.82057490073,3.71568941841969,2366.92571702535,2377.23444458213,2379.99635530376,2382.41108842334,2389.14401296691
"Num Offtake","Adult Female",-6855.11409716446,0.206173814650155,-6855.59609259435,-6855.26374109156,-6855.13485993664,-6854.9823573326,-6854.3706339331
"Num Offtake","Adult Male",4844.79047273962,0.799447614296226,4841.99198421116,4844.27516401564,4844.84332681712,4845.38481135496,4846.83024267231
"Num Offtake","Oxen",18434.5716326152,0.00963744182187362,18434.5390320409,18434.5656887893,18434.5726854854,18434.578978611,18434.592971376
"Cml Pop Growth","Overall",55020.6004558026,542.933133030134,52934.8662517432,54649.53795352,55040.9395935435,55398.5840397473,56762.6480975719
"Cml Pop Growth","Neonatal Female",-8082.80337696,273.767745429972,-9000.20028537611,-8274.29779645225,-8067.88553571763,-7877.07881759901,-7406.64746468164
"Cml Pop Growth","Neonatal Male",4031.80173967408,236.760667163935,3283.11316764867,3878.09987678059,4046.53921065923,4194.24491049665,4787.304869473
"Cml Pop Growth","Neonatal Combined",-4051.00163728592,360.085576943944,-5366.60593623529,-4293.6793098943,-4054.14066613043,-3812.16117664452,-2987.30318265685
"Cml Pop Growth","Juvenile Female",19916.1527743471,148.424816367864,19438.1061981942,19812.0575832214,19920.3930977712,20023.5013878274,20302.1676737648
"Cml Pop Growth","Juvenile Male",11727.2529727592,109.252558323625,11363.0947950212,11655.337854401,11729.0446668725,11806.8662243939,12108.3588191268
"Cml Pop Growth","Juvenile Combined",31643.4057471064,191.022125086158,30984.0474569138,31520.1581160884,31651.4437757296,31777.1472794564,32300.0057486334
"Cml Pop Growth","Adult Female",22527.3398813198,28.4496720212303,22426.4485362798,22508.7574993983,22529.9014551028,22547.8884570258,22599.853994807
"Cml Pop Growth","Adult Male",22239.4266536286,19.9883776544435,22168.0880740651,22225.8095709837,22240.4648008401,22253.8906875544,22299.0414726384
"Cml Pop Growth","Oxen",-17338.5701889663,0.357041072195781,-17339.8206126812,-17338.7990848344,-17338.5468070915,-17338.3066524501,-17337.6562051311
"Total Number Increase","Overall",73824.6690388937,543.700241011918,71734.4673816142,73453.3325364161,73843.9955539888,74201.8962308572,75576.3876360509
