"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18738.7098694136,4.73714959308179,18725.1192091555,18735.6307060152,18738.8366016292,18741.7662536579,18752.6206125363
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2311.55986947148,1.66293853687827,-2317.22740206431,-2312.672472176,-2311.56708755761,-2310.42661594399,-2306.53874703666
"Num Offtake","Juvenile Male",4647.70892730848,3.26769127514956,4638.22951390779,4645.48979132996,4647.72582012308,4650.05121823528,4656.81109723604
"Num Offtake","Juvenile Combined",2336.149057837,3.66024640753898,2325.75002323182,2333.83969670562,2336.2617379113,2338.54541968171,2347.13114955941
"Num Offtake","Adult Female",-6847.96760856586,0.279346576136142,-6848.87015601683,-6848.16150390527,-6847.96545354766,-6847.78221609303,-6847.13848530037
"Num Offtake","Adult Male",4816.53915510502,1.09466014108686,4813.50603695488,4815.7636047598,4816.57074340055,4817.34010985159,4819.66234445513
"Num Offtake","Oxen",18433.9892650374,0.0181318721949757,18433.939468893,18433.9766936286,18433.9890487403,18434.002364505,18434.0413039237
"Cml Pop Growth","Overall",57945.637768936,163.38671790402,57442.153523176,57836.6602703944,57945.3988141614,58054.3160864811,58642.5206966742
"Cml Pop Growth","Neonatal Female",-3508.40828993963,17.4074809609152,-3562.79926340198,-3520.23967691275,-3508.59156370544,-3496.05047991542,-3454.65630700575
"Cml Pop Growth","Neonatal Male",7818.70813237326,17.4074809609149,7764.3171589109,7806.87674540013,7818.52485860745,7831.06594239746,7872.46011530715
"Cml Pop Growth","Neonatal Combined",4310.29984243363,34.8149619218301,4201.51789550892,4286.63706848739,4309.93329490201,4335.01546248204,4417.8038083014
"Cml Pop Growth","Juvenile Female",17430.2475537397,102.996403847109,17103.1306149018,17364.0177525984,17430.8197251437,17499.2239713212,17832.4301291502
"Cml Pop Growth","Juvenile Male",10044.4182892055,74.5217282399223,9816.54470838071,9997.53279941785,10044.6963184746,10091.758650433,10286.6948522428
"Cml Pop Growth","Juvenile Combined",27474.6658429452,128.89792415356,27072.3777001192,27387.0944486245,27479.899658511,27563.1583186875,27998.3064396077
"Cml Pop Growth","Adult Female",21786.5214480302,27.0709176376407,21704.8628198766,21768.1233455571,21786.7038632003,21804.5923092176,21878.8504958472
"Cml Pop Growth","Adult Male",21725.0753455693,18.8542881038583,21670.0699947554,21712.1405029145,21724.9737124287,21738.270679468,21777.8871441195
"Cml Pop Growth","Oxen",-17350.9247100425,0.483887073292701,-17352.2646234888,-17351.2694029244,-17350.9088648152,-17350.5695112541,-17349.5458174244
"Total Number Increase","Overall",76684.3476383495,164.066861787117,76176.5304322522,76573.8834407351,76685.4710829076,76795.6641106306,77384.5161238472
"Total Number Increase","Neonatal Female",-3508.40828993963,17.4074809609152,-3562.79926340198,-3520.23967691275,-3508.59156370544,-3496.05047991542,-3454.65630700575
"Total Number Increase","Neonatal Male",7818.70813237326,17.4074809609149,7764.3171589109,7806.87674540013,7818.52485860745,7831.06594239746,7872.46011530715
"Total Number Increase","Neonatal Combined",4310.29984243363,34.8149619218301,4201.51789550892,4286.63706848739,4309.93329490201,4335.01546248204,4417.8038083014
"Total Number Increase","Juvenile Female",15118.6876842682,101.771952502792,14795.2773714735,15053.0134376273,15119.5632057909,15187.0899358786,15515.5353418288
"Total Number Increase","Juvenile Male",14692.127216514,76.9108995492168,14456.8915238511,14643.5517216216,14691.7762039658,14741.0549331603,14943.5059494788
"Total Number Increase","Juvenile Combined",29810.8149007822,129.319679321054,29406.0452619853,29723.7909144258,29816.9554990415,29900.8226984728,30336.3288513987
"Total Number Increase","Adult Female",14938.5538394644,26.8077107905044,14857.7243345762,14920.3535352847,14938.7799059922,14956.453254387,15030.0115937099
"Total Number Increase","Adult Male",26541.6145006744,19.8843560356463,26483.8425704201,26528.0854592534,26541.6677497699,26555.6709617518,26597.1076604508
"Total Number Increase","Oxen",1083.06455499491,0.501566597946887,1081.67484540419,1082.70899529028,1083.07911185276,1083.43171348389,1084.49548649935
"Total Mortality","Overall",16141.8247483121,155.24139201429,15513.9822036651,16038.5431391188,16139.8591322977,16250.0974498945,16646.2868250046
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",5787.87509748575,123.348983800704,5317.61387568054,5705.77717255333,5790.76110974222,5866.87126393235,6166.61271828135
"Total Mortality","Juvenile Male",4365.13617177374,92.7621905885214,4077.85853738333,4305.76202979558,4367.13157959259,4425.87279525926,4664.80608193338
"Total Mortality","Juvenile Combined",10153.0112692595,155.362039930921,9524.53378887859,10049.4838315618,10151.0335035043,10261.2363349872,10657.9910689653
"Total Mortality","Adult Female",4565.31173904391,0.186231050757435,4564.75899020024,4565.18814406202,4565.31030236511,4565.44100260351,4565.91343734456
"Total Mortality","Adult Male",294.890152353368,0.067020008637969,294.704451242135,294.842669679171,294.892086330646,294.939190399077,295.081368027865
"Total Mortality","Oxen",1128.61158765535,0.00111011462418001,1128.60853891181,1128.61081797726,1128.61157441267,1128.61238966357,1128.61477370962
"Value of Total Mortality","Overall",187492519.98674,1715467.52105154,181531118.483419,186344014.706687,187505166.617207,188642918.689667,192275364.485872
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",43387577.127251,924659.474864256,39862363.6961782,42772147.4591955,43409211.5055434,43979755.1212005,46226703.3102606
"Value of Total Mortality","Juvenile Male",67476351.8264277,1433919.57593795,63035609.0941994,66558545.2939726,67507196.8756367,68415219.6220212,72108654.575762
"Value of Total Mortality","Juvenile Combined",110863928.953679,1716950.64521739,104893005.81088,109715160.090393,110877706.760744,112017348.242611,115654508.961786
"Value of Total Mortality","Adult Female",69037252.3382022,2816.21076045976,69028893.5965476,69035383.31842,69037230.612554,69039207.0789719,69046351.3000668
"Value of Total Mortality","Adult Male",4340454.65143965,986.459893321944,4337721.33788002,4339755.75935242,4340483.11743148,4341176.43686346,4343269.13322947
"Value of Total Mortality","Oxen",36326588.1339346,35.731226912032,36326490.0041156,36326563.3603284,36326587.707693,36326613.9481497,36326690.68337
"Population Liveweight (kg)","Overall",133753815.967579,10616018.9974183,100673394.966143,126811727.864932,133446060.469211,140992790.700917,163740835.735213
"Population Liveweight (kg)","Neonatal Female",4868802.05577685,1031179.35003985,1803715.36378876,4140378.37772334,4951164.25612659,5668373.57006688,6826870.62726532
"Population Liveweight (kg)","Neonatal Male",6047914.75438723,1471706.59582108,1944825.05483012,5013042.67935131,6162687.55795573,7202803.67585139,9226910.98396461
"Population Liveweight (kg)","Juvenile Female",14349665.6214125,3029965.53115036,8215309.58545931,11951764.5724842,14158372.7653393,16426892.2591232,22180275.7721572
"Population Liveweight (kg)","Juvenile Male",11765437.7739799,2529215.65979733,6456223.28802468,9891686.81425641,11529322.6717125,13406326.6823821,19902907.3822158
"Population Liveweight (kg)","Juvenile Combined",26115103.3953924,3933707.12134983,15185037.1636225,23234960.6935888,25986637.4485789,28796395.7516454,38324514.86672
"Population Liveweight (kg)","Adult Female",58244865.7948785,8477155.8339974,37366840.2711065,51951782.1151484,58173772.7819919,64117804.0874357,78959295.8235297
"Population Liveweight (kg)","Adult Male",10878079.0333366,1721386.18395103,7164764.01060055,9592116.90122184,10740733.8192532,12077183.1770706,15952327.9173699
"Population Liveweight (kg)","Oxen",27599050.9338075,4490606.47746816,18161912.8097592,24078056.2140323,27289360.0936283,30866895.1941034,39678135.150914
"Offtake Liveweight (kg)","Overall",4931195.54966287,895594.352381897,2853117.93476744,4284960.11369665,4877267.6184678,5571503.34406963,7673450.38320727
"Offtake Liveweight (kg)","Juvenile Female",-390110.174003097,81348.0390976843,-609705.344806059,-450037.406299335,-389523.348284105,-320363.671675622,-216962.670305009
"Offtake Liveweight (kg)","Juvenile Male",839724.620673411,179701.762507395,472907.405315551,700276.93844793,831102.414549626,957341.509219015,1387550.7804401
"Offtake Liveweight (kg)","Adult Female",-1646887.8064887,243311.937529712,-2303835.41087216,-1825447.66516198,-1652890.63414733,-1467575.59957507,-1060627.32960441
"Offtake Liveweight (kg)","Adult Male",1276767.6742466,206746.711979725,841605.932217083,1117392.23454369,1263896.82850781,1416637.22540987,1842068.6272917
"Offtake Liveweight (kg)","Oxen",4851701.23523465,807280.696874574,3232161.37246886,4234587.35894418,4787376.4741242,5455790.5024637,7181971.67530856
"Meat (kg)","Overall",16128755.8773648,954372.803779453,12836870.2713801,15510646.9408935,16097051.8380292,16768068.1543245,18843808.7235736
"Manure","Overall",337339702.401058,10413478.2070222,305163593.860381,330363381.250175,337578208.143065,344497988.153613,367377610.970599
"Manure","Neonatal Female",13836365.5131133,340165.327323964,12697496.7758166,13617075.7342885,13840813.8851949,14062596.277299,14836618.1906052
"Manure","Neonatal Male",11400582.0939181,289151.393772334,10565282.7325947,11185639.9533665,11398501.384719,11593695.8283904,12439971.9280892
"Manure","Neonatal Combined",25236947.6070314,433512.327810012,23585523.0089936,24962650.0804932,25245412.582547,25526940.5664411,26420066.0892507
"Manure","Juvenile Female",32506065.0147416,1085951.06762762,29451065.4532709,31776053.6682109,32467562.9873648,33231822.2356205,35685359.1179895
