"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549142.8587818,324.472793829053,6548100.86387807,6548930.11726207,6549153.89480178,6549363.45754675,6550144.96430507
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94077.144714092,99.2708653182273,93716.0154282278,94009.662890466,94080.9476004487,94146.183897979,94381.5508482731
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94077.144714092,99.2708653182273,93716.0154282278,94009.662890466,94080.9476004487,94146.183897979,94381.5508482731
"Num Offtake","Adult Female",1152124.3579813,52.6149829065539,1151945.41027367,1152089.62408141,1152124.88620414,1152162.54913518,1152282.70545051
"Num Offtake","Adult Male",833408.72875705,230.025470192269,832675.04470238,833251.503388979,833408.372135522,833566.557465642,834168.82086907
"Num Offtake","Oxen",4469532.62732936,10.5896498518844,4469502.07478921,4469525.41471571,4469532.55390477,4469539.87694862,4469567.13560451
"Cml Pop Growth","Overall",-1129804.24009003,61608.4032140414,-1338112.61187287,-1169928.29068273,-1129220.37721904,-1090970.01251911,-871931.033357888
"Cml Pop Growth","Neonatal Female",55171.2834168661,20326.7345331307,-23850.3580049383,41716.1843766689,55051.6787935095,68626.4625599475,136869.744044792
"Cml Pop Growth","Neonatal Male",-251369.128764162,20326.7345331307,-330390.770185968,-264824.227804361,-251488.733387517,-237913.949621082,-169670.668136236
"Cml Pop Growth","Neonatal Combined",-196197.845347296,40653.4690662615,-354241.128190906,-223108.043427692,-196437.054594007,-169287.487061134,-32800.9240914444
"Cml Pop Growth","Juvenile Female",1214866.63615154,12295.8386391279,1172196.92258092,1207134.12482578,1215406.35722401,1222859.42691592,1254650.62367694
"Cml Pop Growth","Juvenile Male",1065228.54140148,13171.4655267315,1019980.12921253,1056959.260698,1065205.3169635,1073925.2814102,1114056.67177773
"Cml Pop Growth","Juvenile Combined",2280095.17755301,23097.1401988978,2205433.87408355,2265669.65054807,2280893.45859584,2295213.47058791,2361004.84860412
"Cml Pop Growth","Adult Female",-749106.540651061,2540.48044592711,-758355.520502275,-750811.752904997,-748975.602554212,-747341.059477151,-741331.762055708
"Cml Pop Growth","Adult Male",1512449.18983281,2525.58115299553,1504648.1415415,1510624.3800908,1512523.71166593,1514181.37179422,1521707.08759482
"Cml Pop Growth","Oxen",-3977044.22147749,167.881171101793,-3977581.85303009,-3977158.50592733,-3977042.50135404,-3976927.600164,-3976488.42072285
"Total Number Increase","Overall",5419338.61869178,61788.6499963719,5210847.07641587,5378958.83694578,5420150.60181507,5458332.72983078,5678073.05347645
"Total Number Increase","Neonatal Female",55171.2834168661,20326.7345331307,-23850.3580049383,41716.1843766689,55051.6787935095,68626.4625599475,136869.744044792
"Total Number Increase","Neonatal Male",-251369.128764162,20326.7345331307,-330390.770185968,-264824.227804361,-251488.733387517,-237913.949621082,-169670.668136236
"Total Number Increase","Neonatal Combined",-196197.845347296,40653.4690662615,-354241.128190906,-223108.043427692,-196437.054594007,-169287.487061134,-32800.9240914444
"Total Number Increase","Juvenile Female",1308943.78086563,12380.7809938363,1265912.93800915,1301183.41978709,1309429.59232723,1316954.73991718,1349001.18495977
"Total Number Increase","Juvenile Male",1065228.54140148,13171.4655267315,1019980.12921253,1056959.260698,1065205.3169635,1073925.2814102,1114056.67177773
"Total Number Increase","Juvenile Combined",2374172.3222671,23172.1603465014,2299316.06476426,2359654.99378313,2374997.33174576,2389334.58923767,2455334.69224063
"Total Number Increase","Adult Female",403017.817330239,2590.26136229775,393589.889771394,401265.586714789,403130.647659073,404808.181465865,410950.943394805
"Total Number Increase","Adult Male",2345857.91858986,2740.31783737618,2337323.18624388,2343908.44524998,2345883.20618724,2347729.01114576,2355807.59207494
"Total Number Increase","Oxen",492488.405851874,178.114424734245,491920.221759122,492366.69682814,492488.215936975,492610.631554269,493077.001627713
"Total Mortality","Overall",1342482.23843836,12672.9619687541,1302737.2058019,1333741.4112971,1342685.51610507,1350894.14081657,1385087.91867649
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",380783.270233283,8281.08039580874,353619.924249891,375230.893030429,380465.549711993,386894.417922491,407548.833391354
"Total Mortality","Juvenile Male",452458.083488429,9907.9209100346,410339.777331013,446084.574511342,452858.193371124,458983.269596067,487220.755012729
"Total Mortality","Juvenile Combined",833241.353721712,12680.7780060213,793494.339939982,824484.69763309,833433.525572263,841680.625906781,875866.009795392
"Total Mortality","Adult Female",326380.837955042,14.9050943078051,326330.144553447,326370.998323346,326380.987593242,326391.656978804,326425.695595046
"Total Mortality","Adult Male",28738.2320261052,7.93191276525063,28712.9325759441,28732.8104616889,28738.2197288111,28743.674395367,28764.4420989334
"Total Mortality","Oxen",154121.814735495,0.365160339721208,154120.761199628,154121.56602468,154121.812203613,154122.064722366,154123.004676017
"Population Liveweight (kg)","Overall",5739524599.98537,1659189940.53787,602579241.374676,4581723055.52365,5713016890.15416,6906516623.3388,9934623795.70937
"Population Liveweight (kg)","Neonatal Female",194887536.990272,111995102.554395,4231925.94888815,101345271.961612,196539938.74825,293521373.079609,384981198.572303
"Population Liveweight (kg)","Neonatal Male",205609063.948808,115808302.112961,4367857.05638425,105300777.61492,207846913.616107,307337462.717498,399618531.80179
"Population Liveweight (kg)","Juvenile Female",490104653.477266,276810049.568023,5662069.32528548,245447832.623416,497761157.950953,723523737.957143,969386514.674609
"Population Liveweight (kg)","Juvenile Male",579444230.695825,322466407.661546,6536813.56301048,311788606.670165,584013269.365342,866725480.417295,1117487810.60105
"Population Liveweight (kg)","Juvenile Combined",1069548884.17309,418082873.230493,38468317.0818609,768033787.127966,1073941117.02387,1357698096.44073,2018061406.42693
"Population Liveweight (kg)","Adult Female",2062107837.1448,1158310435.8541,15973985.7057709,1070728011.7929,2093351263.48563,3024045596.73152,4074439932.43431
"Population Liveweight (kg)","Adult Male",466117215.131939,271181023.169438,3668146.41451397,227700257.577263,468100238.076024,702485899.035772,936821045.472446
"Population Liveweight (kg)","Oxen",1741254062.59647,983914752.369119,13386461.11743,896893289.268313,1820569474.51232,2613738259.30211,3413583352.46495
"Offtake Liveweight (kg)","Overall",847642317.288469,354119492.635493,88059391.5864557,551978233.45462,854202283.013815,1141231292.00131,1597368149.76508
"Offtake Liveweight (kg)","Juvenile Female",8039279.7745377,4647964.38205864,93966.7916555495,3947134.99000419,7910240.51484433,12220356.9559231,16009965.9356324
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",151395886.114578,83874467.2353373,1152117.35676181,78345359.3278346,153239422.091764,226109681.116371,293802386.155455
"Offtake Liveweight (kg)","Adult Male",109098745.65717,60806682.2150781,833415.983485804,60625247.0385153,108347809.874331,160830046.954945,212552147.848478
"Offtake Liveweight (kg)","Oxen",579108405.742184,336582277.356522,4469515.80206381,286050833.668774,574334799.133848,902845413.325651,1139736033.67232
"Meat (kg)","Overall",2770432251.64275,374796977.845122,1620577045.13932,2519952331.42109,2763812665.37573,3012938463.50392,3771968227.12582
"Manure","Overall",30190837025.1813,971632874.142704,26927766840.118,29531498160.5943,30180711573.4802,30840630549.4392,32962944288.1531
"Manure","Neonatal Female",993230651.700319,24866054.8204891,916672527.792797,976006154.954195,992977043.150268,1010170228.99401,1069009934.27676
"Manure","Neonatal Male",1056917431.74879,27561756.9353134,969118744.064919,1037914180.54898,1056268564.73188,1076309552.13454,1138258090.70904
"Manure","Neonatal Combined",2050148083.44911,37423523.4305585,1930678522.4212,2024345215.78223,2050554903.15079,2075667503.28411,2165778532.09452
"Manure","Juvenile Female",2150399332.02209,69952844.6260482,1956210546.51786,2098830348.19589,2149854536.72255,2198456749.26425,2372146754.37059
"Manure","Juvenile Male",2539367631.14245,82214781.9260793,2295923655.42199,2482917091.45175,2538509754.06078,2597688761.80877,2765716267.86529
"Manure","Juvenile Combined",4689766963.16454,105438640.712618,4363278502.08489,4615510621.83741,4686288061.89691,4760404310.70399,5017411789.12121
