"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1716496.70916667,NA,1716496.70916667,1716496.70916667,1716496.70916667,1716496.70916667,1716496.70916667
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",30179.261666667,NA,30179.261666667,30179.261666667,30179.261666667,30179.261666667,30179.261666667
"Num Offtake","Juvenile Male",131224.839999998,NA,131224.839999998,131224.839999998,131224.839999998,131224.839999998,131224.839999998
"Num Offtake","Juvenile Combined",161404.101666665,NA,161404.101666665,161404.101666665,161404.101666665,161404.101666665,161404.101666665
"Num Offtake","Adult Female",198776.485000011,NA,198776.485000011,198776.485000011,198776.485000011,198776.485000011,198776.485000011
"Num Offtake","Adult Male",1356316.1225,NA,1356316.1225,1356316.1225,1356316.1225,1356316.1225,1356316.1225
"Cml Pop Growth","Overall",2081345.36505226,NA,2081345.36505226,2081345.36505226,2081345.36505226,2081345.36505226,2081345.36505226
"Cml Pop Growth","Neonatal Female",-309061.693862754,NA,-309061.693862754,-309061.693862754,-309061.693862754,-309061.693862754,-309061.693862754
"Cml Pop Growth","Neonatal Male",256285.681137244,NA,256285.681137244,256285.681137244,256285.681137244,256285.681137244,256285.681137244
"Cml Pop Growth","Neonatal Combined",-52776.0127255109,NA,-52776.0127255109,-52776.0127255109,-52776.0127255109,-52776.0127255109,-52776.0127255109
"Cml Pop Growth","Juvenile Female",-91603.2366666726,NA,-91603.2366666726,-91603.2366666726,-91603.2366666726,-91603.2366666726,-91603.2366666726
"Cml Pop Growth","Juvenile Male",260963.126666683,NA,260963.126666683,260963.126666683,260963.126666683,260963.126666683,260963.126666683
"Cml Pop Growth","Juvenile Combined",169359.89000001,NA,169359.89000001,169359.89000001,169359.89000001,169359.89000001,169359.89000001
"Cml Pop Growth","Adult Female",1317282.90611108,NA,1317282.90611108,1317282.90611108,1317282.90611108,1317282.90611108,1317282.90611108
"Cml Pop Growth","Adult Male",647478.581666682,NA,647478.581666682,647478.581666682,647478.581666682,647478.581666682,647478.581666682
"Total Number Increase","Overall",3797842.07421893,NA,3797842.07421893,3797842.07421893,3797842.07421893,3797842.07421893,3797842.07421893
"Total Number Increase","Neonatal Female",-309061.693862754,NA,-309061.693862754,-309061.693862754,-309061.693862754,-309061.693862754,-309061.693862754
"Total Number Increase","Neonatal Male",256285.681137244,NA,256285.681137244,256285.681137244,256285.681137244,256285.681137244,256285.681137244
"Total Number Increase","Neonatal Combined",-52776.0127255109,NA,-52776.0127255109,-52776.0127255109,-52776.0127255109,-52776.0127255109,-52776.0127255109
"Total Number Increase","Juvenile Female",-61423.9750000056,NA,-61423.9750000056,-61423.9750000056,-61423.9750000056,-61423.9750000056,-61423.9750000056
"Total Number Increase","Juvenile Male",392187.966666681,NA,392187.966666681,392187.966666681,392187.966666681,392187.966666681,392187.966666681
"Total Number Increase","Juvenile Combined",330763.991666675,NA,330763.991666675,330763.991666675,330763.991666675,330763.991666675,330763.991666675
"Total Number Increase","Adult Female",1516059.39111109,NA,1516059.39111109,1516059.39111109,1516059.39111109,1516059.39111109,1516059.39111109
"Total Number Increase","Adult Male",2003794.70416668,NA,2003794.70416668,2003794.70416668,2003794.70416668,2003794.70416668,2003794.70416668
"Total Mortality","Overall",2869696.6825,NA,2869696.6825,2869696.6825,2869696.6825,2869696.6825,2869696.6825
"Total Mortality","Neonatal Female",1087589.47499999,NA,1087589.47499999,1087589.47499999,1087589.47499999,1087589.47499999,1087589.47499999
"Total Mortality","Neonatal Male",941017.933333327,NA,941017.933333327,941017.933333327,941017.933333327,941017.933333327,941017.933333327
"Total Mortality","Neonatal Combined",2028607.40833331,NA,2028607.40833331,2028607.40833331,2028607.40833331,2028607.40833331,2028607.40833331
"Total Mortality","Juvenile Female",150896.308333336,NA,150896.308333336,150896.308333336,150896.308333336,150896.308333336,150896.308333336
"Total Mortality","Juvenile Male",109354.033333334,NA,109354.033333334,109354.033333334,109354.033333334,109354.033333334,109354.033333334
"Total Mortality","Juvenile Combined",260250.341666669,NA,260250.341666669,260250.341666669,260250.341666669,260250.341666669,260250.341666669
"Total Mortality","Adult Female",397552.970000022,NA,397552.970000022,397552.970000022,397552.970000022,397552.970000022,397552.970000022
"Total Mortality","Adult Male",183285.962499997,NA,183285.962499997,183285.962499997,183285.962499997,183285.962499997,183285.962499997
"Population Liveweight (kg)","Overall",525865320.813219,NA,525865320.813219,525865320.813219,525865320.813219,525865320.813219,525865320.813219
"Population Liveweight (kg)","Neonatal Female",17060059.7615175,NA,17060059.7615175,17060059.7615175,17060059.7615175,17060059.7615175,17060059.7615175
"Population Liveweight (kg)","Neonatal Male",16707259.359188,NA,16707259.359188,16707259.359188,16707259.359188,16707259.359188,16707259.359188
"Population Liveweight (kg)","Juvenile Female",27387728.8308201,NA,27387728.8308201,27387728.8308201,27387728.8308201,27387728.8308201,27387728.8308201
"Population Liveweight (kg)","Juvenile Male",23465194.1716146,NA,23465194.1716146,23465194.1716146,23465194.1716146,23465194.1716146,23465194.1716146
"Population Liveweight (kg)","Juvenile Combined",50852923.0024347,NA,50852923.0024347,50852923.0024347,50852923.0024347,50852923.0024347,50852923.0024347
"Population Liveweight (kg)","Adult Female",314240289.275919,NA,314240289.275919,314240289.275919,314240289.275919,314240289.275919,314240289.275919
"Population Liveweight (kg)","Adult Male",127004789.41416,NA,127004789.41416,127004789.41416,127004789.41416,127004789.41416,127004789.41416
