"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6546044.2994585,379.080473047309,6544533.94780304,6545790.45003023,6546048.17296243,6546307.03266452,6547354.68224218
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93069.1633258404,127.112301607677,92569.4294003243,92984.2371739293,93069.4351698953,93155.556324513,93527.0426417908
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93069.1633258404,127.112301607677,92569.4294003243,92984.2371739293,93069.4351698953,93155.556324513,93527.0426417908
"Num Offtake","Adult Female",1151740.86058076,63.4161997398826,1151505.83833545,1151698.40220513,1151740.88091972,1151784.43720176,1151961.45661982
"Num Offtake","Adult Male",831754.037801274,273.407516399171,830625.224286998,831571.192176645,831760.242081264,831941.626995133,832711.785272449
"Num Offtake","Oxen",4469480.23775063,11.749858133633,4469433.77247948,4469472.21732206,4469480.5509991,4469488.35657191,4469520.09188955
"Cml Pop Growth","Overall",-2283616.9306561,76226.4264824039,-2590010.30482407,-2334905.07513049,-2283148.70308005,-2233024.62669113,-2014817.1630925
"Cml Pop Growth","Neonatal Female",-307383.370064011,29552.4413320676,-429892.573144617,-327167.264885165,-306906.56814876,-286990.228081207,-204452.47028904
"Cml Pop Growth","Neonatal Male",-637354.855571589,30139.3201828975,-742671.355634111,-657349.805320238,-637022.754665723,-617164.436080732,-514795.185986723
"Cml Pop Growth","Neonatal Combined",-944738.225635599,51026.5345597722,-1142014.45733305,-979161.805166956,-944208.50812854,-910855.341926052,-765828.222164242
"Cml Pop Growth","Juvenile Female",1046619.04801441,16210.3261109804,979404.537585989,1035923.60944098,1046731.39548528,1057608.3000386,1101453.48311025
"Cml Pop Growth","Juvenile Male",882369.57865653,17226.6591996108,808371.733383562,870983.609973285,882583.636214841,893996.94811132,953862.35302632
"Cml Pop Growth","Juvenile Combined",1928988.62667094,27571.3588816989,1814697.94872083,1910623.66752916,1928794.43473195,1947819.81864877,2027725.47382073
"Cml Pop Growth","Adult Female",-775253.591259741,3262.88417983474,-788172.131410385,-777433.747379278,-775252.387212358,-773035.259031154,-763508.739090428
"Cml Pop Growth","Adult Male",1485660.09687831,3248.98399069792,1472035.91642383,1483507.52934595,1485700.63276006,1487907.25434411,1498395.16186366
"Cml Pop Growth","Oxen",-3978273.83731001,200.377003963894,-3979101.57337678,-3978408.32073928,-3978268.32780839,-3978136.47022876,-3977571.98579505
"Total Number Increase","Overall",4262427.3688024,76451.7485689677,3954523.64297897,4210980.72078992,4262860.7131391,4313185.36917912,4532375.90277348
"Total Number Increase","Neonatal Female",-307383.370064011,29552.4413320676,-429892.573144617,-327167.264885165,-306906.56814876,-286990.228081207,-204452.47028904
"Total Number Increase","Neonatal Male",-637354.855571589,30139.3201828975,-742671.355634111,-657349.805320238,-637022.754665723,-617164.436080732,-514795.185986723
"Total Number Increase","Neonatal Combined",-944738.225635599,51026.5345597722,-1142014.45733305,-979161.805166956,-944208.50812854,-910855.341926052,-765828.222164242
"Total Number Increase","Juvenile Female",1139688.21134025,16323.0209630358,1071973.96698631,1128901.07807996,1139790.02186799,1150772.3528429,1194924.74881284
"Total Number Increase","Juvenile Male",882369.57865653,17226.6591996108,808371.733383562,870983.609973285,882583.636214841,893996.94811132,953862.35302632
"Total Number Increase","Juvenile Combined",2022057.78999678,27662.7305920201,1907332.43736716,2003639.43250795,2021869.65386849,2040927.69565694,2121102.89755125
"Total Number Increase","Adult Female",376487.269321014,3323.18515804659,363363.002176404,374262.400788722,376486.968433739,378746.113300336,388452.717529393
"Total Number Increase","Adult Male",2317414.13467958,3507.49169926754,2302796.76810482,2315096.39778095,2317473.24973142,2319833.96331334,2331087.53872752
"Total Number Increase","Oxen",491206.400440624,211.734133176556,490332.199102703,491064.848733785,491211.101323199,491351.632777752,491948.106094502
"Total Mortality","Overall",2491373.05236672,47871.6966998321,2297822.51984659,2459031.37594578,2490846.13054507,2522943.91483999,2676683.94124008
"Total Mortality","Neonatal Female",558139.858331134,31620.6954797653,446606.655501233,536210.18904158,557232.54504551,578962.810619055,682454.241100836
"Total Mortality","Neonatal Male",597993.94184981,34096.9376967336,466609.263935061,574489.146232027,597483.895977703,620355.319377197,737453.26327002
"Total Mortality","Neonatal Combined",1156133.80018094,46414.5641127486,981893.815778097,1124691.6486001,1155096.35248275,1186402.60624234,1337477.30551599
"Total Mortality","Juvenile Female",377384.380789137,7955.87170430735,345376.770933176,371990.811955064,377374.08370361,382763.942645447,407687.482984552
"Total Mortality","Juvenile Male",448781.491016254,9470.60736852156,413835.628142395,442416.101979033,448854.948592792,455230.867118744,485776.938917107
"Total Mortality","Juvenile Combined",826165.871805391,12438.0272638477,777168.989768471,817723.174602554,826169.550050032,834662.395951088,875611.47089465
"Total Mortality","Adult Female",326272.198464803,17.9649291047814,326205.619925055,326260.170596354,326272.20422655,326284.543116645,326334.690260573
