"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556964.35887124,313.509552159281,6555644.24493666,6556754.30721508,6556967.86755944,6557181.45350125,6558018.93047535
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95753.8729368996,108.809630062032,95299.0748932472,95682.6594162226,95755.2479074405,95827.9145738524,96150.8444324263
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95753.8729368996,108.809630062032,95299.0748932472,95682.6594162226,95755.2479074405,95827.9145738524,96150.8444324263
"Num Offtake","Adult Female",1153138.84565395,48.357304226496,1152941.04844516,1153107.18213108,1153139.93604785,1153172.06501484,1153301.60568531
"Num Offtake","Adult Male",838314.062873475,205.861370195888,837425.126878717,838176.495298481,838319.36513809,838458.388274189,839071.29113075
"Num Offtake","Oxen",4469757.57740691,7.40907668876495,4469725.88478728,4469752.72536382,4469757.79410096,4469762.73395093,4469783.20990883
"Cml Pop Growth","Overall",-1462264.31687929,75699.1628708128,-1746449.04751287,-1513308.87786146,-1460980.50626064,-1410069.37695744,-1184319.10742304
"Cml Pop Growth","Neonatal Female",-303468.921807269,29594.1124441122,-424004.40640345,-323282.344889967,-303350.343269877,-283111.745985483,-198917.225369808
"Cml Pop Growth","Neonatal Male",-633788.719542684,29981.2176298634,-754949.338358269,-654182.698359964,-633347.219561923,-613024.087084451,-524285.635134914
"Cml Pop Growth","Neonatal Combined",-937257.641349954,50735.7861833263,-1127441.20274175,-971230.582045118,-937297.89222014,-902536.042451461,-747472.697335404
"Cml Pop Growth","Juvenile Female",1349722.69304798,15027.6527265394,1289794.76172268,1339807.03942258,1349851.18757514,1359960.01793227,1408818.61541596
"Cml Pop Growth","Juvenile Male",1244108.16129454,16103.8435309592,1175078.40920699,1233377.94541612,1244373.86255208,1255214.50175615,1299485.23318124
"Cml Pop Growth","Juvenile Combined",2593830.85434252,26386.3227131814,2484962.46088424,2576155.17947592,2594148.03810426,2611874.4301084,2678989.55898897
"Cml Pop Growth","Adult Female",-706688.052246326,2806.27081962805,-718451.718803065,-708524.339126919,-706653.816007909,-704775.204513696,-696410.900535859
"Cml Pop Growth","Adult Male",1561321.5881522,2833.1593613084,1548593.54474289,1559397.39859001,1561370.72469804,1563311.03764484,1571725.15302373
"Cml Pop Growth","Oxen",-3973471.06577773,152.166679685173,-3974129.04165639,-3973572.92832866,-3973467.35829434,-3973364.08413101,-3972910.07747666
"Total Number Increase","Overall",5094700.04199195,75908.0856893559,4809667.24381135,5043460.32325784,5095880.47815302,5146953.71584737,5373375.15381299
"Total Number Increase","Neonatal Female",-303468.921807269,29594.1124441122,-424004.40640345,-323282.344889967,-303350.343269877,-283111.745985483,-198917.225369808
"Total Number Increase","Neonatal Male",-633788.719542684,29981.2176298634,-754949.338358269,-654182.698359964,-633347.219561923,-613024.087084451,-524285.635134914
"Total Number Increase","Neonatal Combined",-937257.641349954,50735.7861833263,-1127441.20274175,-971230.582045118,-937297.89222014,-902536.042451461,-747472.697335404
"Total Number Increase","Juvenile Female",1445476.56598488,15128.7258373646,1385093.83661593,1435510.74342133,1445607.42731066,1455785.2358712,1504969.45984839
"Total Number Increase","Juvenile Male",1244108.16129454,16103.8435309592,1175078.40920699,1233377.94541612,1244373.86255208,1255214.50175615,1299485.23318124
"Total Number Increase","Juvenile Combined",2689584.72727942,26470.7465064885,2580347.37522202,2671857.59006421,2689893.18130094,2707653.80845437,2775067.15280173
"Total Number Increase","Adult Female",446450.793407624,2853.31757916992,434502.263580172,444585.399874037,446487.14399868,448395.81137777,456886.080276672
"Total Number Increase","Adult Male",2399635.65102567,3033.59741648633,2386018.67162161,2397581.03054238,2399687.23891882,2401768.7092112,2410796.44415448
"Total Number Increase","Oxen",496286.511629186,159.468079316215,495597.877103829,496179.94013121,496290.634431899,496398.313350776,496873.132432176
"Total Mortality","Overall",1666092.17203878,47340.0874342488,1506128.77083002,1634360.78042701,1665224.89350072,1697576.98345989,1839513.76888295
"Total Mortality","Neonatal Female",557857.696114601,32124.8044531995,455223.488445342,535648.691719611,556748.018307466,579229.701128802,676317.909016208
"Total Mortality","Neonatal Male",598529.294580486,34617.1704662112,487803.016946945,574466.237391652,597300.935452782,621466.346795778,739894.631205677
"Total Mortality","Neonatal Combined",1156386.99069509,47346.3805148714,996394.16854062,1124665.49863404,1155513.96448663,1187863.62724761,1329814.67878597
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",326668.228230581,13.6989530386668,326612.195026959,326659.258394073,326668.537124036,326677.638814403,326714.335888189
"Total Mortality","Adult Male",28907.3814783957,7.0986679377893,28876.7285130592,28902.6377689131,28907.5643151065,28912.3582163513,28933.492797612
"Total Mortality","Oxen",154129.571634721,0.255485403060715,154128.478785768,154129.40432289,154129.579106929,154129.749446584,154130.455514098
