"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6565807.01949132,381.661986677587,6564091.06851577,6565546.39434309,6565810.79805939,6566063.76448982,6567265.21786721
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93064.0008229131,126.060815699189,92422.0995988587,92980.4007610502,93065.022591428,93150.2632680775,93532.445654793
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93064.0008229131,126.060815699189,92422.0995988587,92980.4007610502,93065.022591428,93150.2632680775,93532.445654793
"Num Offtake","Adult Female",1151738.39182038,62.6018107027552,1151426.39005734,1151695.86158996,1151738.44763676,1151781.49126508,1151959.61649845
"Num Offtake","Adult Male",831746.471573005,277.915210653107,830544.193136576,831559.853150656,831748.254172633,831934.549367631,832827.628171111
"Num Offtake","Oxen",4489258.15527503,11.9730200260774,4489207.56561838,4489250.10987293,4489258.30313171,4489266.27485788,4489303.96713567
"Cml Pop Growth","Overall",-2154693.55041261,75979.054648945,-2457299.66281173,-2205437.44968916,-2153558.14367219,-2103462.28343849,-1840587.00857191
"Cml Pop Growth","Neonatal Female",-309180.003930867,29475.3645804725,-417446.67634557,-328749.162917448,-308776.77180852,-289384.202163284,-207518.489308754
"Cml Pop Growth","Neonatal Male",-639227.606920308,30287.1827952607,-751768.564073569,-659468.871916807,-638605.730572253,-618321.5737376,-524803.623678405
"Cml Pop Growth","Neonatal Combined",-948407.610851175,50850.7754191184,-1150556.70137965,-982338.588316645,-948024.243810086,-913596.648470294,-747041.109086873
"Cml Pop Growth","Juvenile Female",1045933.02297533,16172.9398233649,973130.531481396,1035040.13540737,1046230.49784976,1057018.57404489,1101150.58408571
"Cml Pop Growth","Juvenile Male",881573.794111893,17347.558042319,817900.309738182,870311.309374353,881731.322383015,893347.342852672,942320.524071975
"Cml Pop Growth","Juvenile Combined",1927506.81708722,27588.3512597864,1811315.26947747,1909180.62570822,1927514.2842235,1946217.61583105,2025890.49702613
"Cml Pop Growth","Adult Female",-775386.064875812,3236.82177713776,-791843.327027841,-777543.800609641,-775357.900268672,-773173.338103827,-763357.454305105
"Cml Pop Growth","Adult Male",1485530.92521277,3290.83193614153,1472081.90892215,1483315.17681534,1485583.38301429,1487767.35650636,1497841.63618887
"Cml Pop Growth","Oxen",-3843937.61698563,204.041046027822,-3844819.82956414,-3844074.148023,-3843936.91903276,-3843800.71668439,-3843144.60045119
"Total Number Increase","Overall",4411113.4690787,76204.4335598617,4107667.94261966,4360231.45317179,4412281.64193669,4462445.20188499,4726292.61499028
"Total Number Increase","Neonatal Female",-309180.003930867,29475.3645804725,-417446.67634557,-328749.162917448,-308776.77180852,-289384.202163284,-207518.489308754
"Total Number Increase","Neonatal Male",-639227.606920308,30287.1827952607,-751768.564073569,-659468.871916807,-638605.730572253,-618321.5737376,-524803.623678405
"Total Number Increase","Neonatal Combined",-948407.610851175,50850.7754191184,-1150556.70137965,-982338.588316645,-948024.243810086,-913596.648470294,-747041.109086873
"Total Number Increase","Juvenile Female",1138997.02379824,16284.602714462,1065552.63108026,1128033.06407317,1139279.39658279,1150164.81463578,1194588.1542774
"Total Number Increase","Juvenile Male",881573.794111893,17347.558042319,817900.309738182,870311.309374353,881731.322383015,893347.342852672,942320.524071975
"Total Number Increase","Juvenile Combined",2020570.81791014,27677.7889684695,1904155.18660492,2002169.70833682,2020549.1167761,2039362.55624533,2119422.94268092
"Total Number Increase","Adult Female",376352.326944563,3296.29828199123,359583.063029504,374157.833815677,376383.971411244,378605.578429781,388602.162193347
"Total Number Increase","Adult Male",2317277.39678578,3553.73834708132,2302626.10205873,2314885.20183071,2317318.87929403,2319686.13514432,2330498.96194425
"Total Number Increase","Oxen",645320.5382894,215.623870334292,644387.736054241,645175.748134128,645321.921340836,645466.460716267,646159.36668448
"Total Mortality","Overall",2338909.49168763,48798.7861243328,2149227.40326292,2306401.26702489,2338467.78528737,2370739.077544,2525592.19442873
"Total Mortality","Neonatal Female",559018.710073396,32590.9245853388,448959.077542916,536527.176734241,558428.698525614,580998.633884546,700058.062291062
