"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505653.66693082,52.9138942099153,505573.428749136,505615.858387212,505655.792930005,505685.19096792,505740.230920124
"Num Offtake","Neonatal Female",35701.6153617655,7.23420962437615,35690.6268146542,35696.355950532,35701.9190011854,35705.9320633453,35713.4302433957
"Num Offtake","Neonatal Male",110036.43121105,39.745059284222,109974.183477693,110007.002310331,110037.634192301,110059.59708564,110100.232757221
"Num Offtake","Neonatal Combined",145738.046572816,46.9732119202979,145664.810292347,145703.358260862,145739.553193486,145765.529148985,145813.663000617
"Num Offtake","Juvenile Female",114432.618278753,5.36483749081186,114425.399777933,114428.383140181,114432.42452026,114436.441099477,114441.898523992
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114432.618278753,5.36483749081186,114425.399777933,114428.383140181,114432.42452026,114436.441099477,114441.898523992
"Num Offtake","Adult Female",237100.440313752,0.650073479155647,237099.468989675,237099.933500212,237100.555932364,237100.889143257,237101.501629938
"Num Offtake","Adult Male",8382.56176549957,0.371201207435807,8382.00706851056,8382.27235082882,8382.62791274165,8382.81809288237,8383.16776557772
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",76571.2314906815,265.577512791677,76008.1559084733,76457.5015963099,76562.3479610174,76744.9623478474,76954.0466880871
"Cml Pop Growth","Neonatal Female",-14558.5867094587,95.2983732504573,-14769.0927120566,-14590.7273683611,-14565.0522348878,-14493.1499691753,-14419.7613700703
"Cml Pop Growth","Neonatal Male",92556.395607615,78.4513134091882,92384.0701609915,92541.1738939453,92560.1587724043,92604.0007622702,92666.7087788168
"Cml Pop Growth","Neonatal Combined",77997.8088981563,173.123499750434,77614.9774489349,77950.73763899,77994.5243107049,78111.2701840819,78246.9474087465
"Cml Pop Growth","Juvenile Female",-9935.20608547873,50.9955605624189,-10017.0632247439,-9974.31780300701,-9934.03731239773,-9906.05876475488,-9854.92494135682
"Cml Pop Growth","Juvenile Male",107942.220987337,46.8745393080124,107865.886159003,107906.344753063,107942.919233091,107968.554265681,108015.229267425
"Cml Pop Growth","Juvenile Combined",98007.0149018583,97.8642626371124,97848.8229342595,97932.0269500561,98008.8819206929,98062.4955009264,98160.3043260684
"Cml Pop Growth","Adult Female",-136528.807774638,9.38955411141946,-136541.228666408,-136536.150907128,-136528.925351933,-136522.182113285,-136512.557335029
"Cml Pop Growth","Adult Male",37095.2154653051,9.32619313550408,37082.8502644183,37087.9210374158,37095.0873258368,37101.8026375856,37111.34967638
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",582224.898421502,312.403594809474,581581.584657609,582071.842647836,582218.140891022,582420.065983239,582667.222445948
"Total Number Increase","Neonatal Female",21143.0286523068,100.592907799186,20921.5341025976,21104.4148661223,21136.8667662976,21212.6171311349,21289.9946406704
"Total Number Increase","Neonatal Male",202592.826818665,107.506297855615,202358.253638684,202546.160786149,202587.80557253,202667.463698421,202749.34548551
"Total Number Increase","Neonatal Combined",223735.855470972,207.930461364073,223279.787741282,223650.575652272,223724.672338828,223881.262174435,224039.34012618
"Total Number Increase","Juvenile Female",104497.412193274,55.9926693014114,104409.383904895,104455.32377958,104499.125456057,104530.013210625,104586.973582635
"Total Number Increase","Juvenile Male",107942.220987337,46.8745393080124,107865.886159003,107906.344753063,107942.919233091,107968.554265681,108015.229267425
"Total Number Increase","Juvenile Combined",212439.633180611,102.824525139017,212275.270063898,212361.668532644,212442.044689147,212498.567476306,212602.20285006
"Total Number Increase","Adult Female",100571.632539114,10.0051509119817,100558.240323267,100563.756573062,100571.345386969,100578.74086821,100588.944294909
"Total Number Increase","Adult Male",45477.7772308047,9.6774934061784,45464.8573329288,45470.1784912737,45477.5524690862,45484.6400426021,45494.5174419578
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",60532.381424296,8.63390024682529,60519.1387264665,60526.1135787992,60532.7034280044,60537.4922484065,60546.4168324603
"Total Mortality","Neonatal Female",22719.2097756689,4.60358794278565,22712.2170638709,22715.8628776112,22719.4030007543,22721.9567675833,22726.7283367064
"Total Mortality","Neonatal Male",10848.6622320754,3.91852697168318,10842.5251316035,10845.7607911593,10848.7808358606,10850.9461915419,10854.9525253599
"Total Mortality","Neonatal Combined",33567.8720077443,8.52001990477491,33554.7421954744,33561.6236687706,33568.183836615,33572.9029591253,33581.6808620662
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",25403.6186050449,0.0696507299093373,25403.514534608,25403.5643035941,25403.6309927533,25403.6666939204,25403.7323174933
"Total Mortality","Adult Male",1560.89081150682,0.0691202248329872,1560.78752310197,1560.83692049916,1560.90312857948,1560.93854143327,1561.00365290068
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",394925194.409214,121227793.908393,239790997.292442,297296351.537527,393164704.412698,479605336.577472,596744960.982593
"Population Liveweight (kg)","Neonatal Female",33589137.4634135,6671644.68745749,21916537.0173308,30046675.6314905,34441424.4473961,36630666.5917522,42581773.6362654
"Population Liveweight (kg)","Neonatal Male",9420188.76165088,6391093.30369657,1116863.57595446,5118613.54733126,8007244.42334168,13913206.156942,19557794.4217758
"Population Liveweight (kg)","Juvenile Female",84395429.0294258,52915309.1909198,8684556.6984142,52206657.4841202,65562726.0973435,135129037.350419,162786275.921322
"Population Liveweight (kg)","Juvenile Male",25411830.3878915,14676513.227915,5610167.63393542,18068492.2683376,23923436.2591685,33488593.997452,55775561.3552615
"Population Liveweight (kg)","Juvenile Combined",109807259.417317,49132094.6639215,33002016.0189933,80473316.913713,107665720.345317,142140449.281873,180075912.976207
"Population Liveweight (kg)","Adult Female",221837840.796399,132348255.032965,18654566.3244622,105322086.833308,231243138.628245,317520130.002918,407300889.278986
"Population Liveweight (kg)","Adult Male",20270767.9704334,8162456.17065227,837539.606549212,16982096.729124,22499609.4427512,24122430.3423744,30155849.9365039
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",71520308.6739554,38498864.2414636,8809308.00494232,43236651.5953256,77365647.3262991,94673039.727044,125323964.38157
"Offtake Liveweight (kg)","Juvenile Female",16489752.9037371,12599119.7625287,228852.894259277,7381353.61191939,15047841.6645455,22400407.7923716,38334247.3282659
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",52494016.8756653,40757122.8822619,237100.97664128,18553074.4375979,54770172.8596854,87134184.6344728,110014819.964034
"Offtake Liveweight (kg)","Adult Male",2536538.89455306,1506703.48451967,58679.5343651972,1395689.5363944,2887842.39729536,3407344.32774135,4543115.21971658
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",283525278.315039,31465982.5157589,231338870.107658,267733630.377481,283068177.771439,309120933.905586,330964191.885263
"Manure","Overall",971399956.114562,35993632.8030345,935709178.781203,944227179.301087,960357051.206717,988066012.421675,1041382218.65493
"Manure","Neonatal Female",75984890.8397374,2753876.75785245,70715995.4347669,74233348.1649287,76292168.3121774,77750485.8099338,80010630.852295
"Manure","Neonatal Male",37674703.1029538,793328.368369695,36690146.4539617,36861157.4412109,37901970.3523254,38117961.4973378,38822726.091635
"Manure","Neonatal Combined",113659593.942691,2709219.75643899,108700236.13137,112507636.947538,113836510.751962,115482922.895532,117239822.067851
"Manure","Juvenile Female",185449987.696174,5605211.16174124,178302153.336019,181786515.410657,183586999.439618,190761205.52702,193191862.038664
"Manure","Juvenile Male",42263409.7314869,1501642.74527999,39988624.9527158,41287410.68789,42099238.1280813,42810745.7678094,45170058.3087692
"Manure","Juvenile Combined",227713397.427661,5619118.2522393,220893657.443891,223195660.271314,225873471.720388,233565822.873679,234380485.217536
