"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337413.47987683,30.9649709888677,1337359.38065274,1337389.14980305,1337419.95217151,1337433.55036057,1337454.19405286
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44839.5762404932,9.22366712043678,44825.9753511484,44833.0806149302,44838.5086532416,44847.0055189029,44852.3792557987
"Num Offtake","Juvenile Male",22952.2997545881,10.1155340240995,22933.5448308264,22945.9911054459,22952.552021061,22959.4040343595,22968.1766169647
"Num Offtake","Juvenile Combined",67791.8759950812,9.87265104975244,67777.9216223486,67786.0918631011,67792.3023724887,67796.3675307318,67810.9958920876
"Num Offtake","Adult Female",245277.652394664,2.16562842306302,245274.307077354,245276.235190881,245278.622604275,245279.017590988,245280.448639177
"Num Offtake","Adult Male",1024343.95148708,25.1908878577539,1024293.00792694,1024331.49005433,1024344.84422888,1024355.01046014,1024385.71438592
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",407947.443428703,3354.72197527314,401530.85094448,406825.11318642,408080.590980344,409793.172972478,412309.291404042
"Cml Pop Growth","Neonatal Female",-399476.017906879,1658.32882725178,-400952.484943688,-400755.326886521,-400348.525990813,-398340.633199989,-396703.410576131
"Cml Pop Growth","Neonatal Male",72218.0717184122,2382.89179024223,68579.7219183804,69871.4624297405,73313.7696984166,73815.5489904104,74992.6459009396
"Cml Pop Growth","Neonatal Combined",-327257.946188467,2550.42061962367,-332222.693351103,-328104.550430111,-326892.021759383,-325741.070316725,-323287.769715033
"Cml Pop Growth","Juvenile Female",784622.889632317,1204.96543049682,782395.272858745,783989.917566829,784836.101958902,785328.824461263,786469.2484697
"Cml Pop Growth","Juvenile Male",777273.026938191,1046.39611605565,775777.504749413,776408.774402347,777386.732363729,778071.954871611,778789.81447859
"Cml Pop Growth","Juvenile Combined",1561895.91657051,1232.33469834966,1560391.37903846,1560806.02544941,1561854.35048454,1562561.62709997,1564013.22442741
"Cml Pop Growth","Adult Female",-376154.069330959,174.720252085691,-376408.832562156,-376272.121225928,-376174.060042848,-376011.923845527,-375912.521016049
"Cml Pop Growth","Adult Male",-450536.45762238,228.298422912357,-450954.387156281,-450681.712418184,-450531.043702354,-450369.909601151,-450181.298961801
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1745360.92330553,3369.94206689931,1738913.0510357,1744239.1123568,1745506.17764812,1747245.59824832,1749689.22609113
"Total Number Increase","Neonatal Female",-399476.017906879,1658.32882725178,-400952.484943688,-400755.326886521,-400348.525990813,-398340.633199989,-396703.410576131
"Total Number Increase","Neonatal Male",72218.0717184122,2382.89179024223,68579.7219183804,69871.4624297405,73313.7696984166,73815.5489904104,74992.6459009396
"Total Number Increase","Neonatal Combined",-327257.946188467,2550.42061962367,-332222.693351103,-328104.550430111,-326892.021759383,-325741.070316725,-323287.769715033
"Total Number Increase","Juvenile Female",829462.46587281,1210.99739611099,827224.33465918,828819.699078356,829679.223548773,830179.589416698,831316.615143457
"Total Number Increase","Juvenile Male",800225.32669278,1055.95202106199,798711.049580239,799355.612836663,800339.28438479,801032.700479933,801757.991095555
"Total Number Increase","Juvenile Combined",1629687.79256559,1238.3676403112,1628177.97423098,1628587.75018616,1629649.49558689,1630343.60630876,1631814.35986647
"Total Number Increase","Adult Female",-130876.416936296,176.585786798459,-131134.504863327,-130996.754195331,-130896.669898995,-130733.030542855,-130632.072376872
"Total Number Increase","Adult Male",573807.493864702,252.888350603003,573338.620770661,573649.777636146,573813.800526526,573985.100858989,574204.41542412
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1213529.57824285,3415.7712795561,1207989.01388203,1211346.28917852,1214088.18733446,1215564.46845656,1219014.57539712
"Total Mortality","Neonatal Female",248017.374825297,2526.40057269097,242950.354263003,246926.485621625,248420.430359513,250166.008363822,250847.15578606
"Total Mortality","Neonatal Male",197011.991224143,4059.54575908174,191355.010826385,193845.970828506,196133.501537871,201071.687129457,202569.517368976
"Total Mortality","Neonatal Combined",445029.36604944,3824.15362808206,439574.634155838,442244.675307692,444776.357446384,446841.723955587,451694.66101639
"Total Mortality","Juvenile Female",188536.074926183,1072.13516982394,186318.589867123,188103.933612709,188638.284520885,189197.581465989,190278.16683135
"Total Mortality","Juvenile Male",120068.539027237,776.580044195323,119184.176542221,119653.803069471,119807.077844893,120220.580354138,121821.46576751
