"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4893727.98333342,2.92742207453378,4893725.91333342,4893726.94833342,4893727.98333342,4893729.01833342,4893730.05333342
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155562.690000001,0.0848528137596725,155562.630000001,155562.660000001,155562.690000001,155562.720000001,155562.750000001
"Num Offtake","Juvenile Male",940701.660833337,2.00818325862906,940700.240833336,940700.950833336,940701.660833337,940702.370833337,940703.080833337
"Num Offtake","Juvenile Combined",1096264.35083334,1.92333044497229,1096262.99083334,1096263.67083334,1096264.35083334,1096265.03083334,1096265.71083334
"Num Offtake","Adult Female",1030183.31250003,0.127279220649798,1030183.22250003,1030183.26750003,1030183.31250003,1030183.35750003,1030183.40250003
"Num Offtake","Adult Male",2767280.32000005,1.13137084996433,2767279.52000005,2767279.92000005,2767280.32000005,2767280.72000005,2767281.12000005
"Cml Pop Growth","Overall",-664220.131481608,88.3607305386075,-664282.611953363,-664251.371717486,-664220.131481608,-664188.891245731,-664157.651009854
"Cml Pop Growth","Neonatal Female",-992560.646511141,54.4048907355475,-992599.11657831,-992579.881544725,-992560.646511141,-992541.411477556,-992522.176443972
"Cml Pop Growth","Neonatal Male",-788455.185435544,15.5036177311697,-788466.148148775,-788460.666792159,-788455.185435544,-788449.704078929,-788444.222722313
"Cml Pop Growth","Neonatal Combined",-1781015.83194668,69.9085084667172,-1781065.26472708,-1781040.54833688,-1781015.83194668,-1780991.11555649,-1780966.39916629
"Cml Pop Growth","Juvenile Female",114937.756666608,12.3696546256072,114929.009999941,114933.383333275,114937.756666608,114942.129999941,114946.503333275
"Cml Pop Growth","Juvenile Male",103599.702499928,0.806101730315588,103599.132499929,103599.417499929,103599.702499928,103599.987499928,103600.272499928
"Cml Pop Growth","Juvenile Combined",218537.459166536,13.1757563559227,218528.14249987,218532.800833203,218537.459166536,218542.11749987,218546.775833203
"Cml Pop Growth","Adult Female",1224073.07749993,1.63891638478138,1224071.91861104,1224072.49805549,1224073.07749993,1224073.65694437,1224074.23638882
"Cml Pop Growth","Adult Male",-325814.836201392,6.91538210190141,-325819.726114971,-325817.281158181,-325814.836201392,-325812.391244603,-325809.946287813
"Total Number Increase","Overall",4229507.85185181,91.2881526137998,4229443.30138005,4229475.57661593,4229507.85185181,4229540.12708769,4229572.40232356
"Total Number Increase","Neonatal Female",-992560.646511141,54.4048907355475,-992599.11657831,-992579.881544725,-992560.646511141,-992541.411477556,-992522.176443972
"Total Number Increase","Neonatal Male",-788455.185435544,15.5036177311697,-788466.148148775,-788460.666792159,-788455.185435544,-788449.704078929,-788444.222722313
"Total Number Increase","Neonatal Combined",-1781015.83194668,69.9085084667172,-1781065.26472708,-1781040.54833688,-1781015.83194668,-1780991.11555649,-1780966.39916629
"Total Number Increase","Juvenile Female",270500.446666609,12.2848018118269,270491.759999943,270496.103333276,270500.446666609,270504.789999943,270509.133333276
"Total Number Increase","Juvenile Male",1044301.36333326,2.81428498894465,1044299.37333327,1044300.36833326,1044301.36333326,1044302.35833326,1044303.35333326
"Total Number Increase","Juvenile Combined",1314801.80999987,15.099086800895,1314791.13333321,1314796.47166654,1314801.80999987,1314807.14833321,1314812.48666654
"Total Number Increase","Adult Female",2254256.38999996,1.76619560518423,2254255.14111107,2254255.76555552,2254256.38999996,2254257.01444441,2254257.63888885
"Total Number Increase","Adult Male",2441465.48379865,8.04675295186574,2441459.79388508,2441462.63884186,2441465.48379865,2441468.32875544,2441471.17371223
"Total Mortality","Overall",3272474.51786703,100.522664439274,3272403.43760934,3272438.97773819,3272474.51786703,3272510.05799588,3272545.59812472
"Total Mortality","Neonatal Female",1098906.55637063,69.1981989027191,1098857.62585494,1098882.09111279,1098906.55637063,1098931.02162848,1098955.48688632
"Total Mortality","Neonatal Male",1057218.58529503,29.5756769820118,1057197.67213327,1057208.12871415,1057218.58529503,1057229.0418759,1057239.49845678
"Total Mortality","Neonatal Combined",2156125.14166566,98.7738758848955,2156055.29798822,2156090.21982694,2156125.14166566,2156160.06350438,2156194.9853431
"Total Mortality","Juvenile Female",483972.813333335,0.263986531737918,483972.626666668,483972.720000002,483972.813333335,483972.906666669,483973.000000002
"Total Mortality","Juvenile Male",370980.936666668,0.79195959492564,370980.376666668,370980.656666668,370980.936666668,370981.216666668,370981.496666668
"Total Mortality","Juvenile Combined",854953.750000003,0.527973063228882,854953.37666667,854953.563333337,854953.750000003,854953.93666667,854954.123333337
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",261395.626201369,2.27676161740162,261394.01628779,261394.821244579,261395.626201369,261396.431158158,261397.236114948
"Population Liveweight (kg)","Overall",439018316.890606,4452.98277516472,439015168.156289,439016742.523447,439018316.890606,439019891.257764,439021465.624923
"Population Liveweight (kg)","Neonatal Female",15474650.6709411,2441.87866702903,15472924.0019768,15473787.336459,15474650.6709411,15475514.0054233,15476377.3399054
