"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549238.02377573,382.327909670899,6547688.97340945,6548977.40958685,6549235.82627969,6549501.34959674,6550730.22552783
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93069.7423370365,126.241889823409,92647.4371748319,92984.2457390617,93071.8181751952,93157.6148404998,93473.6995413573
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93069.7423370365,126.241889823409,92647.4371748319,92984.2457390617,93071.8181751952,93157.6148404998,93473.6995413573
"Num Offtake","Adult Female",1151740.7377492,63.2005440735814,1151514.85537976,1151697.93046079,1151741.36860826,1151784.28005682,1151950.12454823
"Num Offtake","Adult Male",834771.394974387,277.198343420522,833773.012891528,834583.115806379,834777.079949748,834959.968575641,835763.942213803
"Num Offtake","Oxen",4469656.14871511,11.901161618967,4469612.27055251,4469647.99589766,4469656.27032448,4469664.31501052,4469697.66368649
"Cml Pop Growth","Overall",-2256435.09655223,75561.7825521251,-2533075.71186271,-2307971.20057678,-2257045.75026383,-2204928.364672,-1959250.5210547
"Cml Pop Growth","Neonatal Female",-306741.797452645,29084.9671422948,-416100.079206461,-326691.606498167,-306857.935192741,-287217.471713235,-204135.747542262
"Cml Pop Growth","Neonatal Male",-636328.656807084,30172.5187344771,-760066.233959607,-656540.50549929,-635791.138406737,-615821.738952515,-536591.551120203
"Cml Pop Growth","Neonatal Combined",-943070.454259729,50435.6619638644,-1124644.11444782,-977332.355587794,-943715.12240974,-908168.131512861,-772164.058432207
"Cml Pop Growth","Juvenile Female",1046812.38995906,16127.801588414,985375.934265048,1035921.32896645,1046922.87350535,1057772.20889244,1111174.94794802
"Cml Pop Growth","Juvenile Male",882257.654071237,17322.0741949967,821226.850656248,870739.657766404,882163.761488166,893981.897221217,950620.257161195
"Cml Pop Growth","Juvenile Combined",1929070.0440303,27516.3204319171,1832433.72160452,1910396.1818824,1929292.08986457,1947927.50586217,2034499.79851396
"Cml Pop Growth","Adult Female",-775237.591366716,3240.11650595848,-786054.107929235,-777432.330593547,-775197.266406707,-772987.549231343,-764918.067669718
"Cml Pop Growth","Adult Male",1508917.66623459,3297.27571501647,1497249.49435694,1506698.37846403,1508958.60574729,1511216.10292446,1520878.81913581
"Cml Pop Growth","Oxen",-3976114.76119067,203.161378921395,-3976843.97677641,-3976252.42624394,-3976110.8920546,-3975976.29682659,-3975384.95824321
"Total Number Increase","Overall",4292802.9272235,75790.3234678735,4015051.61086881,4241159.10902648,4292141.50087141,4344495.95875774,4591433.15684316
"Total Number Increase","Neonatal Female",-306741.797452645,29084.9671422948,-416100.079206461,-326691.606498167,-306857.935192741,-287217.471713235,-204135.747542262
"Total Number Increase","Neonatal Male",-636328.656807084,30172.5187344771,-760066.233959607,-656540.50549929,-635791.138406737,-615821.738952515,-536591.551120203
"Total Number Increase","Neonatal Combined",-943070.454259729,50435.6619638644,-1124644.11444782,-977332.355587794,-943715.12240974,-908168.131512861,-772164.058432207
"Total Number Increase","Juvenile Female",1139882.1322961,16239.4474562399,1078037.28582198,1128916.54794433,1140008.09635269,1150915.03949018,1204610.26870274
"Total Number Increase","Juvenile Male",882257.654071237,17322.0741949967,821226.850656248,870739.657766404,882163.761488166,893981.897221217,950620.257161195
"Total Number Increase","Juvenile Combined",2022139.78636734,27606.6035695054,1925348.0916605,2003383.89821826,2022370.21147005,2041076.88562749,2127931.22396304
"Total Number Increase","Adult Female",376503.146382483,3300.15051051382,365491.042829914,374266.601953763,376546.086279149,378799.039780224,387032.056878515
"Total Number Increase","Adult Male",2343689.06120897,3559.7603821535,2331152.49992936,2341264.36785079,2343741.39762473,2346167.6788406,2356642.76134961
"Total Number Increase","Oxen",493541.387524436,214.67006697189,492768.293776094,493395.680559844,493545.759466347,493687.527827582,494310.124718913
"Total Mortality","Overall",2462168.6830517,48396.8544469148,2285775.46965627,2429702.637969,2461907.59126951,2494492.68771354,2658298.98438736
"Total Mortality","Neonatal Female",557642.342852887,31854.4912156224,452006.156438509,535845.932049326,556487.08659142,578564.227178969,678548.551932353
"Total Mortality","Neonatal Male",597298.707789333,34374.0994572881,470048.401040934,573858.006086054,596296.042177398,619874.339224104,748977.07029902
