"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6567857.07911319,1804.31872877163,6563253.16715596,6566552.66372827,6567685.31278029,6568956.42053392,6576758.94106067
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97056.9666271391,558.360900474251,95472.2753940562,96658.3512041537,97005.7384227089,97406.686139591,99709.5519245308
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",97056.9666271391,558.360900474251,95472.2753940562,96658.3512041537,97005.7384227089,97406.686139591,99709.5519245308
"Num Offtake","Adult Female",1163393.63348333,250.943395859068,1162685.18245133,1163210.82317309,1163370.1712594,1163544.4898732,1164658.92822665
"Num Offtake","Adult Male",837737.439541694,993.386689752932,835322.838858916,837019.091082031,837641.258479605,838353.488719753,842716.672598979
"Num Offtake","Oxen",4469669.03946103,36.3090541929063,4469579.66750595,4469643.08204724,4469665.29548637,4469691.22829029,4469854.83721472
"Cml Pop Growth","Overall",2422749.90046224,450876.551894667,1058850.89298563,2109436.4462579,2397864.95988656,2709414.07728976,4438114.52615003
"Cml Pop Growth","Neonatal Female",1127052.69735914,155358.621729978,668795.356442548,1018325.6049983,1117747.72465816,1225260.12914364,1823227.79828523
"Cml Pop Growth","Neonatal Male",796591.618860507,155739.260956574,313821.323159342,685902.853512646,788308.027643948,895715.996571156,1453100.76626651
"Cml Pop Growth","Neonatal Combined",1923644.31621965,308622.853481959,982616.67960189,1704926.33088142,1906135.33472702,2119822.29843462,3263068.28209516
"Cml Pop Growth","Juvenile Female",1711143.70886503,76443.8214758729,1480069.225316,1657961.60468992,1706127.41413194,1759656.89091503,2062510.37533582
"Cml Pop Growth","Juvenile Male",1550060.94375467,77248.1428038195,1320172.73466517,1495152.75169488,1545429.65158597,1598303.98273263,1886937.1093622
"Cml Pop Growth","Juvenile Combined",3261204.6526197,152223.520400147,2821450.15221101,3152757.63141199,3251832.61609599,3357334.63589963,3932832.56908201
