"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",30218.1353681497,2.54608942267525,30210.329929336,30216.5082573102,30218.0534170644,30219.6491678875,30226.8116862481
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2631.32246289421,0.939938590940844,2628.77134820154,2630.67484325781,2631.29207684445,2631.93999111247,2634.17901823782
"Num Offtake","Juvenile Male",4297.98244818567,1.52318862072703,4293.37582548531,4296.99341868869,4297.96817259519,4298.99025540372,4303.13710248222
"Num Offtake","Juvenile Combined",6929.30491107988,1.73780994156375,6923.93903256522,6928.19850532213,6929.24622689149,6930.37510388214,6935.40901077915
"Num Offtake","Adult Female",5038.39084834792,0.129770308448811,5037.99708899874,5038.3041876968,5038.38674751128,5038.4788652251,5038.82825905868
"Num Offtake","Adult Male",18250.4396087219,0.887793222930828,18247.7927365384,18249.8586619301,18250.3862391443,18251.0302881994,18253.2661944332
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-14719.0412487007,116.919112357779,-15101.4547057818,-14796.4983807706,-14715.0081198227,-14641.3665254618,-14350.7737110875
"Cml Pop Growth","Neonatal Female",-24171.2698849186,58.6212804671699,-24355.6512831001,-24211.1338234678,-24168.7979012076,-24131.8922438972,-23996.4330311262
"Cml Pop Growth","Neonatal Male",-8586.26453374827,41.9892441130025,-8717.32295432945,-8615.03347665242,-8585.21224199232,-8558.99309114085,-8436.17816884867
"Cml Pop Growth","Neonatal Combined",-32757.5344186668,73.2472852356698,-33012.8741120357,-32807.4247844886,-32757.3759836398,-32709.2939981527,-32516.1985739108
"Cml Pop Growth","Juvenile Female",9660.5271653529,41.134540572939,9526.737408404,9633.61176861728,9659.47006799715,9686.47066460203,9795.33734943296
"Cml Pop Growth","Juvenile Male",7470.05612539829,24.7489565411017,7393.43899649224,7453.95982903829,7470.05552651441,7487.03285006661,7552.44522024778
"Cml Pop Growth","Juvenile Combined",17130.5832907512,47.3158296413701,16981.1250422728,17096.6613136532,17132.9568806325,17160.3324401181,17278.7442019476
"Cml Pop Growth","Adult Female",3808.41217298805,8.84977597946184,3784.659817821,3802.23600327896,3808.12348123969,3814.32827550166,3835.02395858275
"Cml Pop Growth","Adult Male",-2900.50229377313,4.60091603943607,-2914.30764551941,-2903.55277801122,-2900.58304457108,-2897.42257910203,-2884.84852044224
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",15499.094119449,118.315151844329,15110.8786562598,15420.4878650985,15503.102436211,15577.3178512419,15872.5578470974
"Total Number Increase","Neonatal Female",-24171.2698849186,58.6212804671699,-24355.6512831001,-24211.1338234678,-24168.7979012076,-24131.8922438972,-23996.4330311262
"Total Number Increase","Neonatal Male",-8586.26453374827,41.9892441130025,-8717.32295432945,-8615.03347665242,-8585.21224199232,-8558.99309114085,-8436.17816884867
"Total Number Increase","Neonatal Combined",-32757.5344186668,73.2472852356698,-33012.8741120357,-32807.4247844886,-32757.3759836398,-32709.2939981527,-32516.1985739108
"Total Number Increase","Juvenile Female",12291.8496282471,41.9512747618524,12155.8145309945,12264.197918487,12290.8348137287,12318.7674693774,12428.794469961
"Total Number Increase","Juvenile Male",11768.038573584,26.0644999098625,11686.8148219775,11751.0382462576,11768.0071745975,11785.9351446976,11855.2083109464
"Total Number Increase","Juvenile Combined",24059.8882018311,48.6115589344445,23905.064074838,24024.2136401967,24061.9455680788,24091.3503262832,24210.3949167079
"Total Number Increase","Adult Female",8846.80302133597,8.9724946182681,8822.65690681974,8840.58206133634,8846.49499137186,8852.71472611012,8873.85221764143
"Total Number Increase","Adult Male",15349.9373149488,5.43995935973949,15333.485091019,15346.4050667453,15349.8863306971,15353.5366264419,15368.3467945793
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",27493.983870765,116.350572020904,27124.4798213219,27414.0801129202,27490.8757632799,27571.7897570087,27859.6814101756
"Total Mortality","Neonatal Female",5733.97890184816,94.7640935382453,5452.36770548286,5670.80375872825,5735.31193971885,5798.53581398001,6028.15037211434
"Total Mortality","Neonatal Male",3939.61856338374,65.052410034434,3715.24616269577,3895.65329181886,3939.11752680667,3984.43546892381,4158.27247790177
"Total Mortality","Neonatal Combined",9673.59746523189,115.133788826044,9287.64800265734,9595.76038402948,9675.2947179367,9749.08275782487,10052.7591871563
"Total Mortality","Juvenile Female",5527.41476127817,27.227130669994,5446.6033677055,5509.23450060409,5527.63034956538,5545.64111355256,5620.56024755585
"Total Mortality","Juvenile Male",3223.8681172287,16.5101856701806,3169.74528902853,3213.08530297895,3223.38068405362,3235.37001738347,3270.20589679968
"Total Mortality","Juvenile Combined",8751.28287850687,32.1528007919636,8643.70580492898,8728.96929175993,8752.05107106654,8772.4300895425,8848.67157154658
"Total Mortality","Adult Female",9069.10352702625,0.233586555207943,9068.39476019773,9068.94753785423,9069.0961455203,9069.26195740518,9069.89086630563
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",316717158.197673,975815.965251764,314034751.843832,316060061.097526,316686301.12806,317375414.108707,319826692.445304
"Value of Total Mortality","Neonatal Female",45992875.8821407,760113.224480697,43734041.4805569,45486141.1058035,46003568.3256223,46510693.9798072,48352457.6231301
