"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29661.7861852548,2.65432641303327,29652.3403612033,29659.9579252299,29661.7846394096,29663.5227347834,29670.1242366359
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2633.4595123095,0.957339448687716,2629.71736333538,2632.83841407525,2633.46306918236,2634.13609344607,2636.71041762708
"Num Offtake","Juvenile Male",4303.82446077357,1.57451990370362,4298.51408359973,4302.74874741207,4303.8001063445,4304.84220421886,4308.84695580253
"Num Offtake","Juvenile Combined",6937.28397308307,1.82994197472822,6931.08858714681,6936.02370060649,6937.28079422798,6938.51162880972,6942.68189368637
"Num Offtake","Adult Female",5237.4826995864,0.136257518015841,5236.90103189964,5237.39046685127,5237.48062030575,5237.57671271446,5237.90686598399
"Num Offtake","Adult Male",17487.0195125854,0.881350396000341,17483.9431659619,17486.4166096904,17487.0278697931,17487.609591458,17490.0097275632
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-6473.6437645482,116.099726156013,-6833.38556273561,-6552.44608678242,-6472.87616394367,-6397.19333333068,-6113.38806938461
"Cml Pop Growth","Neonatal Female",-23419.9079036462,58.9740244651405,-23615.6196472984,-23458.2920291451,-23420.9375292662,-23381.4377733902,-23228.3271122686
"Cml Pop Growth","Neonatal Male",-7834.85441951247,43.8823827956901,-7953.42558947673,-7863.83660752706,-7834.86793596659,-7805.53641080477,-7706.78456810178
"Cml Pop Growth","Neonatal Combined",-31254.7623231586,73.2162074149945,-31508.920960996,-31303.785736167,-31255.1099943973,-31208.8926519925,-31006.0635575319
"Cml Pop Growth","Juvenile Female",9864.70887746651,40.9332410878177,9732.2426293814,9838.19044465718,9864.09571123072,9893.70295435684,10007.171115394
"Cml Pop Growth","Juvenile Male",7670.23443597042,26.0975989963311,7597.91051077415,7652.66013190276,7669.9905350605,7687.04472611003,7738.03888162135
"Cml Pop Growth","Juvenile Combined",17534.9433134369,46.8726218884703,17390.9182820284,17502.9501598487,17535.5922172758,17566.0514201617,17694.5138677109
"Cml Pop Growth","Adult Female",12367.9745908646,9.22706037930851,12332.1042149548,12361.8952435211,12368.0225112436,12374.4938244907,12399.3525336469
"Cml Pop Growth","Adult Male",-5121.7993456911,4.65217482666372,-5137.15988475543,-5124.9216285917,-5121.82509418625,-5118.80314279331,-5107.36602162197
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",23188.1424207066,117.636373958438,22822.7732510864,23107.7493854565,23189.2895812692,23265.5390076954,23554.0346448794
"Total Number Increase","Neonatal Female",-23419.9079036462,58.9740244651405,-23615.6196472984,-23458.2920291451,-23420.9375292662,-23381.4377733902,-23228.3271122686
"Total Number Increase","Neonatal Male",-7834.85441951247,43.8823827956901,-7953.42558947673,-7863.83660752706,-7834.86793596659,-7805.53641080477,-7706.78456810178
"Total Number Increase","Neonatal Combined",-31254.7623231586,73.2162074149945,-31508.920960996,-31303.785736167,-31255.1099943973,-31208.8926519925,-31006.0635575319
"Total Number Increase","Juvenile Female",12498.168389776,41.7640419350952,12361.9599927168,12470.5743970798,12497.4762477587,12527.8832849643,12643.3437054392
"Total Number Increase","Juvenile Male",11974.058896744,27.4618883031726,11896.4245943739,11955.4589125494,11973.6657433519,11991.6515992242,12045.1530265668
"Total Number Increase","Juvenile Combined",24472.22728652,48.2638214578499,24324.209324527,24438.6563598225,24472.658957505,24504.0769514329,24637.1756967341
"Total Number Increase","Adult Female",17605.457290451,9.3567843973743,17569.0052468544,17599.3370800752,17605.5016631757,17612.0949148213,17637.2593996308
"Total Number Increase","Adult Male",12365.2201668943,5.47944344011159,12346.7832812065,12361.4823660302,12365.1703964574,12368.7854490997,12382.6437059412
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",21504.8967112561,114.21337210413,21170.6736967729,21431.6840812194,21505.147017843,21583.835765542,21834.8127480913
"Total Mortality","Neonatal Female",5768.24871177921,93.8194713116116,5460.38123263394,5702.58400464221,5768.10583907354,5828.80493483194,6103.20325971148
"Total Mortality","Neonatal Male",3972.62700594763,66.7427028001613,3757.76581277375,3927.17229330371,3973.26840686581,4018.18236015021,4154.59030378581
"Total Mortality","Neonatal Combined",9740.87571772684,112.548224488047,9358.04455598889,9672.8319542923,9743.29690922498,9818.24443625606,10085.7505629217
"Total Mortality","Juvenile Female",5529.98416129933,29.5989391690744,5439.77866171439,5509.18207755055,5528.7078684993,5550.49869648697,5629.66745465005
