"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7391824.78832675,1568.98343111143,7390168.04656721,7390682.47992913,7391521.33895442,7392411.48214982,7395126.33913783
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",100709.853738792,438.334792074671,100222.420795446,100389.201161669,100647.761269761,100832.478033204,101538.547059357
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",100709.853738792,438.334792074671,100222.420795446,100389.201161669,100647.761269761,100832.478033204,101538.547059357
"Num Offtake","Adult Female",1165154.10530272,199.816368272109,1164939.07869925,1165010.50211771,1165111.32400977,1165235.6456797,1165588.31154833
"Num Offtake","Adult Male",977578.603505389,906.093163111781,976602.913217321,976921.461773622,977391.255494925,977945.598737444,979537.072279238
"Num Offtake","Oxen",5148382.22577985,34.511276002506,5148345.97152828,5148361.31487612,5148370.94834552,5148397.7846167,5148462.40825091
"Cml Pop Growth","Overall",3862517.52488165,270528.979773598,3389704.08191887,3686508.26130331,3899291.12187329,4035386.80497629,4286789.71160998
"Cml Pop Growth","Neonatal Female",1527532.60103343,102194.483138627,1362586.18861185,1461499.21592485,1531481.82496018,1599646.42085371,1700253.50955612
"Cml Pop Growth","Neonatal Male",1220992.1888524,102194.483138628,1056045.77643082,1154958.80374382,1224941.41277915,1293106.00867268,1393713.09737509
"Cml Pop Growth","Neonatal Combined",2748524.78988584,204388.966277255,2418631.96504268,2616458.01966867,2756423.23773934,2892752.42952639,3093966.60693121
"Cml Pop Growth","Juvenile Female",2193907.38657076,58065.4281627955,2128211.78779401,2159147.5026211,2179904.2134112,2217931.30379233,2300061.16267393
"Cml Pop Growth","Juvenile Male",2107093.10910056,58430.6395616313,2040953.13789597,2072174.38855168,2092998.05716905,2131195.13148648,2213811.05106584
"Cml Pop Growth","Juvenile Combined",4301000.49567132,116495.986635834,4169164.92568997,4231321.89117279,4272902.27058025,4349126.43527881,4513872.21373977
