"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",549737.193814073,6651.50556640283,536395.955020606,548145.365080555,549108.349629553,554118.649248107,559540.26214506
"Num Offtake","Neonatal Female",41672.2392767805,908.819506915063,39851.0949277248,41456.662259593,41587.5015067973,42272.7980433859,43011.2811939257
"Num Offtake","Neonatal Male",140596.569466022,4968.42353184372,130591.208143296,139495.715070023,140453.503574913,143881.214407163,147815.517479863
"Num Offtake","Neonatal Combined",182268.808742803,5876.43011445515,170442.303071021,180955.477563239,182034.804614464,186154.012450549,190826.798673788
"Num Offtake","Juvenile Female",118250.850670727,687.915074018388,116967.518957485,117881.212394043,118080.219883848,118677.692921014,119301.451142439
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",118250.850670727,687.915074018388,116967.518957485,117881.212394043,118080.219883848,118677.692921014,119301.451142439
"Num Offtake","Adult Female",240523.651554261,83.0691205672765,240376.342754382,240476.387679849,240507.194197938,240580.948210572,240647.457552343
"Num Offtake","Adult Male",8693.88284628231,47.4140302540268,8609.79023771709,8666.90370785416,8684.48318219786,8726.5847173209,8764.55477648945
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",356430.039002651,30963.5079265264,289219.905453961,347818.458218889,366371.168022806,379258.907716426,385004.602621354
"Cml Pop Growth","Neonatal Female",80295.7849887159,11497.4667126238,58367.872948897,73954.8254772509,81789.672463334,86249.0808579441,95257.2982015295
"Cml Pop Growth","Neonatal Male",162186.656403208,9822.51641057578,145979.161819394,154847.272441728,162157.20735626,167863.95227951,177065.21757397
"Cml Pop Growth","Neonatal Combined",242482.441391924,21196.7150353025,204347.034768291,228802.097918979,244583.077684275,253794.934205114,272322.5157755
"Cml Pop Growth","Juvenile Female",33182.2061500042,6352.25486388835,20377.6257469471,31857.3298828191,33386.8568579269,37394.1385693552,42284.328493454
"Cml Pop Growth","Juvenile Male",144622.489349433,5825.74882708281,132860.563170388,143444.339676664,145047.938920288,148470.185650038,152885.687218809
"Cml Pop Growth","Juvenile Combined",177804.695499437,12177.0055004976,153238.188917335,175301.669559483,178434.795778215,185864.324219393,195170.015712263
"Cml Pop Growth","Adult Female",-108564.062969083,1208.73117953237,-110826.243898625,-109195.654233459,-108857.942054204,-107804.926867528,-106716.61280896
"Cml Pop Growth","Adult Male",44706.965080373,1199.81243405032,42460.9256669604,44080.0781212856,44414.8330874856,45460.3016697601,46540.6276946486
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",906167.232816724,36398.8452424751,825615.860474567,898975.850448792,918072.651457773,930466.828030273,944544.864766413
"Total Number Increase","Neonatal Female",121968.024265496,12018.3720607352,98218.9678766218,116105.775026238,123689.633720367,128720.762064446,136769.953090078
"Total Number Increase","Neonatal Male",302783.225869231,12622.3426145102,276570.369962691,297864.089196809,304712.426689832,310995.773191754,317027.603616912
"Total Number Increase","Neonatal Combined",424751.250134727,24613.1878699628,374789.337839312,413969.864223046,428402.060410198,439716.5352562,453797.55670699
"Total Number Increase","Juvenile Female",151433.056820731,6999.2179478759,137345.144704432,149900.614734345,151284.873175469,156071.831490369,161585.779635893
"Total Number Increase","Juvenile Male",144622.489349433,5825.74882708281,132860.563170388,143444.339676664,145047.938920288,148470.185650038,152885.687218809
"Total Number Increase","Juvenile Combined",296055.546170164,12819.1266215906,270205.70787482,293344.95441101,296332.812095757,304542.017140407,314471.466854702
"Total Number Increase","Adult Female",131959.588585178,1290.4418416977,129550.098855757,131267.087093319,131641.184571192,132762.906572247,133930.844743382
"Total Number Increase","Adult Male",53400.8479266554,1246.43709325826,51070.7159046775,52739.2138099088,53094.7179373494,54179.4121065295,55305.182471138
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",766088606.373378,40701934.494955,690048942.165511,745459695.62172,762461220.706362,793881297.764801,827941237.821159
"Population Liveweight (kg)","Neonatal Female",59442436.3895073,15275694.3031836,30208824.2817783,48168994.9592241,65774255.9039919,68871311.8112383,78770009.5387214
"Population Liveweight (kg)","Neonatal Male",35991497.2917111,8210359.64776964,26119666.984925,28732838.3043732,34411853.1059938,44565145.7952124,45945566.5481583
"Population Liveweight (kg)","Juvenile Female",142224191.39891,28146282.873183,111896484.00479,120201783.722177,132274224.726884,164517571.487631,188841641.869532
"Population Liveweight (kg)","Juvenile Male",71458397.7955697,10301359.5283966,56744843.6376697,65924127.1610865,70855072.7403444,79524644.835668,88302208.402999
"Population Liveweight (kg)","Juvenile Combined",213682589.194479,29525156.5917515,168641327.64246,189069920.344395,215032067.695949,239631671.542016,254365622.118386
"Population Liveweight (kg)","Adult Female",413868681.57479,44232974.0764829,311505769.959176,394508330.5604,423109409.676294,441115875.262813,464469393.946191
"Population Liveweight (kg)","Adult Male",43103401.9228896,6849267.94868254,32821394.4078519,38233820.7374873,44048799.464786,46572655.8591713,53205116.3608644
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",165405037.948554,8748470.50986367,148103316.60222,161712889.4494,168374553.438581,171038046.637197,176230605.858592
"Offtake Liveweight (kg)","Juvenile Female",31504604.5118542,3636493.8502511,23151438.1709448,30196892.9181892,32377551.2508729,33947450.162331,35365049.4460346
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",129276156.656052,8712073.43597034,109692887.779712,126797814.961068,129885643.895087,132932633.058481,142450281.622161
"Offtake Liveweight (kg)","Adult Male",4624276.78064798,637857.908244056,3392925.68395739,4225848.15284396,4574393.91269214,5209616.53699556,5374187.98757753
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",520827822.18311,16461700.8614144,504606832.737233,508682800.544903,515715522.115225,528521441.212151,556157826.201849
"Manure","Overall",984819131.561017,20540369.5957611,951753260.965931,968798071.139087,986720072.971402,1000022413.95348,1010790727.32425
"Manure","Neonatal Female",89668754.9954173,2857644.61490368,84527006.1364744,89276455.2136013,90064278.8173534,90619136.5316085,94918468.6759903
"Manure","Neonatal Male",49832975.6318359,2551483.62207881,46387865.1207458,47944287.4800353,50412678.3440256,51044321.1723454,54771819.2608237
"Manure","Neonatal Combined",139501730.627253,5230084.78051467,131145755.560187,137990253.0047,140099319.707526,141495995.904646,149690287.936814
"Manure","Juvenile Female",189252679.233037,4362281.45274676,182106037.510299,187109018.448652,187825611.413691,191352345.095904,197304684.613904
"Manure","Juvenile Male",49806959.1869088,2275193.72706146,46152118.2195011,48255503.263367,49782652.670847,51542543.5605229,53438907.2774098
"Manure","Juvenile Combined",239059638.419946,5659624.35346525,231486419.508144,235095559.521677,238694052.142039,241931352.874553,250743591.891314
"Manure","Adult Female",567234321.890988,17287796.8893263,539130550.499555,559681429.522253,571427542.596818,581562287.99147,582975899.015921
"Manure","Adult Male",39023440.6228295,1902016.869521,35961771.3738925,37500067.6253735,39181845.5887551,40264821.053942,42158144.4588811
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",3596233968.81617,598109685.478269,2740278287.54988,3110051426.24009,3769554538.14597,3966593111.34234,4553036216.57592
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",6768020287.3584,187045241.671802,6569323432.97929,6614728027.86763,6753272944.10458,6831776285.96161,7104142285.22872
"Cml Dry Matter","Neonatal Female",538396032.402189,21366390.1042471,498712539.767424,531022071.770658,537304977.344901,553626794.098153,567920206.310592
"Cml Dry Matter","Neonatal Male",292072595.627971,31626898.1287548,238963605.504305,271720985.503209,290090717.086514,306311131.61388,354358760.124956
"Cml Dry Matter","Neonatal Combined",830468628.03016,39912916.7495217,779880361.539492,801436029.930308,826211181.535905,839989754.325055,915943256.38675
