"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337413.19950964,31.8550355516486,1337349.58221745,1337402.02786057,1337414.21946585,1337421.11739264,1337467.94350674
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44842.6899007797,12.5377469938942,44827.4090686655,44831.5250236628,44842.9429329238,44850.4446500616,44863.4350571049
"Num Offtake","Juvenile Male",22950.7064790543,9.64913833499674,22938.4538810096,22945.9262990659,22947.1102104267,22954.2085522039,22968.8031564323
"Num Offtake","Juvenile Combined",67793.396379834,12.8502942524294,67765.8629496751,67785.4227929362,67797.0910692609,67803.0477351821,67807.2916073477
"Num Offtake","Adult Female",245279.398774027,3.14375592699217,245275.107240207,245276.412892072,245279.72963644,245281.713244068,245283.701578894
"Num Offtake","Adult Male",1024340.40435578,22.9884999225669,1024308.61202757,1024327.88967821,1024334.72332089,1024350.10182622,1024379.9451495
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",407190.66863394,4139.44731009839,398038.524152467,405359.594754378,408154.84129918,410356.128559862,411310.82992615
"Cml Pop Growth","Neonatal Female",-401187.989010305,2328.1719611233,-404736.626032707,-402187.376351123,-401454.280915935,-399090.055612268,-398470.432846474
"Cml Pop Growth","Neonatal Male",73645.6215428164,2495.10170178915,69288.9256294612,72650.134534922,72841.8200094592,75054.297761768,77431.8688509597
"Cml Pop Growth","Neonatal Combined",-327542.367467489,2608.28213235366,-332970.690344845,-328884.581367929,-327194.88633775,-325693.971552606,-324194.798068027
"Cml Pop Growth","Juvenile Female",784284.755112477,1252.62060167135,782658.818950433,783634.687255427,783992.400025164,784483.200004098,786953.165059937
"Cml Pop Growth","Juvenile Male",777121.882879096,1401.53526341994,775581.864436425,776017.300015503,776930.607216614,777465.963565204,779735.263101181
"Cml Pop Growth","Juvenile Combined",1561406.63799157,1561.78749686526,1558240.68338686,1561039.09030295,1561514.65621192,1562512.31052781,1563384.68098213
"Cml Pop Growth","Adult Female",-376100.859510724,234.940102643743,-376384.203887215,-376308.660878656,-376097.515982494,-375957.77619599,-375708.287144664
"Cml Pop Growth","Adult Male",-450572.74237942,218.905590580931,-450847.265002331,-450680.983481058,-450655.03532394,-450494.888021125,-450153.788129173
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1744603.86814358,4162.2258701027,1735388.10636992,1742776.19236931,1745598.22205698,1747761.96049967,1748758.73438081
"Total Number Increase","Neonatal Female",-401187.989010305,2328.1719611233,-404736.626032707,-402187.376351123,-401454.280915935,-399090.055612268,-398470.432846474
"Total Number Increase","Neonatal Male",73645.6215428164,2495.10170178915,69288.9256294612,72650.134534922,72841.8200094592,75054.297761768,77431.8688509597
"Total Number Increase","Neonatal Combined",-327542.367467489,2608.28213235366,-332970.690344845,-328884.581367929,-327194.88633775,-325693.971552606,-324194.798068027
"Total Number Increase","Juvenile Female",829127.445013256,1263.84476252168,827486.228019098,828476.197786231,828828.572601514,829328.598328048,831816.600117042
"Total Number Increase","Juvenile Male",800072.58935815,1410.64629700486,798520.318317434,798962.124536414,799881.156552288,800415.013429536,802704.066257613
"Total Number Increase","Juvenile Combined",1629200.03437141,1572.88108753932,1626006.54633653,1628834.06963809,1629312.79273828,1630316.73314827,1631189.82629691
"Total Number Increase","Adult Female",-130821.460736697,237.98212864192,-131109.096647008,-131032.247986583,-130817.786346055,-130676.062951922,-130424.58556577
"Total Number Increase","Adult Male",573767.661976357,241.22845837486,573461.34702524,573648.157476647,573677.755260668,573855.213805098,574220.078910807
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1213803.74825883,3952.83675685163,1209530.15448484,1210817.73161537,1213535.66223665,1215284.42029979,1223057.93875299
"Total Mortality","Neonatal Female",250263.059366578,3210.9902916846,245453.085959109,248196.412556727,250035.619313894,251738.501865896,256285.783039049
"Total Mortality","Neonatal Male",195279.714731097,3891.6607902058,188732.062139558,194750.148537679,195831.997406806,196747.501403012,201434.399059367
"Total Mortality","Neonatal Combined",445542.774097675,4206.69075220777,441106.552218315,442492.915726649,445158.803924623,446623.689753529,455134.06288455
"Total Mortality","Juvenile Female",188035.687841573,1128.52016202977,185744.722495867,187630.946604894,188192.535804602,188780.162491548,189488.726314202
"Total Mortality","Juvenile Male",120326.413618277,473.631926074383,119492.605898639,120100.499318138,120450.324516175,120588.668358875,121018.196939039
"Total Mortality","Juvenile Combined",308362.10145985,1124.08907803188,306296.435834312,307688.024198576,308834.440084167,309198.708150404,309442.922409128
"Total Mortality","Adult Female",459898.872701301,5.89454236309123,459890.826075389,459893.274172636,459899.493068324,459903.212332627,459906.940460426
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",21016891794.4629,43775185.907145,20960238320.9964,20986792865.6643,21013809379.6154,21032721798.9204,21117852307.9303
"Value of Total Mortality","Neonatal Female",2780732427.45274,35678077.5034182,2727287667.91377,2757769422.78561,2778205286.88553,2797126420.29004,2847652343.87995
"Value of Total Mortality","Neonatal Male",2120928922.97877,42267246.9577071,2049815004.26921,2115177315.55861,2126927253.64093,2136870523.51578,2187774821.54845
"Value of Total Mortality","Neonatal Combined",4901661350.43151,46076775.1041171,4853905408.58735,4868922070.55515,4897421586.99905,4913408490.6799,5007339378.39679
"Value of Total Mortality","Juvenile Female",2980143918.66741,17885713.8055632,2943834819.46791,2973729247.34107,2982629773.92468,2991942963.97732,3003172865.02063
"Value of Total Mortality","Juvenile Male",2355860205.11092,9273197.57113742,2339535157.54787,2351437049.0186,2358286245.61658,2360994867.4714,2369404569.53546
"Value of Total Mortality","Juvenile Combined",5336004123.77833,18253337.7228019,5304106147.8643,5323159701.54914,5344283108.20322,5348262845.01185,5354158043.81098
"Value of Total Mortality","Adult Female",10779226320.2531,138157.777627865,10779037721.3959,10779095100.5195,10779240860.5726,10779328033.6318,10779415414.4359
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1231723908.23887,563344665.709381,444865514.562265,838033867.929973,1256423902.73782,1641889294.54451,2011556512.31354
"Population Liveweight (kg)","Neonatal Female",69331630.3156065,43999106.3471744,6903798.41617951,30134959.0500619,84533738.3532508,94494643.3710875,141340315.882971
"Population Liveweight (kg)","Neonatal Male",66766239.9727144,44112900.1906763,12098079.4050357,38648407.935072,50761228.4812945,103635316.202811,132275049.590033
"Population Liveweight (kg)","Juvenile Female",146074342.07774,119308416.549587,15014259.1554196,39643046.7442348,145576041.055122,186864881.169312,383486412.502803
"Population Liveweight (kg)","Juvenile Male",117194758.599975,75604832.9346469,3064560.45609321,65230199.2683113,108024758.752684,157979353.388514,242709529.569987
"Population Liveweight (kg)","Juvenile Combined",263269100.677716,136161673.843623,87057387.4037628,142829033.466791,280439249.372463,351008092.654499,450934711.770971
"Population Liveweight (kg)","Adult Female",574912303.304957,379298043.060915,74213257.340352,262235859.718288,566533317.293241,902962817.032601,1083482561.30039
"Population Liveweight (kg)","Adult Male",257444633.967877,160263210.628607,17877080.8940612,104799193.979766,335711794.142571,389338316.561239,429050247.943307
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",152990622.723309,83847509.827898,25509698.6595207,95901278.698085,169491044.618047,211856015.759436,257125045.371969
"Offtake Liveweight (kg)","Juvenile Female",4197108.77876722,2077715.59415955,628015.95807555,2600673.66428468,4349106.28982013,5705496.23038182,7351695.08726114
"Offtake Liveweight (kg)","Juvenile Male",2862098.07007355,1235631.97478124,206446.084929086,2094489.43015631,3259708.87316368,3849179.08890049,4037741.00535111
"Offtake Liveweight (kg)","Adult Female",19426204.1870647,14706892.768173,4660375.29748393,7542334.94860708,14594076.1562694,28513944.228303,48811456.6141999
"Offtake Liveweight (kg)","Adult Male",126505211.687403,79826450.9139249,5121899.7257475,65814815.2060704,146481175.396943,195131622.972233,224332054.454563
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",458677568.67615,101270583.870083,261603983.449698,425183339.071151,443911758.49426,535278046.637413,614438632.873775
"Manure","Overall",7081042253.44868,283855524.694669,6653652213.27808,6820086970.63885,7171608541.15364,7229497052.84339,7497601105.17887
"Manure","Neonatal Female",442759872.700611,11353900.1358878,427979474.687804,436718055.11634,442052351.791688,448443067.253256,466804909.130453
"Manure","Neonatal Male",357773785.420527,8694674.07255294,346143729.108213,352255337.034325,357293998.270549,362382845.310437,375075627.545473
"Manure","Neonatal Combined",800533658.121138,14756412.2696604,774939833.610694,789997312.539215,801752286.849715,809219631.612431,824298176.14291
"Manure","Juvenile Female",770618211.116452,22908080.209786,740153524.271969,754939912.71687,763620259.421365,789548244.83385,808329304.374188
"Manure","Juvenile Male",508217667.34665,10725848.8396251,491245683.916764,502972853.29952,510277141.490009,516111027.070934,521014369.264904
"Manure","Juvenile Combined",1278835878.4631,24333073.1937527,1239968239.52084,1264438096.55422,1279056918.05648,1296958004.69521,1315435029.45462
"Manure","Adult Female",3573689453.05436,211391547.719568,3240044119.34034,3473425029.92223,3596837329.27425,3604222550.17541,3958646119.74161
"Manure","Adult Male",1427983263.81008,127804554.144812,1212171859.22017,1334248327.22477,1465679157.29725,1513319480.35333,1568773151.45498
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",384130.487080576,560.558078196092,383101.688147369,383793.479047673,384364.535100675,384547.462318539,384672.123782584
"Hides","Juvenile Female",94017.8439207866,564.260081014887,92872.3612479334,93815.4733024469,94096.267902301,94390.0812457738,94744.3631571011
"Hides","Juvenile Male",60163.2068091384,236.815963037191,59746.3029493193,60050.249659069,60225.1622580876,60294.3341794376,60509.0984695195
"Hides","Juvenile Combined",154181.050729925,562.044539015941,153148.217917156,153844.012099288,154417.220042083,154599.354075202,154721.461204564
"Hides","Adult Female",229949.436350651,2.94727118154561,229945.413037694,229946.637086318,229949.746534162,229951.606166313,229953.470230213
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",403307552.570783,66822356.75286,296897708.601497,367580754.690527,399778657.748038,432384294.967202,550147311.596963
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",13299735478.9929,685953266.102998,11970407053.1599,13166664223.3797,13304577829.9615,13530351950.9289,14578370743.744
"Cml Dry Matter","Neonatal Female",991835359.958606,83841178.4893931,846368470.967562,950223069.960348,984116470.662976,1059653723.16054,1122530050.02505
"Cml Dry Matter","Neonatal Male",796412551.807698,57141079.835948,717388636.391694,764096546.885254,810057069.108599,812175425.282573,900957129.381214
"Cml Dry Matter","Neonatal Combined",1788247911.7663,108010424.19922,1656967130.98044,1685922728.0983,1794997395.42363,1865073441.43187,1974564529.17686
"Cml Dry Matter","Juvenile Female",1640083215.30929,199225126.446201,1205155348.51481,1576755459.28961,1623220289.46694,1772219351.19911,1898533990.31988
"Cml Dry Matter","Juvenile Male",1067605752.15346,137279424.72793,855105837.137226,977297577.412905,1088381735.34472,1115198569.43483,1360121671.30889
"Cml Dry Matter","Juvenile Combined",2707688967.46275,305754465.062469,2060261185.65204,2627340605.50373,2684086302.26756,2818075210.69528,3258655661.62878
"Cml Dry Matter","Adult Female",6156696373.75564,597323411.026042,5153480240.6419,5842417566.34605,6148753598.22498,6524884248.94091,7178075044.20137
"Cml Dry Matter","Adult Male",2647102226.00817,551991859.887391,1906518039.32725,2094357984.25439,2771946244.06754,3075712860.83222,3308824425.68292
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",42437195959.2213,7523953100.36242,27148960389.7316,38055556198.2643,43718989630.2172,46702958279.466,52410869785.0163
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",740904332.182605,38045481.5868805,680080007.231148,721322182.625094,741212186.027279,774810238.927422,782666211.609969
"Value of Offtake","Juvenile Male",464529026.052478,9421190.41510529,447789035.362938,461874877.362295,467171031.13181,471535631.133654,474444247.125458
"Value of Offtake","Juvenile Combined",1205433358.23508,37035428.6008638,1146318145.85277,1181991371.21158,1206849135.20432,1236262867.02555,1257110458.73543
"Value of Offtake","Adult Female",5611562584.03013,497678103.20208,4821089799.99838,5207805387.71947,5657996554.32266,6026272909.44071,6176623760.4584
"Value of Offtake","Adult Male",35620200016.9561,7708800700.24845,20295390394.3713,30896549916.1211,36864342820.2032,40563480412.0486,45157901719.3247
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",2115895958.05895,2682289178.65497,-2247756902.01732,362655800.168717,2867819146.16323,3506058734.57079,6249563441.07471
"Value of Herd Increase","Neonatal Female",-4481957776.317,51933320.2723485,-4569125536.7706,-4510454807.95239,-4472940258.84368,-4446335589.92801,-4403981180.10566
"Value of Herd Increase","Neonatal Male",778376732.849979,68984278.2180687,701519509.4312,736303888.828121,755452174.072839,828530089.803203,894885990.579981
"Value of Herd Increase","Neonatal Combined",-3703581043.46702,85949195.1324899,-3790167470.08572,-3769017290.78232,-3745696777.30489,-3635620372.77391,-3570905467.27358
"Value of Herd Increase","Juvenile Female",13167131183.1568,497454938.6642,12150949418.5376,12843120663.0148,13366408115.3674,13505971926.7593,13730161273.4981
"Value of Herd Increase","Juvenile Male",15482118654.6155,586702356.894712,14454661908.9372,15008197695.5727,15832727909.3199,15869813382.8143,16061335497.6274
"Value of Herd Increase","Juvenile Combined",28649249837.7723,702156087.989658,27709655710.4848,28054105092.913,28474662643.4058,29404146904.9805,29444588505.0679
"Value of Herd Increase","Adult Female",-8433461106.19359,495965222.284459,-9123687318.27117,-8642728588.74988,-8615883150.23628,-8168882337.46497,-7483351800.6115
"Value of Herd Increase","Adult Male",-14396311730.0528,2468089074.56013,-17837062295.4282,-15895730091.0851,-14207344044.9413,-13637591973.2585,-10261799462.072
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",44553091917.2802,7461361423.39719,31874166891.1467,40165444737.8113,45811742517.5975,47049430235.8289,58660433226.091
"Value of Herd Increase plus Offtake","Neonatal Female",-4481957776.317,51933320.2723485,-4569125536.7706,-4510454807.95239,-4472940258.84368,-4446335589.92801,-4403981180.10566
"Value of Herd Increase plus Offtake","Neonatal Male",778376732.849979,68984278.2180687,701519509.4312,736303888.828121,755452174.072839,828530089.803203,894885990.579981
"Value of Herd Increase plus Offtake","Neonatal Combined",-3703581043.46702,85949195.1324899,-3790167470.08572,-3769017290.78232,-3745696777.30489,-3635620372.77391,-3570905467.27358
"Value of Herd Increase plus Offtake","Juvenile Female",13908035515.3394,494693113.25947,12933615630.1475,13558988725.6333,14075800047.1615,14267516154.8835,14473881789.1954
"Value of Herd Increase plus Offtake","Juvenile Male",15946647680.668,590198336.858953,14903800473.0779,15477626729.2943,16293844550.5641,16335068116.5144,16527573636.249
"Value of Herd Increase plus Offtake","Juvenile Combined",29854683196.0074,706638235.643849,28911408276.7222,29274512157.6596,29683083010.8811,30605087961.8851,30674224173.3265
"Value of Herd Increase plus Offtake","Adult Female",-2821898522.16347,762151660.460599,-3809969732.91067,-3413814220.34775,-2851988927.09044,-2466728201.83745,-1306728040.15311
"Value of Herd Increase plus Offtake","Adult Male",21223888286.9033,7575608853.71341,9145054610.11767,15124587457.861,23150851051.016,23765526069.5102,34896102257.2527
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",3540521126.72434,141927762.347334,3326826106.63904,3410043485.31942,3585804270.57682,3614748526.42169,3748800552.58944
"Value of Manure","Neonatal Female",221379936.350305,5676950.06794389,213989737.343902,218359027.55817,221026175.895844,224221533.626628,233402454.565226
"Value of Manure","Neonatal Male",178886892.710264,4347337.03627647,173071864.554107,176127668.517163,178646999.135275,181191422.655219,187537813.772737
"Value of Manure","Neonatal Combined",400266829.060569,7378206.13483022,387469916.805347,394998656.269608,400876143.424858,404609815.806216,412149088.071455
"Value of Manure","Juvenile Female",385309105.558226,11454040.104893,370076762.135985,377469956.358435,381810129.710682,394774122.416925,404164652.187094
"Value of Manure","Juvenile Male",254108833.673325,5362924.41981253,245622841.958382,251486426.64976,255138570.745004,258055513.535467,260507184.632452
"Value of Manure","Juvenile Combined",639417939.231551,12166536.5968764,619984119.760421,632219048.277112,639528459.028241,648479002.347605,657717514.727308
"Value of Manure","Adult Female",1786844726.52718,105695773.859784,1620022059.67017,1736712514.96112,1798418664.63713,1802111275.0877,1979323059.87081
"Value of Manure","Adult Male",713991631.905041,63902277.0724061,606085929.610085,667124163.612383,732839578.648624,756659740.176667,784386575.727492
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",33407907.3058,41526.6119602448,33340165.9298647,33374291.3260641,33423530.0153692,33438835.7840027,33451383.3816689
"Value of Hides","Juvenile Female",6557216.71083876,39353.972375791,6477325.72620038,6543102.49650432,6562686.34320504,6583178.17417396,6607887.34822458
"Value of Hides","Juvenile Male",6296199.45855194,24783.2623513802,6252569.63900478,6284378.26774736,6302683.21972122,6309922.19910496,6332397.70994699
"Value of Hides","Juvenile Combined",12853416.1693907,41658.0957427773,12785314.2170477,12819797.454615,12869097.8016673,12884659.4029777,12896674.815504
"Value of Hides","Adult Female",20554491.1364093,263.447740246448,20554131.5045189,20554240.9185578,20554518.862784,20554685.0897302,20554851.712817
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",12502534129.6943,2071493059.33866,9203828966.64639,11395003395.4063,12393138390.1892,13403913143.9833,17054566659.5058
"Total Production Value","Overall",60629555081.0046,8087291192.31439,46503408089.0747,55629883774.9429,61329186664.0043,63985458566.9023,75283712278.0891
"Total Production Value","Neonatal Female",-4260577839.9667,52738449.3602668,-4348421931.69898,-4290402562.88587,-4256808735.03097,-4223629197.43921,-4179212668.89433
"Total Production Value","Neonatal Male",957263625.560242,66255564.0311483,880266142.937429,915316572.628438,935117823.702828,1007072474.4246,1068366170.04143
"Total Production Value","Neonatal Combined",-3303314214.40646,80928556.5214845,-3385909812.55422,-3368238942.09659,-3341255837.64121,-3238963170.85465,-3176484855.99941
"Total Production Value","Juvenile Female",14299901837.6085,496265253.741961,13310246821.0383,13961790331.7178,14458804292.8038,14651623064.7711,14884631773.7243
"Total Production Value","Juvenile Male",16207052713.7998,589872428.616072,15155798814.5766,15741396637.8324,16555405559.3918,16593840830.5036,16779496019.6099
"Total Production Value","Juvenile Combined",30506954551.4084,700639372.852165,29575914290.2265,29917776661.1729,30336705491.6767,31250699918.4986,31328948905.2398
"Total Production Value","Adult Female",11488034825.1944,2085565125.1587,7440367246.43672,10545339912.7072,11689901356.8642,12344127024.9426,15382496734.5539
"Total Production Value","Adult Male",21937879918.8083,7556615647.91288,9898685009.81966,15864398872.0592,23856869223.2194,24478773665.0758,35627973814.4869
"Total Production Value","Oxen",0,0,0,0,0,0,0
"Feed Cost","Overall",525485321.920025,13229945.1465644,502312105.979184,518737648.456943,522992241.466829,531274395.924597,548751317.95747
"Feed Cost","Neonatal Female",36638258.9827997,1682817.41367916,35179192.1377484,35499806.1071524,36103810.8286648,36761768.711073,40532451.5169402
"Feed Cost","Neonatal Male",30277108.8612744,1447941.20738979,27995290.7551145,29660798.9416219,30263063.8778363,31105253.9068831,32319444.7633296
"Feed Cost","Neonatal Combined",66915367.844074,2003340.0393435,64070868.5200024,65673223.3450744,66423980.3955671,68146973.9931077,70628599.5197323
"Feed Cost","Juvenile Female",66605348.9328526,3696254.71721442,60602218.4040814,64686420.793464,66414287.27601,67326465.1770722,74036788.2194299
"Feed Cost","Juvenile Male",44752677.249014,1836089.29455444,41157947.5700281,43610525.5035839,45152179.1040026,45831059.733436,47220260.3969705
"Feed Cost","Juvenile Combined",111358026.181867,4552306.19364842,104008300.908957,109606092.754609,111239531.553352,114116238.243172,119144823.579152
"Feed Cost","Adult Female",246831790.553644,8502854.18438381,233841521.435651,240978786.946055,245282879.571779,251439102.962418,261301302.85452
"Feed Cost","Adult Male",100380137.34044,5164696.77819676,90793330.888869,99209676.0098005,101715651.867413,104014614.154475,105540271.782495
"Feed Cost","Oxen",0,0,0,0,0,0,0
"Labour Cost","Overall",5355973957.1768,91610057.8820661,5261888446.95321,5277530809.31439,5321539938.12989,5429144301.63657,5507697046.21317
"Labour Cost","Neonatal Female",753643456.597882,24815660.4978369,707021017.088363,736859372.80673,756320681.510412,770930020.912682,787741267.377922
"Labour Cost","Neonatal Male",592478345.329033,28928511.394245,531275217.230157,591565462.67193,596182302.415095,614982646.523656,619025874.910763
"Labour Cost","Neonatal Combined",1346121801.92692,49953840.2711361,1238296234.31852,1339274781.53709,1352265127.63405,1380211569.85861,1400749761.02649
"Labour Cost","Juvenile Female",741629876.734466,26732183.1430407,682178000.200569,726780570.468924,751470505.562054,760472968.719617,771122227.202426
"Labour Cost","Juvenile Male",479324105.530047,20315179.6938683,444088427.003712,473106553.232478,479166377.402751,490976286.237011,507267707.536555
"Labour Cost","Juvenile Combined",1220953982.26451,39357935.4508966,1163979358.33251,1200748770.60045,1218459020.45994,1245607856.68916,1278389934.73898
"Labour Cost","Adult Female",1944129337.6741,100682322.009675,1772075508.55824,1917297904.14686,1944155321.98885,2008856998.68405,2113005414.99628
"Labour Cost","Adult Male",844768835.311273,56290923.81175,756796482.154508,808951015.545757,841465610.329586,872223981.682053,938655031.549073
"Labour Cost","Oxen",0,0,0,0,0,0,0
"Health Cost","Overall",1572371334.70517,334192.910687668,1571649357.41478,1572277070.83555,1572405091.92643,1572546212.84597,1572797488.82815
"Health Cost","Neonatal Female",216267228.822083,145734.690428612,215950339.526191,216218231.619857,216257371.101132,216363249.558493,216485572.432732
"Health Cost","Neonatal Male",172534937.009355,209524.091767013,172294584.075333,172393484.116427,172491580.824904,172610335.231828,172897336.363427
"Health Cost","Neonatal Combined",388802165.831439,256990.675005027,388274680.204931,388669439.13989,388827692.301351,388957011.875024,389121862.593834
"Health Cost","Juvenile Female",213792435.780081,68618.9804548012,213706562.064136,213732726.794175,213791412.63874,213828652.856769,213913435.761174
"Health Cost","Juvenile Male",139413980.29882,68304.1482272441,139328769.349987,139374237.201747,139392116.380591,139436443.132122,139543081.087538
"Health Cost","Juvenile Combined",353206416.078901,78051.4684093127,353035331.414124,353170625.565382,353223876.741448,353261975.764195,353298597.135966
"Health Cost","Adult Female",584044259.659129,9726.42978097478,584031262.475744,584035114.553836,584045084.392471,584051175.958701,584058330.614297
"Health Cost","Adult Male",246318493.135703,7673.71434708102,246308083.319977,246314573.325974,246316094.673666,246321612.025292,246331073.237722
"Health Cost","Oxen",0,0,0,0,0,0,0
"Capital Cost","Overall",0,0,0,0,0,0,0
"Capital Cost","Neonatal Female",0,0,0,0,0,0,0
"Capital Cost","Neonatal Male",0,0,0,0,0,0,0
"Capital Cost","Neonatal Combined",0,0,0,0,0,0,0
"Capital Cost","Juvenile Female",0,0,0,0,0,0,0
"Capital Cost","Juvenile Male",0,0,0,0,0,0,0
"Capital Cost","Juvenile Combined",0,0,0,0,0,0,0
"Capital Cost","Adult Female",0,0,0,0,0,0,0
"Capital Cost","Adult Male",0,0,0,0,0,0,0
"Capital Cost","Oxen",0,0,0,0,0,0,0
"Infrastructure Cost","Overall",13443444,0,13443444,13443444,13443444,13443444,13443444
"Infrastructure Cost","Neonatal Female",2125357,0,2125357,2125357,2125357,2125357,2125357
"Infrastructure Cost","Neonatal Male",1442971,0,1442971,1442971,1442971,1442971,1442971
"Infrastructure Cost","Neonatal Combined",3568328,0,3568328,3568328,3568328,3568328,3568328
"Infrastructure Cost","Juvenile Female",1357941,0,1357941,1357941,1357941,1357941,1357941
"Infrastructure Cost","Juvenile Male",756401,0,756401,756401,756401,756401,756401
"Infrastructure Cost","Juvenile Combined",2114342,0,2114342,2114342,2114342,2114342,2114342
"Infrastructure Cost","Adult Female",5323753,0,5323753,5323753,5323753,5323753,5323753
"Infrastructure Cost","Adult Male",2437021,0,2437021,2437021,2437021,2437021,2437021
"Infrastructure Cost","Oxen",0,0,0,0,0,0,0
"Total Expenditure","Overall",7467274057.802,84058804.6020682,7371168810.92163,7406697403.67477,7434758610.63614,7530972166.53084,7611073856.59787
"Total Expenditure","Neonatal Female",1008674301.40277,24547625.4762436,961259144.132088,993614013.478171,1010742433.68827,1027215864.25337,1041589306.60826
"Total Expenditure","Neonatal Male",796733362.199662,28431299.9247842,737145055.253471,794865201.950598,800467788.685649,817956855.713557,823946349.108574
"Total Expenditure","Neonatal Combined",1805407663.60243,49007958.0093034,1698404199.38556,1799722371.73107,1809657570.52407,1839704312.7197,1859667630.40735
"Total Expenditure","Juvenile Female",1023385602.4474,27606310.1793317,961222899.978322,1008732989.39617,1035243424.48969,1040580830.89648,1053123332.40254
"Total Expenditure","Juvenile Male",664247164.077881,19905524.7068526,631048383.266044,659828359.400799,662558563.789949,675815664.164602,691899688.555379
"Total Expenditure","Juvenile Combined",1687632766.52528,39177233.8981232,1629238904.54935,1668561348.79697,1686541759.47863,1710395515.38407,1745023020.95792
"Total Expenditure","Adult Female",2780329140.88687,101324846.310568,2612744754.64072,2748330007.70373,2784644022.71789,2842862220.26063,2947059617.02905
