"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1297113.32688003,32.3446292015233,1297067.50411941,1297094.06010199,1297106.92806419,1297135.92726786,1297173.67536217
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",46575.3429009243,14.2352366935499,46552.6789271099,46568.6715239243,46578.1229804764,46583.2533281333,46595.4168987802
"Num Offtake","Juvenile Male",23800.3961736055,8.83634315692089,23789.6567031854,23794.2636723112,23801.4695963322,23803.6133594298,23820.1824343742
"Num Offtake","Juvenile Combined",70375.7390745299,15.9443166934886,70348.3583739394,70367.2065394093,70375.2601111174,70388.8475599227,70398.0260451813
"Num Offtake","Adult Female",245715.370105631,3.1613945103659,245710.14461482,245713.811890722,245715.918405615,245716.86295648,245719.749079715
"Num Offtake","Adult Male",981022.217699873,21.5745171034928,980995.632317305,981007.594839544,981023.512564868,981029.46981439,981069.362528983
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",530771.139970325,5609.50572388637,523434.06487859,526178.249211996,530480.317895539,535527.263108396,539611.766002435
"Cml Pop Growth","Neonatal Female",-398804.850929566,2645.83676774778,-402935.3890521,-400324.507199295,-398988.636237488,-397442.256896974,-394174.808675787
"Cml Pop Growth","Neonatal Male",75827.4010392762,1975.40438434969,72952.6318760985,74179.790191326,76432.5755318055,77227.2687611324,78275.7010973452
"Cml Pop Growth","Neonatal Combined",-322977.449890289,3934.32028927465,-328945.662556666,-325576.033430313,-323346.350278224,-320090.211823521,-317370.183564708
"Cml Pop Growth","Juvenile Female",936911.414800987,1261.48004557183,935042.830318511,935991.973056342,937030.208397082,937628.152086394,938850.717609204
"Cml Pop Growth","Juvenile Male",876160.842970841,1070.33146798347,874736.928702123,875338.563257119,876096.948842235,876662.324656877,878388.507486265
"Cml Pop Growth","Juvenile Combined",1813072.25777183,1758.81500864655,1810162.36604562,1811837.38661499,1813359.67589211,1813976.49985609,1815872.56453752
"Cml Pop Growth","Adult Female",-343710.409983423,268.413601614047,-344136.570130089,-343836.939670817,-343657.653967763,-343559.949058697,-343331.65609088
"Cml Pop Growth","Adult Male",-615613.25792779,194.542470183184,-615848.937194912,-615748.830380579,-615589.411650401,-615541.08201396,-615176.780133855
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1827884.46685036,5630.17437374543,1820542.10218198,1823262.6820208,1827595.40957968,1832630.89884708,1836752.58965074
"Total Number Increase","Neonatal Female",-398804.850929566,2645.83676774778,-402935.3890521,-400324.507199295,-398988.636237488,-397442.256896974,-394174.808675787
"Total Number Increase","Neonatal Male",75827.4010392762,1975.40438434969,72952.6318760985,74179.790191326,76432.5755318055,77227.2687611324,78275.7010973452
"Total Number Increase","Neonatal Combined",-322977.449890289,3934.32028927465,-328945.662556666,-325576.033430313,-323346.350278224,-320090.211823521,-317370.183564708
"Total Number Increase","Juvenile Female",983486.757701911,1274.9713684186,981597.23973091,982560.644580266,983608.331377559,984216.994461464,985446.134507984
"Total Number Increase","Juvenile Male",899961.239144447,1078.74803882897,898526.585405308,899130.546991433,899900.139422466,900465.565325745,902208.689920639
"Total Number Increase","Juvenile Combined",1883447.99684636,1774.20678773075,1880510.72441956,1882206.39223088,1883734.93600322,1884367.04235833,1886270.5905827
"Total Number Increase","Adult Female",-97995.0398777923,271.551574455828,-98426.4255152688,-98122.8986786238,-97941.7355621475,-97843.0861022173,-97611.9070111648
"Total Number Increase","Adult Male",365408.959772083,215.903248689242,365146.695122393,365259.011737574,365435.228405793,365487.824054767,365892.582395128
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1135493.31968905,4922.30159724282,1127011.93502939,1134155.48473834,1136119.06810142,1138537.8350147,1142768.84499784
"Total Mortality","Neonatal Female",249892.917952984,3122.34844894754,244986.645365547,247912.804567252,250561.807245377,251586.869100829,255309.209314113
"Total Mortality","Neonatal Male",195283.138219955,2967.9726471438,189267.191753921,193238.770149065,196344.041042765,197554.021109461,198626.021271586
"Total Mortality","Neonatal Combined",445176.056172938,4927.22583330949,436686.77405269,443838.822811949,445798.271571469,448226.631209534,452453.44712783
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",460716.318948058,5.92761470693849,460706.521152788,460713.397295103,460717.347010529,460719.1180434,460724.529524465
"Total Mortality","Adult Male",229600.944568055,5.0493550667646,229594.722457242,229597.522196489,229601.247621565,229602.641871453,229611.97846423
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",26342663822.3431,52713523.4493655,26254812853.3744,26325650894.2984,26349920967.7511,26374811572.4913,26422922235.1758
"Value of Total Mortality","Neonatal Female",2846053972.7613,35560720.4888622,2790175972.28291,2823502274.96153,2853672015.89572,2865346541.88843,2907740625.07721
"Value of Total Mortality","Neonatal Male",1952126858.04922,29669018.8986978,1891989097.15507,1931690552.81929,1962732058.85184,1974827494.26645,1985543628.42628
"Value of Total Mortality","Neonatal Combined",4798180830.81052,52877167.9870315,4709874017.25849,4781265688.09683,4805390958.38637,4830435356.10169,4878471764.76387
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",10562647782.7437,135899.910131636,10562423152.8441,10562580799.2447,10562671352.6963,10562711956.4163,10562836023.1492
"Value of Total Mortality","Adult Male",10981835208.7888,241511.13732667,10981537604.6316,10981671516.4284,10981849703.8672,10981916390.9732,10982362961.1015
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1433897434.7176,328283534.949333,912842312.789804,1215207485.49563,1438765114.77241,1570658005.09549,1997438174.47328
"Population Liveweight (kg)","Neonatal Female",81330937.5854917,62633084.7028987,19026822.2687174,30179069.7163639,52709070.7414372,147930421.560022,165801165.812616
"Population Liveweight (kg)","Neonatal Male",83517559.1800222,45593467.2694222,12141767.850232,53611560.9166718,84247977.6002059,123081239.741306,136433126.868849
"Population Liveweight (kg)","Juvenile Female",190008518.612595,119148061.546545,9179261.00962269,106113982.089258,223789588.505964,252887729.274209,383211408.8358
"Population Liveweight (kg)","Juvenile Male",188908850.539302,89388710.638019,29368310.0832116,128949137.705549,211288562.60027,262535188.067387,279205702.867778
"Population Liveweight (kg)","Juvenile Combined",378917369.151897,151664642.207412,107168689.21986,298316132.227382,365803616.406952,468424998.571466,661125625.108465
"Population Liveweight (kg)","Adult Female",689239358.460189,260576361.537274,194233641.761556,613785256.069464,699699242.419674,804268922.342445,1155375953.57237
"Population Liveweight (kg)","Adult Male",200892210.339999,137439598.613135,21857544.493446,86067932.493519,203078686.806293,301887246.436315,426160292.122399
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",160546608.056051,66028174.3108048,38966534.7570846,142665520.188554,184659002.670212,202046059.46481,229159334.352109
"Offtake Liveweight (kg)","Juvenile Female",4424711.45864311,2484686.17348223,1071610.41173941,2212418.55209038,5215242.43660517,6195639.44992457,8102846.67613825
"Offtake Liveweight (kg)","Juvenile Male",2341809.07963761,1285034.95228845,476036.416170224,1314710.51236665,2653251.6157847,3243014.79409058,3997383.42553887
"Offtake Liveweight (kg)","Adult Female",28601230.5440759,17706282.7306258,4668612.96786619,15357193.5865384,25431390.8139372,43369409.1601796,54794526.354475
"Offtake Liveweight (kg)","Adult Male",125178856.973695,63254257.7561038,14715112.0680036,110611842.989457,141758058.166045,167508520.346613,195220585.185734
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",509805242.964502,95282893.0937058,318710462.706176,474367100.775529,504541476.836592,573353145.67603,636459758.993066
"Manure","Overall",7015739368.59,188761163.989755,6722852457.02728,6956454394.77466,6999072670.81756,7068332798.05301,7385560849.64732
"Manure","Neonatal Female",440334968.849961,10576516.5771935,421337340.463937,434666442.498231,439742528.743124,442678762.577693,458281808.111997
"Manure","Neonatal Male",349139512.761868,10548681.666873,329676448.380714,341015315.003965,350718040.73132,356739093.041965,363174704.544552
"Manure","Neonatal Combined",789474481.611829,12534258.4478762,766515121.910801,789585923.058171,792639246.065622,797001240.880728,802770381.653781
"Manure","Juvenile Female",820175123.069522,19298495.4504963,779411600.518697,816582922.216291,819404575.483413,828183512.714145,852507060.15288
"Manure","Juvenile Male",523905088.058674,16207001.8886692,494940431.750137,518070231.503431,521411784.20961,528019408.613762,550428762.480126
"Manure","Juvenile Combined",1344080211.1282,22773707.8039615,1312652175.91475,1331495711.80852,1343297546.07343,1347899791.04381,1400155875.33203
"Manure","Adult Female",3495629439.43667,168172057.783785,3233681950.39699,3363088883.15659,3483774275.18809,3604522342.53682,3734203687.0397
"Manure","Adult Male",1386555236.41331,95678154.5999117,1248286662.88445,1309294202.47245,1371061964.42336,1454542961.70133,1537915166.69157
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",345158.631758057,3.45282654847287,345153.035742299,345156.110291817,345157.846980556,345162.104352438,345162.834270291
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",230358.159474029,2.96380735346925,230353.260576394,230356.698647552,230358.673505264,230359.5590217,230362.264762233
"Hides","Adult Male",114800.472284028,2.5246775333823,114797.361228621,114798.761098244,114800.623810782,114801.320935726,114805.989232115
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",379638829.951394,69232877.6167212,279889683.94708,324865268.888369,391023690.20165,411303317.168801,484403452.530346
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",14131812216.9798,1512876181.951,10559143224.5439,13742323293.8079,14554067895.2799,14945332560.4054,15741525428.0845
"Cml Dry Matter","Neonatal Female",994286661.036139,100574983.048878,843626814.321916,919864528.872186,987434626.10934,1061864376.80834,1176587497.51996
"Cml Dry Matter","Neonatal Male",810883374.830152,94973514.0693128,676366135.733049,732260813.983881,810255731.194517,856657678.819339,991095105.777549
"Cml Dry Matter","Neonatal Combined",1805170035.86629,102210346.691183,1643906142.94285,1732219631.23782,1805129885.04786,1868788054.53289,1987628654.00066
"Cml Dry Matter","Juvenile Female",1722194743.00402,282168422.656774,1290459077.5712,1485551112.61843,1813005918.99972,1934694864.63766,2129684119.42611
"Cml Dry Matter","Juvenile Male",1253415997.43449,87554014.131688,1103077505.95908,1226963911.18568,1252989981.39546,1325715365.77381,1363396446.69386
"Cml Dry Matter","Juvenile Combined",2975610740.4385,294436418.908652,2517157391.98914,2781875729.17404,3030536011.6513,3174727739.83188,3436597544.48913
"Cml Dry Matter","Adult Female",6932196999.42138,914009890.214201,4889308104.87323,6468504600.55018,7318096620.52581,7558709754.72383,7947209829.94891
"Cml Dry Matter","Adult Male",2418834441.25359,475606628.02625,1346624184.06128,2256010197.17516,2472247143.73973,2622245159.68478,3092430670.45482
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",40031211843.3063,6881848441.60275,29227817535.6831,33628209185.0456,43327909117.8642,45191657253.7717,48063514493.3206
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",782259811.462492,28737906.2942576,717096564.00117,766364021.567567,794840995.886059,800216126.380481,807866708.350346
"Value of Offtake","Juvenile Male",479049923.64055,13820221.44625,456894050.506435,466947655.490064,484654731.312276,489221757.870316,493579948.490743
"Value of Offtake","Juvenile Combined",1261309735.10304,30165322.7749159,1205988297.77058,1249060278.62432,1269623879.15683,1280570257.06691,1298043809.39169
"Value of Offtake","Adult Female",5757259980.03669,309852348.482229,5324116663.71431,5604493280.23111,5732893456.6607,5923913634.90774,6305729201.0992
"Value of Offtake","Adult Male",33012642128.1666,6979414252.04517,22081134250.3592,26617346112.914,36588731731.0125,37784191322.9463,41485895985.1969
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
