"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505216.186606774,49.9438800394653,505136.130152461,505186.184650706,505210.53120665,505261.80317291,505279.627322435
"Num Offtake","Neonatal Female",35696.5319829451,6.79336482018782,35685.6789700163,35692.4898584328,35695.7505169413,35702.7049690791,35705.1955958059
"Num Offtake","Neonatal Male",110007.162401899,37.4327536084636,109947.167349945,109984.000726212,110003.523300236,110040.90912942,110053.947645171
"Num Offtake","Neonatal Combined",145703.694384844,44.222495639237,145632.846319961,145676.614921622,145699.273817177,145743.614098499,145759.143240977
"Num Offtake","Juvenile Female",114001.770536366,4.95780397886117,113994.134914047,113997.64637022,114001.645876514,114006.204332028,114008.550416888
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114001.770536366,4.95780397886117,113994.134914047,113997.64637022,114001.645876514,114006.204332028,114008.550416888
"Num Offtake","Adult Female",237037.012941882,0.632280459822415,237036.013889437,237036.519706438,237037.068988912,237037.540563453,237037.783247879
"Num Offtake","Adult Male",8473.70874368253,0.362877386966718,8473.13502901662,8473.42609313105,8473.74090483321,8474.01162772654,8474.15041669066
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72995.5302019122,308.288808281935,72496.873690808,72761.6597692002,73077.5531531776,73206.2485303974,73434.8635941143
"Cml Pop Growth","Neonatal Female",-14648.9581883661,113.759639230237,-14828.8388078662,-14724.0682260187,-14604.0582837381,-14582.461145823,-14484.9975033124
"Cml Pop Growth","Neonatal Male",92484.8714789796,94.488108595314,92338.9777601292,92428.0001121928,92521.455611695,92538.457222668,92624.4765202688
"Cml Pop Growth","Neonatal Combined",77835.9132906135,208.062747304482,77510.138952263,77703.9318861741,77917.3973279569,77955.0502869853,78139.4790169564
"Cml Pop Growth","Juvenile Female",-13106.7010092481,47.5981571748594,-13182.7515739689,-13138.0510014652,-13110.7174185299,-13064.4542517436,-13047.6556820818
"Cml Pop Growth","Juvenile Male",107118.479090788,43.9448225046454,107048.059933535,107088.59085814,107115.287280075,107157.397624281,107173.552898457
"Cml Pop Growth","Juvenile Combined",94011.77808154,91.5391657475136,93865.308359566,93950.5398566745,94004.569861545,94092.9433725371,94125.8972163755
"Cml Pop Growth","Adult Female",-137261.968371655,8.60029108542032,-137275.149717571,-137268.938568334,-137262.292395095,-137254.179666301,-137250.088655648
"Cml Pop Growth","Adult Male",38409.8072014141,8.61773124073039,38396.5760965498,38402.7993808419,38409.4921487742,38417.6047360315,38421.6818263756
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",578211.716808686,355.908843737697,577633.003843269,577929.94380831,578288.084359828,578468.051703307,578714.490916549
"Total Number Increase","Neonatal Female",21047.573794579,119.90696039913,20856.8401621501,20965.9439309734,21092.8612907542,21119.6592944807,21220.1980924935
"Total Number Increase","Neonatal Male",202492.033880878,128.390766182468,202286.145110074,202399.990142396,202535.204124078,202573.307956154,202678.42416544
"Total Number Increase","Neonatal Combined",223539.607675457,248.24497000047,223142.985272224,223365.934073369,223628.065414832,223692.967250635,223898.622257933
"Total Number Increase","Juvenile Female",100895.069527118,52.3471412461062,100811.383340078,100862.278980217,100890.010474914,100942.000099619,100960.530647626
"Total Number Increase","Juvenile Male",107118.479090788,43.9448225046454,107048.059933535,107088.59085814,107115.287280075,107157.397624281,107173.552898457
"Total Number Increase","Juvenile Combined",208013.548617906,96.266250443346,207859.443273613,207950.869838357,208005.297754989,208099.3977239,208132.341823319
"Total Number Increase","Adult Female",99775.0445702263,9.22089309568126,99760.8641718657,99767.4354690621,99774.7765938172,99783.3238609122,99787.6945922307
"Total Number Increase","Adult Male",46883.5159450966,8.97387551634012,46869.7111255664,46876.1413681601,46883.2330536075,46891.5950603276,46895.8322430663
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",64280.9280893444,8.43419327862751,64267.4298059437,64275.9118484231,64279.9809106686,64288.6014577653,64291.6435505272
"Total Mortality","Neonatal Female",22715.9748982378,4.32305034012096,22709.0684354649,22713.4026371845,22715.4776016899,22719.9031621413,22721.4881064219
"Total Mortality","Neonatal Male",10845.7765748351,3.69055317266448,10839.8615697129,10843.4930293448,10845.4177901641,10849.103716985,10850.3892044535
"Total Mortality","Neonatal Combined",33561.7514730729,8.012349057126,33548.9300051778,33556.9747900603,33560.895391854,33569.0068791263,33571.8773108754
"Total Mortality","Juvenile Female",4384.68348216794,0.190684768417945,4384.38980438641,4384.52486039309,4384.67868755823,4384.85401277032,4384.9442468034
"Total Mortality","Juvenile Male",937.670318901932,0.179477510326756,937.394222511327,937.522827363201,937.664661072149,937.831901206551,937.916644861325
"Total Mortality","Juvenile Combined",5322.35380106987,0.370158615593793,5321.78402689773,5322.04768775629,5322.34334863038,5322.68591397687,5322.86089166472
