"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1310802.82935834,1522.90148508362,1309088.86796182,1309592.10330195,1310523.30756803,1311469.07683327,1313647.71596083
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",47299.2092308153,340.517293305911,46918.5439635685,47049.3961977401,47232.5231301119,47495.9852280757,47912.0435484796
"Num Offtake","Juvenile Male",24923.1773136974,277.437570638298,24606.3766074293,24721.7562123564,24866.3996631852,25072.1440011497,25432.5628943727
"Num Offtake","Juvenile Combined",72222.3865445126,617.867547049456,71524.9205709978,71771.1524100966,72098.9227932972,72568.1292292254,73344.6064428523
"Num Offtake","Adult Female",255564.94875469,89.1720323546753,255465.415273936,255502.182120327,255551.546029228,255597.636992924,255731.787418609
"Num Offtake","Adult Male",983015.494059134,824.798795184566,982097.075555825,982455.205984351,982872.838745507,983303.310611117,984571.322099373
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2745029.25326355,181426.207249064,2464793.95451291,2605828.59887664,2722464.33349647,2917677.14132757,2963148.73834156
"Cml Pop Growth","Neonatal Female",296270.056865838,65626.9070499786,184923.781260618,250333.37057438,304528.306068967,332934.436358281,403633.170694427
"Cml Pop Growth","Neonatal Male",769074.466482854,62804.8610040929,658712.824890253,726013.334927652,778245.743065671,808594.635817096,865173.818159379
"Cml Pop Growth","Neonatal Combined",1065344.52334869,128343.632026721,843636.606150871,976346.705502032,1082774.04913464,1141529.07217538,1268806.98885381
"Cml Pop Growth","Juvenile Female",1088708.85123544,30694.8996086647,1041132.47933975,1063773.80370884,1093699.96399209,1114162.04648054,1127298.65050326
"Cml Pop Growth","Juvenile Male",1082145.68961564,30927.0975365485,1034634.41219001,1058406.02489751,1086954.9464928,1108313.84575454,1123902.10018934
"Cml Pop Growth","Juvenile Combined",2170854.54085108,61593.877600311,2075766.89152976,2122179.82860635,2180654.91048488,2222475.89223508,2251200.75069261
"Cml Pop Growth","Adult Female",98833.7063368715,6522.25217566961,91545.5078183329,94128.9512835166,97544.4118757257,102660.870825709,110537.353415311
"Cml Pop Growth","Adult Male",-590003.517273093,5943.79995561777,-596790.167415071,-594059.301844019,-591246.915808441,-586634.527959445,-579188.835763313
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",4055832.08262189,182232.738825127,3774633.1785513,3915022.68227879,4033219.49512541,4231127.74731594,4272495.29745208
"Total Number Increase","Neonatal Female",296270.056865838,65626.9070499786,184923.781260618,250333.37057438,304528.306068967,332934.436358281,403633.170694427
"Total Number Increase","Neonatal Male",769074.466482854,62804.8610040929,658712.824890253,726013.334927652,778245.743065671,808594.635817096,865173.818159379
"Total Number Increase","Neonatal Combined",1065344.52334869,128343.632026721,843636.606150871,976346.705502032,1082774.04913464,1141529.07217538,1268806.98885381
"Total Number Increase","Juvenile Female",1136008.06046625,30986.7097522855,1088066.77940357,1110883.18824577,1141007.31714311,1161732.36518565,1175210.69405174
"Total Number Increase","Juvenile Male",1107068.86692934,31168.0356416643,1059273.66329218,1083174.64366547,1111880.08909601,1133458.94625199,1149334.66308372
"Total Number Increase","Juvenile Combined",2243076.92739559,62127.2960697255,2147340.44269575,2194057.83191124,2252887.40623912,2295191.31143764,2324545.35713546
"Total Number Increase","Adult Female",354398.655091561,6609.09339829669,347012.379653328,349605.959798876,353095.957904953,358258.507818634,366269.140833921
"Total Number Increase","Adult Male",393011.976786041,6747.18668735796,385306.908140753,388162.26257301,391625.922937066,396668.782651672,405382.48633606
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1097119.37648566,13119.4879807109,1078657.03766778,1089312.27431135,1094075.05815859,1107350.28071166,1117457.46740564
"Total Mortality","Neonatal Female",295480.418920513,6974.80472282877,285684.480669437,291681.790009009,294434.70838561,298707.57454138,309150.861670033
"Total Mortality","Neonatal Male",242495.621645592,5504.41684387135,234938.361091614,238105.830311678,242560.598061453,246160.648968215,252878.11177961
"Total Mortality","Neonatal Combined",537976.040566105,10453.4481802698,522776.858787317,530995.680596987,534374.812325867,547740.372173676,554169.379505428
"Total Mortality","Juvenile Female",198525.773447236,1941.01085203903,195526.522840429,197074.889000405,198400.804564197,199798.049385931,202049.317538763
"Total Mortality","Juvenile Male",130550.106415929,1491.3404222,128834.25435884,129625.570002344,129981.891582069,131375.861462867,133149.315850617
"Total Mortality","Juvenile Combined",329075.879863165,3197.17339135792,324360.777199268,326700.459002749,329111.040921059,330096.119671277,334865.012272287
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",230067.456056393,193.038015894283,229852.50704498,229936.324804848,230034.068642565,230134.81737707,230431.586023258
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",20305091897.0633,167606527.830179,20078917018.5851,20212035076.4185,20266376516.8863,20423398384.2441,20566556209.8873
"Value of Total Mortality","Neonatal Female",3281459275.91995,77458728.8696572,3172670434.48751,3239273583.47044,3269846132.3241,3317298468.87094,3433276446.51362
"Value of Total Mortality","Neonatal Male",2686438703.82408,60979568.8310152,2602717121.10306,2637807288.29126,2687158531.90684,2727040967.8289,2801459021.09341
"Value of Total Mortality","Neonatal Combined",5967897979.74403,115972531.688583,5799309002.49102,5890506774.67249,5927861712.29531,6076244880.19767,6147664545.56399
"Value of Total Mortality","Juvenile Female",2936999187.16261,28715401.5104623,2892628139.30655,2915534737.65051,2935150391.90781,2955821294.40295,2989126656.32216
"Value of Total Mortality","Juvenile Male",2648247198.54615,30252277.8693644,2613440636.31456,2629492706.23321,2636720793.98582,2664997881.86442,2700972924.26801
"Value of Total Mortality","Juvenile Combined",5585246385.70876,54857028.9873205,5506068775.62111,5545027443.88372,5582673787.47887,5604602387.54448,5683331978.38002
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",8751947531.61046,7343318.41483395,8743770701.64023,8746959195.35053,8750677448.04869,8754510009.39123,8765799322.81688
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",2501562245.07604,249471759.102,1987213922.88041,2368076096.42286,2537046147.48107,2660757721.84494,2858653936.90133
"Population Liveweight (kg)","Neonatal Female",138161662.38439,68858976.7692018,22760911.5362498,94143414.9890015,135725591.109926,193272482.573872,244892759.965988
"Population Liveweight (kg)","Neonatal Male",106673120.962147,54952642.0740681,2308144.81815938,93887415.876547,107399595.682938,145953715.341555,171118398.14275
"Population Liveweight (kg)","Juvenile Female",286836810.146193,138906801.870707,19629963.0864482,200330681.772164,311467641.854135,396019598.186339,444668868.824259
"Population Liveweight (kg)","Juvenile Male",122192353.183193,90848910.6529966,7378071.46698818,37504947.5687001,119168085.734364,188507661.355237,273455531.783856
"Population Liveweight (kg)","Juvenile Combined",409029163.329386,182567101.509803,27008034.5534363,337177127.114538,394500405.64925,520447092.717919,718124400.608115
"Population Liveweight (kg)","Adult Female",1589453382.51962,179112403.989915,1254562845.22654,1473641319.53654,1636729098.02513,1700355464.72563,1837649617.6269
"Population Liveweight (kg)","Adult Male",258244915.880496,97734863.7181428,53366694.1449629,227922039.630669,249644832.710886,315497283.910141,401257987.197496
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",215056687.499695,90683366.6885815,58552990.48439,183730639.87744,232486375.873982,276560283.277328,326490185.424342
"Offtake Liveweight (kg)","Juvenile Female",3762031.25134007,2229863.1198036,143241.309577041,2570520.53524273,3068038.27250666,5744124.56828993,6946276.40944512
"Offtake Liveweight (kg)","Juvenile Male",2804434.99641117,1181773.40427001,556342.598411882,2370706.05621522,3099987.93365232,3694079.68189844,3980780.63128618
"Offtake Liveweight (kg)","Adult Female",69085188.3733593,12266048.9262335,47730291.4934605,64121825.5307484,67418093.198418,74812548.4776859,87833068.3913798
"Offtake Liveweight (kg)","Adult Male",139405032.878584,81590531.5476275,2949568.60963219,106624478.233244,154415504.17427,199069865.152792,232854687.156306
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",656185280.157339,72845127.1908654,528145366.215635,617825308.094734,643559928.887078,697743502.707426,797698628.010764
"Manure","Overall",7368066943.03847,264699621.476907,6999637645.84435,7163461573.29019,7424570480.63283,7525497594.02036,7818501136.25343
"Manure","Neonatal Female",536506278.46224,15195673.7928187,517415978.779032,527039970.418855,531373851.642773,545001706.93683,561993634.584298
"Manure","Neonatal Male",454263355.535146,13791113.2365301,438489813.320051,444470087.959454,449107884.848209,467664101.807409,475487022.6132
"Manure","Neonatal Combined",990769633.997386,24924686.351013,955905792.099083,969380500.979087,993018679.069309,1005151553.85908,1032149587.92765
"Manure","Juvenile Female",811305775.318973,22534207.1626552,784244690.151316,800760783.471813,805020637.838256,814432470.004594,853195976.278748
"Manure","Juvenile Male",558589524.359058,19796782.7471346,530237566.885567,552680965.139205,557424478.950772,566462125.845271,596035834.100765
"Manure","Juvenile Combined",1369895299.67803,24057330.0456744,1315591909.38494,1361476266.89093,1376068761.09411,1378638595.69816,1407677143.86064
"Manure","Adult Female",3646917654.48343,282319907.624333,3136792721.43705,3424160480.71484,3709395014.83144,3868317606.872,4031600447.1056
"Manure","Adult Male",1360484354.87962,59494173.0379218,1288687066.43967,1343482952.61509,1348369421.12283,1383877810.64906,1496716475.69931
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",279571.667959779,1678.91475334497,277106.642122124,278364.282329848,279537.002227281,280086.840101404,282648.299147772
"Hides","Juvenile Female",99262.8867236178,970.505426019514,97763.2614202143,98537.4445002023,99200.4022820987,99899.0246929655,101024.658769381
"Hides","Juvenile Male",65275.0532079647,745.670211099998,64417.1271794198,64812.785001172,64990.9457910343,65687.9307314336,66574.6579253083
"Hides","Juvenile Combined",164537.939931582,1598.58669567896,162180.388599634,163350.229501374,164555.52046053,165048.059835639,167432.506136144
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",115033.728028197,96.5190079471415,114926.25352249,114968.162402424,115017.034321283,115067.408688535,115215.793011629
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",4634764373.22601,787666047.90612,3654269490.38231,4078857731.03284,4392840463.80859,5163483780.17374,6228382016.49164
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",22082030931.8266,683904772.064746,21238172549.3902,21674684761.8471,22032670442.6673,22339522348.6013,23520189642.1854
"Cml Dry Matter","Neonatal Female",1202830745.20524,90457813.0516398,1092590153.89364,1137958709.46078,1204326952.15333,1243251005.12441,1395688975.41147
"Cml Dry Matter","Neonatal Male",1068791928.75741,121557502.604327,912793251.215968,981662047.051469,1054133525.86871,1164415793.39613,1264609141.9756
"Cml Dry Matter","Neonatal Combined",2271622673.96265,159306901.922574,2062019498.40933,2141785409.98945,2230335296.19294,2405435374.54355,2512918388.50008
"Cml Dry Matter","Juvenile Female",1743466886.55014,278181870.159976,1282443711.0813,1616723948.16476,1788226777.09275,1968051181.10559,2042806733.16108
"Cml Dry Matter","Juvenile Male",1211943826.66119,186911441.912388,770388567.570124,1140904438.76528,1250593674.4992,1298854084.3882,1451527921.76731
"Cml Dry Matter","Juvenile Combined",2955410713.21133,408225644.795172,2354051507.76844,2547761496.92678,3119785241.3661,3230582691.98394,3421055589.42629
"Cml Dry Matter","Adult Female",14267135221.1391,324759703.526947,13707690808.4099,14143780499.9058,14266643887.9586,14420953783.5176,14918337286.46
"Cml Dry Matter","Adult Male",2587862323.51345,403446815.039733,1977896372.56476,2265080449.04499,2582933710.2256,2939146558.64598,3147848386.67906
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",38920384019.7821,3341873493.38249,32597621710.3667,38502117423.4246,39032507859.0617,41245184628.8945,42961558604.2944
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",767738280.970588,34888381.4999317,700125403.030405,752061830.512125,767444198.365579,787816396.318212,829699213.66595
"Value of Offtake","Juvenile Male",501455325.922332,10272992.9845412,481538047.922192,495411559.688703,503577785.413968,508283281.383693,515301963.543289
"Value of Offtake","Juvenile Combined",1269193606.89292,35044009.9295087,1201705537.42188,1260387848.90293,1277990273.98376,1286688800.7191,1321421522.12482
