"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505624.705902587,51.8331219342175,505476.808955388,505590.00740443,505623.388114561,505662.819675912,505788.133470095
"Num Offtake","Neonatal Female",35697.6774568061,7.06590369582865,35677.5340392867,35692.9445980151,35697.4986678846,35702.841438298,35719.9176291477
"Num Offtake","Neonatal Male",110015.508210164,38.8458906493006,109905.972719657,109989.807155589,110015.002541963,110043.555797203,110137.038144683
"Num Offtake","Neonatal Combined",145713.18566697,45.9055653465706,145583.669612182,145682.582286351,145712.64310261,145746.363527509,145856.955773831
"Num Offtake","Juvenile Female",114429.202213779,5.27861606700246,114412.958836995,114425.451010602,114429.324526695,114432.865792932,114445.725585788
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114429.202213779,5.27861606700246,114412.958836995,114425.451010602,114429.324526695,114432.865792932,114445.725585788
"Num Offtake","Adult Female",237100.004911447,0.653739002548667,237098.00308528,237099.552214047,237100.01605199,237100.450738482,237101.99967517
"Num Offtake","Adult Male",8382.31311039114,0.373314771647389,8381.1699367697,8382.05468213529,8382.31951961526,8382.56779585724,8383.45243530635
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",76493.4190546688,273.0873208514,75618.4662830895,76307.5977482761,76492.8885335928,76670.6287056378,77350.5601557854
"Cml Pop Growth","Neonatal Female",-14572.1477115228,100.977569315961,-14907.4249277708,-14642.388069975,-14569.2513678236,-14502.1615092243,-14234.0862060346
"Cml Pop Growth","Neonatal Male",92553.0464723696,85.0504922677545,92268.4582955634,92495.6686702997,92554.191734245,92611.7800572423,92849.4633531404
"Cml Pop Growth","Neonatal Combined",77980.8987608468,185.414627801068,77361.0333677926,77853.3504563434,77983.1204056099,78109.3668875127,78615.3771471058
"Cml Pop Growth","Juvenile Female",-9961.01980077961,49.6599595792592,-10104.0261517607,-9993.55470077257,-9961.65961512734,-9923.71226236614,-9807.13550326735
"Cml Pop Growth","Juvenile Male",107918.926798224,45.7607051167841,107785.457139817,107889.113158524,107917.60314863,107952.419459595,108060.127900275
"Cml Pop Growth","Juvenile Combined",97957.9069974447,95.413827706203,97681.4309880563,97895.3770087423,97955.5245499937,98028.797635035,98252.9923970081
"Cml Pop Growth","Adult Female",-136534.722299113,9.19337431613994,-136562.998263644,-136541.170526041,-136534.616023731,-136528.373431633,-136505.946645024
"Cml Pop Growth","Adult Male",37089.3355954898,9.13715683282468,37061.2311776615,37082.9172015491,37089.448803011,37095.6346335573,37117.951940224
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",582118.124957256,318.107481896392,581096.190353067,581900.662867148,582117.917899455,582330.008901821,583079.290276405
"Total Number Increase","Neonatal Female",21125.5297452833,105.994330715472,20777.8362749207,21053.4739011147,21127.7317162345,21196.4787896803,21476.275671393
"Total Number Increase","Neonatal Male",202568.554682534,112.52634765378,202210.356197667,202489.98274246,202569.368350505,202642.737183871,202933.714252423
"Total Number Increase","Neonatal Combined",223694.084427817,218.36149511202,222988.456755737,223544.607410019,223696.029125221,223837.135388729,224409.989923816
"Total Number Increase","Juvenile Female",104468.182412999,54.5935129546259,104314.076088733,104432.070592632,104467.529209154,104508.094843467,104638.59008252
"Total Number Increase","Juvenile Male",107918.926798224,45.7607051167841,107785.457139817,107889.113158524,107917.60314863,107952.419459595,108060.127900275
"Total Number Increase","Juvenile Combined",212387.109211223,100.309947757814,212099.893119991,212321.41176724,212386.192534621,212462.114428729,212698.717982796
"Total Number Increase","Adult Female",100565.282612334,9.82967123246293,100535.037657763,100558.414606187,100565.470409411,100572.087953782,100596.053030146
"Total Number Increase","Adult Male",45471.648705881,9.50037916132707,45442.4198047204,45464.9903411529,45471.7935712873,45478.2415326209,45501.4043755303
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",60527.7197021601,8.446259638636,60503.7918455648,60522.1017209728,60527.5224054148,60533.8842987809,60554.280238476
"Total Mortality","Neonatal Female",22716.7038361494,4.49648417007277,22703.8852977279,22713.6920169187,22716.5900613811,22719.9900061896,22730.856673094
"Total Mortality","Neonatal Male",10846.5994010021,3.8298765428888,10835.8001272902,10844.065494213,10846.5495463907,10849.3646560622,10858.5812255321
"Total Mortality","Neonatal Combined",33563.3032371515,8.3242056544507,33539.7890588967,33557.7196824203,33563.1234282503,33569.4096147293,33589.4378986261
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",25403.5719547979,0.0700434645587088,25403.3574734228,25403.523451505,25403.5731484275,25403.6197219802,25403.7856794825
"Total Mortality","Adult Male",1560.84451021076,0.069513785065376,1560.6316433985,1560.79638908726,1560.8457036525,1560.891934401,1561.05666036739
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1010599923.16741,90437.2365401884,1010342061.06237,1010539386.26719,1010597637.65467,1010666425.5214,1010885174.70903
"Value of Total Mortality","Neonatal Female",252518879.842636,49982.9180345289,252376388.969544,252485400.460068,252517615.122313,252555408.908804,252676202.778113
