"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7392523.73149871,2032.39691927351,7387699.53988291,7391089.01058347,7392248.40109631,7393749.52903306,7403452.52898411
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",100944.965553168,576.714121543194,99511.823967632,100536.442499659,100890.417378438,101289.491474033,103932.950363337
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",100944.965553168,576.714121543194,99511.823967632,100536.442499659,100890.417378438,101289.491474033,103932.950363337
"Num Offtake","Adult Female",1165231.2940274,256.648140898492,1164638.31593659,1165050.71406791,1165194.55121266,1165377.33542088,1166620.93025569
"Num Offtake","Adult Male",977955.768858468,1167.94803450171,975245.394883867,977129.436819954,977791.225115028,978628.061536244,984283.981486956
"Num Offtake","Oxen",5148391.70305967,41.7613512581712,5148304.00509483,5148361.55758605,5148384.96203538,5148415.2617355,5148614.66687813
"Cml Pop Growth","Overall",4068090.86457942,463845.576523113,2684985.05318898,3742569.26955317,4045412.84008846,4362232.83130833,5707923.40583752
"Cml Pop Growth","Neonatal Female",1587914.10604632,157807.638974042,1121315.43063349,1473132.51151208,1578912.64519537,1687576.83352323,2214109.34814873
"Cml Pop Growth","Neonatal Male",1281354.21511873,157807.486738109,814705.85953387,1166590.25417728,1272353.08931351,1380998.93421039,1907577.89810907
"Cml Pop Growth","Neonatal Combined",2869268.32116505,315615.122612655,1936021.29016736,2639722.76568936,2851265.73450889,3068602.5848555,4121687.2462578
"Cml Pop Growth","Juvenile Female",2230220.14524256,79509.3138784987,2023798.35197635,2176913.22591673,2226100.94252749,2278133.57544684,2548428.44491479
"Cml Pop Growth","Juvenile Male",2143609.64149817,79990.4112766645,1935948.11224964,2090169.32832242,2139459.25584855,2191814.31739815,2464440.2889451
"Cml Pop Growth","Juvenile Combined",4373829.78674073,159499.621171009,3959746.46422599,4267096.11127326,4365605.55394271,4469844.59619885,5012868.73385989
"Cml Pop Growth","Adult Female",-270985.317632306,14943.4119550306,-308202.331379654,-281550.85742454,-272491.306653355,-262002.77332346,-193826.018040635
"Cml Pop Growth","Adult Male",1597193.16562105,13759.03463161,1562817.0364215,1587411.16220472,1595715.64210019,1605365.74422729,1667777.85346408
"Cml Pop Growth","Oxen",-4501215.0913151,731.770983434808,-4502921.02318639,-4501734.84934145,-4501314.79117063,-4500789.89708859,-4497250.2673647
"Total Number Increase","Overall",11460614.5960781,465182.686208819,10073598.1085021,11133276.1813574,11436913.0772345,11754951.0453207,13105072.6802279
"Total Number Increase","Neonatal Female",1587914.10604632,157807.638974042,1121315.43063349,1473132.51151208,1578912.64519537,1687576.83352323,2214109.34814873
"Total Number Increase","Neonatal Male",1281354.21511873,157807.486738109,814705.85953387,1166590.25417728,1272353.08931351,1380998.93421039,1907577.89810907
"Total Number Increase","Neonatal Combined",2869268.32116505,315615.122612655,1936021.29016736,2639722.76568936,2851265.73450889,3068602.5848555,4121687.2462578
"Total Number Increase","Juvenile Female",2331165.11079573,80044.3279008791,2123333.56292689,2277713.46853335,2326982.30658148,2379440.38436545,2652361.39527812
"Total Number Increase","Juvenile Male",2143609.64149817,79990.4112766645,1935948.11224964,2090169.32832242,2139459.25584855,2191814.31739815,2464440.2889451
"Total Number Increase","Juvenile Combined",4474774.75229389,160034.734149132,4059281.67517653,4367882.79685577,4466441.56243002,4571254.7017636,5116801.68422323
"Total Number Increase","Adult Female",894245.976395097,15193.1961810238,856435.984556931,883474.434958467,892751.560453765,903356.049881061,972794.912215052
"Total Number Increase","Adult Male",2575148.93447952,14894.9933272125,2538062.43130536,2564646.77844383,2573637.35937745,2584093.49364738,2652061.83495103
"Total Number Increase","Oxen",647176.611744573,772.906787537975,645382.981908438,646629.77436614,647067.722502592,647621.511310747,651364.399513426
"Total Mortality","Overall",1142.00747852092,70.2535973455212,967.038377389083,1093.11860769521,1139.84431732179,1190.24927069982,1404.14586202271
"Total Mortality","Neonatal Female",484.136575334161,44.9461995739162,364.179745303428,454.368792605135,482.36084476233,512.913906081418,656.294081628955
"Total Mortality","Neonatal Male",516.262824180898,47.3775454968962,394.738875859861,484.656068442871,513.827418563653,547.357278784018,673.546163898861
"Total Mortality","Neonatal Combined",1000.39939951506,68.512129821907,806.302217127939,953.028960442767,999.12002140719,1048.07086496019,1264.55397497436
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",141.608079005857,14.6145820567786,97.4859090818569,131.6316506377,141.290127381002,151.401336333141,194.711707366858
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",15614705.3013776,911897.887417785,13262078.8821986,14969786.5069529,15567803.2914669,16254256.2563334,18916243.6348296
"Value of Total Mortality","Neonatal Female",6559506.96804515,608970.534995744,4934226.61836677,6156186.9377427,6535447.81273086,6949407.48615428,8892047.86595714
"Value of Total Mortality","Neonatal Male",5340053.87432479,490057.841736148,4083049.88205667,5013123.9259957,5314862.83481394,5661684.74719823,6966941.320579
"Value of Total Mortality","Neonatal Combined",11899560.8423699,819231.826800527,9507396.92621999,11328398.2551363,11887593.0794733,12448686.950088,15089854.9503686
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",3715144.45900762,383419.391959321,2557581.72485202,3453408.87984541,3706802.87125638,3972074.47282123,5108339.33915573
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",13071882695.1039,1096367243.26974,10303257329.8495,12338944489.0035,13007874676.0908,13867713207.426,16411210666.6415
"Population Liveweight (kg)","Neonatal Female",586362503.274379,130835596.130043,193321259.25927,491596326.717845,591127684.960417,685704603.237579,871176433.488891
"Population Liveweight (kg)","Neonatal Male",670842412.996309,175924521.389312,178144495.519476,553857888.40237,674590919.915349,801569548.674187,1080546853.63175
"Population Liveweight (kg)","Juvenile Female",1240832827.4827,264596194.506165,658608362.912895,1040691075.48235,1230179306.82094,1441428418.12904,1923901134.0497
"Population Liveweight (kg)","Juvenile Male",1536456235.43077,361546719.590367,815063680.390943,1266530901.18004,1508170836.83825,1789043856.71604,2487511238.25571
"Population Liveweight (kg)","Juvenile Combined",2777289062.91346,445749020.484696,1658393233.37518,2457197693.49467,2761012204.31165,3090454402.23327,4237341128.78835
"Population Liveweight (kg)","Adult Female",3988885274.04277,614464480.696783,2648096954.08758,3522014662.5782,3966406531.46196,4462708453.09466,5648298160.91574
"Population Liveweight (kg)","Adult Male",1138231651.04602,195860596.019523,671217698.115757,998565397.294151,1141647678.81919,1278107618.15656,1677112159.57379
"Population Liveweight (kg)","Oxen",3910271790.83101,696307933.348772,2292202311.75151,3362867114.9416,3938066218.91958,4438557993.49859,5572707794.2615
"Offtake Liveweight (kg)","Overall",2181519661.30665,276449106.902448,1474112759.83401,1972377249.11174,2190075796.66042,2379403666.56289,2924760320.64774
"Offtake Liveweight (kg)","Juvenile Female",18637290.2550114,3971592.91652841,10102810.4973171,15674462.7797453,18512882.863121,21300784.1963254,29408388.7423306
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",284960730.572232,43173957.899573,178410848.901603,252398321.352925,285319839.676342,317511129.548956,388636334.565053
"Offtake Liveweight (kg)","Adult Male",299765294.997988,52638783.9775261,175035468.436332,258642537.864698,301223599.083235,340452623.972907,427198391.527232
"Offtake Liveweight (kg)","Oxen",1578156345.48142,267313779.320603,943776295.288732,1369492066.45353,1582491923.55519,1758585585.32701,2266202992.61606
"Meat (kg)","Overall",7204865592.47904,308322376.303671,6344528217.01224,6994082652.22199,7211828112.1442,7417121904.65473,8154675219.3958
"Manure","Overall",30948299624.011,934768828.931784,27324516090.7709,30302128631.6942,30968905928.8244,31615238928.8055,33593875143.5628
"Manure","Neonatal Female",1217469038.06744,40070394.6007413,1106643027.77566,1190767725.51013,1216617227.29689,1243132464.80321,1350109767.15716
"Manure","Neonatal Male",1281424006.61645,41778122.6560553,1157334591.56194,1253375765.26909,1279018411.93205,1307539885.15533,1422113667.18164
"Manure","Neonatal Combined",2498893044.68389,68375742.1046307,2314744047.182,2449560851.69594,2496695702.43771,2541463720.92216,2747643902.72537
"Manure","Juvenile Female",2334919155.69926,78741186.5130254,2068115957.64426,2282749961.64056,2334124620.54667,2388225927.40405,2608676439.54389
"Manure","Juvenile Male",2739842741.745,92882643.6590619,2359646115.70827,2676457438.00441,2738539025.11618,2798075710.45489,3017082940.40457
"Manure","Juvenile Combined",5074761897.44426,126402558.498269,4551594073.27425,4987879792.57787,5077969580.22593,5156714955.11216,5569600042.64144
"Manure","Adult Female",11248072177.6196,686565225.940392,9293683576.3572,10874711778.6769,11273258915.4109,11672060955.896,12861819961.7759
"Manure","Adult Male",2055482658.41422,127556089.367138,1696579909.63868,1969233825.17967,2054537721.294,2143445039.31736,2436022516.41372
