"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80995.9073834043,8.0322341903887,80981.4282351956,80992.6811112605,80998.7009211525,81001.422394466,81004.2692110878
"Num Offtake","Neonatal Female",5818.22873095336,1.08915857925444,5816.26706083221,5817.79175392978,5818.60962680506,5818.9825110492,5819.35700430897
"Num Offtake","Neonatal Male",17654.2915493577,5.91400349639393,17643.7480656738,17651.9200246722,17656.4415347871,17658.4797061216,17660.2137200444
"Num Offtake","Neonatal Combined",23472.520280311,7.00248573556913,23460.0151265061,23469.711778602,23475.0511615922,23477.5082903941,23479.5707243534
"Num Offtake","Juvenile Female",19448.2852111933,0.901581910688674,19446.615287933,19447.8513278612,19448.5223745966,19448.8884927653,19449.3772524477
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19448.2852111933,0.901581910688674,19446.615287933,19447.8513278612,19448.5223745966,19448.8884927653,19449.3772524477
"Num Offtake","Adult Female",36484.4884926141,0.0984008758905287,36484.3091310967,36484.4351151616,36484.5084973653,36484.5562007556,36484.6178343967
"Num Offtake","Adult Male",1590.61339928587,0.068427162509664,1590.48868965984,1590.57621511046,1590.62731322421,1590.66039688943,1590.70339989002
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3591.63788309959,45.840405246871,-3677.76843463036,-3601.43603209664,-3574.19100328616,-3558.73664557065,-3552.19551485591
"Cml Pop Growth","Neonatal Female",-2025.85000291031,16.6401250781311,-2058.11130331124,-2028.04482081117,-2021.48360951421,-2014.07373147224,-2009.78505519052
"Cml Pop Growth","Neonatal Male",14165.8762766052,13.5446724936138,14139.3208046139,14164.6937893205,14168.8264421739,14175.4594810661,14180.4364697597
"Cml Pop Growth","Neonatal Combined",12140.0262736949,30.1644111308606,12081.2095013027,12136.716426609,12147.6175873737,12161.1809141372,12170.6514145692
"Cml Pop Growth","Juvenile Female",-4201.62026393377,7.3466776122842,-4214.55121110019,-4204.55513357271,-4198.8396404958,-4196.63861577023,-4194.56915453916
"Cml Pop Growth","Juvenile Male",16757.389224584,6.7484868356298,16745.593718349,16754.6959396063,16759.9872045899,16761.8668761781,16763.7425331627
"Cml Pop Growth","Juvenile Combined",12555.7689606502,14.0944908424925,12531.0425072488,12550.1408060336,12561.1475640941,12565.2282604078,12569.1733786235
"Cml Pop Growth","Adult Female",-33877.168182255,1.36672229902418,-33879.7004617015,-33877.8136424667,-33876.7984721131,-33876.2587271616,-33875.5344039704
"Cml Pop Growth","Adult Male",5589.73506481021,1.3926574973841,5587.15470805886,5589.07386564795,5590.10985301056,5590.66183763116,5591.4054570287
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",77404.2695003046,53.5000991097426,77305.4048233195,77391.2450791638,77427.0364648572,77440.3401474359,77449.5409712991
"Total Number Increase","Neonatal Female",3792.37872804304,17.6258535422943,3758.38569895457,3789.74693311861,3797.46146289161,3804.90533628642,3808.63113633513
"Total Number Increase","Neonatal Male",31820.1678259629,18.9656011028819,31783.9876831718,31816.9036882557,31826.6297857648,31833.6746167961,31836.4712806176
"Total Number Increase","Neonatal Combined",35612.5465540059,36.5805610571565,35542.3733821263,35606.6506213743,35624.0912486564,35638.5799530825,35644.7693575183
"Total Number Increase","Juvenile Female",15246.6649472596,8.21036902837088,15232.0640768328,15243.376620623,15249.6779046567,15252.426557444,15254.8080979085
"Total Number Increase","Juvenile Male",16757.389224584,6.7484868356298,16745.593718349,16754.6959396063,16759.9872045899,16761.8668761781,16763.7425331627
"Total Number Increase","Juvenile Combined",32004.0541718435,14.9536808502886,31977.6577951818,31998.0725602293,32009.6651092466,32014.293433622,32018.5506310712
"Total Number Increase","Adult Female",2607.3203103591,1.46372321891169,2604.60866939513,2606.62147269491,2607.71002525227,2608.29747359399,2609.08343042625
"Total Number Increase","Adult Male",7180.34846409608,1.46013049390754,7177.6433977187,7179.65008075841,7180.73716623478,7181.32223452059,7182.10885691872
"Total Number Increase","Oxen",0,0,0,0,0,0,0
