"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",574661.533017607,333.882120060006,573901.205133528,574426.064740748,574622.676224236,574872.417053392,576208.231550619
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",3326.57251487932,16.5471598130408,3287.93186252463,3314.93733608537,3324.68423926399,3337.27321919822,3403.63499015166
"Num Offtake","Juvenile Male",19220.0160103377,98.5583992174115,18989.8236025319,19150.6123025463,19208.6675536819,19283.7408405126,19678.9975606552
"Num Offtake","Juvenile Combined",22546.588525217,115.10553980486,22277.7554650565,22465.5496386317,22533.3517929459,22621.0140597108,23082.6325508069
"Num Offtake","Adult Female",7395.98524662108,1.89416074915915,7391.7855269897,7394.61630493977,7395.78565037495,7397.14888329764,7404.60456471152
"Num Offtake","Adult Male",544718.959245769,218.580108812692,544231.664141481,544562.570639811,544695.282935539,544854.212225106,545720.994435101
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",468070.577543497,39259.3274688264,364423.673810523,440685.923989438,465613.193185455,492946.933474191,606714.781318004
"Cml Pop Growth","Neonatal Female",213306.674162083,13705.1301522132,178032.229927553,203408.974153429,212507.736588685,221913.286256171,257201.303318409
"Cml Pop Growth","Neonatal Male",219449.755608509,13705.1301522132,184175.311373979,209552.055599855,218650.818035111,228056.367702597,263344.384764835
"Cml Pop Growth","Neonatal Combined",432756.429770591,27410.2603044263,362207.541301533,412961.029753284,431158.554623795,449969.653958768,520545.688083244
"Cml Pop Growth","Juvenile Female",111144.207818288,6379.70680225703,95584.1521147686,106785.427307489,110705.330916202,115083.407989615,138064.059199649
"Cml Pop Growth","Juvenile Male",97910.2909590021,6310.92787237137,82522.1262213816,93597.5454594551,97469.3747425828,101804.108149707,124488.619709562
"Cml Pop Growth","Juvenile Combined",209054.49877729,12690.6087093321,178106.27833615,200372.654870335,208178.201610819,216904.878980335,262552.678909212
"Cml Pop Growth","Adult Female",142168.893832603,1158.16325893868,139463.04361775,141350.328220255,142034.602171931,142917.066462396,147562.126104318
"Cml Pop Growth","Adult Male",-315909.244836987,960.731767524383,-318162.335539911,-316587.115583715,-316009.164787778,-315303.029219769,-311447.213951111
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1042732.1105611,39482.2708279376,938564.260907604,1015206.1067646,1040170.68990266,1067771.10942912,1182923.01286862
"Total Number Increase","Neonatal Female",213306.674162083,13705.1301522132,178032.229927553,203408.974153429,212507.736588685,221913.286256171,257201.303318409
"Total Number Increase","Neonatal Male",219449.755608509,13705.1301522132,184175.311373979,209552.055599855,218650.818035111,228056.367702597,263344.384764835
"Total Number Increase","Neonatal Combined",432756.429770591,27410.2603044263,362207.541301533,412961.029753284,431158.554623795,449969.653958768,520545.688083244
"Total Number Increase","Juvenile Female",114470.780333168,6395.08085050155,98872.0839772933,110104.97142115,114029.949590916,118418.886658394,141467.694189801
"Total Number Increase","Juvenile Male",117130.30696934,6402.49031913192,101511.949823913,112759.078185907,116687.969662338,121088.450084444,144167.617270217
"Total Number Increase","Juvenile Combined",231601.087302507,12797.5702606246,200384.033801207,222864.049607058,230717.919253253,239507.336742838,285635.311460018
"Total Number Increase","Adult Female",149564.879079224,1160.00474501249,146854.829144739,148744.732504149,149430.459892526,150314.365551492,154966.730669029
"Total Number Increase","Adult Male",228809.714408782,1173.31427639776,226069.32860157,227983.479792218,228674.613734309,229568.343339436,234273.78048399
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",839011203.08749,61634126.1528833,619109482.040725,798054861.374025,841969992.885506,884156070.514564,1005954447.72851
"Population Liveweight (kg)","Neonatal Female",50360859.806797,11247115.4887173,17155487.8328004,42751885.1330941,50815081.8513957,58730637.0322071,75308779.4457731
"Population Liveweight (kg)","Neonatal Male",54290305.1346266,12098870.0471801,15858227.5426408,45971310.3391503,55906640.5825614,63368535.5363562,80256740.5706782
"Population Liveweight (kg)","Juvenile Female",116276529.588922,20734304.9822331,63164679.75375,101333692.673438,117146308.387636,131697541.004705,158941175.413558
"Population Liveweight (kg)","Juvenile Male",120926568.501597,20649680.9366775,64345920.7669339,105561591.122653,121428319.715313,136300080.195602,170536535.203485
"Population Liveweight (kg)","Juvenile Combined",237203098.090519,28622956.7435524,165789719.800824,216461397.149185,237115328.672008,258001019.29923,311603295.044941
"Population Liveweight (kg)","Adult Female",328034319.852282,42044593.567567,180755784.871891,300931889.795355,334108609.313008,361247884.86044,397165290.293477
"Population Liveweight (kg)","Adult Male",169122620.203266,28509121.150575,88633837.2404739,148516460.694362,172586605.241836,191091954.728601,222942275.984414
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",212264468.199229,33939635.7789349,110669338.21334,187839069.586222,215004395.60281,238834847.647739,278581415.450898
"Offtake Liveweight (kg)","Juvenile Female",707850.857034226,124392.672288837,390014.269290853,623006.815799491,709555.425770284,798762.971582543,998972.487426236
"Offtake Liveweight (kg)","Juvenile Male",4476108.98415214,743240.014762679,2479155.87492808,3938049.72407829,4547604.36547675,5055870.65630718,6095280.63994171
"Offtake Liveweight (kg)","Adult Female",2124869.95358464,271172.187600641,1216618.0443998,1938543.4760224,2150172.43675847,2343939.04082701,2581115.05893396
