"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",537117.101643245,21541.0489401796,495117.034665928,520334.832191029,536660.452630694,550954.299979399,589412.818203741
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",4991.42882309159,794.701290431878,3481.28087124803,4411.28286808379,4930.84017279306,5554.94924805849,6941.81686230974
"Num Offtake","Juvenile Male",29562.8693782445,4751.02268139678,20539.7586836105,26082.0402681975,29178.1126209434,32926.7597636446,41226.5916861666
"Num Offtake","Juvenile Combined",34554.2982013361,5545.72032502586,24021.0395548585,30493.3231362813,34108.9527937365,38481.7090117031,48168.4085484764
"Num Offtake","Adult Female",4033.22197606821,90.2368804446248,3857.85608469539,3964.99278229852,4032.66210663458,4091.94731817037,4253.97690790836
"Num Offtake","Adult Male",498529.58146584,16041.903661996,467238.139026374,486296.138298402,498253.53557754,508779.636036762,537754.375867797
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",20611991.41101,4325392.01873321,10701993.2114949,17517407.3222299,20624140.9006896,23509433.018273,34373382.400827
"Cml Pop Growth","Neonatal Female",6983596.11852539,1574084.16554899,3161055.31453858,5781860.86841987,6939878.15782297,8051782.34522727,11849176.6434362
"Cml Pop Growth","Neonatal Male",6990249.18564891,1573232.58029481,3172486.26582196,5784666.23253169,6959251.42718861,8064791.86569826,11837804.5990994
"Cml Pop Growth","Neonatal Combined",13973845.3041743,3147297.86853017,6333541.58036054,11566527.1009516,13899129.5850116,16116574.2109255,23686981.2425355
"Cml Pop Growth","Juvenile Female",3036047.01214113,628188.183712993,1852913.30408435,2570303.41358987,2964502.87440387,3424437.85371982,4821978.81430189
"Cml Pop Growth","Juvenile Male",3014436.25865051,624959.136716255,1836192.32099403,2553587.9446896,2945676.80928529,3400420.10058655,4790467.09206817
"Cml Pop Growth","Juvenile Combined",6050483.27079165,1253143.26005489,3689105.62507838,5123891.35827947,5909370.07017867,6824857.95430637,9612445.90637006
"Cml Pop Growth","Adult Female",487899.157241726,104598.798385237,289650.998221258,411360.990964684,479888.379765287,561972.627416944,746082.57305774
"Cml Pop Growth","Adult Male",99763.6788023368,90644.5689155956,-70042.9312359482,31404.2086444722,91683.9304087671,160780.507912966,327872.678863638
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",21149108.5126533,4339670.34424587,11227364.0960369,18050154.6000042,21170014.1947916,24065661.4042495,34957278.3495441
"Total Number Increase","Neonatal Female",6983596.11852539,1574084.16554899,3161055.31453858,5781860.86841987,6939878.15782297,8051782.34522727,11849176.6434362
"Total Number Increase","Neonatal Male",6990249.18564891,1573232.58029481,3172486.26582196,5784666.23253169,6959251.42718861,8064791.86569826,11837804.5990994
"Total Number Increase","Neonatal Combined",13973845.3041743,3147297.86853017,6333541.58036054,11566527.1009516,13899129.5850116,16116574.2109255,23686981.2425355
"Total Number Increase","Juvenile Female",3041038.44096422,628919.110075249,1856628.48999026,2574860.39826555,2969365.60531311,3429720.39152811,4828920.6311642
"Total Number Increase","Juvenile Male",3043999.12802876,629328.778270113,1858116.86933167,2580559.20743095,2972965.44815762,3431718.99443337,4831693.68375434
"Total Number Increase","Juvenile Combined",6085037.56899298,1258244.57337993,3714745.35932192,5155419.6056965,5941267.69727709,6861439.38596147,9660614.31491853
"Total Number Increase","Adult Female",491932.379217794,104685.315415649,293508.854305953,415355.251099386,483908.815885997,566069.306662682,750298.088398318
"Total Number Increase","Adult Male",598293.260268177,106035.402942914,397195.207790426,520747.789127468,589591.782185551,673305.929664523,859384.703691741
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1144020.89987864,193850.346574446,778503.087013831,1004992.59372286,1118885.84919281,1256760.90452767,1690255.9645781
"Total Mortality","Neonatal Female",484593.713381637,94624.2750625068,302223.464601153,419955.868405858,473128.035221093,539914.055800853,743395.774740434
"Total Mortality","Neonatal Male",483780.734875141,95796.2085125589,306833.111561536,415834.654518454,475940.241311913,539243.783545605,761676.431384778
"Total Mortality","Neonatal Combined",968374.448256778,189965.759086112,609056.576162689,832070.605756497,944396.930694651,1080710.64268111,1505072.20612521
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",99390.1129816808,2223.69455381397,95068.5963728506,97708.7507066422,99376.3161992092,100837.27319777,104830.145230599
"Total Mortality","Adult Male",76256.3386401799,2453.8099313694,71469.920903067,74385.0804047737,76214.1139668184,77824.2127674127,82256.2618467671
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",12782989884.9197,1792988248.07273,9434421120.30851,11472058059.3181,12561522556.7392,13794859543.3901,17837485483.6226
"Value of Total Mortality","Neonatal Female",3499634290.55366,683356693.624163,2182594554.82281,3032833313.78041,3416831564.58538,3899146215.59383,5368648566.60956
"Value of Total Mortality","Neonatal Male",5133892027.51754,1016591516.973,3256119873.46029,4412846696.23892,5050688533.67348,5722467146.08773,8082927402.31491
"Value of Total Mortality","Neonatal Combined",8633526318.0712,1696044753.48992,5438714428.28309,7394120865.63675,8440557034.47726,9632827382.09988,13451575968.9245
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",1816677303.03757,40645244.3166725,1737687543.36793,1785944943.53407,1816425122.00246,1843128858.82675,1916111570.87288
"Value of Total Mortality","Adult Male",2332786263.81097,75065420.1863995,2186363163.1336,2275541901.10695,2331494552.98708,2380749689.44371,2516332165.56598
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",2128657264.92877,557787884.247921,886312722.171569,1738887037.6167,2068800465.95949,2550575209.93449,3303028992.06068
"Population Liveweight (kg)","Neonatal Female",382759091.458373,234201968.14618,18447792.5727065,196457563.011784,350124094.404818,539339725.533793,1185003519.05674
"Population Liveweight (kg)","Neonatal Male",374883979.834134,234917181.913839,6860065.92280262,190513217.99505,369279347.614028,549524145.987252,954683044.805962
"Population Liveweight (kg)","Juvenile Female",303781999.428999,181677338.09192,5195873.75338405,151306615.164572,293682006.451697,438123714.055297,738780006.575541
"Population Liveweight (kg)","Juvenile Male",794097772.498122,196030082.571627,392922659.798664,667496943.921022,793735274.994474,913921259.251136,1391037764.72413
"Population Liveweight (kg)","Juvenile Combined",1097879771.92712,295291489.616469,525847476.650195,896276418.283208,1041188084.23368,1269086819.88013,1992966274.7002
"Population Liveweight (kg)","Adult Female",169579627.030612,109320143.70204,1557285.44438217,68832665.7016792,173117941.998256,269126301.34307,372287372.325406
"Population Liveweight (kg)","Adult Male",103554794.678529,62384243.7979875,2187069.35772728,48196060.4528918,102942871.31996,161478282.969664,223758953.352136
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",67255013.6546349,34854134.5157708,7757834.32658329,36104234.1791433,68949671.8503904,93511408.8362117,132567533.775454
"Offtake Liveweight (kg)","Juvenile Female",431850.49744416,258261.570153154,8977.44905594893,188824.9432066,436126.309808103,618912.441452697,1055156.16307108
"Offtake Liveweight (kg)","Juvenile Male",6797651.03353376,1644034.59342198,3162515.33292663,5641413.15902344,6503901.76683013,7772146.50572675,11919410.1667193
"Offtake Liveweight (kg)","Adult Female",499006.74616309,304126.606118541,8093.53921853488,212178.588794937,484510.256185438,761375.86036632,978195.231041699
"Offtake Liveweight (kg)","Adult Male",59526505.3774939,34480691.3805178,476643.767849353,29695601.301543,63411090.0276662,85625882.3359325,122279477.252717
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",200767079.902008,35172574.0662959,109702472.306728,177448062.65051,203462656.051106,220932627.961873,293411865.517728
"Manure","Overall",4607121987.51594,657946602.422476,3418669796.14425,4128544143.29063,4528802785.72812,4972944947.28021,6341377678.19697
"Manure","Neonatal Female",1009455645.62838,200627848.707906,619146428.217472,866869615.898733,982047079.530065,1137655385.58985,1575747088.81633
"Manure","Neonatal Male",1004128547.83635,198840052.156612,615577852.713336,871434192.473072,977943093.831387,1122304874.57371,1549474653.57713
"Manure","Neonatal Combined",2013584193.46473,397203380.040807,1234724280.93081,1733215324.80682,1959308682.61465,2263512004.84496,3125221742.39345
"Manure","Juvenile Female",670991921.13908,113693801.70747,430901122.570587,590904271.770382,666779494.990083,743625846.782913,916371535.032197
"Manure","Juvenile Male",660613661.932108,115616978.385948,453112817.482259,585410667.394485,638025544.731248,736163079.692475,952065465.105393
"Manure","Juvenile Combined",1331605583.07119,226046679.898941,899235784.332954,1161273621.75912,1305393217.95851,1472582419.12962,1868437000.13759
"Manure","Adult Female",781425680.985625,57796484.7395187,637397865.074823,743823409.453058,782321955.178918,816208890.102474,917848682.232075
"Manure","Adult Male",480506529.994399,38750955.1886988,410061248.663355,452985835.506698,481331093.638466,499341036.514449,611504465.467096
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",87823.2258109304,2338.61682009287,83269.2586379588,86046.9155557079,87795.2150830138,89330.7429825913,93543.203538683
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",49695.0564908404,1111.84727690698,47534.2981864253,48854.3753533211,49688.1580996046,50418.636598885,52415.0726152995
"Hides","Adult Male",38128.16932009,1226.9049656847,35734.9604515335,37192.5402023868,38107.0569834092,38912.1063837064,41128.1309233835
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",3535430711.3382,910165881.158154,1002234221.1672,2887705403.70954,3419129276.15962,4094188554.32661,5987318053.26389
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",11879658159.5466,1814090569.36055,8712501262.10098,10430885014.8495,11800040867.0365,12988127845.9544,16539060630.7389
"Cml Dry Matter","Neonatal Female",2307681638.907,516961137.046674,1242692225.7903,1885293153.27554,2221207664.13359,2659779825.5655,3554464650.29819
"Cml Dry Matter","Neonatal Male",2336929550.74003,517141827.416043,1481014404.06977,1907500036.57383,2293701740.30647,2726386565.84575,3994651449.72476
"Cml Dry Matter","Neonatal Combined",4644611189.64703,963007896.387595,2831525155.74429,3842085001.03155,4538117106.44642,5344774847.48249,7237040427.22364
"Cml Dry Matter","Juvenile Female",1407472410.80098,315207903.720719,824820077.521273,1211019573.74761,1354424748.33149,1557167887.25138,2547978222.1201
"Cml Dry Matter","Juvenile Male",3475583553.14384,615779804.57135,2242604944.12821,2988716887.40773,3462369577.32179,3877498056.61995,4896084836.9531
"Cml Dry Matter","Juvenile Combined",4883055963.94482,855010206.984041,3356118309.75524,4300088039.91154,4762672122.53289,5408684734.84387,6874582832.06936
"Cml Dry Matter","Adult Female",1459015903.29145,200353438.034064,1012487780.06692,1310374670.05049,1459051344.68189,1620566252.78455,2017685777.46006
"Cml Dry Matter","Adult Male",892975102.66333,136228132.889852,598439484.008538,807972151.30029,866178752.173986,990961162.161716,1284315891.20133
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",15207419622.1717,2453089354.91709,10057274410.6416,13259984033.8113,15195150225.4818,17099572593.8671,20129078639.5047
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",56898102.4466705,13018923.9739849,31007859.7498665,48095086.887492,56888778.7804914,65290928.8793982,91307342.9610784
"Value of Offtake","Juvenile Male",527954966.930514,153817801.114102,218929860.015962,429637402.782075,521997238.560474,621849840.363166,953523753.493891
