"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",79844.3138587265,8.15693697260957,79809.7603523445,79838.908682659,79844.199202921,79849.8694862604,79868.3385894132
"Num Offtake","Neonatal Female",5545.84393148366,1.10245640335153,5541.16524781055,5545.11324910552,5545.82544624805,5546.59599290075,5549.08553250308
"Num Offtake","Neonatal Male",16982.5911460759,6.0521863504594,16956.6076872613,16978.5606647401,16982.4653573838,16986.7312712194,17000.2882033372
"Num Offtake","Neonatal Combined",22528.4350775596,7.15370498100904,22497.7729350718,22523.6698712653,22528.2917380593,22533.3437492436,22549.3737358403
"Num Offtake","Juvenile Female",19324.1053743938,0.897140493763112,19320.7526842958,19323.4770094355,19324.1042002849,19324.6979797744,19326.8385519308
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19324.1053743938,0.897140493763112,19320.7526842958,19323.4770094355,19324.1042002849,19324.6979797744,19326.8385519308
"Num Offtake","Adult Female",36412.612749711,0.0976699946350358,36412.2949221859,36412.546305398,36412.6163877473,36412.6771549762,36412.9152458916
"Num Offtake","Adult Male",1579.16065706215,0.0679938834050908,1578.93981079092,1579.11454470719,1579.16308076609,1579.2054102574,1579.37131659881
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-12900.6021563424,40.5549698167913,-13072.709200587,-12929.708875709,-12900.4125361545,-12872.030037466,-12778.3103062776
"Cml Pop Growth","Neonatal Female",-6399.62250107628,14.7758054771408,-6456.18613811275,-6410.17397470842,-6399.636615426,-6389.50334860407,-6356.8220321224
"Cml Pop Growth","Neonatal Male",12344.4200955948,12.3337297050595,12302.3989143053,12335.8148786526,12344.6791616605,12352.7356850081,12381.0381126611
"Cml Pop Growth","Neonatal Combined",5944.79759451848,27.0180392210271,5846.21277619253,5926.02023924087,5945.10555764734,5963.43599061985,6024.20133219286
"Cml Pop Growth","Juvenile Female",-5761.17189635709,7.55555482051478,-5793.95863522364,-5766.20643256626,-5761.36572157947,-5755.90630337988,-5739.31357923459
"Cml Pop Growth","Juvenile Male",16042.9481077762,7.00660691696196,16012.4342618706,16038.1728935234,16042.8092863189,16047.8294476034,16063.144373224
"Cml Pop Growth","Juvenile Combined",10281.7762114191,14.5613439484407,10218.475626647,10271.9988172553,10281.4014231205,10291.9116528373,10323.8307939895
"Cml Pop Growth","Adult Female",-34509.7451439843,1.33669191213416,-34514.8112730103,-34510.6748031686,-34509.7555453393,-34508.8610018278,-34505.6950904772
"Cml Pop Growth","Adult Male",5382.56918170423,1.36530180139988,5377.4136695837,5381.6124516695,5382.55950011535,5383.47230556111,5386.71365630758
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",66943.7117023841,47.701182468528,66737.0511517574,66910.755330192,66943.3611709991,66976.8445631677,67089.3898215761
"Total Number Increase","Neonatal Female",-853.77856959262,15.5709583950102,-915.020890302204,-864.98339009666,-854.037106104492,-843.08719457587,-808.042934615602
"Total Number Increase","Neonatal Male",29327.0112416707,16.6991608175875,29259.0066015666,29315.2615878244,29327.0350045312,29338.6584358551,29377.6062641706
"Total Number Increase","Neonatal Combined",28473.2326720781,32.2412603610678,28343.9857112643,28450.0335344506,28473.1805272173,28495.6976625112,28569.563329555
"Total Number Increase","Juvenile Female",13562.9334780367,8.39444191995498,13526.7940490721,13557.3607993866,13562.722161653,13568.6647234089,13587.4097549321
"Total Number Increase","Juvenile Male",16042.9481077762,7.00660691696196,16012.4342618706,16038.1728935234,16042.8092863189,16047.8294476034,16063.144373224
