"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",185814.6315433,211.889192070505,185422.142177778,185731.215937104,185763.853652265,185936.682146062,186160.495229146
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4343.89571866099,19.9714497405729,-4380.02560626461,-4354.55968847823,-4339.58349377097,-4336.08175673132,-4306.16464453866
"Num Offtake","Juvenile Male",27290.4012488659,168.41625772658,26972.1188919397,27224.3059570743,27254.268782941,27380.1274153025,27595.8113734089
"Num Offtake","Juvenile Combined",22946.5055302049,148.444918189046,22665.9542474011,22888.224200343,22914.68528917,23025.5677268242,23215.7857671443
"Num Offtake","Adult Female",-13006.2513272316,2.40371928944728,-13010.4848474156,-13007.8735777617,-13005.6771862139,-13005.0113498342,-13002.2459304703
"Num Offtake","Adult Male",22580.6207669008,68.7755836825788,22465.5302480856,22545.2935465919,22564.4018051879,22626.7696192856,22700.9812693215
"Num Offtake","Oxen",153293.756573426,0.640075150170337,153292.903612762,153293.382262275,153293.534794954,153294.036008041,153295.117769342
"Cml Pop Growth","Overall",2158153.734316,86303.5520243079,2052534.39071323,2112098.30755285,2132027.55868193,2196193.14743563,2344057.90488921
"Cml Pop Growth","Neonatal Female",368010.497251701,29366.7011030608,333741.27379566,345049.623730564,361105.734104273,384048.379746943,426336.99752047
"Cml Pop Growth","Neonatal Male",418695.455215319,29366.7011030608,384426.231759279,395734.581694182,411790.692067892,434733.337710561,477021.955484089
"Cml Pop Growth","Neonatal Combined",786705.95246702,58733.4022061215,718167.505554939,740784.205424746,772896.426172165,818781.717457503,903358.953004559
"Cml Pop Growth","Juvenile Female",400812.401222648,13743.7838869096,377572.427030134,394319.196670355,400058.972320859,403245.688374085,431159.210569322
"Cml Pop Growth","Juvenile Male",460150.680993746,13589.3983323833,437230.958862963,453723.215709991,459447.822031198,462462.199114926,490180.860917799
"Cml Pop Growth","Juvenile Combined",860963.082216394,27333.0966620805,814803.385893097,848042.412380346,859506.794352057,865707.887489011,921340.071487121
"Cml Pop Growth","Adult Female",285029.64684253,2452.47309572221,280392.702946337,284063.210777021,284508.287337115,286331.98369795,289491.811956135
"Cml Pop Growth","Adult Male",364315.173930091,2372.82589819817,359823.207935699,363367.865110699,363825.272219813,365562.41035094,368677.086916055
"Cml Pop Growth","Oxen",-138860.121140038,43.3460797563325,-138932.834562139,-138882.33038985,-138870.266595615,-138831.134323213,-138784.547355714
"Total Number Increase","Overall",2343968.3658593,86460.2185728437,2237956.53289101,2298017.12145501,2317791.4123342,2382186.83182715,2530218.40011835
"Total Number Increase","Neonatal Female",368010.497251701,29366.7011030608,333741.27379566,345049.623730564,361105.734104273,384048.379746943,426336.99752047
"Total Number Increase","Neonatal Male",418695.455215319,29366.7011030608,384426.231759279,395734.581694182,411790.692067892,434733.337710561,477021.955484089
"Total Number Increase","Neonatal Combined",786705.95246702,58733.4022061215,718167.505554939,740784.205424746,772896.426172165,818781.717457503,903358.953004559
"Total Number Increase","Juvenile Female",396468.505503987,13725.8863059135,373266.262385595,389983.326665926,395721.603789481,398886.290123987,426779.184963058
"Total Number Increase","Juvenile Male",487441.082242612,13740.3968657875,464203.077754902,480946.067246627,486683.470471974,489882.747965976,517776.672291208
"Total Number Increase","Juvenile Combined",883909.587746599,27466.2788295286,837469.340140498,870929.393912553,882405.074261456,888769.038089963,944555.857254265
"Total Number Increase","Adult Female",272023.395515299,2450.26039947772,267390.457015867,271057.479240161,271502.926863959,273324.186520043,276482.834368222
"Total Number Increase","Adult Male",386895.794696992,2436.10676348145,382288.738183785,385933.429327246,386380.601400713,388187.117151489,391336.65596023
"Total Number Increase","Oxen",14433.6354333884,43.9616657060269,14360.0690506228,14411.054113589,14423.2681993391,14463.1339896002,14510.5704136284
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",2202372052.81056,180608624.859496,1843159505.70023,2166761291.4977,2263457344.6614,2329747890.49634,2376577084.01114
"Population Liveweight (kg)","Neonatal Female",117228369.399286,18342031.499499,91858980.2699038,99870285.294569,117596062.563634,133190618.415154,141793662.243436
"Population Liveweight (kg)","Neonatal Male",123824646.317002,28778181.432567,76915910.4534561,104608495.408213,120246384.919305,149202351.052594,162250397.435407
"Population Liveweight (kg)","Juvenile Female",252619255.673061,66697210.9782569,168444777.48592,191152425.003067,264284153.696631,295383270.835736,366586812.515231
"Population Liveweight (kg)","Juvenile Male",225116766.773934,58863361.4447277,135530974.227309,184042379.625862,229071851.317476,265251212.722098,312955261.654048
