"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183816.370530283,1.8944896856806,183810.405769611,183815.135290007,183816.292292517,183817.695498466,183822.209787183
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4147.83953634599,0.177565337095257,-4148.40667820568,-4147.96301112425,-4147.83219796904,-4147.72245989893,-4147.26534942931
"Num Offtake","Juvenile Male",25635.6456342744,1.49696737512103,25630.8017911951,25634.6580235019,25635.5846874161,25636.6854646827,25640.431113264
"Num Offtake","Juvenile Combined",21487.8060979284,1.31940236088532,21483.5364417658,21486.9357205691,21487.752489447,21488.7226565457,21492.0244350583
"Num Offtake","Adult Female",-12986.9432803026,0.0209821732726688,-12987.0051686398,-12986.9582258897,-12986.9428375688,-12986.9288821177,-12986.8825888103
"Num Offtake","Adult Male",22025.9449810834,0.60114689593822,22024.2026829154,22025.5332678671,22025.9319355535,22026.3720556289,22027.7177306641
"Num Offtake","Oxen",153289.562731574,0.00516112678835982,153289.547679964,153289.559092538,153289.562723288,153289.566454265,153289.577894532
"Cml Pop Growth","Overall",1104159.59617637,694.346079913797,1101633.04527535,1103705.0774803,1104157.2978169,1104603.80931186,1106413.52174885
"Cml Pop Growth","Neonatal Female",22547.2152645931,238.462513301703,21673.4454456359,22385.517630197,22542.3581044203,22710.6042643057,23266.265481331
"Cml Pop Growth","Neonatal Male",73232.1732282114,238.4625133017,72358.4034092544,73070.4755938153,73227.3160680385,73395.5622279241,73951.2234449495
"Cml Pop Growth","Neonatal Combined",95779.3884928045,476.925026603404,94031.8488548903,95455.9932240123,95769.6741724588,96106.1664922299,97217.4889262805
"Cml Pop Growth","Juvenile Female",242389.324751651,115.621889748843,241981.464882221,242311.492105131,242389.087737216,242469.809909813,242781.153671156
"Cml Pop Growth","Juvenile Male",303406.034921331,114.224829614047,303003.052703773,303328.437334437,303405.868904113,303485.421767986,303793.029261425
"Cml Pop Growth","Juvenile Combined",545795.359672983,229.84611198999,544984.517585994,545639.786362046,545794.835713161,545955.342846192,546574.182932581
"Cml Pop Growth","Adult Female",260905.566983912,21.7901565287428,260834.997333926,260891.218064367,260904.689065636,260920.695028004,260975.309510674
"Cml Pop Growth","Adult Male",340889.759608406,21.0542904302507,340821.382605022,340875.828103578,340888.9734942,340904.486555835,340957.402289336
"Cml Pop Growth","Oxen",-139210.478581733,0.379163824119694,-139211.578768808,-139210.738375876,-139210.487179376,-139210.208924997,-139209.360595103
"Total Number Increase","Overall",1287975.96670665,695.680913632095,1285445.29714207,1287520.18847918,1287973.70827117,1288421.50070304,1290235.58014687
"Total Number Increase","Neonatal Female",22547.2152645931,238.462513301703,21673.4454456359,22385.517630197,22542.3581044203,22710.6042643057,23266.265481331
"Total Number Increase","Neonatal Male",73232.1732282114,238.4625133017,72358.4034092544,73070.4755938153,73227.3160680385,73395.5622279241,73951.2234449495
"Total Number Increase","Neonatal Combined",95779.3884928045,476.925026603404,94031.8488548903,95455.9932240123,95769.6741724588,96106.1664922299,97217.4889262805
"Total Number Increase","Juvenile Female",238241.485215305,115.45723480066,237834.199532791,238163.658477655,238241.220195419,238321.874658584,238632.74699295
"Total Number Increase","Juvenile Male",329041.680555606,115.612780149619,328633.854494968,328963.887383346,329041.468983691,329122.160640527,329433.460374689
"Total Number Increase","Juvenile Combined",567283.165770911,231.06999267867,566468.05402776,567127.545861001,567282.668851606,567444.03529911,568066.207367639
"Total Number Increase","Adult Female",247918.62370361,21.7697212460482,247848.114745115,247904.290669069,247917.751159823,247933.735884817,247988.308236806
"Total Number Increase","Adult Male",362915.704589489,21.6396287909105,362845.585287937,362901.469653721,362914.87122551,362930.717846347,362985.013938622
