"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",240834.669605498,17768.5907733264,192502.074318799,228758.78267613,241146.885974712,252713.762585757,298152.357961204
"Num Offtake","Neonatal Female",19770.7090261114,2423.59772333061,13145.835596835,18129.2217279108,19814.6112576574,21387.3071698421,27598.2406241167
"Num Offtake","Neonatal Male",108497.631025685,13341.4331274194,71319.0621983538,99625.3558661163,108772.819378899,117520.233188854,151440.334444696
"Num Offtake","Neonatal Combined",128268.340051796,15762.6242458527,84464.8977951889,117777.637919326,128581.85460062,139006.969865134,179038.575068813
"Num Offtake","Juvenile Female",39812.0043675777,1801.17920155941,34979.1959013112,38523.8781499752,39757.5855677256,41053.3808417687,45397.4642497321
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",39812.0043675777,1801.17920155941,34979.1959013112,38523.8781499752,39757.5855677256,41053.3808417687,45397.4642497321
"Num Offtake","Adult Female",64613.2818794121,222.663920846941,64040.3638180126,64454.356884049,64603.698732306,64769.0049744705,65235.1944620699
"Num Offtake","Adult Male",8141.04330671153,127.758078107451,7812.36472935878,8049.75282185857,8135.49645583494,8230.48730072925,8497.79037737299
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",511584.61078496,96587.3934039831,213536.539163902,448928.290034442,509461.424385379,576122.460237236,821015.395824659
"Cml Pop Growth","Neonatal Female",193227.738417429,36313.617950421,77684.8183816159,169959.801891199,192559.267559879,217257.912363088,301506.056685955
"Cml Pop Growth","Neonatal Male",133305.380763741,30891.1177467729,35919.3201221919,112593.326825098,132440.188852353,154421.963961859,228863.968305524
"Cml Pop Growth","Neonatal Combined",326533.119181169,66995.1692930132,113604.138503808,282564.372068454,324832.263711228,372675.199755225,530370.024991479
"Cml Pop Growth","Juvenile Female",61828.9362536755,17032.629260881,13384.5704905976,50528.1347298752,62332.540481409,73353.8916313098,116446.76015098
"Cml Pop Growth","Juvenile Male",110218.961653956,15703.0882692625,65302.1325317052,99936.0344959797,110481.062286332,121108.300617549,160332.364589092
"Cml Pop Growth","Juvenile Combined",172047.897907632,32733.0377233625,78686.7030223028,150474.26902615,172784.933729016,194434.998689754,276779.124740072
"Cml Pop Growth","Adult Female",-20614.7778706117,3138.59579300472,-29046.9897292697,-22812.4014572296,-20688.5648535699,-18486.9357913488,-10793.0080699733
"Cml Pop Growth","Adult Male",33618.371566771,3141.13613854461,25179.7293308757,31427.5037893443,33549.218907946,35735.4415308183,43433.7189278738
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",752419.280390458,111841.905614774,410379.956700977,676528.626237383,751803.830217856,826842.79817459,1119167.75378586
"Total Number Increase","Neonatal Female",212998.44744354,38005.9547345906,93168.6139892333,188634.457115172,212192.459562618,238096.790052986,325202.752423674
"Total Number Increase","Neonatal Male",241803.011789426,40174.8716859764,118202.576366816,216818.604114551,239897.090261215,268732.249428187,365431.382871826
"Total Number Increase","Neonatal Combined",454801.459232966,78126.8220757733,212000.137247905,404837.015288981,452951.610269247,506556.214312812,690634.1352955
