"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1413721.12687795,242.560701894173,1413089.70994082,1413576.17415987,1413696.86887298,1413889.83204543,1414210.24140175
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95293.8339988962,143.715559602167,94899.2469916534,95211.4839888757,95284.6439642084,95376.6503024032,95672.2953780112
"Num Offtake","Juvenile Male",92761.6696023972,126.011385590687,92385.1416528874,92686.3781011273,92763.8321805204,92842.8348297101,93087.1521794368
"Num Offtake","Juvenile Combined",188055.503601293,193.099197269048,187557.91494017,187940.698038012,188044.631869348,188187.727349686,188447.897077465
"Num Offtake","Adult Female",336937.35771926,23.6394001494138,336870.39328075,336924.528697895,336935.026905667,336953.450689538,336994.616659502
"Num Offtake","Adult Male",89964.8008508261,47.9647399887808,89804.3128289765,89930.8333173655,89966.5811840975,89992.494962207,90083.1347082586
"Num Offtake","Oxen",798763.464706568,0.7818981579694,798760.736305993,798762.912465069,798763.498769451,798763.942928671,798765.338166561
"Cml Pop Growth","Overall",73145.8543323706,8314.36405322003,50557.7897729725,68180.1359489318,73124.8946304675,78802.9634354087,91413.5699885301
"Cml Pop Growth","Neonatal Female",-36263.1299320537,3054.80024681417,-43537.4214046434,-38446.5101587595,-36399.1703069074,-34212.2983704972,-30054.8307494731
"Cml Pop Growth","Neonatal Male",12079.511231788,2567.08838190393,5122.91559277708,10634.9197768617,11737.6484945414,13792.3695495273,18979.4183043002
"Cml Pop Growth","Neonatal Combined",-24183.6187002656,4059.19947022057,-33209.2124893374,-27132.2724846634,-24384.1199159103,-21277.3085116117,-14868.457636503
"Cml Pop Growth","Juvenile Female",215490.264669517,4159.9266938881,207660.201171277,212482.743022212,215403.760077663,218191.149271334,226227.01197035
"Cml Pop Growth","Juvenile Male",195642.708248362,3933.03597402361,186370.982447837,193462.987490354,195680.5559104,198333.190400448,206053.036289989
"Cml Pop Growth","Juvenile Combined",411132.972917879,5466.34769668809,398407.843129412,407518.272808838,410716.182110912,415061.099743828,423918.855085499
"Cml Pop Growth","Adult Female",-179259.305642614,1132.19787231844,-182354.077880609,-179929.543569236,-179323.997626126,-178630.876402637,-176270.875532909
"Cml Pop Growth","Adult Male",617144.665367576,972.218833280305,614284.987283548,616531.377500441,617158.556406364,617764.990623486,619651.999888362
"Cml Pop Growth","Oxen",-751688.859610205,24.338414900461,-751770.107500131,-751706.161667812,-751688.099673187,-751674.801585225,-751628.625403908
"Total Number Increase","Overall",1486866.98121032,8480.28537134343,1463775.8707758,1481711.68163124,1486902.63837078,1492410.90145993,1505602.73752937
"Total Number Increase","Neonatal Female",-36263.1299320537,3054.80024681417,-43537.4214046434,-38446.5101587595,-36399.1703069074,-34212.2983704972,-30054.8307494731
"Total Number Increase","Neonatal Male",12079.511231788,2567.08838190393,5122.91559277708,10634.9197768617,11737.6484945414,13792.3695495273,18979.4183043002
"Total Number Increase","Neonatal Combined",-24183.6187002656,4059.19947022057,-33209.2124893374,-27132.2724846634,-24384.1199159103,-21277.3085116117,-14868.457636503
"Total Number Increase","Juvenile Female",310784.098668414,4268.27745150956,302614.40120129,307679.437429466,310642.160195155,313412.918852418,321820.010513388
"Total Number Increase","Juvenile Male",288404.377850759,4022.56295851271,279058.978154811,286175.993093499,288377.288941563,291162.106147899,299030.792644291
"Total Number Increase","Juvenile Combined",599188.476519172,5603.93369565578,586216.64498821,595399.935432257,598802.284059828,603109.500299624,612345.73872275
"Total Number Increase","Adult Female",157678.052076646,1154.80986344188,154516.315400141,157006.757247137,157606.489516864,158328.865736563,160723.741126592
"Total Number Increase","Adult Male",707109.466218402,1017.06650516146,704089.300112525,706490.968875313,707124.814167936,707761.134325788,709735.134596621
"Total Number Increase","Oxen",47074.6050963633,25.097829063696,46990.6288058615,47056.8313869936,47075.5366660985,47089.0962011547,47136.5239752525
"Total Mortality","Overall",516286.004918382,8186.53825983387,498066.28690375,510569.483947793,516221.421272232,521167.437950692,538750.620725016
"Total Mortality","Neonatal Female",72123.146765182,4258.42488690783,61507.954665135,69202.5813454397,72329.042752967,75269.7225978248,82172.2535772312
"Total Mortality","Neonatal Male",69011.5427666052,3596.0807743148,58498.6199483139,66849.051172303,69216.6849491102,71110.6466143033,77972.9462210499
"Total Mortality","Neonatal Combined",141134.689531787,5309.72124265029,127992.528768734,137620.838166605,140887.130655748,144818.498900274,153117.947778659
"Total Mortality","Juvenile Female",94801.3704326024,4939.2201231582,82791.4942799451,91372.2296941319,94962.1053004224,98088.6220709596,107845.563510355
"Total Mortality","Juvenile Male",93051.4240558177,4834.11029785078,78893.2491880037,89735.7448311589,93274.3526333271,96003.945845458,103228.045435505
"Total Mortality","Juvenile Combined",187852.79448842,6688.32340675033,171220.29887655,183764.14049918,187293.604110463,192052.974348781,203555.722451127
"Total Mortality","Adult Female",168468.67885963,11.8197000747069,168435.196640375,168462.264348948,168467.513452834,168476.725344769,168497.308329751
"Total Mortality","Adult Male",18829.842038545,10.0391316255593,18796.2515223439,18822.7325547974,18830.214666439,18835.6384804619,18854.6095901006
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",4131539553.65228,333373111.630697,3515419696.66739,3865565001.94797,4106165045.32579,4308100088.69069,4930369440.28437
"Population Liveweight (kg)","Neonatal Female",101776550.986921,21073514.7310337,50557307.6132556,87510469.3254997,102773960.480083,117495774.063386,139634154.261284
"Population Liveweight (kg)","Neonatal Male",103708279.041739,27411227.1437107,40136671.9140905,85356007.8817659,103727370.778002,127782820.103717,156365225.305974
"Population Liveweight (kg)","Juvenile Female",299949349.525184,58172394.5235342,198161177.210482,254219353.540875,290630494.693897,336704835.640777,446308271.459201
"Population Liveweight (kg)","Juvenile Male",303456789.983859,67482323.5891682,184587683.575253,251869271.567809,303636643.159358,344474486.23771,494825781.304825
"Population Liveweight (kg)","Juvenile Combined",603406139.509043,88322302.9894882,426995672.633339,542711079.690373,600602081.024544,656344295.933867,858803375.835587
"Population Liveweight (kg)","Adult Female",1437610923.12012,238698921.575706,980194840.518044,1266955971.44375,1448692673.4329,1601583988.90179,2001588751.19043
"Population Liveweight (kg)","Adult Male",286193457.652947,30548356.6375666,219469971.467287,263790669.314944,288167959.378499,307549421.721761,346035935.729438
"Population Liveweight (kg)","Oxen",1598844203.34151,278150984.788962,1043045970.42091,1369910774.65959,1576303350.52713,1808879788.89186,2266492317.80897
"Offtake Liveweight (kg)","Overall",384870097.008001,40194708.5233592,299413760.913583,352551621.957522,387494597.832563,418120932.187963,476308713.349518
"Offtake Liveweight (kg)","Juvenile Female",15847078.8913005,3373581.75245092,9865861.87956092,13392274.2682765,15283096.9765831,17916578.6926827,24822643.93069
"Offtake Liveweight (kg)","Juvenile Male",17445131.5198869,4382806.73342014,10265717.2134679,14235654.4644254,16987172.7975768,19808363.7361725,27837892.4956474
"Offtake Liveweight (kg)","Adult Female",84201095.77857,13602375.34605,56501509.2000386,73965374.5564382,84495806.4855347,94809859.0516623,120733884.280407
"Offtake Liveweight (kg)","Adult Male",27217001.2864576,2640345.36982108,21263447.029449,25266641.9542057,27512086.1742789,29129003.1221486,32820160.5455632
"Offtake Liveweight (kg)","Oxen",240159789.531786,37855855.7972125,155618098.90325,214814202.129947,239976598.623839,265136498.335241,332400113.315131
"Meat (kg)","Overall",1269906334.88451,42069987.129266,1171670726.62121,1240713721.87172,1268472611.09742,1300568099.82662,1379918458.97463
"Manure","Overall",9967108948.90435,345091952.944786,9144428890.70148,9745466193.96715,9956606743.60155,10182855195.0604,10894254207.7156
"Manure","Neonatal Female",279963595.360554,7019589.63233897,263243043.200499,275389208.610654,279756863.938888,284193929.497959,299122696.763906
"Manure","Neonatal Male",270439678.973117,6817331.78612566,254805340.902838,266334618.274407,270195789.425638,274698276.753617,291068982.394588
"Manure","Neonatal Combined",550403274.333671,9511500.825511,530061338.29531,544420056.670941,551515167.795912,557640175.982856,570335189.221102
"Manure","Juvenile Female",663936027.191921,21568442.3110225,611682564.89551,648327550.09994,660372899.218815,680919902.436862,714564709.069418
"Manure","Juvenile Male",644866328.987351,21312766.8472881,596112684.092043,631282368.785556,646757038.503451,663392369.029287,699642395.098541
"Manure","Juvenile Combined",1308802356.17927,30145457.7145619,1220667460.77569,1289367287.17011,1308420576.17475,1329043828.7384,1373570614.12525
"Manure","Adult Female",3840351262.49555,215513547.282137,3426448343.73771,3695867700.14655,3830781394.26276,3965908502.45992,4369837924.67282
"Manure","Adult Male",466556414.153628,26621243.2555073,394400160.404928,452134246.955349,468183722.029104,484317239.022785,520174999.777871
"Manure","Oxen",3800995641.74223,247347660.273668,3235471504.78075,3639528892.83141,3772623169.93929,3912108643.42926,4562394521.01982
"Hides","Overall",187575.657693297,3339.156188905,179274.175877891,185545.333787345,187291.781999497,189673.830144247,195412.597545213
"Hides","Juvenile Female",47400.6852163012,2469.6100615791,41395.7471399725,45686.114847066,47481.0526502112,49044.3110354798,53922.7817551773
