"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1409851.53266977,47.8894330605346,1409712.75107649,1409819.23761174,1409854.55303098,1409880.76211535,1409982.39734769
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97495.6222999007,31.3331042703222,97432.974076716,97473.5606060959,97492.4929842973,97514.8193948765,97578.7785948791
"Num Offtake","Juvenile Male",94913.8818068369,25.7657826963279,94839.914895397,94900.588938458,94913.9580249455,94931.0769864597,94990.4166651878
"Num Offtake","Juvenile Combined",192409.504106738,40.7192093709874,192295.193930606,192383.508395392,192411.622141483,192434.385598515,192523.339464044
"Num Offtake","Adult Female",338725.476456465,3.61697201483612,338718.351132314,338722.699555895,338724.780950706,338728.031988593,338734.849204795
"Num Offtake","Adult Male",90664.9116377624,7.25111128236703,90645.7103491906,90660.536608795,90664.9155219111,90669.4040906416,90684.6600611491
"Num Offtake","Oxen",788051.640468802,0.0885136400760009,788051.434581389,788051.578714066,788051.639069794,788051.68884461,788051.860247144
"Cml Pop Growth","Overall",165431.067303858,5396.42742280895,153111.214404892,162088.26098168,165233.169391474,168729.164182351,180670.281281408
"Cml Pop Growth","Neonatal Female",-31459.3050242963,2578.93450026983,-37822.3482105846,-33224.4073782522,-31759.2362909381,-29318.4626470222,-26384.5082393601
"Cml Pop Growth","Neonatal Male",16743.2704177313,2526.78147341423,10871.4382076161,15190.253850112,16858.0843795836,18259.3787319574,23730.983496021
"Cml Pop Growth","Neonatal Combined",-14716.034606565,3650.73885697346,-23346.3286007436,-17043.7227308764,-14880.5494210129,-12396.786043053,-4671.28872229531
"Cml Pop Growth","Juvenile Female",291472.865469723,1354.26840576302,288273.586454605,290428.184860893,291488.162098585,292337.749140999,295341.453032495
"Cml Pop Growth","Juvenile Male",269981.69144982,1115.76886348784,267269.316613863,269331.509904533,270017.698991987,270835.126440565,273042.003707247
"Cml Pop Growth","Juvenile Combined",561454.556919543,1796.92420100112,557237.472518941,560247.427267668,561516.84595202,562630.274019185,566594.804432923
"Cml Pop Growth","Adult Female",-109622.500076759,251.505356538032,-110128.550215626,-109797.988566929,-109648.454409312,-109467.999264816,-108953.8353086
"Cml Pop Growth","Adult Male",633866.784428758,202.667071123722,633283.660848896,633760.637261616,633869.273249285,634009.60024168,634470.359623334
"Cml Pop Growth","Oxen",-905551.739361118,3.6893468814004,-905561.537566871,-905553.951808336,-905551.702383575,-905549.432005804,-905541.659373441
"Total Number Increase","Overall",1575282.59997363,5431.76276401843,1562902.54225384,1571920.497604,1575085.01256648,1578588.8088733,1590602.67059771
"Total Number Increase","Neonatal Female",-31459.3050242963,2578.93450026983,-37822.3482105846,-33224.4073782522,-31759.2362909381,-29318.4626470222,-26384.5082393601
"Total Number Increase","Neonatal Male",16743.2704177313,2526.78147341423,10871.4382076161,15190.253850112,16858.0843795836,18259.3787319574,23730.983496021
"Total Number Increase","Neonatal Combined",-14716.034606565,3650.73885697346,-23346.3286007436,-17043.7227308764,-14880.5494210129,-12396.786043053,-4671.28872229531
"Total Number Increase","Juvenile Female",388968.487769624,1383.62539218061,385706.560531321,387901.887774832,388967.030148202,389831.455895269,392920.231627374
"Total Number Increase","Juvenile Male",364895.573256657,1138.99940264099,362109.23150926,364218.917585086,364928.746099257,365772.964558601,368032.420372435
"Total Number Increase","Juvenile Combined",753864.061026281,1834.89882216153,749532.666449548,752620.11316159,753920.516110554,755071.107123385,759118.143896967
