"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",427161.624491849,35.1273956518336,427096.086247398,427142.064559807,427163.788925623,427185.519880062,427208.683025235
"Num Offtake","Neonatal Female",30145.0057322279,4.79543306007237,30136.0330226966,30142.3422585309,30145.3337026654,30148.266953197,30151.4305463838
"Num Offtake","Neonatal Male",92440.8545644135,26.126937203561,92390.3994002742,92426.140581668,92445.3536673735,92458.2582721687,92474.5396189121
"Num Offtake","Neonatal Combined",122585.860296641,30.9105593336641,122526.432422971,122568.538753692,122590.687370039,122606.525225366,122625.970165296
"Num Offtake","Juvenile Female",97112.8768091222,4.00667900085113,97107.5468263774,97109.6938135852,97113.1327229269,97116.0592205771,97118.6965426438
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",97112.8768091222,4.00667900085113,97107.5468263774,97109.6938135852,97113.1327229269,97116.0592205771,97118.6965426438
"Num Offtake","Adult Female",198757.729780641,0.516025742308301,198757.074662111,198757.276130604,198757.808960138,198758.169023176,198758.396973982
"Num Offtake","Adult Male",8705.15760544447,0.357887405350778,8704.70320185411,8704.84437316586,8705.21274020295,8705.46357007364,8705.61934331314
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-61273.04334943,184.154654049657,-61609.3527016428,-61369.9503910015,-61278.3867336321,-61185.1174179766,-60909.332121962
"Cml Pop Growth","Neonatal Female",-33491.5705283115,78.0599063513369,-33602.6578264058,-33534.5901825624,-33511.3131298629,-33464.6507135511,-33316.6928583075
"Cml Pop Growth","Neonatal Male",68054.4502581973,71.5117401773644,67972.8785394753,68015.3100240261,68025.6135581566,68084.8362694476,68220.8837649065
"Cml Pop Growth","Neonatal Combined",34562.8797298858,149.024360795507,34370.2207130695,34477.2375178158,34513.7317896204,34620.1855558965,34904.190906599
"Cml Pop Growth","Juvenile Female",-32980.5884860689,32.6021845201123,-33045.3076272704,-33002.232404405,-32971.2086666997,-32959.5198106086,-32940.5803960163
"Cml Pop Growth","Juvenile Male",85570.138898674,29.9313969757526,85510.0693439595,85549.0926651604,85580.4841247728,85589.1087547823,85605.7107007244
"Cml Pop Growth","Juvenile Combined",52589.5504126051,62.5200249520986,52464.7617166891,52546.8602607555,52609.2754580731,52629.5889441737,52665.1303047081
"Cml Pop Growth","Adult Female",-179425.162694099,6.79813902119955,-179434.561574724,-179430.193671378,-179424.980753372,-179419.75061467,-179415.200100474
"Cml Pop Growth","Adult Male",30999.689202178,6.90686040153079,30990.2264433231,30994.4803964792,30999.9431284635,31005.1803181263,31009.7896855548
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",365888.581142419,206.619727620432,365486.733545755,365782.713664922,365884.493303193,366001.342813838,366260.345852731
"Total Number Increase","Neonatal Female",-3346.56479608361,79.6393549807609,-3466.62480370924,-3390.3324396037,-3361.60711745769,-3321.90903654741,-3170.60935984593
"Total Number Increase","Neonatal Male",160495.304822611,80.7411318781834,160363.277939749,160454.19084894,160490.103334779,160522.479351488,160669.679926604
"Total Number Increase","Neonatal Combined",157148.740026527,160.159482258194,156896.65313604,157063.858409336,157128.496217321,157198.828932493,157499.070566759
"Total Number Increase","Juvenile Female",64132.2883230534,35.9602435568357,64062.239199107,64110.880955405,64139.644358744,64156.0704837359,64178.1161466275
"Total Number Increase","Juvenile Male",85570.138898674,29.9313969757526,85510.0693439595,85549.0926651604,85580.4841247728,85589.1087547823,85605.7107007244
"Total Number Increase","Juvenile Combined",149702.427221727,65.8011790503557,149572.308543066,149659.973620565,149720.128483517,149745.179238518,149783.826847352
"Total Number Increase","Adult Female",19332.5670865421,7.28907146097593,19322.706248305,19326.9443814175,19332.9174001191,19338.3634272545,19343.1968735078
"Total Number Increase","Adult Male",39704.8468076224,7.2476466804909,39695.0656183436,39699.2261594021,39705.2188305782,39710.6038484926,39715.409028868
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",150286.948439066,12.9796001470614,150263.095055751,150279.770005054,150287.193699147,150295.836597023,150304.580849092
"Total Mortality","Neonatal Female",38092.3254252698,6.05968359408792,38080.9871832257,38088.9597630527,38092.7398606409,38096.4464226762,38100.4440540668
"Total Mortality","Neonatal Male",18097.5757527514,5.11499193139992,18087.6979107579,18094.6951279604,18098.4565630492,18100.9829575091,18104.1704324349
"Total Mortality","Neonatal Combined",56189.9011780212,11.1665887620549,56168.6850939836,56183.6658374574,56191.1964236901,56197.4293801853,56204.6144865017
"Total Mortality","Juvenile Female",23157.6860083292,0.955438838662928,23156.4150124438,23156.9269863165,23157.7470339287,23158.4448910607,23159.0737909381
"Total Mortality","Juvenile Male",4923.40100414518,0.89870818838143,4922.18813667461,4922.70404376585,4923.4471349917,4924.11487721308,4924.71071957963
"Total Mortality","Juvenile Combined",28081.0870124743,1.85410038287269,28078.6031491184,28079.6310300823,28081.1941689204,28082.5597682738,28083.7845105178
"Total Mortality","Adult Female",66015.96024857,0.171394264408119,66015.7426556299,66015.8095719505,66015.9865474743,66016.1061398404,66016.1818520725
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2635220144.62861,151350.226351492,2634949312.77473,2635137239.41438,2635212958.64316,2635324554.18175,2635429303.59517
"Value of Total Mortality","Neonatal Female",423434289.4273,67359.4428318797,423308253.528736,423396876.726094,423438896.290884,423480098.434469,423524536.105007
"Value of Total Mortality","Neonatal Male",173392873.287111,49006.7376947424,173298233.682972,173365274.020988,173401312.330574,173425517.715895,173456056.913159
"Value of Total Mortality","Neonatal Combined",596827162.714411,116283.474063142,596606487.211708,596762255.624966,596840208.621458,596905616.150363,596980593.018165
"Value of Total Mortality","Juvenile Female",392244885.609079,16183.2230492842,392223357.480774,392232029.294228,392245919.260685,392257739.564786,392268391.87091
"Value of Total Mortality","Juvenile Male",101638690.329573,18552.931840946,101613651.893511,101624302.279502,101639642.654769,101653427.525187,101665728.095002
"Value of Total Mortality","Juvenile Combined",493883575.938652,34735.2842960286,493837009.374284,493856331.573731,493885561.915453,493911167.089973,493934119.965912
"Value of Total Mortality","Adult Female",1544509405.97554,4009.9402101211,1544504315.17112,1544505880.74535,1544510021.26471,1544512819.24771,1544514590.61109
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",284607167.886402,141870154.307088,128862348.598456,160495441.063002,251440480.797497,397277514.495379,523552783.511757
"Population Liveweight (kg)","Neonatal Female",18376813.0556798,12934898.6606865,758184.230187403,8593492.2127684,19473390.1739552,26099861.6305963,35643042.9577677
"Population Liveweight (kg)","Neonatal Male",10608394.6807983,4659976.39024994,4047267.53309904,7534629.51367791,11010640.0871582,11909487.6651943,19784620.9294404
"Population Liveweight (kg)","Juvenile Female",54823885.2540486,36744497.6186486,6746664.27447948,26184049.0444253,60009623.9761104,64714097.4002383,113970233.308045
"Population Liveweight (kg)","Juvenile Male",23732757.8691335,14749430.2563807,4842443.29671496,11849657.9384362,24198376.8840803,32742623.6145588,45599883.5947073
"Population Liveweight (kg)","Juvenile Combined",78556643.1231821,38378013.5733853,18981050.5608357,55657576.2475711,72094570.2639258,103528510.645837,144921807.530242
"Population Liveweight (kg)","Adult Female",157807938.145653,119255549.374734,28478810.1794787,58195194.6500204,136201680.8769,274103577.273492,317599867.698705
"Population Liveweight (kg)","Adult Male",19257378.8810894,11602316.5207869,846763.911519464,13546105.7854954,20906909.1442718,25804717.5494243,34772531.8092202
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",70391503.9676891,45284661.8354251,7850445.72495525,43913977.4020706,61328590.5079985,103425979.968394,138086310.049074
"Offtake Liveweight (kg)","Juvenile Female",17179329.2312965,10084696.11248,3107453.38949842,9517020.50566373,17431808.8838474,25055572.8909758,30106795.9282196
