"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9303288.15038234,32.130156401769,9303243.51612761,9303264.24151566,9303282.11737311,9303307.69432291,9303339.71155698
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",151055.117351847,6.64357305829479,151046.182749144,151049.943920348,151053.925454455,151058.661720428,151065.834068742
"Num Offtake","Juvenile Male",311199.976305421,15.3817761046612,311179.307560894,311187.986006112,311197.220126184,311208.153793869,311224.790522944
"Num Offtake","Juvenile Combined",462255.093657268,22.0253437262087,462225.490310038,462237.92992646,462251.145580639,462266.815514296,462290.624591686
"Num Offtake","Adult Female",4415829.24812701,6.70779048660051,4415819.41786403,4415824.82198128,4415827.88223272,4415834.35934622,4415839.74762618
"Num Offtake","Adult Male",2222956.47944444,3.49876227297736,2222951.34165373,2222954.17856831,2222955.77192121,2222959.15521331,2222961.95167822
"Num Offtake","Oxen",2202247.32915362,0.0394652121160994,2202247.26629982,2202247.30650182,2202247.32528401,2202247.36170324,2202247.38766089
"Cml Pop Growth","Overall",-8657229.78112873,3867.20205031138,-8662990.54917381,-8659779.01417767,-8657097.11786165,-8655359.79060029,-8650767.23990054
"Cml Pop Growth","Neonatal Female",-749864.822870208,1232.59834234465,-751739.262578839,-750792.970570378,-749897.886583813,-749041.17553662,-747826.152998847
"Cml Pop Growth","Neonatal Male",-586470.46335564,1232.59834234484,-588344.903064272,-587398.61105581,-586503.527069245,-585646.816022052,-584431.793484278
"Cml Pop Growth","Neonatal Combined",-1336335.28622585,2465.19668468949,-1340084.16564311,-1338191.58162619,-1336401.41365306,-1334687.99155867,-1332257.94648312
"Cml Pop Growth","Juvenile Female",746734.91601016,653.134800126113,745860.422620883,746257.581530837,746692.202650252,746913.164881073,747786.271206984
"Cml Pop Growth","Juvenile Male",779427.791219778,645.554901309806,778563.55673648,778956.830077412,779384.323340386,779605.974052998,780467.926064529
"Cml Pop Growth","Juvenile Combined",1526162.70722994,1298.68869082077,1524423.97935736,1525214.41160825,1526076.52599064,1526519.13893407,1528254.19727151
"Cml Pop Growth","Adult Female",-4537928.55392104,100.239860777161,-4538061.75739035,-4538007.70578207,-4537946.23648205,-4537877.64770383,-4537766.71783924
"Cml Pop Growth","Adult Male",-2145735.75990676,103.144032063556,-2145873.29692057,-2145816.88719292,-2145754.04843856,-2145682.60774251,-2145569.26962487
"Cml Pop Growth","Oxen",-2163392.88830502,1.65393681167989,-2163395.30857714,-2163393.9829828,-2163393.22540469,-2163391.63130898,-2163390.29803075
"Total Number Increase","Overall",646058.36925361,3895.88797962788,640252.966953803,643491.592566823,646199.299516088,647926.453715671,652563.59903711
"Total Number Increase","Neonatal Female",-749864.822870208,1232.59834234465,-751739.262578839,-750792.970570378,-749897.886583813,-749041.17553662,-747826.152998847
"Total Number Increase","Neonatal Male",-586470.46335564,1232.59834234484,-588344.903064272,-587398.61105581,-586503.527069245,-585646.816022052,-584431.793484278
"Total Number Increase","Neonatal Combined",-1336335.28622585,2465.19668468949,-1340084.16564311,-1338191.58162619,-1336401.41365306,-1334687.99155867,-1332257.94648312
"Total Number Increase","Juvenile Female",897790.033362007,659.598520317712,896906.605370027,897307.226942935,897748.050831063,897968.19798446,898850.769247186
"Total Number Increase","Juvenile Male",1090627.7675252,660.521864505994,1089742.86429737,1090144.13818513,1090585.98115669,1090805.77304693,1091689.6515899
"Total Number Increase","Juvenile Combined",1988417.80088721,1320.1203220999,1986649.4696674,1987451.36512807,1988334.03198776,1988773.97103139,1990540.42083708
"Total Number Increase","Adult Female",-122099.305794035,106.797575040814,-122242.339526322,-122182.883800784,-122118.354249323,-122043.288357612,-121926.970213057
"Total Number Increase","Adult Male",77220.7195376873,106.564058086593,77078.0447331597,77137.2934173471,77201.7193987318,77276.5474707991,77392.6820533522
"Total Number Increase","Oxen",38854.4408485998,1.69282682744176,38851.9577226751,38853.3258638618,38854.0966197236,38855.7329401023,38857.0896301391
"Total Mortality","Overall",5043534.91657523,202.270165396314,5043261.36479742,5043378.00810364,5043519.84820214,5043597.30857333,5043857.72139706
"Total Mortality","Neonatal Female",399852.455905796,82.3955570738489,399741.62126537,399790.578915672,399848.396476901,399873.025097764,399983.105043996
