"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9325845.16718467,12.5415574650525,9325822.27264294,9325835.81261599,9325847.13577482,9325855.72718747,9325859.68850498
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155619.581989008,2.51737094694169,155615.211113351,155617.705379661,155619.480970802,155621.679917811,155622.891328276
"Num Offtake","Juvenile Male",320464.713430289,5.82478287772756,320454.615406932,320460.372441538,320464.450198935,320469.565273415,320472.392148406
"Num Offtake","Juvenile Combined",476084.295419297,8.34214304527595,476069.826520283,476078.077821199,476083.931169737,476091.245191226,476095.283476682
"Num Offtake","Adult Female",4421782.87651174,2.89523131288831,4421777.3835272,4421780.82445697,4421783.47186255,4421785.39250666,4421785.90288528
"Num Offtake","Adult Male",2225692.15232005,1.51694909830887,2225689.26447686,2225691.08028603,2225692.46569776,2225693.47902291,2225693.72776858
"Num Offtake","Oxen",2202285.84293358,0.0214509882111507,2202285.7981186,2202285.83005178,2202285.84802417,2202285.85662502,2202285.87079983
"Cml Pop Growth","Overall",-7934426.59582006,2125.10597095195,-7937894.55238387,-7935778.1748842,-7935134.7671057,-7932342.06535123,-7931658.14474284
"Cml Pop Growth","Neonatal Female",-745638.141328331,718.212432453495,-746749.818882415,-746071.001794372,-745888.385588248,-744962.769268359,-744680.789679126
"Cml Pop Growth","Neonatal Male",-582243.781813763,718.212432453661,-583355.459367847,-582676.642279804,-582494.02607368,-581568.409753791,-581286.430164557
"Cml Pop Growth","Neonatal Combined",-1327881.92314209,1436.42486490716,-1330105.27825026,-1328747.64407418,-1328382.41166193,-1326531.17902215,-1325967.21984368
"Cml Pop Growth","Juvenile Female",1059978.11929668,328.872746446533,1059419.25020908,1059787.33360301,1059954.36335484,1060189.22860545,1060477.65464587
"Cml Pop Growth","Juvenile Male",1051890.82165727,326.247233564342,1051336.96052802,1051702.45701196,1051867.98463786,1052099.21149395,1052386.29529553
"Cml Pop Growth","Juvenile Combined",2111868.94095395,655.118548708494,2110756.2107371,2111489.79061496,2111822.3479927,2112288.4400994,2112863.94994141
"Cml Pop Growth","Adult Female",-4471366.71843195,37.7326811563832,-4471430.78979096,-4471394.71652691,-4471370.8181375,-4471335.52075928,-4471315.27695641
"Cml Pop Growth","Adult Male",-2084935.25806977,38.8846835648523,-2085001.71156837,-2084964.15835237,-2084938.71744683,-2084903.02976372,-2084882.7711641
"Cml Pop Growth","Oxen",-2162111.63713019,0.711486900778843,-2162112.98351137,-2162112.14248001,-2162111.49136177,-2162111.02172002,-2162110.88991562
"Total Number Increase","Overall",1391418.57136461,2135.74744551913,1387927.72025908,1390069.84984456,1390701.27550428,1393515.42275706,1394194.07194937
"Total Number Increase","Neonatal Female",-745638.141328331,718.212432453495,-746749.818882415,-746071.001794372,-745888.385588248,-744962.769268359,-744680.789679126
"Total Number Increase","Neonatal Male",-582243.781813763,718.212432453661,-583355.459367847,-582676.642279804,-582494.02607368,-581568.409753791,-581286.430164557
"Total Number Increase","Neonatal Combined",-1327881.92314209,1436.42486490716,-1330105.27825026,-1328747.64407418,-1328382.41166193,-1326531.17902215,-1325967.21984368
"Total Number Increase","Juvenile Female",1215597.70128569,331.057963682751,1215034.46132244,1215404.83567106,1215573.1929021,1215811.17898433,1216100.54597415
"Total Number Increase","Juvenile Male",1372355.53508756,331.306572443066,1371791.57593495,1372162.36054347,1372330.95272746,1372569.397331,1372858.68744394
"Total Number Increase","Juvenile Combined",2587953.23637324,662.364473835643,2586826.03725738,2587567.19621453,2587904.14562956,2588380.57631533,2588959.23341809
"Total Number Increase","Adult Female",-49583.8419202167,40.3657127038679,-49653.4062637556,-49613.8920699325,-49586.4294825764,-49550.2860927191,-49530.0758542493
"Total Number Increase","Adult Male",140756.894250284,40.2646118465965,140687.552908489,140726.921933664,140754.238424581,140790.357898687,140810.582590921
"Total Number Increase","Oxen",40174.2058033895,0.732138209662854,40172.8146072216,40173.6875717777,40174.3566624012,40174.8439226387,40174.9688606951
"Total Mortality","Overall",4307490.98116196,78.4554341073283,4307354.24874952,4307441.85321703,4307482.88997216,4307545.77672015,4307609.48053613
"Total Mortality","Neonatal Female",399972.027115761,38.650866810805,399905.237887219,399948.136364551,399968.136962429,399998.586956389,400030.617151769
"Total Mortality","Neonatal Male",384445.86625691,38.6508668107737,384379.077028368,384421.975505701,384441.976103578,384472.426097539,384504.456292918
"Total Mortality","Neonatal Combined",784417.893372671,77.3017336216065,784284.314915587,784370.111870252,784410.113066007,784471.013053928,784535.073444687
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",1414970.52048376,0.926474019960749,1414968.76272871,1414969.86382623,1414970.71099602,1414971.32560213,1414971.48892329
"Total Mortality","Adult Male",1059623.00295237,0.722199679428055,1059621.6280879,1059622.49257096,1059623.15214741,1059623.6345783,1059623.75300287
"Total Mortality","Oxen",1048479.56435316,0.0102125357445632,1048479.54301733,1048479.55822031,1048479.56677672,1048479.57087148,1048479.57761992
"Population Liveweight (kg)","Overall",12436604989.3437,1168933234.79185,10850659622.1534,11577039163.0664,12470185511.9174,13290309037.4432,14003038952.5423
"Population Liveweight (kg)","Neonatal Female",299024706.197743,42598891.1269988,238484309.870451,266963534.173865,291675855.059643,325530297.285242,364660629.692793
"Population Liveweight (kg)","Neonatal Male",271577153.960031,83774621.3807504,115197541.029935,223843888.099494,268793545.45952,328441044.601287,388459964.798059
"Population Liveweight (kg)","Juvenile Female",895622166.310073,113295457.325933,752771805.183001,815229700.119489,882272887.519088,968419628.520551,1086949401.59799
"Population Liveweight (kg)","Juvenile Male",1041322303.9586,236996926.135993,601001712.14209,863966317.331342,1097256202.40222,1222740211.46119,1314402784.99639
"Population Liveweight (kg)","Juvenile Combined",1936944470.26868,296372128.01557,1353773517.32509,1851437253.63746,1949173637.71873,2122930314.899,2385951525.50928
"Population Liveweight (kg)","Adult Female",2838340572.50617,462953939.867936,2379590107.08412,2531079330.44733,2664112868.77663,3069631102.18804,3776734086.5892
"Population Liveweight (kg)","Adult Male",3576231620.49976,650437848.483506,2793428582.21282,3027986291.59824,3481923483.23995,4191492146.30223,4525125204.01494
"Population Liveweight (kg)","Oxen",3514486465.9113,621234296.466652,2555371465.04122,3026565416.43318,3646809525.51833,3975084613.96633,4200550638.18193
"Offtake Liveweight (kg)","Overall",2234109725.07574,166795192.569702,2000576702.14916,2147095647.44184,2202192760.27091,2279832571.86063,2616401815.16888
"Offtake Liveweight (kg)","Juvenile Female",28137119.1997506,3845240.83523057,24119973.1390354,25654746.3046797,27156831.1733991,29063903.6503148,36510558.6697194
"Offtake Liveweight (kg)","Juvenile Male",53391328.4369467,13588883.4510229,34149475.956626,45184617.2242354,53025607.3731841,61422635.7046994,75399058.9212768
"Offtake Liveweight (kg)","Adult Female",1032833518.86797,135550053.390153,868974960.745298,937995858.40837,997090674.819217,1076814126.16045,1313946053.05752
"Offtake Liveweight (kg)","Adult Male",599080976.465248,74292126.9865827,506558580.040833,543127578.171688,579259802.666359,649337681.787839,729522363.797036
"Offtake Liveweight (kg)","Oxen",520666782.105826,92057199.6823902,423719587.050837,458373985.685905,483347085.578612,598287689.167256,686829067.579696
"Meat (kg)","Overall",7681301955.09943,195610582.94968,7387580761.28925,7594501582.11881,7696694302.06934,7795437684.96665,8029564597.03568
"Manure","Overall",35462733870.4525,1140303411.18126,33409320031.0303,34907659458.7122,35528569363.5681,35668296196.8478,37734528664.8306
"Manure","Neonatal Female",865589421.941597,20462989.7300439,829631234.53444,851509093.923379,870851209.695506,877746225.14016,889712128.933799
"Manure","Neonatal Male",852643239.217499,27187030.3322313,806542169.277565,839605217.922183,846567269.933947,875671374.799697,894396867.494904
"Manure","Neonatal Combined",1718232661.1591,29481835.4568803,1671932949.66558,1710819466.19276,1719868052.88452,1724312215.97435,1784108996.4287
"Manure","Juvenile Female",2161899169.66996,55263434.5357426,2078668672.91398,2124108644.63162,2168625469.69126,2181565188.51664,2281734651.65684
"Manure","Juvenile Male",1927940288.47012,47641366.6490061,1855491082.91762,1886438435.17441,1953636715.04751,1963620965.40605,1974549756.45754
"Manure","Juvenile Combined",4089839458.14008,84860463.5812298,3977287763.31227,4025751089.43172,4071950326.40728,4144943281.02522,4256284408.11438
"Manure","Adult Female",10112854412.9218,396546347.445402,9518063199.13455,9865534257.24058,10184581796.5274,10441253629.9676,10604667860.9649
"Manure","Adult Male",9734761839.27325,585379246.525254,8775074569.54984,9459361809.13779,9790465092.13956,10063271704.3029,10843225250.9709
"Manure","Oxen",9807045498.95826,618070913.857544,9327860909.94094,9336258570.11842,9386261187.54738,10306574364.6584,10762414764.5625
"Hides","Overall",1761536.54389464,0.829254588309491,1761534.96691697,1761535.95730875,1761536.71496008,1761537.26767254,1761537.40691092
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",707485.260241878,0.463237009980375,707484.381364353,707484.931913116,707485.355498008,707485.662801066,707485.744461645
"Hides","Adult Male",529811.501476187,0.361099839714027,529810.814043949,529811.24628548,529811.576073707,529811.817289149,529811.876501434
"Hides","Oxen",524239.78217658,0.00510626787228162,524239.771508666,524239.779110153,524239.783388362,524239.785435738,524239.78880996
"Milk","Overall",838311441.898572,155467948.68919,630912124.787241,723537376.614124,807305121.020487,938910045.248265,1132381345.30551
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",126440957907.212,1736047606.7606,124157586758.616,125040689690.106,126271321587.401,127874207659.219,129207015897.464
"Cml Dry Matter","Neonatal Female",2865342294.03101,195678685.507653,2477335984.96048,2840586002.59901,2919116664.91119,2954237810.79836,3085628756.86237
"Cml Dry Matter","Neonatal Male",2948490390.49111,203533331.798454,2660168539.48738,2812566677.9125,2879422250.19109,3113039321.87157,3314079093.05136
