"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3206625.66197544,675.567734939557,3205388.53774123,3206341.42460544,3206604.93478607,3206939.89676049,3207767.91174208
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",122292.499873695,164.908822697976,121991.715762415,122277.637249901,122323.020962636,122364.859235523,122567.944840169
"Num Offtake","Juvenile Male",295910.650000848,489.036941938647,294946.93682892,295830.762215846,295970.737743302,296050.873067106,296731.087502235
"Num Offtake","Juvenile Combined",418203.149874542,521.363255281718,417244.618665992,418017.788838071,418156.486328149,418510.134326116,419076.374625119
"Num Offtake","Adult Female",395981.376516069,19.2562449336069,395941.288870708,395980.704832902,395986.915297312,395990.960334678,396006.729472258
"Num Offtake","Adult Male",379937.146637778,155.133097501062,379661.818923719,379856.79203756,379941.609028298,380007.472590764,380192.981608128
"Num Offtake","Oxen",2012503.98894705,2.23976901186119,2012500.64752201,2012502.10400038,2012504.01502326,2012505.38407537,2012507.45254329
"Cml Pop Growth","Overall",3315487.26119726,98778.3924395024,3223038.08901468,3233408.46432418,3293437.64314055,3352922.82880924,3526117.59411913
"Cml Pop Growth","Neonatal Female",-187093.708529268,34955.1295071532,-220700.277423914,-203886.452169018,-194824.126114121,-185886.505887449,-96326.2089906791
"Cml Pop Growth","Neonatal Male",156936.927086079,43912.4054134304,99358.195909746,126749.487032562,140632.183660472,199587.07707348,214683.647497921
"Cml Pop Growth","Neonatal Combined",-30156.7814431886,71325.5366784245,-97566.3592389952,-88813.7077470145,-58875.8721667645,19373.248029073,115131.669801001
"Cml Pop Growth","Juvenile Female",1110851.16671365,20146.1752085179,1073697.47655143,1102927.49640845,1110373.2565644,1117549.02218365,1153806.91483971
"Cml Pop Growth","Juvenile Male",1316817.70782673,21214.6340990765,1279454.94408909,1305697.05494654,1319957.06203638,1330461.68939226,1347738.39426157
"Cml Pop Growth","Juvenile Combined",2427668.87454038,31209.907405873,2388098.38647908,2406736.61286634,2418280.6270668,2445174.24885835,2485530.76777123
"Cml Pop Growth","Adult Female",1011408.71817601,4028.19241349494,1004024.68881322,1011040.6229442,1012143.12836312,1013159.1829292,1018163.85206422
"Cml Pop Growth","Adult Male",1860673.37299882,3842.952844606,1853081.03335089,1860012.81372329,1861194.9165359,1861814.09928228,1867102.80111963
"Cml Pop Growth","Oxen",-1954106.92307476,78.8265151663415,-1954247.41535416,-1954146.95263192,-1954104.61599845,-1954071.61707383,-1953976.7611816
"Total Number Increase","Overall",6522112.92317271,99141.3039231068,6428985.16933447,6439774.65572957,6500533.60637695,6559264.25341467,6733083.07203667
"Total Number Increase","Neonatal Female",-187093.708529268,34955.1295071532,-220700.277423914,-203886.452169018,-194824.126114121,-185886.505887449,-96326.2089906791
