"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3212387.97238576,576.979357506409,3211021.04912975,3212292.96762215,3212434.6863816,3212610.25064564,3213318.44859526
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",122359.567369935,125.163560669794,122152.04317681,122273.829307893,122374.541315306,122446.345877138,122563.645772204
"Num Offtake","Juvenile Male",295976.507344498,367.441311193666,295115.900049491,295911.470325286,295974.044724473,296109.55517621,296528.888557242
"Num Offtake","Juvenile Combined",418336.074714433,463.671116418434,417267.9432263,418247.697578368,418381.596934847,418540.86089362,419092.534329447
"Num Offtake","Adult Female",392513.242526992,16.0759944751207,392481.768802371,392505.392428585,392514.064882659,392523.502109911,392533.475283175
"Num Offtake","Adult Male",379948.019028493,107.41056327877,379684.327859885,379930.558682187,379953.992404915,379996.691133748,380100.409896224
"Num Offtake","Oxen",2021590.63611584,1.4517119207722,2021587.00924119,2021590.56445741,2021590.92559617,2021591.4952478,2021592.02908641
"Cml Pop Growth","Overall",3024498.49054076,75079.8561035008,2903419.6550146,2978375.74621209,3041009.01599365,3065118.89744533,3157565.08489375
"Cml Pop Growth","Neonatal Female",-213944.182132467,32429.6792542255,-254521.729228212,-237522.324841425,-220595.597153946,-191325.716314193,-156266.486156271
"Cml Pop Growth","Neonatal Male",130671.315818783,22182.1917792413,87026.6426493423,124574.540290109,131156.439910138,142576.437519464,164469.289760805
"Cml Pop Growth","Neonatal Combined",-83272.8663136839,48700.2665665276,-167495.08657887,-106504.764305299,-89647.3788223285,-57182.3651761715,8202.8036045339
"Cml Pop Growth","Juvenile Female",1115060.34065746,16370.0079316488,1087723.99308765,1103350.41462007,1114923.66572572,1127300.41467744,1137625.57583435
"Cml Pop Growth","Juvenile Male",1315795.92279947,15100.974283266,1285066.48732855,1308892.31363316,1321736.42339189,1326784.67391453,1331278.61162263
"Cml Pop Growth","Juvenile Combined",2430856.26345693,29367.9756770813,2372790.4804162,2416488.07712307,2437192.20102045,2444274.65909585,2468904.18745698
