"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5999504.01134601,378.694559930624,5998918.08557636,5999228.54820701,5999512.89561168,5999809.25128346,6000084.66313815
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",114150.959591695,111.158430015736,113991.234868049,114072.009812755,114163.018246602,114211.311134158,114341.519789151
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114150.959591695,111.158430015736,113991.234868049,114072.009812755,114163.018246602,114211.311134158,114341.519789151
"Num Offtake","Adult Female",1339138.79867625,57.514721673579,1339055.64622293,1339095.28924685,1339142.4721137,1339169.25003387,1339231.29834868
"Num Offtake","Adult Male",694248.575902461,289.743626662951,693786.946938056,694023.761957973,694289.530703917,694516.177084001,694558.092972766
"Num Offtake","Oxen",3851965.67717561,12.1438222272794,3851946.76895645,3851956.72937296,3851969.48858306,3851975.80109513,3851978.30352183
"Cml Pop Growth","Overall",446039.8641306,59199.8224368955,359646.379032061,410911.602990545,458021.015545715,468072.684906913,544874.429375559
"Cml Pop Growth","Neonatal Female",42885.167039011,19461.1494210857,7948.51763284951,33378.8360176377,45583.6147920825,57378.7350729611,69718.9015557142
"Cml Pop Growth","Neonatal Male",361942.431669319,19461.1494210859,327005.782263157,352436.100647946,364640.87942239,376435.999703269,388776.166186022
"Cml Pop Growth","Neonatal Combined",404827.59870833,38922.2988421716,334954.299896006,385814.936665583,410224.494214472,433814.73477623,458495.067741736
"Cml Pop Growth","Juvenile Female",1259856.17204255,13429.8145512213,1237080.0033907,1251886.76760123,1261848.88000311,1266100.34886404,1285948.07261807
"Cml Pop Growth","Juvenile Male",1679453.19832594,13280.8696752269,1656892.66563913,1671519.76227547,1683777.92101854,1688329.16357356,1696827.57163747
"Cml Pop Growth","Juvenile Combined",2939309.37036849,21662.6406452342,2906515.2801141,2925603.31816123,2943248.50508649,2951491.19535685,2975751.30919005
"Cml Pop Growth","Adult Female",-740889.567531875,2849.47347454887,-744968.877255715,-742866.550221412,-740586.271108508,-739327.946172588,-735933.426521443
"Cml Pop Growth","Adult Male",1288943.40594645,3247.6732078877,1283305.13233203,1286602.80204345,1288776.1460382,1292058.2345269,1292485.34150893
"Cml Pop Growth","Oxen",-3446150.94336079,212.371016128464,-3446490.58465821,-3446316.11162533,-3446123.11091909,-3445954.10552688,-3445923.86254371
"Total Number Increase","Overall",6445543.87547662,59424.431057814,6359070.12951891,6410000.67735694,6457374.0329083,6467765.17684411,6544959.09251371
"Total Number Increase","Neonatal Female",42885.167039011,19461.1494210857,7948.51763284951,33378.8360176377,45583.6147920825,57378.7350729611,69718.9015557142
"Total Number Increase","Neonatal Male",361942.431669319,19461.1494210859,327005.782263157,352436.100647946,364640.87942239,376435.999703269,388776.166186022
"Total Number Increase","Neonatal Combined",404827.59870833,38922.2988421716,334954.299896006,385814.936665583,410224.494214472,433814.73477623,458495.067741736
"Total Number Increase","Juvenile Female",1374007.13163425,13532.9220584712,1351104.71113952,1365958.77741398,1376017.18495457,1380312.53572075,1400289.59240722
"Total Number Increase","Juvenile Male",1679453.19832594,13280.8696752269,1656892.66563913,1671519.76227547,1683777.92101854,1688329.16357356,1696827.57163747
"Total Number Increase","Juvenile Combined",3053460.32996018,21736.8917443996,3020539.98786292,3039796.15925838,3057348.80738076,3065695.36016527,3090092.8289792
"Total Number Increase","Adult Female",598249.231144373,2903.5382917785,594086.76896721,596217.369299268,598560.44230135,599835.178379998,603273.320332956
"Total Number Increase","Adult Male",1983191.98184891,3531.22906979349,1977092.07927009,1980551.80310028,1983052.15150571,1986578.10817665,1987043.4344817
"Total Number Increase","Oxen",405814.733814822,224.386516096087,405457.190714939,405640.617747637,405846.377663971,406021.995962107,406054.440978119
"Total Mortality","Overall",1383577.52719665,10208.6031317806,1362797.46079301,1379752.70205322,1382979.02108833,1387822.23831194,1400218.86884185
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",466283.535541903,11927.3661337561,440760.162132739,461669.94930558,463730.838368111,476095.414272688,481067.636004675
"Total Mortality","Juvenile Male",381168.549875153,9921.13145034465,364090.757180932,374715.551030957,381567.68623943,385812.116276057,397264.69123903
"Total Mortality","Juvenile Combined",847452.085417056,10211.9133523051,826655.533902743,843616.928464495,846868.367431074,851680.689317282,864076.902394377
"Total Mortality","Adult Female",379359.433052762,16.293122287116,379335.877116976,379347.107435367,379360.473686601,379368.059499681,379385.63692597
"Total Mortality","Adult Male",23939.6060656021,9.99115954010156,23923.6878254502,23931.8538606198,23941.0183001351,23948.8336925518,23950.2790680264
"Total Mortality","Oxen",132826.402661228,0.418752490590142,132825.750653671,132826.094116309,132826.534089071,132826.751761901,132826.838052477
"Population Liveweight (kg)","Overall",11170311745.2177,851416827.528479,9642916670.80045,10608247309.3339,11263116729.5999,11681423713.712,12477734118.882
"Population Liveweight (kg)","Neonatal Female",388514766.786835,118942209.297197,200369329.413925,315834109.007999,360575772.754657,485162598.250585,556135639.169933
"Population Liveweight (kg)","Neonatal Male",419399965.41913,130635974.825182,165233889.443394,357752276.665717,440972589.234519,519060313.168542,585944270.71124
"Population Liveweight (kg)","Juvenile Female",954070132.106867,254399956.950103,657862970.02748,795961338.069306,878119284.498831,1091158575.76177,1404061768.76832
"Population Liveweight (kg)","Juvenile Male",1135662252.60909,224818187.0941,864202879.100686,960538635.868453,1145592554.74054,1244401818.30013,1595216757.61867
"Population Liveweight (kg)","Juvenile Combined",2089732384.71596,273424531.439203,1697786696.68473,1948196690.3513,2069857885.8272,2195495342.05632,2610075327.09635
"Population Liveweight (kg)","Adult Female",4304918626.52343,690757515.34577,3542877495.28464,3826516857.97333,4031402879.23416,4744658406.8715,5423824482.56362
"Population Liveweight (kg)","Adult Male",792749736.397781,134027257.204231,598788066.794294,676669286.623151,800200704.025749,907085297.512001,968681287.782422
"Population Liveweight (kg)","Oxen",3174996265.37461,415400886.22825,2465454895.94896,2941287246.98208,3168094161.72075,3511219535.59277,3732545230.17851
"Offtake Liveweight (kg)","Overall",1561837339.59624,153402479.569447,1377126667.60459,1466200087.89385,1544415860.59886,1568623850.01208,1923092486.05839
"Offtake Liveweight (kg)","Juvenile Female",19162951.5490757,5597910.5477243,12458324.8587213,13844314.5301152,18880288.7884154,23412507.8750118,27281010.2659424
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",322861917.895428,50647437.6735311,253140608.999185,296338830.743897,324789790.587097,338738356.27136,408714014.977252
"Offtake Liveweight (kg)","Adult Male",190656650.819365,31847443.3547307,145771783.801984,166785479.079904,197499741.41873,213216102.127093,239752768.41381
"Offtake Liveweight (kg)","Oxen",1029155819.33237,175484043.972437,836592533.406533,966087214.258669,980969299.098335,1083769817.85972,1434038805.03511
"Meat (kg)","Overall",5036763407.82829,180527323.67388,4787179410.56168,4954844134.14459,5030427510.85927,5080842210.73099,5326286681.32155
"Manure","Overall",30665760286.5514,527419337.575814,30174938957.9059,30300990548.3852,30436636031.8115,30946688406.6382,31818773086.3822
"Manure","Neonatal Female",1147225480.20926,29828663.6052306,1083185338.94087,1137760477.15237,1150406061.99655,1158994436.57648,1189975159.49318
"Manure","Neonatal Male",1073878803.97727,34950984.171068,1003575588.11095,1057293117.32331,1083635639.64538,1096048703.21336,1119432617.86061
"Manure","Neonatal Combined",2221104284.18652,37023555.4613204,2161184263.5664,2191088474.7212,2228652572.10511,2249406800.10903,2264792777.86902
"Manure","Juvenile Female",2618391161.63206,76499528.1932424,2512147861.26652,2569605205.46642,2596710373.3822,2662012759.78777,2750276581.42836
"Manure","Juvenile Male",2161667844.86869,66077194.4670337,2025860882.13972,2128775976.79911,2162664045.95481,2219773960.28785,2239051023.46733
"Manure","Juvenile Combined",4780059006.50075,86121504.7028596,4594003218.92532,4753855706.45729,4789155066.90183,4811220562.3609,4915941767.55644
"Manure","Adult Female",13114266114.4018,575959421.325435,12027031852.3292,12931401128.379,13161885880.5165,13389672703.3153,13856209333.2757
"Manure","Adult Male",1694188244.03124,85903760.1491383,1543768064.18756,1635558565.27476,1716499162.35323,1765169187.7009,1789522087.41602
"Manure","Oxen",8856142637.43115,659620430.03107,8230530022.18446,8360423314.54845,8711240461.61101,8902290405.75006,10195371782.1013
"Hides","Overall",691788.763598324,5104.30156589032,681398.730396506,689876.351026612,691489.510544163,693911.11915597,700109.434420926
"Hides","Juvenile Female",233141.767770951,5963.68306687807,220380.081066369,230834.97465279,231865.419184055,238047.707136344,240533.818002338
"Hides","Juvenile Male",190584.274937576,4960.56572517232,182045.378590466,187357.775515479,190783.843119715,192906.058138029,198632.345619515
"Hides","Juvenile Combined",423726.042708528,5105.95667615254,413327.766951371,421808.464232247,423434.183715537,425840.344658641,432038.451197188
"Hides","Adult Female",189679.716526381,8.14656114355798,189667.938558488,189673.553717684,189680.236843301,189684.02974984,189692.818462985
"Hides","Adult Male",11969.803032801,4.99557977005078,11961.8439127251,11965.9269303099,11970.5091500675,11974.4168462759,11975.1395340132
"Hides","Oxen",66413.201330614,0.209376245295071,66412.8753268354,66413.0470581546,66413.2670445355,66413.3758809505,66413.4190262385
"Milk","Overall",1605050333.32529,239957082.116305,1055683012.30713,1526892498.2639,1644272242.97959,1750074218.95328,1878612786.46844
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",108257121729.665,2523557122.45952,105281311793.12,106254700282.548,107774241065.239,109955398594.491,112644971180.372
"Cml Dry Matter","Neonatal Female",3917393603.51373,230736683.123538,3501559047.57396,3808855187.52246,3914389541.40568,4051954882.93203,4251142022.62511
"Cml Dry Matter","Neonatal Male",3873787632.49779,177696189.229043,3572939970.42034,3805648827.31809,3835490907.73228,3987783721.30675,4204559090.44083
"Cml Dry Matter","Neonatal Combined",7791181236.01152,296278242.944309,7335030395.99104,7610223622.77426,7792873605.39638,7947469634.46711,8241299840.05965
"Cml Dry Matter","Juvenile Female",9817180118.34645,557525773.561551,9105636556.31564,9400853010.26391,9769476349.21519,10145193088.0312,10940351460.2666
"Cml Dry Matter","Juvenile Male",9362256455.68146,785591889.18261,8086434043.35803,8831416944.40947,9477551858.71288,9893144963.22331,10527169603.4415
"Cml Dry Matter","Juvenile Combined",19179436574.0279,663046222.770003,18049741357.2629,18861547860.5347,19090027303.5416,19561303234.9544,20149338763.8302
"Cml Dry Matter","Adult Female",42925034213.6412,1992683592.09128,39137710265.1929,41483256147.7404,43416665482.9691,44449120721.084,44936751517.7811
"Cml Dry Matter","Adult Male",6138775848.1016,372270364.752389,5411933159.23306,5927927913.68867,6128790394.58246,6410591031.82077,6626567774.33586
"Cml Dry Matter","Oxen",32222693857.8832,1683911661.56206,29461326151.5449,31117486441.6236,32210192912.5729,33339511528.1791,35237383793.0925
"Value of Offtake","Overall",156583284549.718,27981921657.8867,120429710733.763,135978484322.196,147530006052.169,182472251956.618,194484138947.689
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
