"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",319833.730567977,28.7047516524148,319736.093299406,319814.343693111,319835.521366431,319854.294145979,319910.149503199
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",17128.7388769436,13.9195432578091,17078.3332513522,17119.1086974175,17129.9104588181,17138.505903731,17159.832017349
"Num Offtake","Juvenile Male",21263.4568191349,18.3715129485186,21205.9871198767,21251.8091583827,21264.7488856076,21275.9197064606,21306.1597971484
"Num Offtake","Juvenile Combined",38392.1956960785,23.4255152863909,38311.843139448,38376.1454914882,38393.636406504,38408.5830739177,38455.9400871879
"Num Offtake","Adult Female",52504.2710481618,1.63997428021861,52497.9669474296,52503.2119385954,52504.3845892371,52505.4384759527,52508.0086805977
"Num Offtake","Adult Male",35588.3781703922,5.315250577612,35570.5746212326,35585.0372962881,35588.7497375514,35592.2020930457,35600.3640162236
"Num Offtake","Oxen",193348.885653344,0.063755121698526,193348.675927552,193348.843185375,193348.89287036,193348.931894935,193349.024300553
"Cml Pop Growth","Overall",213800.828679051,4088.00171029162,201415.264205636,211042.470708578,213881.357905642,216685.236084568,226032.106609024
"Cml Pop Growth","Neonatal Female",-81410.4758036531,2076.71041681477,-88017.1634165758,-82779.5326805968,-81359.0312504976,-79954.4860196088,-75337.7497130528
"Cml Pop Growth","Neonatal Male",13530.3693707677,1771.94550660956,5925.53938026156,12304.812826976,13632.4300529194,14803.1770377209,19477.2468356023
"Cml Pop Growth","Neonatal Combined",-67880.1064328854,2747.15277661915,-75626.3379267325,-69764.7092260487,-67795.4996111862,-65886.420812373,-59872.0691287521
"Cml Pop Growth","Juvenile Female",151229.033202407,1099.20015184209,147422.005334529,150493.778835828,151255.034507193,151977.909599477,154006.673108098
"Cml Pop Growth","Juvenile Male",137047.462576512,863.429079323472,133720.337951849,136484.178839741,137068.412388571,137630.393589132,139443.204789533
"Cml Pop Growth","Juvenile Combined",288276.495778919,1417.34903751252,283984.291323925,287322.508527474,288365.250898869,289237.364076523,292427.933730069
"Cml Pop Growth","Adult Female",45587.2319777257,210.738836022425,44826.3051705407,45441.5355334841,45603.7795311015,45734.664956513,46058.1757266223
"Cml Pop Growth","Adult Male",135848.21705987,158.678675490224,135351.124802775,135748.076616404,135859.562283015,135955.795628338,136217.504168919
"Cml Pop Growth","Oxen",-188031.009704578,2.81449759189813,-188040.437344537,-188032.776995106,-188030.812037749,-188028.989050771,-188024.654859519
"Total Number Increase","Overall",533634.559247028,4107.80282024065,521176.606281318,530864.207720153,533736.801118576,536544.889634217,545931.459289378
"Total Number Increase","Neonatal Female",-81410.4758036531,2076.71041681477,-88017.1634165758,-82779.5326805968,-81359.0312504976,-79954.4860196088,-75337.7497130528
"Total Number Increase","Neonatal Male",13530.3693707677,1771.94550660956,5925.53938026156,12304.812826976,13632.4300529194,14803.1770377209,19477.2468356023
"Total Number Increase","Neonatal Combined",-67880.1064328854,2747.15277661915,-75626.3379267325,-69764.7092260487,-67795.4996111862,-65886.420812373,-59872.0691287521
"Total Number Increase","Juvenile Female",168357.77207935,1112.15932393928,164509.12606958,167612.542939257,168385.551149352,169115.142308449,171163.136083146
"Total Number Increase","Juvenile Male",158310.919395647,880.421704753265,154928.066223099,157732.92090605,158331.585039601,158907.455988282,160748.378751353
"Total Number Increase","Juvenile Combined",326668.691474997,1438.54509509072,322302.897257509,325698.516621617,326763.896198332,327644.853662972,330876.729596606
"Total Number Increase","Adult Female",98091.5030258875,212.334789942264,97324.2721179703,97944.5598558344,98108.7906771521,98240.1600791023,98565.9667519125
"Total Number Increase","Adult Male",171436.595230262,163.838452137184,170924.4235393,171332.792034569,171448.042132479,171547.489019232,171817.602547554
"Total Number Increase","Oxen",5317.87594876626,2.87722602902335,5308.2385830147,5316.06704475675,5318.07727431078,5319.94530357243,5324.36462441547
"Total Mortality","Overall",149993.254270032,4082.90606097255,137320.656003962,147032.078127275,149980.616142717,152723.937851002,162715.32874507
"Total Mortality","Neonatal Female",55595.0017912165,3121.00063896572,46252.5734940487,53514.717461801,55459.0465575597,57753.7845159538,65530.3844060108
"Total Mortality","Neonatal Male",45033.4013515165,2588.28130081085,36782.2324572054,43239.6010291745,44971.5358432294,46769.0136474964,55687.6428877247
"Total Mortality","Neonatal Combined",100628.403142733,4083.56249919677,87953.2071585635,97666.9634855074,100616.160771419,103358.428354377,113353.166627731
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",32815.1694051011,1.02498392513651,32811.2293421435,32814.5074616221,32815.2403682732,32815.8990474704,32817.5054253736
"Total Mortality","Adult Male",2572.65384364281,0.384234981514112,2571.3668400891,2572.41233467143,2572.68070391938,2572.93027178643,2573.52029032941
"Total Mortality","Oxen",13977.027878555,0.00460880397807517,13977.0127176544,13977.0248085813,13977.028400267,13977.0312213206,13977.0379012448
"Value of Total Mortality","Overall",1436492759.00779,37453560.1216869,1336775316.98819,1410162795.04548,1435168046.075,1463502533.94411,1568231385.29743
"Value of Total Mortality","Neonatal Female",264349383.262627,14840085.7539535,219926951.767683,254457812.765749,263702927.987682,274614206.780854,311591260.806987
"Value of Total Mortality","Neonatal Male",594717365.420578,34181203.0623741,485751280.710221,571028188.725559,593900360.90849,617638102.941596,735418761.868726
