"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35231.1635549238,3.58214493064593,35219.7885758547,35228.7170331892,35231.2102733666,35233.5164233952,35242.3064166443
"Num Offtake","Neonatal Female",2447.43133438497,0.484574147777928,2445.88963338534,2447.10144856525,2447.43613700523,2447.751287472,2448.93809534847
"Num Offtake","Neonatal Male",7497.23444400152,2.66377995945597,7488.69009820095,7495.43798808456,7497.22539776924,7498.97115004111,7505.44897994024
"Num Offtake","Neonatal Combined",9944.66577838649,3.14792779224339,9934.57973158629,9942.5306513678,9944.65874434673,9946.70366115726,9954.38707528871
"Num Offtake","Juvenile Female",8499.56693649623,0.389720264498768,8498.38186955044,8499.30899018117,8499.55982441192,8499.83635973273,8500.77928136576
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8499.56693649623,0.389720264498768,8498.38186955044,8499.30899018117,8499.55982441192,8499.83635973273,8500.77928136576
"Num Offtake","Adult Female",16087.1644680791,0.0423206076702443,16087.0297924143,16087.1360830343,16087.1626124154,16087.194514161,16087.2917721709
"Num Offtake","Adult Male",699.766371961996,0.0294505194406679,699.672608409627,699.746645963867,699.765054567322,699.787348375905,699.854970165769
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-5642.55148181398,17.7255091971771,-5702.61307632481,-5654.58607182268,-5642.61394663748,-5630.81146998176,-5589.953822376
"Cml Pop Growth","Neonatal Female",-2797.20694375864,6.52767822321244,-2817.51465129033,-2801.60247616426,-2797.15556227536,-2792.9453554527,-2778.19458730164
"Cml Pop Growth","Neonatal Male",5467.77537959326,5.49798699054504,5451.89429390389,5464.01748311813,5467.92017470889,5471.39134009535,5483.55739879373
"Cml Pop Growth","Neonatal Combined",2670.56843583462,11.9807510043901,2634.69910864463,2662.43894229761,2670.90020506066,2678.48994392007,2704.89441346187
"Cml Pop Growth","Juvenile Female",-2702.92431072067,3.32603510936267,-2713.67383712664,-2705.17872615135,-2702.91765440382,-2700.76454030315,-2692.78558193244
"Cml Pop Growth","Juvenile Male",7041.18538376371,3.08424861329672,7031.20093901556,7039.08923239279,7041.22996084754,7043.18970645589,7050.52813154757
"Cml Pop Growth","Juvenile Combined",4338.26107304304,6.40990300614584,4317.52710188892,4333.95247911989,4338.31878539167,4342.42327769651,4357.74254961513
"Cml Pop Growth","Adult Female",-15067.452034493,0.592164831693566,-15069.2354585299,-15067.8428381724,-15067.4601736848,-15067.0396880744,-15065.6011119859
"Cml Pop Growth","Adult Male",2416.07104380137,0.604250252084516,2414.24576941117,2415.67183781695,2416.06260556409,2416.49372094356,2417.95751378499
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",29588.6120731098,20.8023828559508,29517.1754995299,29574.4332143666,29588.3646729607,29602.5313669697,29650.0978974828
"Total Number Increase","Neonatal Female",-349.775609373663,6.85963640474122,-371.625017904987,-354.454673381286,-349.814576631801,-345.36541637395,-329.781646795573
"Total Number Increase","Neonatal Male",12965.0098235948,7.31960744418447,12940.9038581359,12959.9600252488,12965.0959677431,12969.9087392402,12986.38693199
"Total Number Increase","Neonatal Combined",12615.2342142211,14.1655937567663,12569.2788402309,12605.4152204339,12615.2625193367,12624.4728091418,12656.4847858133
