"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35254.458160728,3.35019443364057,35243.6803631573,35252.2279977227,35254.3388714823,35256.71642886,35265.6573769153
"Num Offtake","Neonatal Female",2449.95147442637,0.453037041206871,2448.49150678523,2449.64806519359,2449.93102281731,2450.2551025312,2451.46325018661
"Num Offtake","Neonatal Male",7511.88001248032,2.49791293095179,7503.85607929569,7510.2160946894,7511.81368431466,7513.54794166598,7520.07520191322
"Num Offtake","Neonatal Combined",9961.83148690669,2.95051652796638,9952.34758608092,9959.83981120754,9961.74573863563,9963.78834298624,9971.53845209983
"Num Offtake","Juvenile Female",8437.65096578208,0.358732815028002,8436.54439426129,8437.40451349764,8437.64409206233,8437.89842337993,8438.90853336422
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8437.65096578208,0.358732815028002,8436.54439426129,8437.40451349764,8437.64409206233,8437.89842337993,8438.90853336422
"Num Offtake","Adult Female",16147.3948033262,0.041160939981542,16147.2685365352,16147.3661461694,16147.3937311747,16147.4233222678,16147.5332330996
"Num Offtake","Adult Male",707.580904713021,0.0286513550100249,707.492938078616,707.56094136245,707.58024351203,707.600719822603,707.677158351696
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-5517.65047768475,17.3794548302415,-5568.90112999971,-5529.83408189545,-5518.00289168159,-5505.50204270472,-5467.68317680091
"Cml Pop Growth","Neonatal Female",-2731.34373736987,6.47646954009524,-2749.30900695987,-2735.87975468774,-2731.56832961048,-2726.90199281438,-2713.1741572805
"Cml Pop Growth","Neonatal Male",5524.11326990521,5.47078521916828,5509.65733607357,5520.28423621589,5524.0358108126,5527.855602405,5539.99133604236
"Cml Pop Growth","Neonatal Combined",2792.76953253534,11.9088231932953,2760.34832911371,2784.52366165192,2792.80833727837,2801.18889114664,2826.61778269901
"Cml Pop Growth","Juvenile Female",-3100.93570166733,3.10882343883099,-3110.88051612391,-3103.02490157194,-3101.03962827596,-3098.87847489187,-3090.97397103711
"Cml Pop Growth","Juvenile Male",6952.97756674872,2.88683783482004,6943.78849188463,6951.05647250672,6952.92716395277,6954.86060519234,6962.12915099408
"Cml Pop Growth","Juvenile Combined",3852.04186508138,5.99527800124898,3832.90797576072,3848.04245978868,3851.88381961208,3856.01239597752,3871.15517995697
"Cml Pop Growth","Adult Female",-14681.8695176397,0.567089517236541,-14683.6418702925,-14682.268260196,-14681.8806362294,-14681.4828137867,-14679.8788969122
"Cml Pop Growth","Adult Male",2519.40764233817,0.578801588003522,2517.60520286093,2519.00180864338,2519.39499348067,2519.80213829696,2521.43855603281
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",29736.8076830432,20.2666351747996,29676.4941260956,29722.9485627835,29736.5809299251,29750.4470818556,29795.1557521875
"Total Number Increase","Neonatal Female",-281.392262943507,6.7948708516557,-300.579450771334,-286.147596661104,-281.618369293669,-276.734331942268,-262.407515906768
"Total Number Increase","Neonatal Male",13035.9932823855,7.2265723838229,13014.8621727987,13030.9936125144,13035.8363105322,13040.9653451458,13056.1825440236
