"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35238.4908325539,3.44917508641608,35228.0428040052,35236.0409561808,35238.6100324438,35240.8191258456,35250.2892036723
"Num Offtake","Neonatal Female",2448.21133689707,0.466288611825431,2446.79915312213,2447.87986416472,2448.2299306359,2448.52688850357,2449.80549584852
"Num Offtake","Neonatal Male",7501.77486401996,2.56380790100442,7494.11797633158,7499.96094126119,7501.84246607091,7503.50214477327,7510.55755806494
"Num Offtake","Neonatal Combined",9949.98620091703,3.02966625097282,9940.91712945371,9947.85649866969,9950.06941064086,9952.04862306498,9960.36305391346
"Num Offtake","Juvenile Female",8478.82102546489,0.375915207540241,8477.64925796728,8478.55927603263,8478.83321318162,8479.08098261242,8480.02976099863
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8478.82102546489,0.375915207540241,8477.64925796728,8478.55927603263,8478.83321318162,8479.08098261242,8480.02976099863
"Num Offtake","Adult Female",16107.3070788781,0.0421552285590437,16107.1848328627,16107.2760978982,16107.3082988897,16107.3343338529,16107.4326038355
"Num Offtake","Adult Male",702.376527293894,0.0293426025413155,702.291583721517,702.355004577952,702.377298759924,702.395487076674,702.463784924723
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-5604.10904101322,17.658742573713,-5662.24726798278,-5616.65584467462,-5603.59118510361,-5592.7578190603,-5540.93649536498
"Cml Pop Growth","Neonatal Female",-2776.4457143855,6.50344905217545,-2797.2981832366,-2781.10045187209,-2776.3214387771,-2771.90938169303,-2754.88062313797
"Cml Pop Growth","Neonatal Male",5485.56890602339,5.44417946244322,5467.67275302533,5481.63981503835,5485.49103343236,5489.28240015762,5502.36283305515
"Cml Pop Growth","Neonatal Combined",2709.12319163788,11.9113475141899,2670.74440329869,2700.76768832227,2709.18141478561,2717.45940303259,2747.48220991718
"Cml Pop Growth","Juvenile Female",-2836.80600249013,3.19299170917627,-2846.1761629994,-2839.07990258614,-2836.68343134965,-2834.72606375749,-2825.89092997754
"Cml Pop Growth","Juvenile Male",7011.22492002256,2.9620718359091,7002.55855636335,7009.11975555139,7011.32145554049,7013.17040804778,7021.34789084266
"Cml Pop Growth","Juvenile Combined",4174.41891753243,6.15468408813462,4156.44146268391,4170.05346390811,4174.63254614132,4178.44865269396,4195.45696086511
"Cml Pop Growth","Adult Female",-14938.2494396659,0.577872861530392,-14940.0608636013,-14938.6459891834,-14938.2304528013,-14937.8576963125,-14936.3798027115
"Cml Pop Growth","Adult Male",2450.59828948237,0.589995040598589,2448.75218834289,2450.19356519852,2450.61841374082,2451.00328487649,2452.50413656426
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",29634.3817915407,20.6702203789859,29566.6467823119,29619.5419994768,29635.2151302712,29647.926492577,29709.3527083073
"Total Number Increase","Neonatal Female",-328.234377488433,6.84036701616258,-350.38778362304,-333.104560764493,-328.061516287712,-323.613782180712,-305.075127289444
"Total Number Increase","Neonatal Male",12987.3437700433,7.30559751900227,12963.4270595016,12982.1492905237,12987.6064164494,12992.0456977847,13012.9203911201
"Total Number Increase","Neonatal Combined",12659.1093925549,14.1339950290273,12613.0392758786,12649.1455522571,12659.5339072342,12668.3130525007,12707.8452638306
"Total Number Increase","Juvenile Female",5642.01502297476,3.54189268217331,5631.47309496788,5639.48088544744,5642.14505419091,5644.35394496065,5654.13883102109
"Total Number Increase","Juvenile Male",7011.22492002256,2.9620718359091,7002.55855636335,7009.11975555139,7011.32145554049,7013.17040804778,7021.34789084266
"Total Number Increase","Juvenile Combined",12653.2399429973,6.50072531566245,12634.0907206512,12648.5885047257,12653.4978219345,12657.4875252069,12675.4867218637
"Total Number Increase","Adult Female",1169.0576392122,0.618788767328516,1167.12396926136,1168.62871460258,1169.07887196725,1169.48303209507,1171.05280112395
"Total Number Increase","Adult Male",3152.97481677627,0.618494335254318,3151.04377206441,3152.54590473758,3152.99652530422,3153.39932551016,3154.96792148898
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",12191.3667781967,1.25824413916308,12187.5371911858,12190.4828758746,12191.4096782595,12192.2194719268,12195.6639011316
"Total Mortality","Neonatal Female",3093.64887116994,0.589219245852145,3091.86438439978,3093.23001017179,3093.67236689446,3094.04761365451,3095.66330839041
"Total Mortality","Neonatal Male",1468.65733253349,0.501928589069865,1467.15830804238,1468.30221244409,1468.67056730121,1468.99549031477,1470.37676136764
"Total Mortality","Neonatal Combined",4562.30620370342,1.09085222958081,4559.02269244216,4561.54249860128,4562.35004872979,4563.04267844626,4566.04006975805
"Total Mortality","Juvenile Female",1877.45322706723,0.0832383673839246,1877.19376426418,1877.39526826437,1877.45592577593,1877.51078900703,1877.7208756497
"Total Mortality","Juvenile Male",401.680353370128,0.07879448380638,401.43434356437,401.625711151501,401.683118977113,401.734434619788,401.934269449967
"Total Mortality","Juvenile Combined",2279.13358043735,0.162030926229909,2278.62810782855,2279.02095099415,2279.13905433811,2279.24545425241,2279.65514509966
"Total Mortality","Adult Female",5349.92699405595,0.0140015580570575,5349.8863909151,5349.91670394477,5349.92739927408,5349.93604660113,5349.96868627393
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",213719690.682899,14568.462006623,213675068.815841,213709467.686542,213720112.660075,213729612.303685,213769307.721076
"Value of Total Mortality","Neonatal Female",34389000.851925,6549.76113689248,34369164.496988,34384344.7930696,34389262.0303988,34393433.2733835,34411393.3360678
"Value of Total Mortality","Neonatal Male",14071205.9030033,4808.97781187838,14056843.749354,14067803.4974268,14071332.7053129,14074445.7927058,14087679.7506634
"Value of Total Mortality","Neonatal Combined",48460206.7549283,11355.7146539897,48426008.246342,48452245.0899023,48460674.0168739,48467871.321442,48499073.0867312
