"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",23715.5679011107,2.44820266723452,23707.2696757437,23713.9005224876,23715.5890028795,23717.1569358541,23724.0611028356
"Num Offtake","Neonatal Female",1590.07325641001,0.315217632745601,1589.00624143961,1589.86016766493,1590.07625591148,1590.27938357958,1591.17148701807
"Num Offtake","Neonatal Male",5226.17756343699,1.83651550608863,5219.96419028819,5224.9251353101,5226.18414949743,5227.36903800731,5232.61256424218
"Num Offtake","Neonatal Combined",6816.250819847,2.15161970414514,6808.97043172781,6814.7788077457,6816.25662752852,6817.64576440584,6823.78405126025
"Num Offtake","Juvenile Female",5503.78535079491,0.253316702752928,5502.9475238338,5503.61367130017,5503.78685256814,5503.94799035277,5504.57678835941
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",5503.78535079491,0.253316702752928,5502.9475238338,5503.61367130017,5503.78685256814,5503.94799035277,5504.57678835941
"Num Offtake","Adult Female",10736.5873764803,0.0307171455602865,10736.4699608954,10736.5656525653,10736.5876146387,10736.6076574371,10736.671791819
"Num Offtake","Adult Male",658.944353988464,0.0306431308738078,658.826994565078,658.922635230478,658.944625205828,658.964685122103,659.028471396919
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",7642.26348664485,19.7805695948875,7571.73378525156,7629.49140686884,7642.6791217467,7656.09837720372,7708.63543506109
"Cml Pop Growth","Neonatal Female",-1248.42282275275,7.06511116051005,-1272.41899088613,-1253.10564732658,-1248.3397759764,-1243.48836371991,-1227.38515922538
"Cml Pop Growth","Neonatal Male",7909.6283773273,6.30593206568236,7888.20181108948,7905.36166764064,7909.65519741551,7914.13108907852,7928.83302981991
"Cml Pop Growth","Neonatal Combined",6661.20555457455,13.352691645617,6615.78282020335,6652.16824050371,6661.29706382863,6670.66980110289,6701.44787059453
"Cml Pop Growth","Juvenile Female",-1006.36327850673,3.49838230956814,-1018.35620753506,-1008.71574587962,-1006.35399583643,-1004.09146876899,-993.991310067639
"Cml Pop Growth","Juvenile Male",7723.25418822859,3.32860179324675,7711.75030027106,7721.03533286096,7723.27879793095,7725.38480059827,7735.04447748119
"Cml Pop Growth","Juvenile Combined",6716.89090972186,6.82679561282574,6693.394092736,6712.33785689573,6716.93091971014,6721.28591980077,6741.05316741356
"Cml Pop Growth","Adult Female",-8595.75052289967,0.687743879749102,-8597.99845412999,-8596.20808527269,-8595.74420071784,-8595.30689442617,-8593.58053975715
"Cml Pop Growth","Adult Male",2859.9175452481,0.701298998536217,2857.62614726718,2859.4465842434,2859.92317249277,2860.37131958935,2862.12487345098
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",31357.8313877555,21.9015039137377,31279.4668201603,31343.8301060973,31358.3028931652,31373.202896244,31432.6965378966
"Total Number Increase","Neonatal Female",341.650433657263,7.2878456810724,316.979792804557,336.796724506003,341.757714576909,346.689455004012,363.503186593319
"Total Number Increase","Neonatal Male",13135.8059407643,7.60121767044357,13109.8229004715,13130.7856945928,13135.8035949892,13140.9813437009,13159.3187986206
"Total Number Increase","Neonatal Combined",13477.4563744216,14.8831773088821,13426.8280943102,13467.5137065875,13477.5241595869,13487.6223662212,13522.8219852139
"Total Number Increase","Juvenile Female",4497.42207228819,3.73458336532351,4484.80309299512,4494.8917124388,4497.42040105731,4499.85884419599,4510.58547829178
"Total Number Increase","Juvenile Male",7723.25418822859,3.32860179324675,7711.75030027106,7721.03533286096,7723.27879793095,7725.38480059827,7735.04447748119
"Total Number Increase","Juvenile Combined",12220.6762605168,7.06177783880896,12196.5533932662,12215.8900894907,12220.7131481135,12225.2541158593,12245.629955773
"Total Number Increase","Adult Female",2140.83685358062,0.717635212976806,2138.48772939698,2140.35115189894,2140.84133089988,2141.3015404724,2143.09125206183
"Total Number Increase","Adult Male",3518.86189923656,0.731144404757769,3516.4556000689,3518.36700142659,3518.86828191041,3519.33002235932,3521.1533448479
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",12789.7442645293,1.38184949831785,12785.0634643211,12788.798679942,12789.7632314234,12790.6405234447,12794.5267436409
"Total Mortality","Neonatal Female",3181.35111377186,0.630674066728131,3179.21627548637,3180.92477485082,3181.35711504713,3181.76352426793,3183.54840698084
"Total Mortality","Neonatal Male",1619.99236444097,0.569276696194839,1618.06636461868,1619.60414112136,1619.99440596511,1620.36169358889,1621.98706363423
"Total Mortality","Neonatal Combined",4801.34347821283,1.19982460761554,4797.28264010505,4800.52900547513,4801.34742446463,4802.12546434988,4805.53547061507
"Total Mortality","Juvenile Female",1929.60093548703,0.088811629715149,1929.30719734411,1929.54074547369,1929.60146200157,1929.65795614154,1929.87840972839
"Total Mortality","Juvenile Male",412.50523944832,0.0857097852636242,412.223156478666,412.447224116815,412.50598766933,412.560116066493,412.773858492675
"Total Mortality","Juvenile Combined",2342.10617493535,0.17452054156312,2341.53035382278,2341.98773735746,2342.10756517865,2342.21830705909,2342.65226822106
"Total Mortality","Adult Female",5646.29461138115,0.0161539274419753,5646.23286336372,5646.28318692943,5646.29473662697,5646.30527699145,5646.3390048048
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",224185093.360721,15962.4318423277,224131046.054273,224174157.070481,224185418.601336,224195455.379503,224239913.543794
"Value of Total Mortality","Neonatal Female",35363898.9806879,7010.57292574995,35340168.1183065,35359159.7972418,35363965.6908639,35368483.3357623,35388324.091999
"Value of Total Mortality","Neonatal Male",15521146.843709,5454.24002624277,15502693.8394115,15517427.2760837,15521166.4035517,15524685.3862751,15540258.0566795
"Value of Total Mortality","Neonatal Combined",50885045.8243969,12463.5195239642,50842861.9577181,50876582.8107062,50885081.5323167,50893172.173885,50928582.1486786
"Value of Total Mortality","Juvenile Female",32683580.6452793,1504.2913841152,32678605.3086146,32682561.1468334,32683589.5633826,32684546.4611253,32688280.5039795
"Value of Total Mortality","Juvenile Male",8515758.16317113,1769.39280698227,8509934.84234558,8514560.49466752,8515773.60944564,8516891.03607667,8521303.53472278
"Value of Total Mortality","Juvenile Combined",41199338.8084504,3273.66790980482,41188540.1509601,41197116.6364163,41199365.4551534,41201441.1490427,41209584.0387022
"Value of Total Mortality","Adult Female",132100708.727873,377.937286432479,132099264.071258,132100441.441401,132100711.658125,132100958.260492,132101747.356413
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",27853457.2679293,9630327.81611869,3642044.04590957,20297856.1919925,28164170.448712,35440744.4858324,49359365.6946351
"Population Liveweight (kg)","Neonatal Female",1643596.32093633,927321.86339903,22010.4236992521,858982.892854018,1651364.83004744,2443495.30702782,3237872.63692043
"Population Liveweight (kg)","Neonatal Male",1071923.43003564,600619.810538674,14552.8670602477,552958.647648952,1077830.36555268,1586149.43658471,2141427.64865151
"Population Liveweight (kg)","Juvenile Female",5766051.73067713,3260797.81599134,30535.5489218305,3114702.39293278,5695285.40454043,8497530.79665495,11452939.8406754
"Population Liveweight (kg)","Juvenile Male",2038917.44108596,1174879.34321137,11123.4113848331,1020130.51985875,2014060.23566224,2995095.71271296,4170861.04019443
"Population Liveweight (kg)","Juvenile Combined",7804969.17176309,3512374.83065473,108391.364983543,5040670.23008026,7800113.34871807,10693328.3117602,15358531.208188
"Population Liveweight (kg)","Adult Female",15793284.2833054,8855143.3435259,56312.2708838612,8263818.09183088,16471390.2270142,23144014.4621757,30972631.6292046
"Population Liveweight (kg)","Adult Male",1539684.06188883,907460.602134204,5634.18668287839,715555.408017378,1537899.1029352,2315569.44949449,3098614.88367492
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",4218325.3970634,1809280.1637856,185743.322550294,2743885.53132037,4185547.30338185,5704267.58602827,8100223.38696479
