"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2069798.34030276,192119.762828885,1578795.89865457,1929583.89191557,2062676.32399165,2205623.29353174,2669992.92661925
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",203286.73008185,39372.0244486598,101400.681605024,174354.707668005,201562.169201542,231558.339137969,326268.81708609
"Num Offtake","Juvenile Male",580004.290295443,117132.585599996,276715.074007906,494024.042081574,575039.075242751,663920.328233237,945861.920164322
"Num Offtake","Juvenile Combined",783291.020377294,156504.556787896,378115.755612929,668378.315471665,776554.119402155,895502.868450993,1272130.73725041
"Num Offtake","Adult Female",178256.578348923,4507.38638162146,166811.783461137,174877.705894657,178062.508427989,181515.426198277,192367.831699908
"Num Offtake","Adult Male",194367.648774248,31542.5378614381,114227.713632549,170700.070284438,192976.880334163,217137.304221269,293156.846619376
"Num Offtake","Oxen",913883.092802294,374.922802985225,912969.414475067,913604.244950923,913864.446779519,914150.430947374,915020.450461195
"Cml Pop Growth","Overall",174292868.752165,36130645.5221604,73530391.9315976,149829783.184648,173604589.289789,199191588.334415,304808513.542354
"Cml Pop Growth","Neonatal Female",58243913.3049924,13001437.01382,21800811.3653726,49442233.8461421,57867821.7484232,67083341.1680234,102459858.951988
"Cml Pop Growth","Neonatal Male",58339650.7669184,13001437.01382,21896548.8272985,49537971.308068,57963559.2103492,67179078.6299493,102555596.413914
"Cml Pop Growth","Neonatal Combined",116583564.071911,26002874.02764,43697360.192671,98980205.15421,115831380.958772,134262419.797973,205015455.365903
"Cml Pop Growth","Juvenile Female",25023333.1306738,5458499.37913643,10219183.0981796,21172246.7424711,24883858.7171128,28995720.4391782,44804987.8403753
"Cml Pop Growth","Juvenile Male",24799677.2747852,5393320.16802143,10177189.3339105,21009436.3339901,24665358.2277562,28722107.8977276,44382228.9881489
"Cml Pop Growth","Juvenile Combined",49823010.405459,10851792.1332171,20396372.4320901,42190126.519497,49549216.944869,57719118.3964447,89187216.8285243
"Cml Pop Growth","Adult Female",4161175.93057683,961661.474990081,1668338.87572256,3456665.25583583,4122082.71546797,4845906.47629895,7164542.76409188
"Cml Pop Growth","Adult Male",4537297.43475552,929409.907017364,2122216.0908176,3862247.85939506,4497919.72056532,5198840.34757781,7439150.76806201
"Cml Pop Growth","Oxen",-812179.090536699,16135.7045099195,-853199.099202223,-824282.48683573,-812859.047871326,-800551.204467967,-761624.426067336
"Total Number Increase","Overall",176362667.092468,36268748.860106,75175966.4149665,151801731.839091,175647267.485111,201495502.954047,307405234.333218
"Total Number Increase","Neonatal Female",58243913.3049924,13001437.01382,21800811.3653726,49442233.8461421,57867821.7484232,67083341.1680234,102459858.951988
"Total Number Increase","Neonatal Male",58339650.7669184,13001437.01382,21896548.8272985,49537971.308068,57963559.2103492,67179078.6299493,102555596.413914
"Total Number Increase","Neonatal Combined",116583564.071911,26002874.02764,43697360.192671,98980205.15421,115831380.958772,134262419.797973,205015455.365903
"Total Number Increase","Juvenile Female",25226619.8607557,5495073.43087089,10320583.7797846,21335372.3671657,25084634.0770992,29226650.2440832,45119048.3875933
"Total Number Increase","Juvenile Male",25379681.5650806,5502118.93866591,10453904.4079184,21478582.8926236,25237814.1978002,29385622.2373573,45292149.9472169
"Total Number Increase","Juvenile Combined",50606301.4258363,10997191.4145668,20774488.187703,42813955.2597893,50322448.2748995,58612272.4814405,90411198.3348102
"Total Number Increase","Adult Female",4339432.50892575,966040.83518735,1836083.03657476,3631282.9807874,4299970.14637138,5028549.77226249,7356577.15049066
"Total Number Increase","Adult Male",4731665.08352977,960049.573907465,2242841.17398823,4028504.27023433,4692628.24176883,5414958.43837611,7729996.13751059
"Total Number Increase","Oxen",101704.002265595,16504.8163228455,59770.3152728439,89319.8042186023,100976.274593457,113618.356859967,153396.024393859
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",25747770488.1881,5043627198.34798,12622424782.2819,22259530143.8674,25439946995.1828,29049343941.8892,46607514824.3861
"Population Liveweight (kg)","Neonatal Female",5011379912.8256,1540402001.55055,1076644158.86229,3914410950.77127,4940921319.62695,6025713244.85971,10329674474.8996
"Population Liveweight (kg)","Neonatal Male",5424131604.63932,1906070289.96772,1023729074.46047,3977023751.61517,5209663686.07624,6644970211.87732,12255971641.2094
"Population Liveweight (kg)","Juvenile Female",4641556652.51781,1356080745.75354,1865467706.04243,3632835176.89702,4461970673.42702,5530473485.40689,9137227352.55144
"Population Liveweight (kg)","Juvenile Male",4891509561.89743,1491465492.35352,1910529356.84456,3778574438.24226,4660426986.76253,5846324826.568,11026018746.6163
"Population Liveweight (kg)","Juvenile Combined",9533066214.41524,2429796758.86379,3816352371.62428,7788604458.56204,9259582258.52987,11093028463.9516,20163246099.1678
"Population Liveweight (kg)","Adult Female",2940484127.46295,505054778.258727,1782711836.80996,2560129590.06415,2916406589.97101,3287081189.80785,4759186743.76183
"Population Liveweight (kg)","Adult Male",1257114503.32077,318810135.186159,583234601.435265,1012576796.19582,1228649668.44359,1469635612.46011,2369194872.9234
"Population Liveweight (kg)","Oxen",1581594125.52423,259528837.495129,1056486583.76474,1385620671.61925,1555736474.32011,1769742776.23174,2318123606.74608
"Offtake Liveweight (kg)","Overall",477771845.005894,59579055.7773544,333775993.12294,436395002.621205,475116685.504101,517338651.562724,669157687.822616
"Offtake Liveweight (kg)","Juvenile Female",34147576.1044896,9495383.00275682,12713242.3908296,27134742.6036113,33269459.4631399,40416673.7969927,68719074.4183034
"Offtake Liveweight (kg)","Juvenile Male",106760613.506733,32382948.7076192,34687685.1120073,82753437.8701333,103017352.876716,126405650.858786,225618022.035143
"Offtake Liveweight (kg)","Adult Female",43205943.8801842,6279514.83911992,29596514.0730632,38546001.2841922,43300686.1223509,47877772.0150753,59727685.9932176
"Offtake Liveweight (kg)","Adult Male",51471103.8699264,11955593.884066,25857138.6292988,42883109.6718109,49773929.5963492,59720971.359833,95157469.7587145
"Offtake Liveweight (kg)","Oxen",242186607.644561,38018775.5634233,160797012.888015,212520258.406582,241162894.535881,269725092.508118,345428263.987601
"Meat (kg)","Overall",1317608069.20507,79616974.1537627,1111717108.08194,1261893460.62665,1315104965.35472,1373378553.48306,1579374974.30288
"Manure","Overall",38226596785.6272,5691766611.12057,23527408916.1305,34040836710.6824,38033002895.0124,42248769487.7151,57568336095.2374
"Manure","Neonatal Female",8229257757.7299,1713123868.63509,3788437650.0268,7046315049.32569,8159191169.53294,9491236143.21143,13932990387.2012
"Manure","Neonatal Male",8207385792.26036,1699068042.95936,3915197965.58464,7011459661.10591,8078876601.50709,9389321600.97021,14167241218.0136
"Manure","Neonatal Combined",16436643549.9903,3396638144.48801,7727712917.13975,14075196155.629,16219781925.9559,18847357942.2657,28100231605.2149
