"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",114258.264214565,9.70091892852775,114242.566827297,114250.581145018,114261.975928216,114262.960691354,114273.57773092
"Num Offtake","Neonatal Female",7859.64683469803,1.24670785661215,7857.59611508038,7858.67410102172,7860.13191622174,7860.28193336565,7861.59942664261
"Num Offtake","Neonatal Male",25878.9991957317,7.36586036149402,25866.5665268045,25873.375712778,25881.8227916108,25882.9692797134,25890.4338253864
"Num Offtake","Neonatal Combined",33738.6460304297,8.6120856033459,33724.1626418849,33732.0758304054,33741.9547078325,33743.251213079,33752.033252029
"Num Offtake","Juvenile Female",26581.4460441082,0.950976101303863,26580.2691159701,26580.5582338983,26581.5838907793,26581.8879175409,26582.9995617768
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",26581.4460441082,0.950976101303863,26580.2691159701,26580.5582338983,26581.5838907793,26581.8879175409,26582.9995617768
"Num Offtake","Adult Female",50609.1782678474,0.108839490271808,50609.0571617791,50609.101928427,50609.1527731206,50609.2141549916,50609.3610419098
"Num Offtake","Adult Male",3328.99387218016,0.117928537896778,3328.86329669759,3328.91114234704,3328.9656503669,3329.03251605603,3329.19250660864
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",73757.425306053,107.079616897851,73559.8243858201,73704.2484023632,73749.9827573608,73827.7432653259,73906.0284167712
"Cml Pop Growth","Neonatal Female",4666.69288660855,39.2159381284163,4594.26040901123,4646.06033144347,4665.50885899182,4693.48039409481,4720.5674649564
"Cml Pop Growth","Neonatal Male",47900.9109088521,35.2392291656915,47836.8791980232,47880.5493362765,47899.8184941489,47924.681855199,47951.6755682351
"Cml Pop Growth","Neonatal Combined",52567.6037954607,74.425677707324,52431.1396070344,52526.60966772,52565.3273531407,52618.1622492938,52672.2430331915
"Cml Pop Growth","Juvenile Female",5091.06073252122,15.8506818043562,5063.07869083821,5078.84614392268,5097.02347400617,5100.60157249112,5115.11444679665
"Cml Pop Growth","Juvenile Male",43726.4876746919,15.1777108355005,43699.3666328535,43714.7804609093,43732.1136042921,43735.8171888792,43749.3976437414
"Cml Pop Growth","Juvenile Combined",48817.5484072131,31.0273927412051,48762.4453236918,48793.626604832,48829.1370782983,48836.4187613703,48864.5120905381
"Cml Pop Growth","Adult Female",-42145.5105587737,2.71293632240091,-42148.8888298167,-42148.0960937743,-42145.0167112405,-42144.2184929363,-42141.09849703
"Cml Pop Growth","Adult Male",14517.7836621529,2.76192452481975,14514.3536403322,14515.1620603361,14518.2577751779,14519.0898927904,14522.2819612196
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",188015.689520619,116.136284263084,187802.391213118,187953.414434954,188011.078482441,188090.682330728,188179.606147691
"Total Number Increase","Neonatal Female",12526.3397213066,40.300661945609,12451.8565240916,12505.6978544466,12524.9396687358,12553.7623274605,12581.3292326407
"Total Number Increase","Neonatal Male",73779.9101045838,41.6550759249627,73703.4457248277,73759.4248780372,73777.7369895005,73807.6511349124,73837.0135118338
"Total Number Increase","Neonatal Combined",86306.2498258904,81.947748034282,86155.3022489193,86265.1227324838,86302.6766582363,86361.4134623728,86418.3427444744
"Total Number Increase","Juvenile Female",31672.5067766294,16.7202690367616,31643.495805718,31659.6613139382,31678.858319128,31682.1723816895,31698.1140085734
"Total Number Increase","Juvenile Male",43726.4876746919,15.1777108355005,43699.3666328535,43714.7804609093,43732.1136042921,43735.8171888792,43749.3976437414
"Total Number Increase","Juvenile Combined",75398.9944513213,31.8917929785661,75342.8624385715,75374.4417748474,75410.9719234202,75417.9895705687,75447.5116523148
"Total Number Increase","Adult Female",8463.66770907377,2.81733046354327,8460.16833196243,8461.00583465271,8464.13606188009,8464.99566205533,8468.25869636315
"Total Number Increase","Adult Male",17846.7775343331,2.87517569333219,17843.2169370298,17844.0732026831,17847.2234255448,17848.1224088464,17851.4696849403
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",41929.8956245355,0.786174203394382,41928.9276579142,41929.1718886665,41929.9895118209,41930.2544743329,41931.1834397809
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",10300.3103420919,0.368503239255391,10299.8542824384,10299.9663156356,10300.363757677,10300.4815680471,10300.9123301885
"Total Mortality","Juvenile Male",2213.0004142573,0.356521785972975,2212.55890019169,2212.66507713271,2213.05570476756,2213.16717869695,2213.58224093259
"Total Mortality","Juvenile Combined",12513.3107563492,0.725020137437064,12512.4131826301,12512.6313927683,12513.4194624445,12513.648746744,12514.4945711211
"Total Mortality","Adult Female",29416.5848681863,0.0632629537200598,29416.5144752841,29416.5404958982,29416.5700493763,29416.6057275889,29416.6911056101
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",908382256.702368,15033.2308665684,908363770.435246,908368468.748597,908383956.171963,908389087.63927,908406897.601709
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",174466656.574353,6241.70786650604,174458931.835942,174460829.454235,174467561.327533,174469556.799582,174476853.048733
"Value of Total Mortality","Juvenile Male",45685180.5519277,7360.03574962728,45676065.9355572,45678257.8523276,45686321.9692215,45688623.2370198,45697191.7818125
"Value of Total Mortality","Juvenile Combined",220151837.126281,13601.6525143129,220134997.771499,220139087.306563,220153883.296754,220158180.036601,220174044.830545
"Value of Total Mortality","Adult Female",688230419.576087,1480.10006525911,688228772.663747,688229381.442034,688230072.875209,688230907.602669,688232905.106853
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",144740157.639757,60068788.6995513,48539635.4608582,105518559.481767,144507559.341083,197384320.527556,218681768.888124
"Population Liveweight (kg)","Neonatal Female",9831785.05654657,5740468.05459451,1254964.15632402,5526109.43347814,10361119.277498,15099287.3289622,16069859.9701449
"Population Liveweight (kg)","Neonatal Male",12613357.5338909,2615382.8506627,8079202.9188834,11199558.5359215,13062046.1572331,13756039.6125154,16274426.3047571
"Population Liveweight (kg)","Juvenile Female",37058176.1635595,19210107.4378678,8280776.98250055,20576178.7051281,47316228.9001753,49090054.207397,62527401.0763879
