"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",509337.524251577,45949.9696138913,378597.190694182,475187.367638668,506334.316696259,539295.242314046,643999.114140705
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",42012.0219719003,8178.70154356332,18599.267613691,36025.728502514,41480.1143833338,47449.5343861863,66415.6508043673
"Num Offtake","Juvenile Male",109059.793496273,22603.1331839045,44370.6659213483,92614.8950647258,107538.667585921,124048.407872252,176411.534539812
"Num Offtake","Juvenile Combined",151071.815468173,30781.7794032131,62969.9335350393,128640.62356724,149020.520364756,171497.942258438,242827.185344179
"Num Offtake","Adult Female",35534.6596429269,942.491899390112,32943.4330754361,34830.2660622235,35478.4707721485,36151.9431034981,38322.2747115612
"Num Offtake","Adult Male",322731.049140476,14474.1852563019,282683.824083707,311973.379353724,321761.97895617,332138.829814116,365407.095434903
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",19549678.3223341,4373913.27799643,5442322.15495121,16443402.6269142,19272479.536213,22368219.1187486,36722212.8144967
"Cml Pop Growth","Neonatal Female",6621706.53618103,1593103.75873887,1703284.02405956,5496270.53415873,6501887.05390779,7630514.6896809,12887770.6060636
"Cml Pop Growth","Neonatal Male",6673151.37619686,1593578.11257885,1755020.89898729,5539149.02119922,6554212.59619479,7676025.13688088,12938341.4739
"Cml Pop Growth","Neonatal Combined",13294857.9123779,3186665.45608605,3458304.92304685,11030523.0710367,13055953.9218616,15309116.5797089,25826112.0799635
"Cml Pop Growth","Juvenile Female",2834818.77813985,628902.909046326,950504.72691364,2376785.75356215,2806714.9343674,3258281.20052299,4871328.89378316
"Cml Pop Growth","Juvenile Male",2774491.28855217,617075.750709134,923249.808601025,2321894.77081693,2748474.73281842,3189333.87555942,4772477.58116481
"Cml Pop Growth","Juvenile Combined",5609310.06669203,1245967.68696227,1873754.53551466,4700683.99798223,5554933.23770056,6447615.07608241,9643806.47494797
"Cml Pop Growth","Adult Female",475734.371913195,112785.275766543,152763.085579295,393922.377654634,468151.528632958,550898.563098482,812662.806278758
"Cml Pop Growth","Adult Male",169775.971350963,97711.7685824131,-110116.569170192,98161.4602587969,164325.814391374,235069.868484623,462851.370914606
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",20059015.8465857,4407354.8896807,5839231.7252619,16919666.8954387,19758606.3057659,22858081.2532033,37362043.5771242
"Total Number Increase","Neonatal Female",6621706.53618103,1593103.75873887,1703284.02405956,5496270.53415873,6501887.05390779,7630514.6896809,12887770.6060636
"Total Number Increase","Neonatal Male",6673151.37619686,1593578.11257885,1755020.89898729,5539149.02119922,6554212.59619479,7676025.13688088,12938341.4739
"Total Number Increase","Neonatal Combined",13294857.9123779,3186665.45608605,3458304.92304685,11030523.0710367,13055953.9218616,15309116.5797089,25826112.0799635
"Total Number Increase","Juvenile Female",2876830.80011176,636511.517236379,971888.99722202,2410158.02330043,2850733.27080036,3302770.09783027,4936864.18025001
"Total Number Increase","Juvenile Male",2883551.08204844,638100.684036729,975244.160035143,2417913.60896139,2856043.12574119,3312494.98354004,4946525.80133988
"Total Number Increase","Juvenile Combined",5760381.8821602,1274608.242481,1947133.15725716,4827077.4018226,5707554.77048241,6614621.19047718,9883389.9815899
"Total Number Increase","Adult Female",511269.031556122,113701.032873672,185706.518654732,428564.452882768,503594.100587471,587003.127235844,850812.565652246
"Total Number Increase","Adult Male",492507.020491439,111767.7539551,172567.254913515,411710.356267101,484894.246350143,566726.264731588,825873.540337643
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1230963.20709692,249768.980928282,515843.782158007,1052321.58274655,1213218.5952754,1401840.25673086,2026300.78793822
"Total Mortality","Neonatal Female",468262.266023769,100949.250546215,174543.261163966,393271.242399014,461480.68189177,539307.531818591,782470.125859917
"Total Mortality","Neonatal Male",462603.578605736,100426.851822734,169010.407022222,389570.976901799,458857.752934866,531198.968094995,789536.20522012
"Total Mortality","Neonatal Combined",930865.844629506,200986.133136362,343553.668186188,784375.004072256,920152.759920572,1072732.23261366,1572006.33108004
"Total Mortality","Juvenile Female",124970.253112375,24318.0640731727,55286.522351649,107086.880414935,123628.920386584,140967.465329807,199572.90325528
"Total Mortality","Juvenile Male",115843.507990333,24015.3603765773,46651.1907001776,97910.8665654041,114244.065290823,132156.877473298,189619.389974205
"Total Mortality","Juvenile Combined",240813.761102708,48321.4851990806,101937.713051827,205338.006624314,237733.025093694,273258.47081193,387609.637917015
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",59283.6013647044,2658.81399108885,51927.1857599736,57307.4871700848,59105.5894546205,61011.7496809819,67122.9143873544
"Total Mortality","Oxen",0,0,0,0,0,0,0
