"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1349973.83082947,1443.03547796161,1346769.72822579,1348905.22747361,1349887.91967687,1350845.29584439,1355318.1891113
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",53380.0346600421,296.793205690213,52635.5580499369,53164.1863662471,53353.7169168585,53561.8537830452,54385.7924942778
"Num Offtake","Juvenile Male",134512.266072734,880.503142260867,132536.377785515,133853.847183052,134451.763851986,135050.138491826,137737.329042319
"Num Offtake","Juvenile Combined",187892.300732776,1170.83432346651,185265.78232727,187011.370384986,187811.275293825,188597.843035262,192123.121536597
"Num Offtake","Adult Female",163381.113043706,34.9659715119552,163306.162497426,163355.459626706,163378.175880151,163400.734872385,163508.141112989
"Num Offtake","Adult Male",90018.6410589883,242.344116711373,89515.0783695112,89835.236219502,89996.0168023483,90165.6195051529,90993.3765134096
"Num Offtake","Oxen",908681.775994004,2.93025552791524,908675.619714091,908679.670489697,908681.492444657,908683.528172451,908693.549948305
"Cml Pop Growth","Overall",3531596.71004696,231202.839102247,2917466.12410609,3366475.11889349,3508691.63576961,3673027.9960831,4528508.84004042
"Cml Pop Growth","Neonatal Female",682227.506091314,79710.8464198774,475686.232710486,624664.132598195,672529.869341434,733390.177716325,1111704.72863457
"Cml Pop Growth","Neonatal Male",785643.16601787,80928.8419179437,568231.840750986,728750.498274982,776534.677414622,835072.359714782,1209575.79537309
"Cml Pop Growth","Neonatal Combined",1467870.67210918,159748.828803318,1071476.22878721,1354956.86874675,1446347.01682129,1565777.47182296,2321280.52400766
"Cml Pop Growth","Juvenile Female",723424.031862328,38517.3540267987,609215.137861109,696021.136879482,721003.045338654,747831.552670515,866855.789336568
"Cml Pop Growth","Juvenile Male",797378.530029852,38341.2171666283,695197.819383331,770619.530205507,795560.788457388,821968.343882649,948341.717461424
"Cml Pop Growth","Juvenile Combined",1520802.56189218,76376.5086598598,1315689.19969034,1466086.73621084,1516921.22705278,1568711.80700155,1815197.50679799
"Cml Pop Growth","Adult Female",490365.115775238,7244.72812058736,472117.938397892,485117.423071466,489765.608784214,494814.555240964,514852.749939835
"Cml Pop Growth","Adult Male",977533.761942378,6963.52267250447,961860.003188401,972366.377353322,977000.506352368,981795.851940368,1002856.51044176
"Cml Pop Growth","Oxen",-924975.401672022,123.729539276606,-925232.307989168,-925068.844265349,-924987.051645261,-924900.301758803,-924477.9610714
"Total Number Increase","Overall",4881570.54087643,232222.448934798,4264457.94628573,4715121.85075027,4858432.27875001,5023853.99137535,5879770.09782108
"Total Number Increase","Neonatal Female",682227.506091314,79710.8464198774,475686.232710486,624664.132598195,672529.869341434,733390.177716325,1111704.72863457
"Total Number Increase","Neonatal Male",785643.16601787,80928.8419179437,568231.840750986,728750.498274982,776534.677414622,835072.359714782,1209575.79537309
"Total Number Increase","Neonatal Combined",1467870.67210918,159748.828803318,1071476.22878721,1354956.86874675,1446347.01682129,1565777.47182296,2321280.52400766
"Total Number Increase","Juvenile Female",776804.06652237,38790.3019299058,661850.695911046,749268.850335596,774303.232136391,801367.990376392,921176.968229535
"Total Number Increase","Juvenile Male",931890.796102586,39152.8031548535,827811.082644314,904690.267607352,930184.627508745,956824.117581205,1085772.1549355
"Total Number Increase","Juvenile Combined",1708694.86262496,77455.2203838456,1501073.68092003,1652933.00636872,1704653.57113784,1757433.16260533,2006949.12316503
"Total Number Increase","Adult Female",653746.228818944,7278.59764259898,635428.457014124,648463.177274011,653139.54517352,658214.998394045,678360.891052824
"Total Number Increase","Adult Male",1067552.40300137,7198.14985756526,1051381.49081918,1062187.20352102,1067046.74381229,1071954.73879282,1093849.88695517
"Total Number Increase","Oxen",-16293.6256780181,126.607116790241,-16556.6882750767,-16389.4393640659,-16305.4483029356,-16216.8361239926,-15784.4111230947
"Total Mortality","Overall",1019696.87258537,27997.8153010092,937170.604799348,1000888.52997572,1018953.14546236,1037721.70500049,1114986.64796587
"Total Mortality","Neonatal Female",297013.627266009,18438.8723504739,250108.877063808,284124.646146543,296599.953998895,308250.760965905,358600.378467111
"Total Mortality","Neonatal Male",284143.44908226,17251.8695304649,236426.566309972,272568.967928566,283616.710444307,295509.045250684,348907.097943778
"Total Mortality","Neonatal Combined",581157.076348269,26768.6272854276,498527.66540803,563060.179853983,580385.218761358,598847.47902385,675834.091357083
"Total Mortality","Juvenile Female",200464.959191209,4448.65433477471,187158.990954514,197310.232093078,200435.130962407,203673.294699404,216669.684598647
"Total Mortality","Juvenile Male",168398.063763125,3704.37088624983,155357.35809458,165847.278811133,168317.418161629,170809.845904028,181370.475174948
"Total Mortality","Juvenile Combined",368863.022954334,5826.49593255715,349196.297483857,364754.309092383,368699.452401729,373049.407675872,387414.151235332
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",6280.37030644104,16.9077290728864,6245.23802577985,6267.57461996526,6278.79186993128,6290.62461663857,6348.37510558672
"Total Mortality","Oxen",63396.4029763258,0.2044364321804,63395.973468425,63396.2560806765,63396.3831938133,63396.5252213338,63397.2244149981
"Value of Total Mortality","Overall",8947756130.80034,280766904.709799,8107726155.19443,8756014386.77264,8936939563.17847,9148639830.28875,9881465377.84369
"Value of Total Mortality","Neonatal Female",1517026115.27505,94178341.7460492,1277455521.68924,1451194385.13694,1514913238.65326,1574420873.35567,1831586463.18577
"Value of Total Mortality","Neonatal Male",4023239750.05863,244272417.618531,3347607564.49035,3859354526.54125,4015781560.07414,4184167332.36118,4940240255.61336
"Value of Total Mortality","Neonatal Combined",5540265865.33368,272483939.920393,4718935940.93366,5350262813.15444,5535060154.9139,5729941565.02502,6476839061.9972
"Value of Total Mortality","Juvenile Female",1305402627.55353,28969078.0928608,1218755834.17675,1284859441.05485,1305208389.87523,1326294905.28311,1410925763.42225
"Value of Total Mortality","Juvenile Male",1718596961.47448,37805188.5337505,1585509224.97313,1692564766.27042,1717773927.74957,1743210554.80489,1850987716.67174
"Value of Total Mortality","Juvenile Combined",3023999589.02801,47930780.5836073,2871287522.45266,2991142100.41306,3022249399.01462,3056468440.29009,3192037394.96725
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",194258136.53749,522972.974923336,193171459.949876,193862353.153832,194209313.917156,194575312.610437,196361593.007898
"Value of Total Mortality","Oxen",2122851261.44537,6845.62715808222,2122836879.21946,2122846342.59193,2122850599.02085,2122855354.86325,2122878767.61353
"Population Liveweight (kg)","Overall",5399939720.59039,442800919.510039,4133981992.55402,5092903708.40298,5388175651.64658,5689011004.45934,6803306646.95602
"Population Liveweight (kg)","Neonatal Female",220445271.103999,49727492.0534802,86214435.7954391,184347393.653317,222701929.489831,260086949.028749,322166415.896081
"Population Liveweight (kg)","Neonatal Male",230689105.85111,61322076.8972234,84845022.695065,185196675.33571,232265138.474836,275614629.598769,395154769.793324
"Population Liveweight (kg)","Juvenile Female",523091341.15145,111333580.686532,297274192.391694,438102286.25096,518861082.155402,598878201.587362,846882722.946208
"Population Liveweight (kg)","Juvenile Male",487286025.957654,106811189.870798,278653966.952395,406910262.991086,479225729.715969,561661489.485571,831854282.297913
"Population Liveweight (kg)","Juvenile Combined",1010377367.1091,152476855.580857,623167287.490708,896200892.628192,1009643268.65416,1117381251.18555,1501068948.83363
"Population Liveweight (kg)","Adult Female",2065979470.80612,324971508.464766,1369311897.11283,1826984472.03291,2045363840.85484,2305579308.6828,2894587747.96271
"Population Liveweight (kg)","Adult Male",307418902.588475,50549581.3092881,208443113.389885,266811239.660537,306461199.506173,343599664.013559,454498932.131785
"Population Liveweight (kg)","Oxen",1565029603.13157,252666830.345559,1023000904.38752,1367076627.49298,1565722093.32776,1751525038.36874,2208541672.41834
"Offtake Liveweight (kg)","Overall",338574194.291788,41218713.9342442,242774384.150908,306932653.275751,336761122.388783,371006043.624568,441438542.581641
"Offtake Liveweight (kg)","Juvenile Female",9117312.70120907,1926387.64307693,4970216.97115131,7665944.32332619,9036860.66799341,10508947.4630835,14215612.8118158
"Offtake Liveweight (kg)","Juvenile Male",24633702.2488475,5370278.22516549,13666314.6074414,20672752.7163652,24217774.9404622,28315248.6791639,40911705.8618652
"Offtake Liveweight (kg)","Adult Female",39812542.2651671,6217657.9691592,25921652.0024953,35143962.5041058,39682056.124387,44407436.0714133,55593707.6666827
"Offtake Liveweight (kg)","Adult Male",23728873.4801267,3794648.45966118,15848728.2726062,20871104.7125559,23525698.8924462,26507974.1433491,34448595.3729219
"Offtake Liveweight (kg)","Oxen",241281763.596438,40131230.8592858,159526679.650409,210236282.601608,238751169.411598,273182258.13092,347801895.920208
"Meat (kg)","Overall",1092355970.62666,44217131.1554371,968359455.306771,1062385291.53795,1093728087.50993,1120528782.28837,1244815784.28897
"Manure","Overall",13516153232.5088,443632417.308207,12097737664.9044,13191867419.9964,13542932915.7554,13816104711.7246,14824595188.0412
"Manure","Neonatal Female",554044361.632587,18327599.6598896,499317635.384602,541622200.654529,553790840.438682,566159189.069513,617074614.291885
"Manure","Neonatal Male",534997968.738491,17807044.9093698,483875029.161697,523672882.529723,534150446.425055,546783632.290101,593874221.777539
"Manure","Neonatal Combined",1089042330.37108,30034562.2533124,1007911668.35379,1068619166.63246,1086803226.44369,1108462675.8909,1207896580.52564
"Manure","Juvenile Female",1132779763.85206,38014910.6041752,1019017385.19904,1105433613.62447,1134185500.31891,1158425336.90693,1284483747.27935
"Manure","Juvenile Male",959498927.518013,33542337.0905238,864738449.281707,935469963.233919,959430697.266506,984324207.993873,1064432423.83981
"Manure","Juvenile Combined",2092278691.37008,51985384.1683238,1938461322.0426,2058440619.07856,2093057560.08738,2128328944.04347,2275271742.41794
"Manure","Adult Female",5585178366.38417,349653902.35272,4434330028.09384,5411576873.24914,5612286151.20138,5813334414.03769,6596574027.89181
"Manure","Adult Male",484347156.524487,30490904.5341673,393946366.521426,462511439.053185,484831026.114759,504901059.845628,572967143.292739
"Manure","Oxen",4265306687.85902,270802075.392449,3381765879.2991,4117560506.88738,4279982972.75952,4435898488.3805,5185420472.2646
"Hides","Overall",219269.898118551,2916.00320262376,209427.024006905,217215.40209187,219192.893974721,221363.485563589,228568.582089896
"Hides","Juvenile Female",100232.479595605,2224.32716738735,93579.495477257,98655.1160465392,100217.565481204,101836.647349702,108334.842299323
"Hides","Juvenile Male",84199.0318815625,1852.18544312491,77678.6790472902,82923.6394055666,84158.7090808146,85404.9229520139,90685.2375874741
"Hides","Juvenile Combined",184431.511477167,2913.24796627857,174598.148741929,182377.154546192,184349.726200865,186524.703837936,193707.075617666
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",3140.18515322052,8.45386453644321,3122.61901288993,3133.78730998263,3139.39593496564,3145.31230831929,3174.18755279336
"Hides","Oxen",31698.2014881629,0.1022182160902,31697.9867342125,31698.1280403383,31698.1915969066,31698.2626106669,31698.612207499
"Milk","Overall",5374476536.82782,787416923.624569,3006822470.14691,4815092351.72915,5369644953.75687,5910829704.62468,7923883322.04549
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",48025840023.7662,1180024272.80296,44246324088.182,47182539988.1109,48041843574.5463,48815688271.4877,51828144890.6172
"Cml Dry Matter","Neonatal Female",1851858104.08599,124552767.468356,1437787507.82982,1769830036.62976,1846878936.82245,1938811416.56251,2214499158.20877
"Cml Dry Matter","Neonatal Male",1903922904.66153,154757425.911705,1384999805.55665,1795953128.27936,1905650364.7498,2011113254.65619,2369162105.5079
"Cml Dry Matter","Neonatal Combined",3755781008.74752,209321320.689472,3082725488.55339,3608858768.97712,3751565914.10464,3898974995.4765,4378360326.02995
"Cml Dry Matter","Juvenile Female",4294725605.90458,269166842.622914,3429182645.11812,4110069136.38674,4287093316.34224,4483095464.81603,5600712606.77612
"Cml Dry Matter","Juvenile Male",3974860165.74106,256785461.16158,3292869153.17589,3802635846.0921,3961463874.43242,4133416122.38049,4855367645.78067
"Cml Dry Matter","Juvenile Combined",8269585771.64564,382573842.786444,6985449656.07962,8007011255.41408,8264822120.51417,8517468260.25827,9623745185.90895
"Cml Dry Matter","Adult Female",18709548332.1761,825989601.08344,16356730709.0375,18150075971.1802,18730447422.0045,19239322631.2271,20808300869.3193
"Cml Dry Matter","Adult Male",1758463028.76239,87627060.5575092,1497780838.58114,1698623695.07639,1755367066.38044,1820854332.21056,2001925674.94794
"Cml Dry Matter","Oxen",15532461882.4345,728812364.514025,13067137583.0578,15037142802.3231,15535237548.0254,16059793732.9562,17583115341.8247
"Value of Offtake","Overall",38453052608.684,5956434978.17911,22176978043.57,33856911437.9348,38844166002.2495,42785011330.6611,53566223539.3391
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",690534384.185739,245965408.31621,238010326.640459,497348820.896679,655499746.56359,877386989.067164,1410427443.21231
"Value of Offtake","Juvenile Male",2133411187.2642,526717779.408648,950750718.06418,1758478122.00143,2120101216.63278,2506648111.63709,3535428263.30301
"Value of Offtake","Juvenile Combined",2823945571.44994,590187602.910903,1420909907.57967,2367323326.16249,2820163861.79339,3238548845.20281,4583285305.25352
"Value of Offtake","Adult Female",3071737006.43785,609750181.81934,1996791202.81756,2576671148.76797,2993087745.96382,3488623062.93317,4971318270.19104
"Value of Offtake","Adult Male",2784632078.82932,720702149.298456,814141680.795288,2245390005.84518,2822763774.78879,3361588619.87773,4283151793.76181
"Value of Offtake","Oxen",29772737951.9669,5863802384.20421,14870438232.1511,25246678177.1857,29913271116.7403,34131545944.7317,42897761127.1421
