"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",109537.504824007,1263.20574491988,107151.164682211,108695.299463023,109460.425976668,110212.275669824,113377.330898395
"Num Offtake","Neonatal Female",7589.66686163275,160.624149692579,7283.78937684735,7482.98394477515,7581.91915396849,7674.99148494126,8086.19912570202
"Num Offtake","Neonatal Male",28183.0916328732,960.292681787188,26340.4086831113,27552.7689550702,28156.0769997493,28695.3139375116,31197.8303392777
"Num Offtake","Neonatal Combined",35772.7584945059,1120.88739611744,33624.1980599587,35035.3979190639,35739.1058976817,36371.9222199708,39284.0294649797
"Num Offtake","Juvenile Female",23903.4543207595,121.512515848399,23695.9480546378,23817.225331455,23889.1259064103,23988.0734283156,24326.4769959861
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",23903.4543207595,121.512515848399,23695.9480546378,23817.225331455,23889.1259064103,23988.0734283156,24326.4769959861
"Num Offtake","Adult Female",46525.0563753477,13.4646807166642,46499.8973902001,46515.8615439023,46523.1617661663,46533.9260215184,46577.8722378785
"Num Offtake","Adult Male",3336.23563339384,16.0995204933403,3306.15561651834,3325.24266969067,3333.96924861478,3346.83878923562,3399.39327487852
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",187601.188124749,13591.9620469221,158342.38053484,179008.276209055,186645.240800104,195550.201414695,237030.409225119
"Cml Pop Growth","Neonatal Female",29182.5075401632,4720.45785075695,19157.1142358107,26164.6010883982,28691.624235165,31721.8380058082,46389.5558671577
"Cml Pop Growth","Neonatal Male",75340.1235794506,4257.12212017593,66429.248508437,72541.1505834173,74781.2200498638,77722.7873611472,90639.0567343981
"Cml Pop Growth","Neonatal Combined",104522.631119614,8972.0845034065,85586.3627442477,98762.4624733156,103435.864261142,109245.247549153,137028.612601556
"Cml Pop Growth","Juvenile Female",18135.1934161117,2342.4372802652,13566.1061268189,16665.0720366249,18017.671095808,19405.6859361019,25755.1583258509
"Cml Pop Growth","Juvenile Male",56915.6319720275,2256.29040723804,52500.6271878187,55511.9697477615,56791.9199712567,58138.2550909448,64304.3862635499
"Cml Pop Growth","Juvenile Combined",75050.8253881391,4598.67193570147,66066.7333146376,72177.0417843864,74807.5967856458,77543.9410270467,90059.5445894008
"Cml Pop Growth","Adult Female",-8630.12398013282,407.647707584452,-9328.76611449156,-8919.37300845647,-8672.57673411031,-8341.63642805019,-7226.03831127344
"Cml Pop Growth","Adult Male",16657.8555971295,406.832176082521,15960.7554170277,16369.1792577115,16614.9687812844,16945.3593836358,18060.3635962816
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",297138.692948757,14736.5882481547,265493.545217051,287648.321162821,296266.698250379,306263.710425123,350407.740123514
"Total Number Increase","Neonatal Female",36772.1744017959,4848.62905314767,26440.9036126581,33675.5662391607,36272.127372784,39391.2874725461,54475.7549928597
"Total Number Increase","Neonatal Male",103523.215212324,5023.51153327342,92769.6571915483,100329.054148588,103070.154417346,106194.535673382,121836.887073676
"Total Number Increase","Neonatal Combined",140295.38961412,9870.41909384275,119210.560804206,133999.514647572,139334.580281481,145547.821983015,176312.642066535
"Total Number Increase","Juvenile Female",42038.6477368712,2456.50105129659,37271.6615679513,40473.1599499948,41956.4977709497,43388.1661716193,49939.389314953
"Total Number Increase","Juvenile Male",56915.6319720275,2256.29040723804,52500.6271878187,55511.9697477615,56791.9199712567,58138.2550909448,64304.3862635499
"Total Number Increase","Juvenile Combined",98954.2797088986,4712.3560458892,89772.28875577,95985.1296977563,98736.6348295089,101513.693511818,114243.775578503
"Total Number Increase","Adult Female",37894.9323952149,420.663558398253,37175.2788266368,37596.2984395511,37846.196970153,38190.2124096234,39351.833926605
"Total Number Increase","Adult Male",19994.0912305233,422.402162310923,19271.8682271193,19694.2021855143,19944.9932233712,20289.7139625103,21459.7568711601
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",43281.3105475866,884.057148493338,41613.5624940488,42688.4672491285,43224.8994739698,43753.7541868401,45962.6806069005
"Total Mortality","Neonatal Female",19181.15806849,405.941032859427,18408.1222433051,18911.5412422499,19161.5774982113,19396.7966619425,20436.0305176833
"Total Mortality","Neonatal Male",11035.0696816039,376.001923291321,10313.5684702887,10788.2672809993,11024.4921210286,11235.6299642651,12215.4884990411
"Total Mortality","Neonatal Combined",30216.2277500939,781.901200798088,28721.6907135938,29699.6695307743,30187.6696420958,30634.639101561,32651.5190167244
"Total Mortality","Juvenile Female",10585.8154849078,53.8126855900053,10493.9198527682,10547.6283610729,10579.4700442674,10623.2896611112,10773.1540982224
"Total Mortality","Juvenile Male",2479.26731258489,52.3778681265544,2389.71166016279,2442.08107100378,2473.17915969802,2515.92453135128,2661.00985202385
"Total Mortality","Juvenile Combined",13065.0827974927,106.190158200148,12883.631512931,12989.7094320767,13052.6492039654,13139.2141924625,13434.1639502463
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",245616432.382374,30407184.0779397,173007289.128277,223651868.993105,245388685.281417,268623333.204878,308516553.292575
"Population Liveweight (kg)","Neonatal Female",12358031.7285437,6007040.36609495,754096.772596501,7796159.02032242,12639084.8937242,17220138.3932304,22284734.0967855
"Population Liveweight (kg)","Neonatal Male",7688306.55099728,4440678.2940345,629727.290798405,3806967.40378722,6975985.76881742,11860562.865711,16288636.2623214
"Population Liveweight (kg)","Juvenile Female",36313628.9414625,19066005.3774514,2712438.3751809,21877700.3517905,37622296.8195448,52316451.354894,67455188.9944327
"Population Liveweight (kg)","Juvenile Male",14131943.529482,8309530.67728541,70358.9790328729,7322514.01668657,14900348.331638,20515875.2301138,27968586.6361193
"Population Liveweight (kg)","Juvenile Combined",50445572.4709445,21330903.9835957,3527316.0949017,36337684.745311,49784992.9570501,66858527.9843273,86359691.7961469
"Population Liveweight (kg)","Adult Female",166655259.830833,20058202.9973401,114764081.157153,150991445.327338,171453931.328549,182405333.054722,195746396.940168
"Population Liveweight (kg)","Adult Male",8469261.8010557,5422423.29226275,62960.4781293939,4069351.98362741,7700315.69660209,13785456.6964699,17284561.2789978
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",28626871.8399415,3524116.22647864,19858877.2402162,26397507.7568481,29190316.1761136,30767902.9287929,36756138.5598684
"Offtake Liveweight (kg)","Juvenile Female",4457567.86483703,2524013.84901419,237194.897110715,2259925.03330521,4404967.76374084,6499764.38473441,8915319.73979478
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",23278084.7953473,2612273.49468305,16899568.0909313,21434412.9644257,23139116.2495569,25513611.1500581,27675017.1439897
"Offtake Liveweight (kg)","Adult Male",891219.17975717,546559.665278015,3351.13164845902,400006.539591262,924649.83712337,1338638.37710147,1841004.70218868
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",93902856.5243742,3604420.23120254,84877817.3656623,91145892.3803962,93353336.14599,96366771.6608948,102797249.875887
"Manure","Overall",384580825.158454,14901504.9118481,350249840.570941,374070340.081007,385206344.528822,393983636.79716,430302924.883096
"Manure","Neonatal Female",32917216.3905517,1106304.11737217,29280679.4242976,32313578.2142574,32919721.5918293,33506989.9559287,35562021.7087225
"Manure","Neonatal Male",20019190.9305106,861621.255102324,18070278.0887477,19366952.44203,20040201.1584913,20583079.0443751,22327376.8009647
"Manure","Neonatal Combined",52936407.3210622,1671708.94675053,48787847.394265,51842125.8661334,52925330.1473298,53945948.5842567,57536179.5039164
"Manure","Juvenile Female",71521992.8500073,2426939.83838156,66323041.3255351,69859874.9236338,71665472.4492253,73310504.0295031,76691450.4080685
"Manure","Juvenile Male",18516903.5868296,807564.512625192,16692332.0357483,18011585.7244413,18536125.5143014,19000731.735003,20523513.4455007
"Manure","Juvenile Combined",90038896.4368369,2663094.88179003,83662395.3905744,88176641.3595531,90056383.5393065,91976742.2303902,95592826.318534
"Manure","Adult Female",227381110.695929,14150088.6995422,194895505.6605,218795751.101304,226847132.018588,234886816.431893,266719664.324073
"Manure","Adult Male",14224410.7046254,875438.501321938,12372518.9047224,13626468.2805927,14273077.6524618,14897749.808578,16257452.8622477
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",6532.54139874634,53.095079100074,6441.81575646548,6494.85471603835,6526.32460198272,6569.60709623123,6717.08197512313
"Hides","Juvenile Female",5292.90774245389,26.9063427950026,5246.95992638409,5273.81418053646,5289.73502213371,5311.64483055559,5386.57704911121
"Hides","Juvenile Male",1239.63365629244,26.1889340632772,1194.8558300814,1221.04053550189,1236.58957984901,1257.96226567564,1330.50492601192
"Hides","Juvenile Combined",6532.54139874634,53.095079100074,6441.81575646548,6494.85471603835,6526.32460198272,6569.60709623123,6717.08197512313
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",1306249783.79621,217067024.663144,885943812.896926,1170660949.61701,1305378012.72083,1462645054.92969,1846565778.77128
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2186566702.51556,78448827.5551065,1971582099.39179,2148674884.23656,2189189340.1242,2233076987.10665,2432275981.46845
"Cml Dry Matter","Neonatal Female",102028971.40307,12585167.8999378,68550263.3521462,93309534.0934159,102268467.125698,109564729.117125,132333015.808567
"Cml Dry Matter","Neonatal Male",62124460.8287235,8036276.9374458,42099823.7768037,56489863.7202541,61904108.541345,68038764.5039711,82706128.7799538
"Cml Dry Matter","Neonatal Combined",164153432.231793,16297290.8638287,126537753.121769,152523594.249141,164971580.721613,174761503.588495,204241454.69694
"Cml Dry Matter","Juvenile Female",313638857.352066,46665646.4477189,215727792.405406,277952408.616384,312942986.791708,344936088.402183,428577177.243486
"Cml Dry Matter","Juvenile Male",82299953.8761907,14631448.8481281,45439812.2618025,72938986.9384831,83260239.2528067,91003337.4026067,116500168.938192
"Cml Dry Matter","Juvenile Combined",395938811.228256,50882189.3506612,262257510.045194,359707458.150411,392793575.99646,429951386.300407,516974681.541458
"Cml Dry Matter","Adult Female",1567735360.26643,55642430.3400546,1385867104.13881,1531646640.15591,1572496241.06371,1602874368.92487,1689744901.81928
"Cml Dry Matter","Adult Male",58739098.789082,9644066.90099334,37270411.579803,52152844.1144045,58540803.1580587,64596902.1821782,87921310.1847137
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",1621234822.65685,2970688.83075719,1615992481.88398,1619160596.18665,1620926563.77274,1623404923.19078,1632056114.10186
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",404876709.285025,2058178.99344018,401361968.149455,403416162.664185,404634014.602778,406309987.728809,412041867.358012
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",404876709.285025,2058178.99344018,401361968.149455,403416162.664185,404634014.602778,406309987.728809,412041867.358012
"Value of Offtake","Adult Female",1088500218.95764,315019.670047073,1087911599.34112,1088285096.68114,1088455892.68123,1088707733.19945,1089735898.8774
"Value of Offtake","Adult Male",127857894.414186,616998.023386775,126705107.847449,127436600.073225,127771037.483913,128264249.758666,130278347.866444
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",2964851967.60901,191588707.806143,2558208382.21146,2842486213.69759,2954527908.34413,3088489056.8614,3643364075.58162
"Value of Herd Increase","Neonatal Female",324392753.816454,52472609.4690143,212950481.845272,290845705.698634,318936094.998094,352619951.272564,515666303.019325
"Value of Herd Increase","Neonatal Male",721833724.014716,40787487.0334056,636458629.959334,695016763.739721,716478869.297745,744662025.707151,868412802.572268
"Value of Herd Increase","Neonatal Combined",1046226477.83117,93203755.3523656,849409111.804607,986566550.717604,1035113283.9735,1095277014.92531,1384079105.59159
"Value of Herd Increase","Juvenile Female",307173906.082099,39676202.653132,229782705.576059,282272990.156353,305183313.020796,328693508.385693,436240871.723263
"Value of Herd Increase","Juvenile Male",1174966306.43054,46578859.1670222,1083822947.66533,1145989103.47279,1172412395.88662,1200206138.09746,1327499750.02472
"Value of Herd Increase","Juvenile Combined",1482140212.51263,86254022.4554289,1313605653.24139,1428262093.62914,1477554538.96181,1528899646.48316,1763740621.74799
"Value of Herd Increase","Adult Female",-201910380.639188,9537325.76664584,-218255812.014645,-208677650.905848,-202903605.271245,-195160925.870662,-169060392.330553
"Value of Herd Increase","Adult Male",638395657.904389,15591436.3161865,611679990.602168,627332425.872536,636752063.573941,649413953.018458,692145374.463895
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",4586086790.26585,194037529.405936,4174833958.53057,4461284079.27286,4576090385.61775,4710030447.0198,5270860870.3396
"Value of Herd Increase plus Offtake","Neonatal Female",324392753.816454,52472609.4690143,212950481.845272,290845705.698634,318936094.998094,352619951.272564,515666303.019325
"Value of Herd Increase plus Offtake","Neonatal Male",721833724.014716,40787487.0334056,636458629.959334,695016763.739721,716478869.297745,744662025.707151,868412802.572268
"Value of Herd Increase plus Offtake","Neonatal Combined",1046226477.83117,93203755.3523656,849409111.804607,986566550.717604,1035113283.9735,1095277014.92531,1384079105.59159
"Value of Herd Increase plus Offtake","Juvenile Female",712050615.367124,41608214.8068616,631307403.637959,685534383.233013,710659159.244347,734908758.614887,845873376.216673
"Value of Herd Increase plus Offtake","Juvenile Male",1174966306.43054,46578859.1670222,1083822947.66533,1145989103.47279,1172412395.88662,1200206138.09746,1327499750.02472
"Value of Herd Increase plus Offtake","Juvenile Combined",1887016921.79766,88178937.6115852,1715130351.30329,1831523486.7058,1882864585.34876,1934852145.02596,2173373126.2414
"Value of Herd Increase plus Offtake","Adult Female",886589838.318448,9841844.61228552,869752823.427995,879602998.291737,885449624.3137,893498209.535549,920675506.546852
"Value of Herd Increase plus Offtake","Adult Male",766253552.318575,16188140.4684038,738575077.93612,754760604.557651,764371920.292477,777582997.899246,822423722.330339
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",192290412.579227,7450752.45592406,175124920.28547,187035170.040504,192603172.264411,196991818.39858,215151462.441548
"Value of Manure","Neonatal Female",16458608.1952758,553152.058686087,14640339.7121488,16156789.1071287,16459860.7959147,16753494.9779644,17781010.8543612
"Value of Manure","Neonatal Male",10009595.4652553,430810.627551162,9035139.04437386,9683476.22101499,10020100.5792456,10291539.5221875,11163688.4004823
"Value of Manure","Neonatal Combined",26468203.6605311,835854.473375266,24393923.6971325,25921062.9330667,26462665.0736649,26972974.2921284,28768089.7519582
"Value of Manure","Juvenile Female",35760996.4250036,1213469.91919078,33161520.6627676,34929937.4618169,35832736.2246127,36655252.0147515,38345725.2040343
"Value of Manure","Juvenile Male",9258451.7934148,403782.256312596,8346166.01787413,9005792.86222066,9268062.75715072,9500365.86750152,10261756.7227503
"Value of Manure","Juvenile Combined",45019448.2184184,1331547.44089502,41831197.6952872,44088320.6797765,45028191.7696532,45988371.1151951,47796413.159267
