"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1338769.40646419,172.43502282353,1338492.92265434,1338680.78552313,1338782.40974825,1338858.13901935,1339057.79382651
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51290.2216045579,71.3420819534789,51188.1368174513,51246.2507214561,51302.5370230693,51324.3135839887,51400.0440789687
"Num Offtake","Juvenile Male",128241.594427662,107.363940760178,128121.154878022,128150.616622144,128215.16164706,128325.704596322,128417.227509766
"Num Offtake","Juvenile Combined",179531.81603222,136.658848449753,179311.483149186,179471.757856555,179539.006751174,179610.249169711,179744.525533438
"Num Offtake","Adult Female",161739.475552366,9.57709551896932,161724.947396407,161734.117058977,161739.734044957,161743.294392326,161753.733053997
"Num Offtake","Adult Male",88826.8865467549,35.2510753678952,88785.3493952759,88802.4083077092,88826.0830815035,88846.6463258973,88898.8861044594
"Num Offtake","Oxen",908671.228332851,0.561098794623321,908670.481101093,908670.848436782,908671.269296851,908671.457206412,908672.376254405
"Cml Pop Growth","Overall",1176081.10314408,32524.4680818699,1127419.66092808,1152877.06468168,1170497.55093569,1198795.1329167,1225752.47531419
"Cml Pop Growth","Neonatal Female",-39289.7318293807,14881.1455721357,-63594.63420243,-51165.6483034958,-37011.9115732074,-31191.7005562618,-15633.1104077552
"Cml Pop Growth","Neonatal Male",56582.6087681679,13006.9224379233,41923.6416299774,45929.791520456,52673.9075138082,68152.2600153431,77845.1416907103
"Cml Pop Growth","Neonatal Combined",17292.8769387873,24615.5971242903,-11762.3011918003,2944.73231403285,7729.61197924847,33828.5098008782,62212.0312829551
"Cml Pop Growth","Juvenile Female",395680.681946446,7912.15824664946,383740.459356772,389682.938541533,395025.180347874,400578.976582478,407856.217408163
"Cml Pop Growth","Juvenile Male",470459.265126563,5077.41359738074,464406.920430892,466471.68375254,468656.784055435,474948.574410241,477730.654798902
"Cml Pop Growth","Juvenile Combined",866139.94707301,10267.180286758,849903.423634192,860758.12196298,864648.271369162,873307.356969066,883217.788300432
"Cml Pop Growth","Adult Female",284862.107541025,1726.42064668427,282383.695661409,283795.879506044,285149.673503707,285705.517239447,287519.748141238
"Cml Pop Growth","Adult Male",933373.88219612,844.162905879954,932432.692707786,932671.831564048,933154.83290755,934054.665284735,934727.817468778
"Cml Pop Growth","Oxen",-925587.710604864,17.859847275692,-925608.645796663,-925600.126584442,-925588.297049073,-925577.554924832,-925551.264426797
"Total Number Increase","Overall",2514850.50960827,32631.0493493457,2465912.58358242,2491613.24539336,2509329.38231216,2537708.75659017,2564686.16411919
"Total Number Increase","Neonatal Female",-39289.7318293807,14881.1455721357,-63594.63420243,-51165.6483034958,-37011.9115732074,-31191.7005562618,-15633.1104077552
"Total Number Increase","Neonatal Male",56582.6087681679,13006.9224379233,41923.6416299774,45929.791520456,52673.9075138082,68152.2600153431,77845.1416907103
"Total Number Increase","Neonatal Combined",17292.8769387873,24615.5971242903,-11762.3011918003,2944.73231403285,7729.61197924847,33828.5098008782,62212.0312829551
"Total Number Increase","Juvenile Female",446970.903551004,7976.45659968907,434930.787627935,440888.257905144,446327.717370943,451918.548995211,459256.261487132
"Total Number Increase","Juvenile Male",598700.859554226,5173.51531859409,592540.524817972,594599.887809414,596871.945702495,603296.857468266,606089.385193649
"Total Number Increase","Juvenile Combined",1045671.76310523,10388.6807676681,1029214.90678338,1040273.96741352,1044134.70057554,1053020.10265186,1062891.87896012
"Total Number Increase","Adult Female",446601.583093391,1735.67643361798,444111.218597875,445529.996565021,446892.444110143,447446.434378951,449273.481195235
"Total Number Increase","Adult Male",1022200.76874288,877.297275570855,1021218.56616616,1021461.89058208,1021980.91598905,1022894.77021764,1023626.70357324
"Total Number Increase","Oxen",-16916.4822720129,18.4071174836958,-16938.1646955702,-16929.2650615208,-16916.9135176821,-16906.1548356901,-16878.8881723912
"Total Mortality","Overall",1054607.25850751,20468.4600898269,1025488.14629223,1039722.59225739,1059863.89128971,1069121.46889985,1082881.75654586
"Total Mortality","Neonatal Female",237287.365038433,13172.8931945516,213131.311050942,233830.467821793,238673.677626775,240632.812968328,257822.699856585
"Total Mortality","Neonatal Male",236710.372480489,14260.9674983027,214300.229664242,225658.987641418,236845.927617476,247726.075228001,257000.873376776
"Total Mortality","Neonatal Combined",473997.737518922,17690.2367588527,450632.279365685,457678.669610543,475666.150806483,490537.215309521,494184.574179259
"Total Mortality","Juvenile Female",194462.04791798,5662.4503677215,185066.22764899,190986.022487905,194208.27992597,199438.557254183,202135.47532265
"Total Mortality","Juvenile Male",161012.330425249,3332.47525361745,156533.272257913,158342.765071094,160999.390529443,163056.165521796,166177.337979585
"Total Mortality","Juvenile Combined",355474.378343229,7161.19834895889,344227.098665936,350603.198512758,355562.482344514,361044.155427493,365954.753386136
"Total Mortality","Adult Female",161739.475552366,9.57709551896932,161724.947396407,161734.117058977,161739.734044957,161743.294392326,161753.733053997
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",63395.6670929896,0.0391464275263862,63395.6149605414,63395.6405886127,63395.6699509431,63395.6830609124,63395.7471805399
"Value of Total Mortality","Overall",11759584175.0376,212244616.998551,11479626078.3413,11607941050.2023,11762571626.4223,11884288831.9689,12088069825.5913
"Value of Total Mortality","Neonatal Female",1865904341.94889,103584776.2217,1675953705.46089,1838721101.38674,1876805582.63429,1892211203.3241,2027383527.3002
"Value of Total Mortality","Neonatal Male",2783127700.16707,167673656.459562,2519639925.70658,2653190786.3406,2784721492.83738,2912645080.97358,3021693735.54169
"Value of Total Mortality","Neonatal Combined",4649032042.11596,181469616.375184,4386675237.65328,4509847817.67179,4642498208.34328,4816096317.70803,4875110999.42977
"Value of Total Mortality","Juvenile Female",3070309122.1101,89402910.25241,2921961035.73309,3015427088.82437,3066302447.3419,3148881893.3773,3191462809.47816
"Value of Total Mortality","Juvenile Male",1555385529.94602,32191843.784201,1512117649.51189,1529597422.21457,1555260530.03674,1575129058.44703,1605279708.80088
"Value of Total Mortality","Juvenile Combined",4625694652.05612,101324945.91464,4475565137.35981,4564425720.94954,4624990474.37034,4716908207.27405,4759511742.66809
"Value of Total Mortality","Adult Female",2272842513.48767,134582.047931792,2272638356.70779,2272767213.30791,2272846145.95246,2272896177.70158,2273042866.90005
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",2378401465.63773,1468.64801455069,2378399509.796,2378400471.27878,2378401572.85895,2378402064.70282,2378404470.26495
"Population Liveweight (kg)","Overall",5023786318.09848,566307177.085581,3750080532.43801,4781802016.12813,5008317642.83001,5439322487.90903,5733927413.82688
"Population Liveweight (kg)","Neonatal Female",160541435.860416,25021438.3198492,121438297.574214,143404189.279033,167928878.814189,174444249.286558,192199117.074278
"Population Liveweight (kg)","Neonatal Male",146452742.099851,38761572.4410204,91735428.0770989,116224700.459377,143783421.427358,181014608.21292,199096602.43502
"Population Liveweight (kg)","Juvenile Female",435906143.926595,88455433.793572,322374221.534221,394459766.375018,420661095.0107,474138698.295245,616219806.113281
