"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2037438.27777719,177200.791065137,1556153.79856858,1925163.41535908,2038308.35913898,2158046.84951813,2473425.88106413
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",196898.653068592,36221.8439066851,97332.8582519973,175689.401235379,197720.866702296,221541.828419529,285502.741731475
"Num Offtake","Juvenile Male",561685.112360305,107705.915731134,265024.214417615,497569.790470466,565502.259965902,635234.482753041,825582.902633467
"Num Offtake","Juvenile Combined",758583.765428897,143925.715192108,362357.072669613,673264.25371423,763093.29878825,856978.03382428,1111085.64436494
"Num Offtake","Adult Female",177839.537177071,4204.51458749851,167325.101856905,174733.9584456,178102.025962079,180666.986767452,188172.694738803
"Num Offtake","Adult Male",191265.240814054,29380.9782532575,117503.184541155,169126.858048022,193305.630893879,211175.939182892,263551.141916223
"Num Offtake","Oxen",909749.734357173,349.259837093578,908968.439500907,909480.45546503,909758.136759553,910029.313110512,910616.400044165
"Cml Pop Growth","Overall",162295199.410846,32301266.9014225,78842903.6239626,145404565.859213,164182498.414572,187517787.88986,227114941.709905
"Cml Pop Growth","Neonatal Female",54062701.3813254,11835403.1827406,26021679.6102729,47837031.1073686,54638459.6631234,62664079.8640501,76250665.5635135
"Cml Pop Growth","Neonatal Male",54187314.3909304,11826977.0858729,26142189.7754837,47885189.5515322,54817209.5503699,62776326.0507703,76038160.3223982
"Cml Pop Growth","Neonatal Combined",108250015.772256,23660216.094971,52163869.3857566,95793634.6453997,109319324.263144,125445235.399055,152259022.339166
"Cml Pop Growth","Juvenile Female",23361291.730269,4844713.87286025,9794036.74850478,20151062.1589605,23264275.0879755,26272655.4520231,35745548.6369437
"Cml Pop Growth","Juvenile Male",23177383.8941244,4779674.84500839,9785871.48244846,19961759.8458351,23085710.5545457,26050147.6979008,35283969.3543449
"Cml Pop Growth","Juvenile Combined",46538675.6243934,9623989.5117157,19579908.2309532,40191693.0723546,46376371.7893613,52338593.9343532,71029517.9912886
"Cml Pop Growth","Adult Female",4003628.7179666,884352.52445183,1568808.43003925,3486363.75859662,4026789.54096428,4600019.2860925,6165342.95380305
"Cml Pop Growth","Adult Male",4376019.29302356,851902.424378499,2021349.81454054,3872579.95337641,4408635.47735467,4949288.25868827,6460014.42377669
"Cml Pop Growth","Oxen",-873139.996793342,15005.9067666856,-910900.617787575,-884420.955906396,-872114.556056506,-863020.996510631,-836243.109509688
"Total Number Increase","Overall",164332637.688623,32421473.4697633,80448486.9846758,147552664.699904,166237033.417144,189845328.220946,229419048.663957
"Total Number Increase","Neonatal Female",54062701.3813254,11835403.1827406,26021679.6102729,47837031.1073686,54638459.6631234,62664079.8640501,76250665.5635135
"Total Number Increase","Neonatal Male",54187314.3909304,11826977.0858729,26142189.7754837,47885189.5515322,54817209.5503699,62776326.0507703,76038160.3223982
"Total Number Increase","Neonatal Combined",108250015.772256,23660216.094971,52163869.3857566,95793634.6453997,109319324.263144,125445235.399055,152259022.339166
"Total Number Increase","Juvenile Female",23558190.3833376,4878357.28864174,9891369.60675678,20317752.4437593,23470057.1942609,26494805.6444351,36017767.3395551
"Total Number Increase","Juvenile Male",23739069.0064848,4879644.81908587,10050895.6968661,20491473.6166554,23664890.0415366,26673448.8020686,36067504.1640378
"Total Number Increase","Juvenile Combined",47297259.3898223,9757640.39153371,19942265.3036229,40820323.8955681,47158324.2962126,53168254.4465037,72085271.5035929
"Total Number Increase","Adult Female",4181468.25514368,888452.50924415,1736133.53189616,3661693.68226524,4204124.79127262,4781669.561782,6353515.64854185
"Total Number Increase","Adult Male",4567284.53383762,880542.463831929,2138852.99908169,4046229.57477789,4598662.47914516,5167451.87162817,6723565.56569291
"Total Number Increase","Oxen",36609.7375638305,15349.7682707581,-1932.17828666803,25045.466051335,37674.6310204952,47008.6009148505,74373.2905344767
"Total Mortality","Overall",8962767.98070185,1804500.58715357,3957996.89111678,7955548.84255312,9041370.07574037,10033135.1389098,13081073.8322037
"Total Mortality","Neonatal Female",3738229.29172799,793284.813014794,1575797.78011921,3299059.5807196,3685977.4448575,4148824.37643208,5727381.91790752
"Total Mortality","Neonatal Male",3708255.35780835,804739.420686712,1490172.20116738,3207706.48587612,3694276.12809835,4183082.20558165,5872630.8914471
"Total Mortality","Neonatal Combined",7446484.64953634,1551749.52356589,3163043.76962654,6572063.68625991,7443096.15450265,8262207.65460644,10971460.9580136
"Total Mortality","Juvenile Female",736614.487342357,133640.485984922,366807.27253658,642840.773556935,739581.573185065,817910.595667838,1050477.49538928
"Total Mortality","Juvenile Male",702853.845555389,135701.283489363,347389.615866975,615876.754699962,694850.07456474,788790.722804657,1034584.28805229
"Total Mortality","Juvenile Combined",1439468.33289775,267840.59008401,714196.888403555,1268588.18438951,1438475.22574296,1609500.58281462,2085061.78344157
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",13344.0865684224,2049.83569208773,8197.89659589456,11799.5482359085,13486.4393646892,14733.2050592715,18387.2889708992
"Total Mortality","Oxen",63470.9116993376,24.3669653786227,63416.4027558773,63452.1247998858,63471.4979134572,63490.4171937567,63531.3767472673
"Value of Total Mortality","Overall",84852258693.5493,17180118477.5538,36906748722.5848,74694685978.2541,85708435001.5599,95455082080.8856,125803510789.916
"Value of Total Mortality","Neonatal Female",23449966420.4988,4976287106.90713,9885002268.60368,20695048470.753,23122189829.2572,26025635326.1057,35927949617.617
"Value of Total Mortality","Neonatal Male",45272387536.3726,9824694203.54512,18192828399.7818,39161416116.0001,45101721537.4525,51069330570.4607,71696254956.0771
"Value of Total Mortality","Neonatal Combined",68722353956.8714,14418963393.4346,28744123429.3716,60480063678.0636,68993550071.6973,76629671693.8474,103413569085.746
"Value of Total Mortality","Juvenile Female",8504082649.53362,1542855533.88988,4234724426.00941,7421481877.91139,8538337125.47487,9442631695.42553,12127575001.2687
"Value of Total Mortality","Juvenile Male",6926519272.18235,1337315803.6949,3423472581.78159,6069373081.89236,6847643309.03946,7773414313.33826,10195673048.1124
"Value of Total Mortality","Juvenile Combined",15430601921.716,2864199713.17098,7658197007.791,13590833272.9235,15431522281.7462,17243407474.5808,22323248049.381
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",505310259.831311,77622623.3897107,310435730.291538,446822100.141991,510700837.005739,557913023.006464,696284883.932447
"Value of Total Mortality","Oxen",2178810093.38276,836461.753748624,2176938927.00101,2178165182.42981,2178830216.76222,2179479672.04453,2180885719.10168
"Population Liveweight (kg)","Overall",24125613024.4579,4597242988.90335,13820507913.2845,20937281755.8374,24343692525.768,27283011801.5277,35273080586.2018
"Population Liveweight (kg)","Neonatal Female",4486703141.6588,1489220912.93829,1504492279.63096,3231006707.78935,4544366080.25013,5353856185.6136,7918290191.64326
"Population Liveweight (kg)","Neonatal Male",5068546386.2,1683153744.38431,1914690264.55076,3895314390.49905,5044768088.50058,6106429073.41929,8625394235.56179
"Population Liveweight (kg)","Juvenile Female",4296450530.34842,1323256553.81274,2141803511.17211,3380568530.04449,4210139298.27374,5055137798.41151,9789280999.58034
"Population Liveweight (kg)","Juvenile Male",4486427513.58366,1275099605.81072,1928984561.59698,3558168886.28703,4394531329.80547,5286718137.61343,8385450365.16307
"Population Liveweight (kg)","Juvenile Combined",8782878043.93209,2197770599.10594,4269381799.1294,7518392824.92214,8685535642.92303,9875908575.96477,17326267894.2063
"Population Liveweight (kg)","Adult Female",2955528181.0009,455375241.699726,1866354426.81873,2654732231.49515,2955221651.54332,3264688745.81248,4022954944.7137
"Population Liveweight (kg)","Adult Male",1221399769.58336,310272143.370873,591040111.598379,992648868.779403,1179059271.91838,1394920460.83598,1935698444.02446
"Population Liveweight (kg)","Oxen",1610557502.08275,247285522.881059,1105254572.62553,1467078409.68931,1603346887.0188,1775067448.85055,2245678618.82987
"Offtake Liveweight (kg)","Overall",482044074.9319,64276964.1655097,356950449.87097,433887318.104808,474595519.765455,524038381.241408,632139988.50691
"Offtake Liveweight (kg)","Juvenile Female",33092988.9568818,9414848.31337151,12439207.4182803,26796841.2612637,31021084.9057591,37957220.730068,58591645.4835878
"Offtake Liveweight (kg)","Juvenile Male",105964163.823875,30541180.6139609,43639184.8896772,84785052.0781195,102612761.829166,124527215.850708,181515374.58814
"Offtake Liveweight (kg)","Adult Female",44274907.3787071,6353798.90950345,29791863.9225621,40551372.7473791,44444149.5852962,48683713.4798385,62212506.3764229
"Offtake Liveweight (kg)","Adult Male",51056658.558592,12877952.4887101,26189275.1934892,42235282.1167805,49219956.5046366,60314919.3557978,86036982.3026462
