"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",187986.213579125,42.8425226515112,187861.391418613,187956.889820189,187987.348735044,188015.862856338,188106.285906881
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12411.2793263263,8.68265783341802,12387.9020704138,12405.163323208,12410.808988519,12417.3631920557,12442.2432421851
"Num Offtake","Juvenile Male",57223.9217749047,35.0181623024635,57119.4906997362,57199.110962555,57225.024006797,57249.0114979262,57320.2456831523
"Num Offtake","Juvenile Combined",69635.2011012309,36.1963932592749,69530.2538261559,69610.2329819878,69635.801879278,69659.652531086,69737.0695730612
"Num Offtake","Adult Female",44951.1251782532,1.40106574674823,44947.0118948458,44950.1020265789,44951.0622036833,44952.1197654495,44955.4947652042
"Num Offtake","Adult Male",56695.9523547691,6.80241711180121,56675.5461902893,56690.9580689196,56696.0276834423,56700.567929912,56715.5658825759
"Num Offtake","Oxen",16703.9349448716,0.107439306666443,16703.638544255,16703.8554454693,16703.9373556218,16704.0053130003,16704.2641821105
"Cml Pop Growth","Overall",214963.427702285,673.825340911393,212927.260990615,214521.236697533,214963.834506294,215446.894217966,217134.783827531
"Cml Pop Growth","Neonatal Female",-5649.16055323444,85.2624896548067,-5945.371883607,-5706.48024270631,-5650.31581789861,-5593.30976135816,-5359.29475510994
"Cml Pop Growth","Neonatal Male",16835.943150303,85.262489654805,16539.7318199305,16778.6234608312,16834.7878856388,16891.7939421793,17125.8089484274
"Cml Pop Growth","Neonatal Combined",11186.7825970686,170.524979309612,10594.3599363235,11072.1432181249,11184.4720677402,11298.4841808211,11766.5141933175
"Cml Pop Growth","Juvenile Female",85850.0061401058,437.296830808058,84581.9770302223,85555.0581507507,85849.255697551,86149.1192362823,87634.3806017767
"Cml Pop Growth","Juvenile Male",93931.4447588058,259.113037568069,93148.4822728061,93757.0714467778,93932.5006770334,94121.5959446131,94829.3935228905
"Cml Pop Growth","Juvenile Combined",179781.450898912,521.181625747775,178104.946800119,179421.754602772,179791.748814399,180154.701519794,181596.477492809
"Cml Pop Growth","Adult Female",-2770.3127077049,112.322445381977,-3072.7246302031,-2849.29615329026,-2775.81074435136,-2691.51107676816,-2368.45435021003
