"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.7352600611,1.71604296022523,17327.2932445664,17331.5743811934,17332.735942305,17333.9153406038,17338.3821708871
"Num Offtake","Neonatal Female",1204.50755152561,0.23185788365857,1203.77295588343,1204.35065034326,1204.50869741398,1204.66658897149,1205.272211408
"Num Offtake","Neonatal Male",3693.16670011521,1.2703167417087,3689.11639077233,3692.29917132796,3693.18382576079,3694.04804039296,3697.41149467513
"Num Offtake","Neonatal Combined",4897.67425164082,1.50196957848101,4892.9017315445,4896.65646340789,4897.69485315532,4898.71562838142,4902.68370608313
"Num Offtake","Juvenile Female",4148.34930357803,0.1897911097681,4147.73073545737,4148.22634825992,4148.34429266469,4148.47761374559,4148.93138132332
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.34930357803,0.1897911097681,4147.73073545737,4148.22634825992,4148.34429266469,4148.47761374559,4148.93138132332
"Num Offtake","Adult Female",7938.8313172988,0.0219365291785841,7938.76316213826,7938.81661153779,7938.83071492508,7938.84631537467,7938.90051882002
"Num Offtake","Adult Male",347.880387543413,0.0152683873831075,347.833008073401,347.8701671267,347.879970662906,347.890852474788,347.928542245613
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2713.0932248862,8.36664911440928,-2741.94864384193,-2718.76827067835,-2713.34749263301,-2707.55482621657,-2682.68616740635
"Cml Pop Growth","Neonatal Female",-1342.99886201726,3.06458154144958,-1353.50368925335,-1345.04371167993,-1343.06290266443,-1341.0472800589,-1332.61489344242
"Cml Pop Growth","Neonatal Male",2715.79853210519,2.58218698327839,2707.29726432666,2714.09780643066,2715.73276187825,2717.42214364009,2723.81046446445
"Cml Pop Growth","Neonatal Combined",1372.79967008794,5.62531034866682,1353.79357507331,1369.16128922417,1372.70639462648,1376.44458223456,1391.19557102203
"Cml Pop Growth","Juvenile Female",-1524.6103269554,1.56850760537684,-1529.7364658063,-1525.69238945598,-1524.59195170601,-1523.52990247932,-1519.29899314991
"Cml Pop Growth","Juvenile Male",3418.37682340686,1.45191049085406,3413.58807286044,3417.37169418375,3418.39661545797,3419.36218014784,3423.31384683254
"Cml Pop Growth","Juvenile Combined",1893.76649645145,3.02022861890928,1883.85160705414,1891.6771926881,1893.80202322545,1895.85433507252,1904.01485368263
"Cml Pop Growth","Adult Female",-7218.31496134839,0.299492962223007,-7219.29398182677,-7218.51178098778,-7218.32140825952,-7218.11144421829,-7217.40303001402
"Cml Pop Growth","Adult Male",1238.65556992281,0.305811034816651,1237.6568604558,1238.45522048158,1238.64785388755,1238.8622771808,1239.58837382977
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14619.6420351749,9.84521551467802,14586.1728043359,14613.0637917475,14619.3948201578,14626.2035272462,14655.6960034807
"Total Number Increase","Neonatal Female",-138.491310491647,3.22380542757576,-149.619335862245,-140.684740015884,-138.553141010166,-136.402324942375,-127.342682034419
"Total Number Increase","Neonatal Male",6408.9652322204,3.45216606219583,6396.97744166626,6406.66921169238,6408.88856595238,6411.26705870333,6421.22195913958
"Total Number Increase","Neonatal Combined",6270.47392172876,6.6692435084443,6247.35810580401,6265.98511283448,6270.29528001867,6274.89479621122,6293.87927710516
"Total Number Increase","Juvenile Female",2623.73897662263,1.74562724828217,2618.13417296548,2622.53486783597,2623.76053373393,2624.9418300191,2629.59571839466
"Total Number Increase","Juvenile Male",3418.37682340686,1.45191049085406,3413.58807286044,3417.37169418375,3418.39661545797,3419.36218014784,3423.31384683254
"Total Number Increase","Juvenile Combined",6042.11580002948,3.19595602249328,6031.72224582592,6039.9091915073,6042.1635462344,6044.31040069471,6052.9095652272
"Total Number Increase","Adult Female",720.51635595041,0.320858722010607,719.469180311491,720.307226104238,720.50789313203,720.733165549506,721.497488806004
"Total Number Increase","Adult Male",1586.53595746622,0.320691091603736,1585.4898685292,1586.32766458646,1586.52731925696,1586.75188149243,1587.51691607539
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",5997.20758759323,0.626630264476831,5995.21213013752,5996.78372836744,5997.20571586646,5997.63037701689,5999.2585765724
"Total Mortality","Neonatal Female",1522.05954238236,0.292984052986741,1521.13128061634,1521.86127634284,1522.06099036858,1522.26050788216,1523.02579441557
"Total Mortality","Neonatal Male",723.028410304246,0.248695812813394,722.235462418808,722.85857016139,723.031763071479,723.200954386791,723.859433464568
"Total Mortality","Neonatal Combined",2245.08795268661,0.541539184545842,2243.38181616414,2244.72647086946,2245.09621245967,2245.45995768936,2246.88522788013
