"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",186975.113841222,109.70459164353,186734.560704688,186924.85573209,187011.751699771,187046.264220313,187088.901530435
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12291.4602548318,12.5140351937904,12275.0370410376,12284.9444763617,12288.5548242627,12298.2365615895,12317.9977956893
"Num Offtake","Juvenile Male",56381.3005229032,87.4413591416276,56181.139989422,56347.8280732831,56399.8135563322,56433.0263514234,56486.5815270878
"Num Offtake","Juvenile Combined",68672.760777735,93.192272607265,68465.9519691492,68632.4818273269,68699.8976376558,68734.8177131714,68771.9234933529
"Num Offtake","Adult Female",44939.4233373725,1.66495074864851,44937.4378222854,44938.484712368,44938.9698326323,44940.1083572132,44943.251557957
"Num Offtake","Adult Male",56587.5290333575,15.582362231757,56555.7748142465,56578.4596653191,56594.2985328161,56598.1129369744,56603.8457354483
"Num Offtake","Oxen",16775.4006927572,0.230384394785145,16774.9959521932,16775.2345501129,16775.5007917533,16775.5677553234,16775.6314708625
"Cml Pop Growth","Overall",149339.539002605,2672.99254941028,144704.136648349,148877.956946589,149417.495515705,150950.457969258,153665.390517402
"Cml Pop Growth","Neonatal Female",-28204.4467400177,1177.05332121617,-29687.4373492262,-29267.1668417991,-28228.5580702631,-27217.8380823696,-26383.9254925051
"Cml Pop Growth","Neonatal Male",-4497.88226682576,995.243032722471,-6146.4978567556,-5112.14716993464,-4307.46449423634,-3888.2020099814,-3022.27310586718
"Cml Pop Growth","Neonatal Combined",-32702.3290068434,1700.44563045283,-35610.9297379346,-33671.6385465955,-32797.0122174673,-31393.6608285733,-30219.5619803294
"Cml Pop Growth","Juvenile Female",75726.5743090114,668.25363437419,74724.4481043309,75353.6636598051,75573.5399804458,75919.3047313444,77012.2373455741
