"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",14531.3900322274,1.48193020417683,14528.4233957124,14530.3306699059,14531.2364722267,14532.3789254898,14536.2693175411
"Num Offtake","Neonatal Female",1024.62862210725,0.19614149379539,1024.23451718247,1024.48858935366,1024.60807409599,1024.75955481711,1025.27714991532
"Num Offtake","Neonatal Male",3230.43790719928,1.11112861396919,3228.21420266305,3229.6518598071,3230.31824200659,3231.19086914908,3234.14973270721
"Num Offtake","Neonatal Combined",4255.06652930653,1.30715935291143,4252.44871984552,4254.14044916076,4254.92631610258,4255.95300607125,4259.42688262253
"Num Offtake","Juvenile Female",3428.52395975206,0.154288178264917,3428.22404910499,3428.41221060896,3428.50943046192,3428.61951209044,3428.96903575482
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",3428.52395975206,0.154288178264917,3428.22404910499,3428.41221060896,3428.50943046192,3428.61951209044,3428.96903575482
"Num Offtake","Adult Female",6514.62576034807,0.0171430418006314,6514.59526512211,6514.61294016182,6514.6247289827,6514.63876880829,6514.67700812434
"Num Offtake","Adult Male",333.173782820752,0.014127717179008,333.148660853197,333.163163180507,333.172964693908,333.184506326885,333.216009614382
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2758.14810812527,9.5255352044997,2735.25288618111,2751.65100067474,2757.2731725644,2763.25766857951,2788.59694850716
"Cml Pop Growth","Neonatal Female",-17.0199361999169,3.3979741629375,-25.4499272322864,-19.3254856608892,-17.5428506411063,-15.1523539214677,-7.23187006021908
"Cml Pop Growth","Neonatal Male",3733.28716641971,2.89827763854013,3726.14000844969,3731.40479068253,3733.06747346423,3734.9058707412,3740.8466649789
"Cml Pop Growth","Neonatal Combined",3716.26723021979,6.28251756597997,3700.69008121741,3711.8587027439,3715.68321362871,3719.77763966658,3733.61479491868
"Cml Pop Growth","Juvenile Female",-386.938610800903,1.71633489535923,-390.376558861408,-388.174157422896,-387.158398462341,-385.815119528955,-381.130716520816
"Cml Pop Growth","Juvenile Male",3835.88998482364,1.60834052602339,3832.66252762563,3834.7392401496,3835.67784155142,3836.92044626647,3841.35117664404
"Cml Pop Growth","Juvenile Combined",3448.95137402274,3.32452829444578,3442.28596876422,3446.55705704862,3448.50236848255,3451.10532673752,3460.22046012323
"Cml Pop Growth","Adult Female",-5721.13932616594,0.31034346005193,-5721.75364196044,-5721.35691711879,-5721.16481999224,-5720.94249164969,-5720.22908221923
"Cml Pop Growth","Adult Male",1314.06883004868,0.315612736002258,1313.44692950102,1313.84839924071,1314.04026596785,1314.26831925286,1314.99077568449
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",17289.5381403527,10.8535902677602,17263.9491017297,17282.1054693375,17288.3238650676,17295.5374111392,17324.8662660483
"Total Number Increase","Neonatal Female",1007.60868590733,3.54863990951682,998.819849666295,1005.20601058723,1007.1296206743,1009.66630044504,1018.0452798551
"Total Number Increase","Neonatal Male",6963.72507361899,3.7431964519018,6954.50606873034,6961.06206492908,6963.47160272465,6965.9580763687,6974.99639768611
"Total Number Increase","Neonatal Combined",7971.33375952632,7.28893604853046,7953.32591839663,7966.32704744596,7970.65252688749,7975.55536987743,7993.04167754121
"Total Number Increase","Juvenile Female",3041.58534895116,1.86074032061124,3037.85933828818,3040.26520319521,3041.41291290629,3042.83757188417,3047.838319234
"Total Number Increase","Juvenile Male",3835.88998482364,1.60834052602339,3832.66252762563,3834.7392401496,3835.67784155142,3836.92044626647,3841.35117664404
"Total Number Increase","Juvenile Combined",6877.4753337748,3.46804624895604,6870.5387325905,6874.96992081118,6877.05755825607,6879.75801815064,6889.18949587804
"Total Number Increase","Adult Female",793.486434182129,0.326899119245225,792.845265296916,793.255074502668,793.455658817201,793.691934013912,794.437219757039
"Total Number Increase","Adult Male",1647.24261286943,0.329266462368876,1646.59864900555,1647.00735663922,1647.21161599322,1647.44905833235,1648.19787287197
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",3857.95755371455,0.0904513243485232,3857.78354238492,3857.89161376212,3857.94898641195,3858.01302752675,3858.21602864948
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",948.966453145661,0.0427047636268813,948.883442162987,948.935522579266,948.962431645709,948.99290066789,949.089643824994
"Total Mortality","Juvenile Male",204.258083995809,0.0408290413337326,204.178232476688,204.228912223263,204.254240383159,204.283683233212,204.376536236124
"Total Mortality","Juvenile Combined",1153.22453714147,0.0835329292625702,1153.06167463967,1153.16434122916,1153.21667202887,1153.2765839011,1153.46618006112
"Total Mortality","Adult Female",2704.73301657308,0.00711742360468322,2704.72035560873,2704.72769390647,2704.73258837228,2704.73841740701,2704.75429355162
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",83570231.3251345,1728.12566723359,83566915.9923731,83568965.7130475,83570063.16271,83571288.815985,83575157.0587395
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",16073593.7833812,723.33328631214,16072187.7433567,16073069.8814476,16073525.667215,16074041.7515127,16075680.3871078
"Value of Total Mortality","Juvenile Male",4216703.88600948,842.874729293596,4215055.43124874,4216101.66393705,4216624.53846994,4217232.35666642,4219149.21405854
"Value of Total Mortality","Juvenile Combined",20290297.6693907,1566.19168421518,20287243.1746054,20289169.960439,20290150.205685,20291274.1081791,20294829.6011663
"Value of Total Mortality","Adult Female",63279933.6557438,166.519242655186,63279637.4398219,63279809.1266357,63279923.6375579,63280060.0136544,63280431.4519338
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",13065800.0775233,4496453.30598243,4734119.91615551,9518300.54102536,12959354.1520069,16151181.3936803,22310803.7775019
"Population Liveweight (kg)","Neonatal Female",788302.808266222,459274.262971814,22849.6558073938,388492.26451459,725462.458564737,1199763.39533939,1667871.02644598
"Population Liveweight (kg)","Neonatal Male",511553.999488801,310342.04424136,7003.001736589,243277.990530294,483020.83376004,812400.242152833,1001357.75684067
"Population Liveweight (kg)","Juvenile Female",2630474.80880267,1750850.00679527,30241.9994129332,1054743.3431803,2373945.6658612,4294362.79995211,5655630.58461734
"Population Liveweight (kg)","Juvenile Male",1056210.84765322,603977.518357002,27531.6670391134,548061.766788779,972355.666175602,1622178.86370323,2058774.19358215
"Population Liveweight (kg)","Juvenile Combined",3686685.65645589,1809448.40411327,707137.033725456,2328693.72419194,3250616.42939474,5167475.89361934,7064961.05801346
"Population Liveweight (kg)","Adult Female",7332624.56982168,4115955.98815068,104762.410554775,3751799.46027067,7595333.27259335,10744855.9836649,13959664.7602365
"Population Liveweight (kg)","Adult Male",746633.043490724,426349.621215928,16067.8577313785,413753.620818133,753753.862450848,1142136.77593711,1472621.95866695
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",2593032.55101824,1016371.12008071,692656.357872884,1686034.63937593,2555631.60091648,3407329.47932005,4685145.3598981
"Offtake Liveweight (kg)","Juvenile Female",711931.111225282,388223.181297482,6857.42169707374,358291.98966541,776531.397806778,1050784.74300688,1275391.8139965
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",1792890.40670107,988785.71428923,26058.5217433685,1027678.26622128,1817582.9053308,2633536.9988055,3543961.11797913
"Offtake Liveweight (kg)","Adult Male",88211.0330918869,53310.449841135,2665.25072440721,41062.9125287678,83290.2689412912,131681.719473517,182911.943370714
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",8530752.37003851,1112956.17947433,5670740.243512,7728305.91530426,8585499.96290292,9342217.04003599,11527934.9843923
