"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",189003.716902027,48.1796039787806,188926.03722273,188982.529126795,189007.302078369,189038.770194297,189074.424932191
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12637.8821456405,5.35259146242388,12631.5562305754,12633.5726499069,12637.8288518704,12639.2623147819,12648.439551877
"Num Offtake","Juvenile Male",57839.2912135585,43.0346697805126,57766.2983137024,57812.9173025583,57845.6258699867,57871.0698354644,57900.6110869292
"Num Offtake","Juvenile Combined",70477.173359199,41.6775277269029,70410.1718455076,70459.1044071459,70480.1876179276,70507.733286529,70539.3710578988
"Num Offtake","Adult Female",44987.0889796485,0.74510647148611,44986.0626094389,44986.5734809024,44986.9714063654,44987.3823903825,44988.5476212494
"Num Offtake","Adult Male",56834.4709913246,6.62206310109362,56823.1102276765,56830.3457600968,56835.401627824,56839.2776187396,56842.5473126579
"Num Offtake","Oxen",16704.9835718552,0.0834929943353237,16704.8402014524,16704.9272264728,16704.9981821964,16705.0369464905,16705.0937232528
"Cml Pop Growth","Overall",186565.276989262,1915.77897369811,182307.833801869,185917.709872235,186693.749888661,187718.297276455,188983.388469454
"Cml Pop Growth","Neonatal Female",-28349.7224610942,1038.52025112803,-30651.9810439924,-28860.5796030618,-27973.3171148963,-27815.1044197186,-26931.3448124849
"Cml Pop Growth","Neonatal Male",-4123.16264270216,1105.25921604277,-5853.34719151823,-4842.68014920966,-3924.38124807471,-3397.38203919268,-2496.32143730263
"Cml Pop Growth","Neonatal Combined",-32472.8851037964,1713.23708281568,-36505.3282355107,-33098.5859106462,-32108.201443851,-31422.4048000559,-30727.1325603521
"Cml Pop Growth","Juvenile Female",95245.6122483141,201.540311954021,94888.9617924082,95169.8630718269,95244.3646056499,95336.3007051593,95661.4029491938
"Cml Pop Growth","Juvenile Male",95916.0931909446,381.975760474857,95342.2524051904,95624.2333118276,95944.1557483557,96085.9082508315,96620.0884973552
"Cml Pop Growth","Juvenile Combined",191161.705439259,369.142982830605,190635.54459319,190882.953105049,191120.371714378,191425.239567767,191793.463332686
"Cml Pop Growth","Adult Female",155.484306564857,69.6149856815091,73.8917773822322,99.1851113253506,155.251421465771,174.168791127799,292.619633059017
"Cml Pop Growth","Adult Male",33153.8398953359,68.7458064588247,33037.5139882857,33111.833933951,33164.0034276024,33204.6563208086,33253.373933255
"Cml Pop Growth","Oxen",-5432.86754810076,1.28152345421572,-5435.06534348572,-5433.66119048418,-5432.69045669679,-5431.93019803027,-5431.29768289039
"Total Number Increase","Overall",375568.99389129,1938.37685557807,371286.915973375,374956.480066532,375660.120007599,376716.664293172,378057.813401644
"Total Number Increase","Neonatal Female",-28349.7224610942,1038.52025112803,-30651.9810439924,-28860.5796030618,-27973.3171148963,-27815.1044197186,-26931.3448124849
"Total Number Increase","Neonatal Male",-4123.16264270216,1105.25921604277,-5853.34719151823,-4842.68014920966,-3924.38124807471,-3397.38203919268,-2496.32143730263
"Total Number Increase","Neonatal Combined",-32472.8851037964,1713.23708281568,-36505.3282355107,-33098.5859106462,-32108.201443851,-31422.4048000559,-30727.1325603521
"Total Number Increase","Juvenile Female",107883.494393955,204.606510246877,107520.793442443,107807.126276226,107879.26491481,107977.393579788,108300.832711913
"Total Number Increase","Juvenile Male",153755.384404503,422.924237999851,153108.550718893,153418.872011646,153801.289540345,153945.145437455,154520.699584284
"Total Number Increase","Juvenile Combined",261638.878798458,405.803106652728,261045.716438698,261343.43618055,261611.929544578,261937.140199141,262332.834390585
"Total Number Increase","Adult Female",45142.5732862133,70.3306000366259,45059.9543868211,45085.7633239222,45142.2119203326,45161.2489249938,45281.1672543084
"Total Number Increase","Adult Male",89988.3108866605,75.31043942628,89860.6242159622,89942.1796940478,89999.4050554264,90043.9339395482,90095.9212459129
"Total Number Increase","Oxen",11272.1160237545,1.3646510847787,11269.7748579667,11271.2660359886,11272.3077254996,11273.1067484603,11273.7805489833
"Total Mortality","Overall",94492.9303991962,1898.77656872888,92003.9984572495,93283.19507486,94446.0205039286,95172.8011113413,98578.2235313575
"Total Mortality","Neonatal Female",35376.1352934218,1013.88439394158,34131.8876557921,34752.6817175893,35135.1467847689,35857.0988598536,37323.3944105448
"Total Mortality","Neonatal Male",32775.4280261446,1414.37666658691,30274.097802318,31879.0100379367,33015.2741850797,33674.7130009363,34912.8077834012
"Total Mortality","Neonatal Combined",68151.5633195665,1898.70287007407,65662.223055732,66941.9223071653,68105.1436902121,68831.7474696293,72236.202193946
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",24317.3453944046,0.402760254857507,24316.7905996967,24317.0667464337,24317.2818412786,24317.5039948013,24318.133849324
"Total Mortality","Adult Male",1564.25149517407,0.182258617461296,1563.93881360578,1564.13795669991,1564.27710902268,1564.38378767173,1564.47377924746
"Total Mortality","Oxen",459.770190051062,0.00229797232116922,459.766244076671,459.768639260719,459.770592170542,459.771659077722,459.773221740903
"Value of Total Mortality","Overall",1100334028.58966,18728820.144549,1071291886.29655,1091045257.36981,1099701377.8333,1109487103.0231,1137146303.15503
"Value of Total Mortality","Neonatal Female",216439370.449387,6203179.01073777,208826775.881382,212624937.40467,214964947.065777,219382016.689972,228353151.700962
"Value of Total Mortality","Neonatal Male",381635690.448418,16468941.7717582,352510307.66934,371197837.506048,384428448.9257,392106926.460675,406523249.46856
"Value of Total Mortality","Neonatal Combined",598075060.897805,18729288.2688442,569023035.464601,588788338.522306,597452786.049887,607228012.629389,634876401.169521
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",455665514.580977,7547.03919387589,455655118.675834,455660293.193981,455664323.703956,455668486.481496,455680288.879354
"Value of Total Mortality","Adult Male",45361114.5210529,5285.24603915476,45352047.1911051,45357822.0634495,45361857.2869851,45364950.8192154,45367560.4495628
"Value of Total Mortality","Oxen",13920052.7635097,69.5736623470844,13919933.2947557,13920005.811611,13920064.9381232,13920097.2399221,13920144.5512842
"Population Liveweight (kg)","Overall",496549650.055331,59995236.9422286,413788620.154644,441882777.679623,506105930.50453,538238970.079453,583186306.639737
"Population Liveweight (kg)","Neonatal Female",21355518.5820557,6117724.74893106,13359809.0337478,15115580.090529,22842062.0584463,27000009.0407426,27421359.0885151
"Population Liveweight (kg)","Neonatal Male",22936505.8885412,8569472.05178841,11250333.7894498,15463661.2671453,22606794.5979771,30540133.877246,34376094.9919026
"Population Liveweight (kg)","Juvenile Female",60564030.7587135,14799290.0988253,44101624.0568394,47466874.5690302,56689871.0926847,73359465.3386057,85048423.6063094
"Population Liveweight (kg)","Juvenile Male",44001976.4633893,9240777.27175475,28910842.5533631,38402902.9734575,45916666.4988276,51321579.4370632,54208313.0918723
"Population Liveweight (kg)","Juvenile Combined",104566007.222103,16375098.3651771,76332949.8979823,97613352.7583412,104014796.228932,114192630.872703,129063500.301091
"Population Liveweight (kg)","Adult Female",289775462.332944,58474221.7229433,201884663.93219,255476385.937369,279407245.977875,335961634.84545,387004696.662425
"Population Liveweight (kg)","Adult Male",45825506.9592509,5685273.26166924,37869064.7642398,40440266.5757319,47517392.3629151,49197367.9416958,55332783.2018157
"Population Liveweight (kg)","Oxen",12090649.0704369,2153671.36112258,8986198.71543194,10242158.2148397,12264401.1624737,13666837.6244175,15019255.8922477
"Offtake Liveweight (kg)","Overall",43013819.9197876,3490160.5980299,34658476.1700098,41735634.4463634,43759082.3417086,45278932.2574439,46804722.8107695
"Offtake Liveweight (kg)","Juvenile Female",2156950.77505787,403332.805213494,1527946.8343944,1924353.72336934,2040644.14519403,2431596.92890347,2839454.5167179
"Offtake Liveweight (kg)","Juvenile Male",10269571.9165684,1546113.85960198,7553051.99911674,10088102.4180902,10595999.7448807,10713776.3150366,12296590.9897301
"Offtake Liveweight (kg)","Adult Female",10954373.8117121,2058479.79754161,7920855.8924711,9057908.31762245,11875164.8118855,12317909.9007526,13688601.8579475
"Offtake Liveweight (kg)","Adult Male",15244593.5042734,2377966.2895469,11867733.9685017,14043124.3749111,15264301.2956558,15988052.0651168,19887133.353077
"Offtake Liveweight (kg)","Oxen",4388329.91217569,702802.23636805,3158146.06656922,3951645.13224416,4457516.96451751,4574910.02384492,5629248.78835792
"Meat (kg)","Overall",136353783.686306,4509446.26189612,126362165.894046,134696137.629696,137733881.371875,139626457.312442,140889328.492778
"Manure","Overall",1356827065.60452,50761486.3737842,1245121500.65239,1356981147.98462,1376460151.28362,1384983383.13786,1407444796.40742
"Manure","Neonatal Female",65946392.6688396,1838445.08350207,62905027.2447659,65095381.3692007,65567753.0580828,67466116.4497003,68396619.2028797
