"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.4381628683,1.77433237782355,17325.8738464138,17331.2259322763,17332.4972192729,17333.6169328866,17338.5920468577
"Num Offtake","Neonatal Female",1204.46735894576,0.239805339620829,1203.58101445501,1204.30241792794,1204.47472413263,1204.62753706568,1205.30025096427
"Num Offtake","Neonatal Male",3692.94417018112,1.31951275696011,3688.0866109432,3692.01916807962,3692.99383678613,3693.83171521576,3697.55290751932
"Num Offtake","Neonatal Combined",4897.41152912689,1.55913226115476,4891.66762539821,4896.3276989114,4897.46776906067,4898.46492808367,4902.85315848359
"Num Offtake","Juvenile Female",4148.32001367181,0.190470895798391,4147.62717064751,4148.19576242065,4148.32538509293,4148.4341583764,4148.95988436098
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.32001367181,0.190470895798391,4147.62717064751,4148.19576242065,4148.32538509293,4148.4341583764,4148.95988436098
"Num Offtake","Adult Female",7938.82831713923,0.0216872827223632,7938.74750570315,7938.81449523537,7938.82830329862,7938.84136309694,7938.90104604354
"Num Offtake","Adult Male",347.878302930325,0.0150927653205588,347.822004155926,347.868713551453,347.878287854502,347.887419712025,347.928889869996
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2714.62973198679,9.01635062956396,-2751.43133491679,-2719.97157969522,-2714.6285090676,-2708.54996109527,-2681.37832744137
"Cml Pop Growth","Neonatal Female",-1343.51406067932,3.31310335605094,-1357.01268254996,-1345.46344115698,-1343.57694976682,-1341.32161276002,-1331.75452935013
"Cml Pop Growth","Neonatal Male",2715.40648306428,2.77862714130175,2704.39246369744,2713.67437761318,2715.40687373887,2717.17282576889,2724.63368992915
"Cml Pop Growth","Neonatal Combined",1371.89242238497,6.07196258212782,1347.37978114748,1368.34056701813,1371.76428560106,1375.91962159827,1392.87916057902
"Cml Pop Growth","Juvenile Female",-1524.88763511262,1.63635357003486,-1530.86183434967,-1525.998963498,-1524.83679391173,-1523.80683000308,-1519.14408296503
"Cml Pop Growth","Juvenile Male",3418.11926247788,1.51781360912345,3412.5958058431,3417.09930917736,3418.1631313238,3419.1261225084,3423.45052822285
"Cml Pop Growth","Juvenile Combined",1893.23162736526,3.15399665800814,1881.73397149343,1891.10039614386,1893.34011469454,1895.31908828808,1904.30644525782
"Cml Pop Growth","Adult Female",-7218.36173741757,0.301133238660258,-7219.46032320891,-7218.56016306132,-7218.35404908264,-7218.17897165036,-7217.35310306111
"Cml Pop Growth","Adult Male",1238.60795568055,0.307338929901715,1237.48752232156,1238.40746268291,1238.61593464198,1238.79461303432,1239.63814939095
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14617.8084308815,10.5673469663245,14575.2810230851,14611.3488066306,14617.928880652,14624.8704869903,14656.7174164137
"Total Number Increase","Neonatal Female",-139.046701733555,3.48622602698554,-153.321669772782,-141.103700107485,-139.129525299957,-136.705569754733,-126.518443838999
"Total Number Increase","Neonatal Male",6408.35065324541,3.72912353833625,6392.99766207863,6406.19545583727,6408.2370163446,6410.86329957773,6421.9019349004
"Total Number Increase","Neonatal Combined",6269.30395151185,7.20947165209112,6239.67599230585,6265.06878655964,6269.11234537722,6274.14721732953,6295.3834910614
"Total Number Increase","Juvenile Female",2623.43237855918,1.8151709406644,2616.76533629784,2622.1650414478,2623.49704743204,2624.63771991423,2629.78388103107
"Total Number Increase","Juvenile Male",3418.11926247788,1.51781360912345,3412.5958058431,3417.09930917736,3418.1631313238,3419.1261225084,3423.45052822285
"Total Number Increase","Juvenile Combined",6041.55164103707,3.33157385252324,6029.36114214094,6039.25633373958,6041.65926917068,6043.75653320462,6053.23440925392
"Total Number Increase","Adult Female",720.466579721665,0.322269040664524,719.292745402487,720.257272497617,720.473957176198,720.661409289484,721.54794298243
"Total Number Increase","Adult Male",1586.48625861088,0.322056126501407,1585.31350407823,1586.27606981805,1586.49326025776,1586.68146385604,1587.56703926095
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",5997.09958830657,0.646812689899347,5994.70475416377,5996.66288690708,5997.11509238035,5997.52806641408,5999.33735791779
"Total Mortality","Neonatal Female",1522.00875357692,0.303026747339047,1520.88873644769,1521.80032810894,1522.01806049487,1522.21116047391,1523.06122621849
"Total Mortality","Neonatal Male",722.984844584755,0.2583271453767,722.033857635359,722.803752624039,722.994568046862,723.158603401395,723.887118514346
"Total Mortality","Neonatal Combined",2244.99359816168,0.561226181634949,2242.92259408305,2244.60738741106,2245.01417009273,2245.36870883023,2246.94834473283
"Total Mortality","Juvenile Female",918.5565744559,0.0421756983553584,918.403159214806,918.529061678859,918.557763842005,918.581849354775,918.698260108503
"Total Mortality","Juvenile Male",196.724296067749,0.0399349596861766,196.578874505701,196.698232657438,196.725164271962,196.748501518148,196.858312868357
"Total Mortality","Juvenile Combined",1115.28087052365,0.0821098235276656,1114.98203372051,1115.22730846631,1115.28249418673,1115.33046768719,1115.55657297686
"Total Mortality","Adult Female",2636.82511962124,0.00720327604707503,2636.79827867997,2636.8205287746,2636.82511502418,2636.82945274291,2636.84927600732
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",105156415.225543,7484.09781741826,105128668.336757,105151457.528207,105156610.069988,105161314.139922,105182159.293291
"Value of Total Mortality","Neonatal Female",16918649.304761,3368.44532342085,16906199.1943526,16916332.447259,16918752.760461,16920899.259828,16930348.5906447
"Value of Total Mortality","Neonatal Male",6926917.79596654,2475.03237985416,6917806.39000437,6925182.75389092,6927010.95645698,6928582.57918877,6935562.48248595
"Value of Total Mortality","Neonatal Combined",23845567.1007276,5842.17107377595,23824005.5843569,23841549.8761645,23845782.01848,23849480.2873218,23865911.0731307
"Value of Total Mortality","Juvenile Female",15558511.258134,714.371978743057,15555912.7107804,15558045.2467165,15558531.4039559,15558939.3643712,15560911.1297178
"Value of Total Mortality","Juvenile Male",4061176.36802261,824.417307761427,4058174.28529569,4060638.31498016,4061194.29123038,4061676.06534065,4063943.01085437
"Value of Total Mortality","Juvenile Combined",19619687.6261566,1538.77371574105,19614086.9960761,19618684.1375411,19619717.3573914,19620617.6261732,19624854.1405722
"Value of Total Mortality","Adult Female",61691160.4986586,168.5278463974,61690532.5279967,61691053.0912106,61691160.3911058,61691261.8763732,61691725.6614672
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",12374469.3502103,4284192.69071052,3286437.49597855,8888689.78292012,12496338.1324584,15688321.4826973,21872070.1263229
"Population Liveweight (kg)","Neonatal Female",763653.468703538,432996.405159118,10087.9261615726,393819.1133241,757084.908281744,1141005.58155831,1485009.34156957
"Population Liveweight (kg)","Neonatal Male",448012.393221052,250638.85179372,5980.98537517539,239315.134527024,454904.624065418,664047.270403664,880155.489552144
"Population Liveweight (kg)","Juvenile Female",2621731.88344393,1503518.7273905,27965.0617279786,1324953.33324143,2635495.6526526,3891069.314428,5244419.76538802
"Population Liveweight (kg)","Juvenile Male",935603.651761405,539385.25445735,5089.1231497271,468264.649029088,926245.341783753,1391567.88778032,1909145.62700845
"Population Liveweight (kg)","Juvenile Combined",3557335.53520534,1602069.79881474,106848.712502385,2290173.01709764,3543650.03102203,4847678.94244976,6970272.63279906
"Population Liveweight (kg)","Adult Female",6874600.66017634,3921691.09210472,24693.0393221983,3395349.64593032,7013001.21563701,10328275.9000371,13581716.4943281
"Population Liveweight (kg)","Adult Male",730867.292904074,417141.096317191,2601.7133787774,340268.447333814,761180.173394825,1103349.86995398,1431638.60819336
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3068411.33218769,1345941.08655269,105050.488430618,1949960.82402693,3109859.63762459,4115381.35564226,5896339.22453655
"Offtake Liveweight (kg)","Juvenile Female",777096.435479035,455687.295057715,4148.09006524015,372298.618758971,794417.54172548,1161376.20816819,1555611.96370583
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",2194006.38716822,1264993.10772988,7938.82139494359,1087622.27283185,2254631.27745643,3278747.27753891,4366377.78926416
"Offtake Liveweight (kg)","Adult Male",97308.5095404338,56218.4053662793,347.876362715202,49310.0918480934,100883.233260212,145060.402984404,191327.509355374
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",10255976.9014875,1468269.62572766,4491202.9866905,9345708.83197528,10292278.2411175,11238369.3919377,14990219.4111497
"Manure","Overall",31590975.8459876,1240292.81644864,27556934.3291956,30719668.2702582,31568213.1500046,32405177.0320231,35048995.5880122
"Manure","Neonatal Female",2536285.56043053,64999.5231742965,2347629.17376489,2491467.18412016,2535126.26431509,2582693.72752331,2705548.0064275
"Manure","Neonatal Male",1269666.90256441,32733.7650743336,1144483.82328211,1246903.52798253,1268616.9030407,1292060.02085756,1365711.22633195
"Manure","Neonatal Combined",3805952.46299494,73412.5678795688,3583353.42634896,3758680.77648408,3806533.48500003,3855339.80683567,4015765.25615289
"Manure","Juvenile Female",6073552.98624318,209146.907311427,5467910.44787713,5932713.02545375,6080842.25345557,6206791.20079999,6821069.71545847
"Manure","Juvenile Male",1431406.8336635,49983.87832598,1292265.131353,1398317.3643606,1433125.88102256,1465823.2543218,1602265.23265115
"Manure","Juvenile Combined",7504959.81990668,213707.370891149,6838835.38138078,7361977.80632736,7511239.34962148,7641868.05472381,8357541.58510738
"Manure","Adult Female",18978240.7446552,1209733.47557183,15628312.9844653,18233924.7046915,18981907.4795355,19721208.2748997,22307974.0818681
"Manure","Adult Male",1301822.81843076,82059.2887846432,1029760.70980664,1248175.07025259,1302511.82272525,1356229.11625732,1579059.15827518
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",1876.05299507245,0.0445830177387525,1875.89108004036,1876.02401439635,1876.05456165185,1876.0797551623,1876.20292449209
"Hides","Juvenile Female",459.27828722795,0.0210878491776792,459.201579607403,459.26453083943,459.278881921002,459.290924677388,459.349130054251
"Hides","Juvenile Male",98.3621480338745,0.0199674798430883,98.2894372528504,98.3491163287192,98.3625821359809,98.3742507590741,98.4291564341787
"Hides","Juvenile Combined",557.640435261824,0.0410549117638328,557.491016860253,557.613654233155,557.641247093364,557.665233843594,557.77828648843
"Hides","Adult Female",1318.41255981062,0.00360163802353751,1318.39913933999,1318.4102643873,1318.41255751209,1318.41472637146,1318.42463800366
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",85301798.2742947,4517681.72601356,73594614.6453769,82242789.1930238,85035435.3495438,88369415.4803613,100777348.821086
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",124768443.30698,12425742.5431477,86669310.4719735,116523748.363047,124500854.174854,132856944.491865,162558756.299685
"Cml Dry Matter","Neonatal Female",7797307.84398632,894367.268750131,4897039.76833412,7156796.51058771,7799519.46632226,8433277.52586462,11055664.8146197
"Cml Dry Matter","Neonatal Male",3921103.41945523,486466.083653527,2244168.54642574,3583694.45755297,3907407.53809833,4266188.37310802,5517388.06096995
"Cml Dry Matter","Neonatal Combined",11718411.2634415,1006520.21887829,7835760.50853005,11019265.2642409,11740917.5688394,12423328.3346526,15190692.3481727
"Cml Dry Matter","Juvenile Female",26164739.4768296,3840639.05240928,14411297.063599,23670499.249281,26056449.312585,28679246.8278245,37390311.2169364
"Cml Dry Matter","Juvenile Male",6257215.21570717,940284.852292405,3372326.89148288,5570985.45327375,6231404.78169947,6910981.37150782,9778591.74369811
"Cml Dry Matter","Juvenile Combined",32421954.6925368,3982822.93535659,20233130.5286872,29741282.2382571,32329922.8510657,35232103.4699021,44089575.1710922
"Cml Dry Matter","Adult Female",75505625.7460447,11482642.8814444,41572284.9246846,67661164.4579732,75466313.5067181,83030022.5240874,113976339.138693
"Cml Dry Matter","Adult Male",5122451.60495706,799411.286410197,2918655.32208081,4585090.00039561,5146346.91140447,5671705.85771298,7530926.14698948
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",269333159.780864,4294.44180845848,269317658.734503,269330411.728229,269333302.890888,269335731.006499,269347638.169919
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",70264244.3915731,3226.19603303313,70252509.0164275,70262139.823881,70264335.372704,70266177.7745795,70275082.5213063
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",70264244.3915731,3226.19603303313,70252509.0164275,70262139.823881,70264335.372704,70266177.7745795,70275082.5213063
"Value of Offtake","Adult Female",185736827.30779,507.395666572253,185734936.643431,185736503.930527,185736826.983974,185737132.531016,185738528.873235
"Value of Offtake","Adult Male",13332088.0815018,578.415138145063,13329930.4872717,13331720.5781459,13332087.5037359,13332437.4730436,13334026.7753777
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-65595465.4083364,128033.563844806,-66102006.1393618,-65675227.3127395,-65593756.0988709,-65509888.1140238,-65126988.7646454
"Value of Herd Increase","Neonatal Female",-14934502.2985113,36828.4569058623,-15084552.9792253,-14956171.611901,-14935201.373608,-14910131.0474403,-14803783.348256
"Value of Herd Increase","Neonatal Male",26016309.5142389,26622.0266408121,25910784.1946852,25999714.2119119,26016313.2572921,26033232.8436917,26104715.3832111
"Value of Herd Increase","Neonatal Combined",11081807.2157276,63248.3617991516,10826231.2154599,11044874.1907613,11080637.4173469,11123743.2687957,11300932.0349551
"Value of Herd Increase","Juvenile Female",-25828546.7635376,27716.5567692505,-25929737.7502148,-25847370.4437291,-25827685.6152769,-25810240.0865921,-25731262.4772617
"Value of Herd Increase","Juvenile Male",70563654.0545934,31333.7441467445,70449627.815825,70542598.1386574,70564559.6830485,70584439.6730635,70673712.7046325
"Value of Herd Increase","Juvenile Combined",44735107.2910558,59047.1160086823,44519890.0656103,44695265.71623,44737112.7996797,44774231.2773765,44942450.2273708
