"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.6768595198,1.74504579379067,17326.3551210408,17331.5447328821,17332.6550003281,17333.8019640707,17339.1615791501
"Num Offtake","Neonatal Female",1204.4994393275,0.235889198145776,1203.6443303242,1204.34835929946,1204.49665650768,1204.65149070669,1205.37500914154
"Num Offtake","Neonatal Male",3693.1172379491,1.29766404479763,3688.42617263776,3692.30251626361,3693.08983891865,3693.95946211342,3697.97654381968
"Num Offtake","Neonatal Combined",4897.6166772766,1.53335756507728,4892.07050296196,4896.65410557051,4897.59077059624,4898.60957842978,4903.35155296122
"Num Offtake","Juvenile Female",4148.34786133459,0.188004954340111,4147.6884821068,4148.22529166516,4148.35059566977,4148.47255367236,4148.98180436345
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.34786133459,0.188004954340111,4147.6884821068,4148.22529166516,4148.35059566977,4148.47255367236,4148.98180436345
"Num Offtake","Adult Female",7938.83167764618,0.0214162905618839,7938.76312829246,7938.81784219443,7938.831767941,7938.84638027693,7938.90576409504
"Num Offtake","Adult Male",347.880643262396,0.01490477870848,347.833007679567,347.871029429764,347.880700920491,347.890838065373,347.932210969152
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2713.44537739586,8.7219796988058,-2739.11345104747,-2719.17405516835,-2713.38050115541,-2707.67956940829,-2679.80161926104
"Cml Pop Growth","Neonatal Female",-1343.12217510236,3.18036286038046,-1353.2659867859,-1345.28512514244,-1342.98181599097,-1340.90207387398,-1330.54858968336
"Cml Pop Growth","Neonatal Male",2715.71191932488,2.65201500104357,2706.90775596261,2713.86156816485,2715.79007700906,2717.54621327837,2726.18242066803
"Cml Pop Growth","Neonatal Combined",1372.58974422252,5.81262792508112,1353.64176917671,1368.5822870965,1372.88287339298,1376.65881039297,1395.63383098468
"Cml Pop Growth","Juvenile Female",-1524.67973717887,1.60964079391256,-1530.47060785571,-1525.71703235544,-1524.73103703904,-1523.6208897161,-1518.6263688478
"Cml Pop Growth","Juvenile Male",3418.310273319,1.49280745728205,3412.95988169158,3417.34807460935,3418.27645378553,3419.28637943992,3423.94726561927
"Cml Pop Growth","Juvenile Combined",1893.63053614013,3.10226887784184,1882.48927383587,1891.62614851942,1893.54351417884,1895.66679836692,1905.32089677146
"Cml Pop Growth","Adult Female",-7218.318200668,0.297254913503055,-7219.3693718828,-7218.51186411454,-7218.31577463065,-7218.12085838083,-7217.31207422529
"Cml Pop Growth","Adult Male",1238.65254290948,0.303378046216136,1237.58208008137,1238.45590419173,1238.65558107324,1238.85583807769,1239.67891951685
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14619.2314821239,10.253049889309,14587.5355704374,14612.724401143,14619.1651902166,14625.9894978206,14657.8538326019
"Total Number Increase","Neonatal Female",-138.62273577486,3.35128516593009,-149.143809565216,-140.860480073156,-138.499650955425,-136.392001700049,-125.375114420052
"Total Number Increase","Neonatal Male",6408.82915727398,3.59092462852513,6397.86569995627,6406.40480997892,6408.91319728542,6411.24639577178,6423.04605319817
"Total Number Increase","Neonatal Combined",6270.20642149912,6.93625064960637,6248.72189039106,6265.62738136234,6270.40860111112,6274.8511979877,6297.67093877811
