"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",16919.5086817251,1.78614587419342,16915.1398232637,16918.2402320302,16919.2915231964,16920.8395539949,16923.0544621699
"Num Offtake","Neonatal Female",1184.57337507207,0.239778778236051,1183.98851729815,1184.40373439633,1184.54692132704,1184.75133070481,1185.0505545603
"Num Offtake","Neonatal Male",3684.0512644669,1.33842270787233,3680.82426454787,3683.08257558665,3683.94737048674,3685.04871533304,3686.80122511016
"Num Offtake","Neonatal Combined",4868.62463953897,1.57802325410798,4864.81278184602,4867.49156437857,4868.50013121635,4869.80004603785,4871.85177967047
"Num Offtake","Juvenile Female",3996.90795498863,0.185237338047035,3996.44034917245,3996.79271139393,3996.89030626423,3997.04882698398,3997.28397194732
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",3996.90795498863,0.185237338047035,3996.44034917245,3996.79271139393,3996.89030626423,3997.04882698398,3997.28397194732
"Num Offtake","Adult Female",7709.34753634922,0.0206185538142399,7709.29579089562,7709.33434926542,7709.34803990735,7709.36272291753,7709.38623946426
"Num Offtake","Adult Male",344.628550848304,0.015002055861372,344.590901349594,344.618962709894,344.628911157367,344.639609027525,344.656708787615
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",4768.04595579981,10.5743729161778,4745.05973420305,4760.26255591006,4766.93208301969,4774.48348734455,4793.68637057748
"Cml Pop Growth","Neonatal Female",123.510488083348,3.89044550111977,115.543578774987,120.708888284994,123.204921531109,126.142791546933,132.934045223657
"Cml Pop Growth","Neonatal Male",3669.08055401022,3.27158986747751,3662.84707422428,3666.59145818396,3668.89708274807,3671.40631940775,3677.01274767595
"Cml Pop Growth","Neonatal Combined",3792.59104209357,7.14527008156844,3778.39065299927,3787.38195695803,3792.25427810746,3797.45464108262,3809.91519356762
"Cml Pop Growth","Juvenile Female",-62.7686220734433,1.84723509836005,-67.1563845973815,-64.0925666407243,-62.9472004664422,-61.3975994760017,-58.8732995893279
"Cml Pop Growth","Juvenile Male",3952.07133005976,1.72281228211874,3948.00685918512,3950.88015428029,3951.89468461198,3953.35076104564,3955.76010512026
"Cml Pop Growth","Juvenile Combined",3889.30270798632,3.56985195218848,3880.85047458774,3886.79246142265,3888.94748414554,3891.95578203089,3896.88680553093
"Cml Pop Growth","Adult Female",-4238.35289436611,0.327122947601616,-4239.17714269394,-4238.56106696342,-4238.38417183274,-4238.09183404644,-4237.67943840608
"Cml Pop Growth","Adult Male",1324.50510008603,0.325990229027227,1323.68339429185,1324.29816287603,1324.47383745218,1324.76463161379,1325.17503495741
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",21687.5546375249,12.1600057396621,21660.5347562138,21678.8067243456,21686.1185940019,21695.5438768818,21716.7408327474
"Total Number Increase","Neonatal Female",1308.08386315541,4.07259952742326,1299.62134749429,1305.14266026674,1307.82823331628,1310.70650059176,1317.98459978396
"Total Number Increase","Neonatal Male",7353.13181847713,4.28796864259558,7344.08341005893,7349.95558491716,7352.72062850412,7355.94703270484,7363.53610072728
"Total Number Increase","Neonatal Combined",8661.21568163254,8.35673988815142,8643.70475755322,8655.24318746042,8660.52479497763,8666.45776101538,8681.52070051124
"Total Number Increase","Juvenile Female",3934.13933291519,2.02074150277642,3929.28396457507,3932.65902871747,3933.97165013534,3935.64038368079,3938.30869389004
"Total Number Increase","Juvenile Male",3952.07133005976,1.72281228211874,3948.00685918512,3950.88015428029,3951.89468461198,3953.35076104564,3955.76010512026
"Total Number Increase","Juvenile Combined",7886.21066297495,3.74218715689472,7877.29082376019,7883.49497347988,7885.86633474731,7888.9952957041,7894.06879901031
"Total Number Increase","Adult Female",3470.99464198311,0.347215047814168,3470.11864820168,3470.7769577738,3470.96151974799,3471.26309765637,3471.7028484207
"Total Number Increase","Adult Male",1669.13365093433,0.34060846353541,1668.27429564144,1668.91979368732,1669.1010440267,1669.39853756907,1669.8288625424
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",14061006.6793252,5046250.62814538,3532032.83432579,9800702.77183232,13356294.3836994,18360224.7011252,24099079.0345856
"Population Liveweight (kg)","Neonatal Female",906240.704141556,476430.275986125,11563.526005786,494313.196516791,879070.401445107,1327130.37906463,1687481.0505671
"Population Liveweight (kg)","Neonatal Male",554115.382119565,300960.672983795,6934.60679618363,338388.374741692,554836.966045716,812036.205576631,1019869.52261864
"Population Liveweight (kg)","Juvenile Female",3056647.87809141,1761317.45128516,30886.1865923272,1425017.34614771,3166542.50146798,4541015.97473661,5761171.39572435
"Population Liveweight (kg)","Juvenile Male",1089619.85392021,599727.283508339,5623.66686358894,561017.888980986,1135783.51737535,1567798.23764998,2093108.27293677
"Population Liveweight (kg)","Juvenile Combined",4146267.73201162,1855445.32850652,602626.896908645,2591480.55663025,4425496.48191177,5698968.46924148,7159612.27972331
"Population Liveweight (kg)","Adult Female",7686602.79131479,4781534.77862116,110695.192168544,3590666.86018432,6655522.84767734,12674434.7319404,15220641.1705092
"Population Liveweight (kg)","Adult Male",767780.069737684,422996.111269153,24196.002366625,390467.575691811,767463.115181712,1167319.6918418,1478524.28205037
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",2990563.80936366,1227482.28428504,546731.888284834,2028522.25482603,2777790.84424698,4036690.71833816,5550239.44214374
"Offtake Liveweight (kg)","Juvenile Female",704775.268959111,401585.002917282,3996.83996907538,378701.736122184,711455.192665131,999240.154083698,1438848.88585451
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",2191305.09953487,1207430.53680484,7709.33753626103,1260480.45584291,2012138.01781095,3338157.47144574,4193885.84618402
"Offtake Liveweight (kg)","Adult Male",94483.4408696798,54026.691731314,3446.06561079118,46182.1230667645,99255.7688124894,140609.036321043,189199.336784531
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",9831971.29014452,1496365.75811932,6252407.82392479,8525349.44712799,9963542.8727478,11053258.9662627,12604145.5956913
"Manure","Overall",33611310.3610556,1315982.29772415,31361161.8280318,32605088.674798,33549718.6440752,34588583.6821584,36523514.8470335
"Manure","Neonatal Female",2727570.882899,76458.6020680479,2557948.96758203,2672843.47952612,2727296.13031192,2780886.78884639,2925897.8903474
"Manure","Neonatal Male",1389476.68242494,33715.4773035413,1309851.08051524,1367951.15128512,1389147.84154576,1410635.81159479,1484975.22421834
"Manure","Neonatal Combined",4117047.56532394,83575.1876245725,3951953.46582081,4049667.79020829,4105283.80551653,4188100.12855983,4375892.49683599
"Manure","Juvenile Female",6409634.72505223,194272.203098532,5922860.91100025,6261337.13401687,6416493.88273168,6537545.31675385,6854609.43714074
"Manure","Juvenile Male",1528045.12913862,54910.0093861134,1397040.26323667,1491133.94842291,1524590.31288069,1559564.25995922,1675909.71957688
"Manure","Juvenile Combined",7937679.85419085,202216.990165022,7378844.07698977,7796722.11895998,7946025.505992,8060156.88028269,8353002.22445604
"Manure","Adult Female",20236690.257028,1286885.62661774,18002726.2633399,19365929.6997123,20169058.2370049,20931643.3757477,23040720.7480097
"Manure","Adult Male",1319892.68451285,85220.5617374434,1167224.85822789,1250516.83779383,1313911.26468827,1374482.32785497,1544964.74800148
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",183048581.513319,9946679.34193232,163531313.372595,175103983.291866,182386447.965272,190004994.734916,213132757.317799
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",132939049.055697,11988614.8924226,103023547.836907,123790766.156615,134017843.267017,140350687.965915,159059841.190331
"Cml Dry Matter","Neonatal Female",8452347.39266819,879472.334754166,5952503.19203516,8048544.26429794,8416892.77503099,9104733.86765611,10863202.5330116
"Cml Dry Matter","Neonatal Male",4366572.92002195,512841.268437365,2906383.37414324,4061881.67858519,4388531.32916948,4758280.90107039,5702328.43165865
"Cml Dry Matter","Neonatal Combined",12818920.3126901,1062943.11010072,9464790.91841484,12250738.290004,12791729.6426626,13520285.6647154,15419081.8528658
"Cml Dry Matter","Juvenile Female",28350148.3095414,4128406.31727751,17160604.930583,25507433.2010586,28753187.5237413,31191489.5919336,35714288.9395221
"Cml Dry Matter","Juvenile Male",6486686.72827004,982344.112946851,4047824.3627723,5784424.62805702,6466268.1981916,7124430.53447924,9058594.46664329
"Cml Dry Matter","Juvenile Combined",34836835.0378114,4281373.17541637,24565491.9119813,31932642.7619272,35258201.6667474,38173288.7075813,42450923.5611323
