"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1425561.59772938,7.62844300665495,1425550.81959007,1425557.13069015,1425561.71746178,1425566.54528184,1425575.41565581
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97937.849121938,3.1153287940234,97933.3902330584,97936.0198426519,97937.8114886112,97939.9662191212,97943.374214292
"Num Offtake","Juvenile Male",95337.3322170357,3.11532879403073,95332.873328156,95335.5029377496,95337.2945837089,95339.4493142188,95342.8573093897
"Num Offtake","Juvenile Combined",193275.181338974,6.23065758805059,193266.263561214,193271.522780401,193275.10607232,193279.41553334,193286.231523682
"Num Offtake","Adult Female",341764.13725936,0.41827572797721,341763.588300215,341763.898531371,341764.173816536,341764.358250235,341764.953970032
"Num Offtake","Adult Male",91730.1010142978,0.986334498648685,91728.8059960151,91729.537783516,91730.1881551589,91730.622274981,91732.0261615576
"Num Offtake","Oxen",798792.178116744,0.0129306088033995,798792.161603107,798792.170103825,798792.178306915,798792.184875695,798792.204000536
"Cml Pop Growth","Overall",606031.452550673,654.146766410129,604695.757149093,605814.538807036,606139.892266914,606411.055998049,606990.335005868
"Cml Pop Growth","Neonatal Female",23721.3879423962,218.951749087091,23297.7430569571,23697.6914868212,23741.6749523728,23827.9953674998,24023.4731294485
"Cml Pop Growth","Neonatal Male",70363.4466291947,218.951749087141,69939.8017437556,70339.7501736197,70383.7336391712,70470.0540542988,70665.5318162469
"Cml Pop Growth","Neonatal Combined",94084.834571591,437.903498174232,93237.5448007127,94037.4416604409,94125.408591544,94298.0494217987,94689.0049456954
"Cml Pop Growth","Juvenile Female",315324.751822983,112.726795709948,315116.395012562,315265.399735242,315334.949902577,315412.638252771,315482.970178884
"Cml Pop Growth","Juvenile Male",292954.184248607,112.726795710122,292745.827438185,292894.832160865,292964.3823282,293042.070678394,293112.402604508
"Cml Pop Growth","Juvenile Combined",608278.93607159,225.45359142007,607862.222450747,608160.231896107,608299.332230777,608454.708931166,608595.372783392
"Cml Pop Growth","Adult Female",-287.80743676424,24.9795625549536,-323.653441693634,-302.481518221088,-288.25850617094,-270.667819224531,-243.716031532735
"Cml Pop Growth","Adult Male",654749.358790728,24.4854866932098,654714.174027525,654734.972741239,654748.839337954,654766.243805834,654792.468735254
"Cml Pop Growth","Oxen",-750793.869446472,0.50322750702021,-750794.530688199,-750794.15747844,-750793.824039679,-750793.603355753,-750792.887985768
"Total Number Increase","Overall",2031593.05028005,659.034529555862,2030246.57673916,2031368.20324251,2031700.658683,2031971.9292262,2032557.42546083
"Total Number Increase","Neonatal Female",23721.3879423962,218.951749087091,23297.7430569571,23697.6914868212,23741.6749523728,23827.9953674998,24023.4731294485
"Total Number Increase","Neonatal Male",70363.4466291947,218.951749087141,69939.8017437556,70339.7501736197,70383.7336391712,70470.0540542988,70665.5318162469
"Total Number Increase","Neonatal Combined",94084.834571591,437.903498174232,93237.5448007127,94037.4416604409,94125.408591544,94298.0494217987,94689.0049456954
"Total Number Increase","Juvenile Female",413262.600944921,115.452849302059,413049.785245621,413203.097940787,413271.981076872,413354.977080604,413423.180914895
"Total Number Increase","Juvenile Male",388291.516465642,115.452849302234,388078.700766341,388232.013461508,388300.896597593,388383.892601324,388452.096435615
"Total Number Increase","Juvenile Combined",801554.117410564,230.905698604282,801128.486011962,801435.111402295,801572.877674466,801738.869681928,801875.27735051
"Total Number Increase","Adult Female",341476.329822595,25.3902594523653,341439.934858522,341461.417173076,341475.936293893,341493.679939246,341521.237938499
"Total Number Increase","Adult Male",746479.459805025,25.453838146842,746442.98002354,746464.510524755,746479.075484982,746496.842084881,746524.494896812
"Total Number Increase","Oxen",47998.3086702724,0.516105260295386,47997.6310444274,47998.0139564921,47998.354267236,47998.5814229537,47999.3160147679
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",3930315202.83089,305490480.123169,3416184451.26155,3768434339.4438,3933417096.03513,4086343698.52099,4410800148.29487
