"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",237584.844314723,9831.89180341386,222335.234082904,228707.632055731,241144.999685106,244501.305471726,249186.984224261
"Num Offtake","Neonatal Female",19329.3295702947,1342.97054416032,17256.9544455516,18118.0958270783,19819.7503136756,20263.2260821014,20902.3756673828
"Num Offtake","Neonatal Male",105870.210830271,7634.4684675215,94359.9683792768,98901.0111041826,109205.950570738,111178.059185748,114636.243938235
"Num Offtake","Neonatal Combined",125199.540400566,8974.65262985598,111616.922824828,117019.106931261,129067.231538968,131420.519940572,135418.082223843
"Num Offtake","Juvenile Female",39653.4003866196,882.643448408901,38257.0106280841,39046.8233437095,39718.213991311,40080.122302775,41274.0913437947
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",39653.4003866196,882.643448408901,38257.0106280841,39046.8233437095,39718.213991311,40080.122302775,41274.0913437947
"Num Offtake","Adult Female",64599.0169736422,119.632375866868,64427.1470214549,64536.0530056544,64552.3022225707,64654.1558596481,64824.0381682104
"Num Offtake","Adult Male",8132.88655389526,68.6972793225983,8034.15360853622,8096.64779141288,8106.13028751009,8164.52339276513,8262.0467994309
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",456049.724025503,72235.7196131917,352116.52716401,388550.507543381,459874.611192885,519448.835536406,544035.94631017
"Cml Pop Growth","Neonatal Female",168290.669420165,30027.6207365379,121331.218252577,143326.631047039,169775.975618577,192873.43961842,210893.024101906
"Cml Pop Growth","Neonatal Male",110220.567415374,26554.650891222,67225.8849192398,89324.9784369939,114017.846732914,131237.561112086,149741.443217052
"Cml Pop Growth","Neonatal Combined",278511.236835539,56478.8763501444,188557.103171817,232651.609484033,283793.822351492,324111.000730507,360634.467318958
"Cml Pop Growth","Juvenile Female",58286.1075360119,10057.2990150334,43581.7956519121,49073.6368045471,62749.52146746,65404.6600724921,70614.0390861538
"Cml Pop Growth","Juvenile Male",106814.836185814,9441.98709314941,93188.2130895827,98135.6855893597,111232.599558595,113568.670951518,118541.691142515
"Cml Pop Growth","Juvenile Combined",165100.943721826,19496.527147406,136770.008741495,147209.322393907,173982.121026055,178973.33102401,189155.730228668
"Cml Pop Growth","Adult Female",-20898.3315608765,1535.55344360225,-23325.2095292364,-22003.1661797544,-20767.7921536865,-20117.447765815,-18120.0429147943
"Cml Pop Growth","Adult Male",33335.875029014,1538.36780923694,30900.3079844948,32236.4695285041,33463.1407866424,34113.3346689496,36123.5263388112
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",693634.568340226,80003.6415015198,584144.413618308,613428.874251794,703349.336995104,765241.213210153,785179.253708356
"Total Number Increase","Neonatal Female",187619.99899046,30893.8268857308,139890.713503607,161626.764856186,188498.751869275,213315.110103406,230448.395273362
"Total Number Increase","Neonatal Male",216090.778245645,31568.3218818413,168220.632900071,189168.600368289,216370.511742134,243289.622622127,257807.982719366
"Total Number Increase","Neonatal Combined",403710.777236105,62440.4869023906,308111.346403679,350795.365224474,404869.26361141,456604.732725533,488256.377992728
"Total Number Increase","Juvenile Female",97939.5079226316,10760.910447913,81838.8062799962,88119.668710454,102561.560258248,105440.965199722,110563.46572599
"Total Number Increase","Juvenile Male",106814.836185814,9441.98709314941,93188.2130895827,98135.6855893597,111232.599558595,113568.670951518,118541.691142515
"Total Number Increase","Juvenile Combined",204754.344108446,20185.2563280079,175027.019369579,186255.354299814,213794.159816843,219009.63615124,229105.156868504
"Total Number Increase","Adult Female",43700.6854127657,1642.74153109626,41101.9374922185,42554.8527912716,43827.3032879081,44507.989495864,46703.9952534161
"Total Number Increase","Adult Male",41468.7615829093,1599.89540888165,38934.4615930311,40345.9008891015,41593.7548570018,42261.3169667317,44385.5731382421
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",32014.2198267855,1670.22719649565,29437.8150845438,30504.5968893473,32637.4361759941,33180.7943790974,33954.1072413831
"Total Mortality","Neonatal Female",12300.4824538239,854.617619011116,10981.6982835328,11529.6973445044,12612.5683814299,12894.7802340645,13301.5117883345
"Total Mortality","Neonatal Male",10437.9081100267,752.694074262683,9303.09547401321,9750.80391167998,10766.7838590869,10961.2171028202,11302.164895319
"Total Mortality","Neonatal Combined",22738.3905638506,1606.33512505713,20284.793757546,21280.5012561844,23383.4468120926,23853.9500510968,24533.4980660542
"Total Mortality","Juvenile Female",1525.13078410076,33.947824938804,1471.42348569554,1501.80089783498,1527.62361505042,1541.54316549135,1587.46505168441
"Total Mortality","Juvenile Male",829.375231658185,31.9979081776327,778.689231860622,806.91801778203,831.875097140036,845.226339334633,887.711462764842
"Total Mortality","Juvenile Combined",2354.50601575894,65.9417765737253,2250.11271755616,2308.71891561701,2359.49871219046,2386.76950482598,2475.17651444925
"Total Mortality","Adult Female",6921.32324717595,12.8177545571641,6902.9086094416,6914.57710774869,6916.31809527543,6927.2309849623,6945.43266087969
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",193467913.454609,46814542.8220651,130364300.830591,166555795.500388,185585405.857863,219358571.771621,271152025.83981
"Population Liveweight (kg)","Neonatal Female",17722536.4798302,10568438.5491457,5704473.3069787,6700019.55864383,18887055.0532609,28144727.9969609,30199957.431218
"Population Liveweight (kg)","Neonatal Male",12821092.0258099,8208746.0814839,2511021.24466156,5082570.13604354,14588569.3325046,18749478.0949108,23550581.4237832
"Population Liveweight (kg)","Juvenile Female",34756967.008447,22470749.9096804,1434288.728263,14876061.0457159,35182591.6464798,51436034.1209739,65206232.0546539
"Population Liveweight (kg)","Juvenile Male",31062915.6728902,15452429.8986446,4874281.86825992,19681554.1769703,30150982.2613858,46062493.1042887,49454142.0443827
"Population Liveweight (kg)","Juvenile Combined",65819882.6813372,22857617.5727551,34954306.2048283,47107803.8069244,68550273.7676748,75542404.6702161,107760026.09489
"Population Liveweight (kg)","Adult Female",77742030.9419336,23707667.575014,36656580.9588814,57560502.8301366,86233594.8786463,94576715.9503958,108002485.054823
"Population Liveweight (kg)","Adult Male",19362371.3256981,7578748.31372207,5376000.04288284,16223167.4780014,21844341.2810433,24277099.303614,29648325.4515602
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",24614336.6554984,11993926.8663835,7645888.09397245,14960710.9591156,23659178.56283,35928833.7869702,40744790.7089229
"Offtake Liveweight (kg)","Juvenile Female",7181426.98886446,3140801.81542397,1925937.00114023,5533308.26020176,6840939.59227106,8656454.80118291,13646355.2544157
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",15493091.7050344,10049071.568811,1685424.99237347,7253385.79370216,15787872.9301648,21307093.3560363,30834089.6386651
"Offtake Liveweight (kg)","Adult Male",1939817.9615996,1412237.18814609,553557.13556187,734880.981398047,1502519.64093551,2673677.31795558,4478966.95829407
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",88952079.7773213,16874823.514524,69153052.487229,70315017.2334209,94976696.2040157,102530872.306949,107668584.163955
